state,sex,year,name,count
VA, F ,1969.0,Mary,39
VA,M,2013.0,Taylor,271
VA,F,,Jordan,86
VA,F,2019.0,Mary,10
VA,M,1969.0,James,186
VA,F,2000.0,Linda,290
,F,2007.0,Patricia,87
VA,F,2022.0, Taylor ,17
,M,1963.0,Robert,
VA, F ,1980.0,Taylor,515
VA,F,1955.0,Alex,661
,F,2017.0,Mary,24
,M,2011.0,Jordan,447
VA, M ,1945.0,John,909
VA,F,2002.0,Linda,50
VA,F,,Taylor,974
 VA ,M,1916.0,Michael,30
VA,,2011.0,James,641
VA,F,1918.0,Patricia,248
VA,M,1993.0,Patricia,54
VA,M,2008.0,Jordan,27
VA,M,1946.0,James,100
 VA , F ,1951.0, Patricia ,462
VA,M,1918.0,Robert,64
VA,F,1949.0, Jennifer ,316
VA,M,1968.0,Casey,238
VA,F,1976.0,Jennifer,458
VA,M,1992.0,john,
VA,F,1920.0,Patricia,88
VA,F,1980.0,Mary,27
VA,F,1954.0,Casey,27
VA,M,1966.0,Casey,
VA,F,1945.0,,88
VA,F,1948.0,Linda,115
VA,F,2020.0,Casey,41
VA,F,1911.0,Mary,41
VA,M,2002.0,Michael,48
VA,M,1979.0,Jordan,140
VA,M,1984.0,John,122
VA,F,1970.0,Alex,65
VA,M,2018.0,John,94
VA,M,1947.0, Jordan ,
,M,1991.0,Jordan,420
VA,F,2012.0,Mary,381
 VA ,F,1930.0,Mary,209
VA,M,1914.0,Alex,218
VA,F,1946.0,Casey,292
 VA ,F,2002.0,Patricia,19
VA,F,1940.0,Patricia,21
VA, F ,1934.0,Jordan,37
 VA ,F,1958.0,Patricia,37
VA, M ,2000.0,Casey,34
VA, M ,,Robert,1292
VA,F,1935.0,,546
VA,F,1949.0,John,11
VA,F,1984.0,Casey,331
 VA ,M,1954.0,James,290
,,1971.0,Jordan,38
VA,M,2002.0, Taylor ,27
VA,M,1931.0,Robert,30
VA,M,2004.0,John,91
VA,F,1988.0,Casey,376
VA,F,2015.0,Taylor,10
VA, F ,1952.0,Jennifer,124
 VA , M ,1980.0,taylor,452
VA,F,2006.0,,259
 VA ,F,1988.0,Jordan,121
,M,1965.0,Michael,6
VA,M,1988.0,John,104
VA,M,1997.0,Michael,669
VA,M,1965.0,Alex,31
VA,F,2014.0,Alex,
VA,M,1936.0,Casey,151
VA,F,1960.0,Linda,
VA,M,1930.0,Jordan,11
VA,F,1994.0,Linda,373
VA,M,1964.0,John,76
VA,F,1989.0,Mary,732
VA,F,1978.0,Jordan,908
VA,F,1999.0,Casey,657
VA,M,1967.0,Casey,252
 VA ,M,1935.0,,14
VA,M,1933.0, James ,66
VA,M,1928.0, Taylor ,79
,,2007.0,Casey,156
VA,M,1960.0,John,35
VA,F,1958.0,Linda,102
VA,M,1960.0,michael,52
VA,M,1978.0,Taylor,315
VA,M,2003.0,Casey,165
VA, M ,1971.0,Taylor,185
 VA ,M,2018.0,Michael,16
VA,M,1975.0,Taylor,69
VA,F,1944.0,Taylor,56
VA,M,2008.0,Taylor,352
VA, M ,2003.0,Robert,574
VA,M,2020.0,Michael,44
VA,M,1957.0, John ,
VA,M,2000.0,Linda,688
VA,M,2013.0,Robert,64
VA,M,1969.0,Robert,33
VA,F,1930.0,Taylor,24
VA,M,1954.0,michael,45
VA, M ,2005.0,John,97
VA,M,2013.0,john,5
VA,F,1943.0,Casey,63
,F,1998.0,Alex,125
VA,F,1989.0,Alex,155
VA,M,1993.0,Robert,254
VA,F,1958.0,casey,53
VA,F,2014.0,John,111
VA,F,2022.0,Jennifer,229
 VA ,F,1935.0,Alex,7
VA,F,2014.0,jordan,431
VA,F,1993.0,Jennifer,793
 VA ,F,,Taylor,398
VA,M,1984.0,Taylor,702
VA,M,2003.0,Jordan,546
VA,F,2017.0,Linda,9
,M,1994.0,Michael,231
VA,M,,Robert,
VA,F,1931.0,Mary,72
 VA ,F,1990.0,Alex,247
 VA ,F,1972.0,Alex,225
VA,F,1913.0,Jennifer,38
 VA ,F,1966.0,John,96
VA,M,1914.0,john,24
VA,M,2018.0,Casey,7
VA,,2011.0,John,97
VA,F,1946.0,Alex,8
VA, F ,,Taylor,151
VA,M,1951.0,Casey,25
VA,F,2011.0,Linda,243
VA, F ,1996.0,Jordan,12
VA,M,1951.0,Jordan,292
VA, F ,1965.0,Jennifer,136
VA,M,2012.0,Alex,26
, F ,,Linda,243
VA,M,1964.0,Michael,279
VA,F,1945.0,jordan,71
VA, F ,2020.0,Taylor,97
VA,F,1975.0,Taylor,221
VA,M,,Alex,5
VA,F,2008.0,Linda,342
VA,M,1954.0,michael,45
 VA ,M,1997.0,Taylor,138
VA,F,1913.0,Jordan,74
VA,F,1979.0,Patricia,320
VA,F,1950.0,Alex,25
VA,,1953.0,Mary,817
VA,,1989.0,patricia,213
VA,M,,Taylor,56
VA,M,1987.0,Jordan,203
VA, M ,2000.0,John,19
VA,M,1955.0,Alex,5
VA,M,1934.0,Jordan,77
VA,F,1977.0,James,251
VA, M ,2015.0,Jordan,312
VA,M,1985.0,Casey,381
,F,,Jennifer,225
VA,M,1978.0,Alex,735
VA,F,1979.0,,79
VA,F,1950.0,Jennifer,541
VA, F ,1990.0,Jennifer,86
,M,2014.0,linda,523
VA,F,2008.0, Patricia ,74
VA,F,1932.0,Alex,399
VA,M,,Taylor,439
VA,F,1979.0,Alex,126
VA,F,1962.0,Patricia,384
VA,F,1991.0,Casey,135
VA,M,1937.0,Casey,113
,M,1954.0,John,87
,M,1986.0,Linda,9
VA,F,1952.0,Patricia,278
VA,M,1913.0,Jordan,139
VA,M,1970.0,Taylor,340
VA,M,1929.0, John ,237
VA,,1933.0,Jennifer,17
VA,M,1929.0,Michael,100
VA, M ,1939.0,Taylor,131
VA,F,1996.0,,182
VA,F,1990.0,Linda,81
VA,M,1988.0,James,184
VA,M,1983.0,James,541
VA,M,1986.0,,254
VA,M,1912.0,Casey,8
VA,F,1982.0,Taylor,522
VA,F,1944.0,,14
