state,sex,year,name,count
WA, M ,1941.0,Taylor,20
WA, M ,1999.0,Alex,483
WA,F,2018.0,Patricia,104
WA,M,2021.0,James,156
WA,,1950.0,Casey,412
WA,M,1990.0,James,49
WA,,1915.0,Mary,21
WA,F,1967.0,,597
WA,F,1966.0,Jennifer,426
,M,1962.0,James,171
WA, F ,1953.0,,149
WA,F,1986.0,Taylor,703
WA,M,1999.0,Taylor,148
WA,M,1994.0,Taylor,56
WA, F ,1980.0,Patricia,206
WA,M,1918.0,Robert,166
WA,M,1991.0,Michael,105
 WA ,M,1982.0,Alex,523
WA,F,1980.0,Casey,745
WA,M,2001.0,John,32
WA,M,1926.0,,69
WA,F,,Linda,15
,M,1959.0,,512
WA,F,2001.0,Jennifer,538
WA,M,1990.0,Casey,16
WA,M,1973.0,John,57
 WA ,M,1965.0,Michael,
WA,M,1973.0,Michael,774
WA,M,1940.0,John,9
WA,M,1978.0,Michael,547
 WA ,M,1916.0,Mary,13
WA,M,2013.0,James,94
,F,1992.0,Alex,5
WA,F,1988.0,Taylor,202
WA,M,1962.0,Casey,32
WA,M,1981.0,James,459
WA,F,1982.0, Jordan ,355
, M ,1931.0,John,15
WA,F,1955.0,james,44
WA,F,1988.0,Jennifer,1637
WA,F,1970.0, Mary ,34
WA,,1989.0,Linda,95
WA,M,1998.0,Casey,13
WA,M,1971.0,linda,263
 WA ,F,1986.0,Linda,624
WA,M,1941.0,Casey,7
WA,F,1919.0,Alex,64
WA,F,,John,105
WA,M,1960.0,Taylor,14
WA,,2012.0,Linda,673
WA,F,1914.0,John,77
WA,M,1981.0,Jordan,659
WA,M,1975.0,Alex,22
WA,M,2002.0,Alex,778
WA,M,1971.0,John,
WA,M,1952.0,Casey,143
,,1977.0,John,596
WA,M,,Patricia,232
WA,M,2018.0,Alex,361
WA,F,1942.0,Taylor,119
WA,M,1916.0,,62
 WA ,M,1943.0,Alex,88
WA,F,1984.0,Jennifer,144
WA, F ,1991.0,Jordan,89
WA,M,1962.0,Alex,63
WA,M,1975.0,Jordan,289
WA,F,1958.0,jordan,255
WA,,1919.0,Patricia,17
WA,M,,Taylor,164
WA,F,1974.0,,252
WA,F,1957.0,Linda,175
WA,F,1959.0,Casey,104
WA,M,1952.0,Robert,164
WA,F,1969.0,Linda,77
WA,M,1995.0,James,302
WA,M,1992.0,Alex,74
WA,M,1992.0,Casey,311
,F,2006.0,Linda,28
WA, F ,2003.0,Alex,139
WA,M,1958.0,James,1213
WA,F,1988.0,Linda,455
WA,M,1982.0,Robert,549
WA,M,1998.0,,16
WA,F,1938.0,Taylor,137
WA,F,1927.0,Michael,118
,M,1950.0,Jordan,17
,F,2019.0,Jennifer,87
 WA ,F,,Casey,483
WA,F,2014.0,Alex,158
WA,M,1999.0,Michael,654
WA,M,2008.0,James,8
WA,F,1992.0, Patricia ,485
WA,M,1968.0,Robert,
WA,M,1975.0,Taylor,414
 WA ,M,1925.0,Robert,29
WA,M,1916.0,Michael,5
WA,M,1990.0,John,168
WA,,2004.0,Alex,249
WA,F,1931.0,Casey,31
WA,F,1969.0,Mary,419
WA,M,1917.0,Jordan,24
WA,M,1940.0,Taylor,198
,F,1911.0,Alex,25
WA,F,2012.0,Jordan,17
WA,M,1929.0,James,
WA,M,1943.0,James,14
WA,M,2019.0,Robert,8
WA,M,1942.0,Casey,804
WA,F,1974.0,Taylor,6
 WA ,M,1980.0,Taylor,88
WA,M,2015.0, James ,568
WA,F,1936.0,Taylor,13
,M,1974.0,Taylor,
WA,M,1965.0,Jordan,528
WA,M,,Taylor,
 WA ,M,1996.0,,188
WA, M ,1988.0,Robert,587
 WA ,M,1982.0,Michael,
 WA ,M,2006.0,Linda,1041
WA,,,James,97
WA,M,1962.0,Jordan,56
WA,M,1972.0,james,375
WA,M,,John,583
WA,M,2018.0,James,309
WA,F,1966.0,Jordan,261
WA,M,2006.0,James,11
WA,M,1957.0,John,256
,,1916.0,Taylor,173
WA,M,1989.0,Alex,276
WA,M,1946.0,Michael,244
WA,F,1996.0,Michael,445
WA,F,1979.0,Casey,111
WA,M,,Jordan,965
WA,F,1994.0,Mary,84
,F,1919.0,Casey,104
WA,M,1980.0,John,111
WA,M,1965.0,James,431
WA,M,1966.0,Jordan,463
WA,F,1968.0,Alex,311
WA,F,1910.0,Taylor,41
WA, M ,2010.0,Linda,14
WA,M,2000.0,Robert,14
WA,F,1986.0,Alex,81
WA,F,,,19
WA,F,1941.0,Jordan,266
 WA ,M,1980.0,Casey,9
WA,F,1944.0,jennifer,276
WA,M,,,19
WA,M,1931.0,Patricia,8
WA,M,1913.0,michael,53
WA,M,1984.0,Michael,79
WA, F ,1959.0,Jordan,481
WA,F,1999.0,Jordan,40
WA,F,1997.0,Alex,163
WA,F,1926.0,Mary,91
WA,F,1957.0,Casey,144
WA,M,1988.0,Michael,447
WA,F,2011.0,Michael,314
WA,M,1923.0,Michael,9
,M,1987.0,James,1153
WA,,1990.0,Taylor,167
WA,F,1922.0,Jordan,347
WA,M,1966.0,Alex,347
 WA ,M,1991.0,Casey,1217
 WA ,M,1940.0,Casey,38
WA,F,,Patricia,759
WA,F,1962.0,Taylor,83
WA,F,1991.0,Casey,55
WA,F,2011.0,Linda,20
WA,F,2022.0,Mary,
WA,M,1956.0, Michael ,911
 WA ,M,1967.0,Patricia,53
WA,M,1971.0,Patricia,161
WA,M,,Casey,974
WA,M,2022.0,Casey,83
WA,,1944.0,Taylor,111
WA,F,2020.0,Casey,416
WA,F,1971.0,Mary,222
 WA ,M,1944.0,Jordan,94
 WA , F ,2004.0,Michael,28
WA,M,1917.0,John,23
WA,M,1934.0,Jordan,337
WA,F,,Alex,89
WA,M,,Casey,101
WA,F,1972.0,Jennifer,12
 WA ,F,1969.0, Alex ,873
WA,F,1980.0,Taylor,394
WA,M,1965.0,robert,747
WA,M,1964.0,James,935
 WA ,F,2004.0,Casey,34
WA,M,2005.0,James,35
WA,M,1932.0,Robert,16
 WA ,F,1949.0,Taylor,60
WA,F,2020.0,Mary,55
WA,F,1998.0,Linda,84
WA,,1934.0,Taylor,13
WA,F,2003.0,Mary,29
WA,M,2013.0,Robert,99
WA,F,2012.0, Casey ,172
WA,F,1974.0, Alex ,480
WA,,1954.0,James,
WA,F,2000.0,Mary,415
WA,M,1927.0,Alex,211
WA,,1938.0,Jordan,111
 WA ,F,2020.0,Jennifer,63
WA,,1957.0,Alex,59
,F,1939.0,Casey,9
WA,F,1947.0,Jordan,834
WA,M,1948.0,Jordan,6
WA,F,1961.0,Casey,75
WA,F,2001.0,Mary,257
WA,M,1963.0,Michael,251
WA,F,1966.0,Alex,316
,F,1978.0,Linda,704
WA,F,1977.0,Linda,189
WA,M,1946.0,John,5
 WA , F ,1967.0,Taylor,69
WA,F,1950.0,Casey,26
WA,M,2005.0,Patricia,229
 WA ,F,1948.0,Jordan,92
WA,M,1968.0,Casey,69
WA,F,1955.0,Mary,442
WA,F,2021.0,Patricia,20
,M,2000.0,Taylor,40
WA,,1912.0,John,8
WA,M,2017.0,Taylor,650
WA,M,,John,66
WA, F ,1913.0,Jennifer,6
WA,F,1969.0,taylor,
,M,2022.0,Jordan,114
 WA ,,2010.0,Alex,172
WA,M,1917.0,Alex,14
WA,F,1995.0,Jordan,114
WA,F,1973.0,Casey,57
WA,F,2005.0,Linda,232
WA,F,1962.0,Jennifer,440
WA,F,1980.0,Taylor,394
,M,1947.0,Casey,67
WA,F,1996.0,Taylor,300
WA,F,2000.0,,458
WA,F,1931.0,Alex,24
WA,M,1930.0,James,55
WA,F,,Jordan,
WA,F,1924.0,Linda,28
WA,F,1965.0,Jordan,617
WA,F,1953.0,Mary,112
WA,M,1928.0,Michael,154
 WA , M ,2012.0,Casey,29
WA,M,1987.0,Robert,561
WA,M,1955.0, John ,
WA,M,1991.0,john,
WA,M,1992.0,michael,444
WA,F,2011.0,Taylor,408
WA,F,1928.0,Casey,44
WA,M,1969.0,James,583
WA,F,1987.0,Taylor,651
,F,1977.0,Patricia,248
