state,sex,year,name,count
WY,F,1970.0,Patricia,496
 WY , F ,1990.0,Casey,223
WY,F,1959.0,Jennifer,843
WY,M,1950.0,Casey,523
WY,M,1985.0,John,362
WY,M,1926.0,Taylor,128
WY,F,1969.0,Taylor,167
WY,M,1979.0,Robert,126
,M,2012.0,,696
WY,F,1946.0,Casey,744
WY,M,1940.0,Jordan,30
WY,F,1996.0,,153
WY,M,1983.0,John,823
WY, M ,2007.0,Jordan,
WY,F,1947.0,Jordan,58
 WY , M ,1981.0,Taylor,51
WY,F,, Patricia ,8
WY,F,1951.0,Casey,151
WY,M,2008.0,Casey,147
WY,,1955.0,James,36
WY,M,2004.0,Alex,148
 WY , M ,1947.0, Michael ,105
WY,F,1969.0,Alex,262
WY,M,1992.0,Michael,
WY,M,,Casey,535
WY,M,1994.0,Casey,153
,F,1987.0,Linda,172
WY,F,, Jennifer ,31
WY,F,2017.0,Linda,385
WY,M,1943.0,Alex,286
WY,F,1985.0,Patricia,92
WY,M,1932.0,alex,27
WY,M,1986.0,Robert,123
WY,M,1973.0,robert,584
WY,M,1975.0,Alex,49
WY,M,1946.0,Robert,55
WY,M,1922.0,Casey,35
WY,M,1958.0,Alex,9
WY, M ,1954.0,Jordan,402
 WY ,M,1957.0,Robert,844
WY,F,1933.0,Patricia,9
WY,M,1939.0,Linda,76
WY,F,1957.0,Jennifer,126
WY,,2007.0,Alex,10
WY,,1941.0,Jordan,92
WY,F,1925.0,Mary,299
WY,F,,Jordan,385
 WY ,F,2008.0,Mary,101
WY,M,1977.0,Taylor,653
 WY ,M,1968.0,Taylor,651
WY,,1957.0,Jordan,771
WY,M,1950.0,John,69
WY, M ,1930.0,Alex,154
WY,F,1974.0,Michael,816
,F,1982.0,Jennifer,403
WY,M,,James,976
WY,M,1985.0,Jordan,627
WY,M,1981.0,Robert,338
WY,M,1974.0,John,22
WY,M,1986.0, Jordan ,287
WY,F,1934.0,Taylor,93
WY,M,2017.0,Taylor,127
WY, F ,2000.0,Jordan,383
WY,M,1944.0,Jordan,100
WY,M,2016.0,John,312
WY,F,1997.0,Casey,
WY, F ,1973.0,Jennifer,486
 WY , M ,1981.0,Taylor,51
 WY ,M,,James,745
WY,F,1968.0,Taylor,365
WY,,1937.0,Casey,7
 WY ,F,1986.0, Mary ,291
WY,M,2002.0,Casey,280
WY, M ,1919.0,Michael,131
WY,,1962.0, Michael ,389
WY,F,1919.0,Jennifer,24
WY,F,2001.0,Taylor,414
WY,M,2009.0,Casey,747
WY,M,1964.0,Michael,231
WY,F,1961.0,Mary,37
WY,M,1919.0,Casey,37
WY, F ,1984.0,Casey,161
WY,M,1948.0,Michael,239
WY,F,,Patricia,38
WY,F,1981.0,Jennifer,
 WY ,M,1982.0,,166
WY,,1937.0, Jennifer ,206
WY,F,,Alex,89
WY,M,1975.0,Casey,292
WY,F,1974.0,Jennifer,469
WY,M,1995.0,Alex,687
WY,M,1942.0,Alex,85
WY,F,1980.0,Taylor,583
WY,F,1944.0,John,147
WY,M,1965.0,Casey,537
WY,F,,James,182
WY,M,1999.0,James,245
,M,1962.0,Patricia,80
 WY ,,2000.0, Alex ,20
WY,M,2006.0,Casey,
WY,M,1991.0,Alex,55
WY,M,1970.0,Alex,23
WY,M,,michael,923
WY,M,1930.0,John,31
WY, M ,1969.0,Michael,834
WY,F,1979.0,Casey,253
WY,,2003.0, Jennifer ,545
WY,M,2012.0,Taylor,488
WY,F,1965.0,Linda,126
WY,M,1927.0,Alex,68
WY,,,,189
WY,F,2022.0,Alex,220
WY,M,1984.0,Jordan,126
WY,F,1943.0,Linda,
WY,F,,Jordan,95
WY,M,1967.0,Taylor,120
WY,,1995.0,Casey,806
WY,M,1984.0,Michael,482
WY,M,1999.0,Taylor,8
WY,F,2003.0,Casey,564
 WY ,F,1963.0,James,399
WY, M ,1967.0,Linda,102
,F,1968.0,Mary,18
WY,M,2007.0,Casey,45
WY, F ,1968.0,Alex,704
WY,F,1976.0,,753
WY,M,1960.0,Robert,798
WY,M,1999.0,casey,38
WY, M ,2007.0,Michael,258
WY,F,2014.0,Patricia,388
WY,F,,Jordan,117
WY,M,2005.0, Robert ,54
WY,M,1974.0,Robert,51
WY,F,1980.0, Jennifer ,225
WY,F,1984.0,Michael,388
WY,M,1971.0,James,75
WY,M,1980.0, Alex ,125
WY,F,1942.0,Patricia,12
WY,M,1969.0,Alex,197
 WY ,M,2010.0,James,305
WY,M,1972.0,Robert,
WY,M,1994.0,Taylor,49
WY, F ,1974.0,Casey,426
WY,F,2018.0,Casey,31
WY,F,1925.0,Taylor,7
WY,M,1973.0,Alex,446
WY,F,1993.0,linda,82
WY,F,1948.0,Jennifer,
WY,M,1985.0,Michael,282
WY,M,1949.0,James,150
WY, F ,1984.0,Linda,350
WY,M,1927.0,Taylor,33
WY,F,1977.0,Taylor,464
WY,F,1928.0,Jennifer,10
WY,F,1920.0,Jennifer,8
WY,F,1962.0,Patricia,279
WY,F,1990.0,Patricia,690
WY,F,1996.0,Alex,664
 WY ,F,1998.0,Jennifer,665
WY,F,1963.0, Jennifer ,331
WY,F,1975.0,Linda,232
WY, M ,,Robert,682
WY,F,1923.0,Robert,42
WY,F,2005.0,Jennifer,669
WY, F ,1917.0,Patricia,7
WY,F,1977.0,Casey,255
WY,F,2018.0,Taylor,22
WY,M,1940.0,Casey,44
WY,F,1940.0,Mary,21
WY,M,1994.0,James,752
WY,F,1976.0,Patricia,691
WY,F,2008.0,Taylor,176
WY,F,1958.0,Casey,26
WY,M,1995.0,James,109
WY,M,1916.0,Casey,17
WY, F ,1985.0,,459
WY,M,2001.0,Casey,496
WY,F,2004.0,Taylor,532
WY, M ,1912.0, John ,54
WY,M,1992.0,Jordan,107
,F,1982.0,Jennifer,403
 WY ,M,1956.0,Casey,273
 WY ,F,,Alex,55
WY, M ,1990.0,Alex,277
WY,F,1956.0,Patricia,55
WY,,2011.0,Jennifer,80
WY,F,1982.0,Jordan,71
WY,M,1986.0,Casey,238
WY,F,2011.0,Mary,29
 WY ,F,2012.0,Casey,16
 WY ,F,1962.0,Casey,306
 WY ,F,2009.0,Patricia,
WY,F,1939.0,Patricia,44
 WY ,M,1962.0,,335
WY,,1938.0,casey,80
WY,F,1994.0,Patricia,32
WY,F,1941.0,Jordan,22
WY,M,2006.0,James,337
WY, F ,2009.0,jennifer,28
WY,M,1993.0,John,37
WY,F,1993.0,Taylor,96
WY,F,1959.0,Alex,259
 WY ,F,1971.0,linda,644
WY,M,1988.0,Taylor,228
WY,M,2008.0,Michael,726
WY, M ,2013.0,James,253
 WY ,F,1931.0,Linda,5
WY,M,2009.0,Taylor,381
WY,F,2017.0,Casey,14
WY,M,1998.0,Robert,518
 WY , F ,1948.0,Taylor,132
WY,M,1943.0,Michael,240
WY,M,1945.0,Jordan,42
WY,M,1999.0,Michael,32
WY,M,1984.0,Taylor,285
WY,F,,Jennifer,5
WY,M,1990.0,Casey,730
WY, M ,1993.0,Robert,37
WY,F,,Jennifer,161
WY,M,1970.0,Taylor,458
WY,F,1946.0,,831
WY,F,1945.0, Mary ,451
WY,M,1912.0,Taylor,22
WY,,1935.0,Mary,7
WY,F,2014.0,,363
 WY ,F,1953.0,Taylor,10
WY,F,1918.0,Alex,13
WY,M,2003.0,James,228
WY, M ,1937.0,jordan,37
WY,M,1963.0,Alex,57
WY,M,1945.0, James ,13
WY,F,1992.0,Patricia,960
WY, F ,1953.0,Linda,
WY,F,2002.0,Mary,36
,M,1988.0,Jennifer,427
WY, F ,2005.0,Mary,928
 WY , M ,1977.0,John,11
WY,M,1939.0,John,13
 WY ,F,1962.0,Taylor,27
WY,,1973.0,James,351
WY,M,2000.0,James,366
WY,M,1950.0,Robert,64
WY,M,1987.0,John,152
WY,M,1977.0,Taylor,653
WY,F,1965.0,Mary,219
WY,M,1923.0,Michael,141
WY, F ,1963.0,,301
WY,M,2011.0,Taylor,
WY,F,1960.0,Linda,28
WY,F,1998.0,Linda,338
 WY ,F,1992.0,Casey,257
WY,F,1922.0,Patricia,82
,M,,James,168
WY,F,,jordan,83
WY, F ,1966.0,Jordan,651
WY,M,1936.0,Robert,284
WY,F,2014.0,Jordan,23
WY,M,2008.0,Jordan,37
WY,M,1931.0,Taylor,127
WY, M ,2007.0,Alex,415
WY,M,1944.0,Robert,70
WY,M,1943.0,John,28
WY,M,,James,580
WY,F,,Patricia,353
WY,F,1942.0,Mary,7
WY,M,1934.0,Robert,41
,F,1975.0,Jordan,650
WY, M ,2009.0,Robert,791
WY,M,1986.0,Taylor,1292
WY,M,2008.0,Taylor,96
WY,,1927.0,Alex,18
WY,F,1965.0,Jordan,874
WY,M,1981.0,John,143
WY,F,1998.0,Mary,62
WY,M,1974.0,James,278
WY,F,1981.0,Alex,143
