state,sex,year,name,count
AK,F,1953.0,,307
AK,M,1937.0,Michael,84
AK,M,1952.0,Taylor,6
AK,M,1960.0,Michael,116
AK,M,2002.0,Robert,456
AK,M,1923.0, Michael ,27
AK, F ,2000.0,Linda,293
AK,F,1916.0,Linda,6
AK,F,1936.0,Mary,7
AK,F,,Jennifer,373
AK,M,1997.0,Robert,
AK,M,1980.0,,193
AK,F,1956.0,Patricia,861
AK,M,1916.0,Patricia,15
AK, M ,2022.0,,80
AK,F,1997.0,John,176
AK,M,1910.0,Jordan,6
AK, M ,2003.0,Jordan,47
 AK , M ,1985.0, John ,224
 AK ,F,1955.0, Taylor ,35
AK,M,1981.0,Mary,85
AK,M,2016.0,Michael,51
 AK ,F,1972.0,jennifer,185
 AK ,M,1981.0,Jordan,424
AK,F,1970.0,Alex,486
AK,F,1975.0,Linda,36
AK,F,1994.0, Patricia ,409
AK,F,1927.0,Jennifer,91
AK,F,1980.0,Patricia,552
AK, M ,,Jordan,72
AK,M,1912.0,alex,91
AK, F ,1912.0,patricia,6
AK, M ,1916.0,Taylor,78
AK,M,1926.0,Robert,21
AK,M,2016.0,Jordan,8
AK,F,1996.0,John,90
AK,F,1952.0,Jennifer,37
AK,F,1979.0,Jennifer,106
AK,M,1971.0,Taylor,39
 AK ,M,1986.0,Jordan,208
AK,F,2009.0,Taylor,24
AK,M,2002.0,Michael,278
AK,F,1966.0,Casey,
AK,M,1994.0,Casey,200
AK, F ,1916.0,,73
AK,F,1976.0,Casey,298
AK,F,1960.0,Jordan,331
,F,1968.0,Linda,
AK,M,1943.0,Robert,24
AK,M,1974.0,Casey,516
AK,M,2011.0, Jordan ,184
AK,,1983.0,Taylor,761
AK,F,1938.0,,51
AK,F,2013.0,Alex,
AK,M,1955.0,Jordan,
AK,M,1970.0,Michael,367
AK,F,2011.0,James,41
,F,2015.0,Jennifer,44
AK,F,1940.0,Casey,
AK,M,1957.0, Jordan ,9
 AK ,,1998.0,James,158
AK,F,2009.0,Mary,617
AK,F,1973.0,Robert,67
AK,F,2020.0,Alex,9
AK,,1977.0,Jordan,50
AK,F,1946.0,Taylor,161
AK,M,1941.0,Casey,67
AK,F,1941.0,Casey,310
AK,M,1980.0,James,
AK,F,1924.0,Jordan,
AK,M,,Alex,10
AK,F,1983.0,Patricia,379
 AK ,M,2001.0,James,114
AK,F,1928.0,Linda,165
AK,F,1926.0,Alex,6
AK,,1969.0,Taylor,169
,F,,Alex,28
AK,F,1993.0,Casey,16
AK,M,1991.0,Michael,81
AK,F,1995.0,Taylor,301
,F,2021.0,Michael,37
AK,M,1932.0,Robert,142
 AK ,F,2002.0,Mary,107
AK,M,1945.0,James,360
AK,M,1955.0,Taylor,782
AK,F,1994.0,Linda,210
AK, F ,1971.0, Linda ,
AK,M,,Alex,95
AK,F,1934.0,Jordan,38
AK,M,2022.0,Alex,34
AK,M,1958.0,,669
AK,M,1996.0,Taylor,1012
AK,F,1985.0,Casey,166
,F,1985.0,Alex,952
AK,M,1945.0,taylor,41
AK, F ,1932.0, Jordan ,203
AK, M ,2010.0,Michael,159
AK,F,1984.0,Mary,357
AK,F,,Mary,
AK,M,2019.0,Michael,54
 AK ,F,1975.0,Taylor,312
AK,F,2020.0,linda,964
AK,M,1958.0,James,251
AK, M ,1965.0,James,79
AK,F,1997.0,Alex,157
AK,F,1990.0,Patricia,77
AK,M,2002.0,taylor,97
AK,M,1946.0,Michael,521
AK, F ,1967.0,Patricia,148
AK,F,1929.0,Alex,6
AK,F,1980.0,Casey,769
AK,F,2010.0,Taylor,7
AK,M,1972.0,James,800
AK, F ,1935.0,Patricia,77
AK,M,,Jordan,19
AK,F,,taylor,1223
AK,F,1998.0,Taylor,557
AK,F,1923.0, Linda ,61
AK, F ,1956.0,Mary,726
AK,M,1989.0,Jordan,161
AK,M,1992.0,John,557
AK,M,2022.0,Casey,9
AK,M,1991.0,Taylor,230
AK,M,2021.0,James,10
AK,M,1993.0,John,
AK,F,1935.0,Casey,400
 AK ,M,1951.0,Alex,18
 AK ,F,2003.0,Taylor,7
AK,M,1933.0,Jordan,19
 AK ,M,1956.0,John,231
AK,M,1948.0,Michael,7
AK,M,2008.0,Jordan,488
AK,F,1917.0,Jordan,69
AK,F,,,451
AK,,1971.0,Casey,414
AK,F,1968.0,Taylor,369
AK, F ,,Patricia,540
AK,F,,Michael,76
AK,F,2008.0,Casey,345
,M,1971.0,Jordan,310
AK, M ,2017.0,James,98
AK,M,1954.0,Casey,8
AK,F,1980.0,Linda,94
AK, M ,1963.0,James,104
AK,M,2004.0,,227
 AK ,F,1929.0,Jordan,185
AK,M,1951.0,James,261
AK,M,1978.0,John,94
,F,2001.0,Casey,811
AK, F ,1952.0,Jordan,122
AK,F,2022.0,Taylor,37
AK, M ,1960.0,Taylor,398
AK,F,2017.0,Alex,7
AK,M,1939.0,Casey,482
AK,F,2001.0,Jennifer,211
AK,M,1984.0,Michael,396
AK,F,2011.0,Jordan,409
AK,M,,James,289
AK,M,2010.0,Taylor,721
AK,F,1951.0, Taylor ,760
AK,F,1991.0,Taylor,749
AK,M,1986.0,Robert,355
AK,M,1979.0,John,176
AK,,,Michael,776
AK,F,2015.0,Alex,17
AK,M,1997.0,Jordan,321
AK,M,1993.0,Patricia,
AK,M,2003.0, Taylor ,922
 AK ,M,1974.0,Taylor,552
AK, F ,1920.0,Mary,7
AK,M,1992.0,james,288
AK, M ,1993.0,Jordan,680
AK,F,1959.0, Jennifer ,
AK,F,1988.0,,911
AK,M,1913.0,robert,22
AK, F ,1982.0,Alex,362
AK,F,1985.0,Taylor,472
AK,F,1939.0,Mary,6
AK,M,1919.0,Alex,39
AK,M,1992.0,james,288
AK,F,2000.0,Taylor,751
,F,1990.0,Linda,294
AK,F,1973.0,Alex,
AK,F,1973.0,Linda,
AK,F,1999.0,Taylor,13
AK,M,1982.0, Michael ,227
AK,F,2022.0,Linda,
AK,M,1976.0,Casey,78
AK,M,1949.0,taylor,36
AK,F,2003.0,Jordan,39
AK, M ,1921.0,James,21
AK, F ,1949.0,Alex,245
AK,M,1996.0,Robert,457
AK,F,1949.0,Linda,910
AK,F,1996.0,Linda,144
AK,F,1965.0,Patricia,640
AK,F,1968.0,Alex,554
,F,1951.0,Patricia,49
AK,F,1960.0,Linda,200
AK, M ,1941.0,Alex,85
AK,M,1992.0,Casey,157
AK, M ,1980.0,Michael,96
AK,F,1988.0,Jordan,821
AK,M,1978.0,Taylor,346
AK,F,1913.0, Jordan ,9
AK,M,2006.0,James,11
AK,F,1932.0,Taylor,76
 AK , F ,2008.0, Patricia ,287
AK,F,1984.0, Linda ,735
AK,M,2003.0,Robert,758
AK,F,1950.0,Mary,90
AK,M,1968.0,Michael,487
AK,M,1955.0,James,35
AK,F,1934.0, Taylor ,11
AK,M,1957.0,John,285
AK,M,2005.0,Robert,66
AK,M,2008.0, Alex ,1102
AK,M,1964.0,Casey,5
AK,M,2012.0,Casey,766
AK,M,1963.0,Michael,187
AK,M,1933.0,John,443
AK, F ,2002.0,Casey,
AK,M,1957.0,James,304
AK,F,1965.0,Jordan,480
AK,F,2004.0,Taylor,76
AK,M,1950.0, Robert ,5
