STATE,SEX,YEAR,NAME,COUNT
AL,F,1995.0,Mary,50
AL, M ,1951.0,John,408
AL,M,1992.0,Jordan,77
 AL ,F,1965.0,Casey,188
,M,2007.0, Alex ,35
AL, F ,1930.0,Linda,237
AL, F ,2003.0,linda,230
AL,F,1989.0,Alex,97
AL,M,1931.0,Alex,34
AL,F,1965.0,Linda,272
AL,F,2010.0,Mary,
AL, M ,,James,
AL,F,1952.0,Jordan,73
AL,F,1955.0,Linda,57
AL,M,1918.0,Michael,15
AL,F,2012.0,Linda,110
,M,1991.0,James,142
AL,F,1946.0,jennifer,311
AL,M,1979.0,Robert,680
AL,F,1924.0,Jennifer,183
 AL ,M,1941.0, James ,5
AL, M ,2005.0,James,22
AL,F,2019.0,John,518
AL,M,1947.0,John,11
AL,M,1990.0,Taylor,606
AL,F,1976.0,Taylor,688
AL, F ,1972.0,Jordan,155
AL,F,1974.0,Mary,977
AL,F,2002.0,Taylor,742
AL,F,2015.0,Linda,89
AL,F,1915.0,Casey,8
AL,F,1942.0,Taylor,44
 AL ,,1971.0,John,417
AL,M,1986.0,John,169
AL,F,1917.0,Casey,14
, M ,1961.0,Robert,26
AL, M ,1972.0,Robert,473
 AL ,F,1986.0,Jennifer,573
AL,,2005.0,Michael,55
AL, F ,1964.0,Alex,21
AL,M,2022.0,Robert,61
AL,M,2018.0,Robert,158
AL,F,1940.0,Jordan,29
 AL ,M,1926.0,John,11
AL,M,1977.0,Casey,42
 AL ,M,1966.0,,673
AL,M,1953.0,Taylor,55
AL,,1963.0, Mary ,273
AL, M ,1978.0,Michael,8
, F ,2020.0,Casey,50
AL,F,1941.0,Mary,12
AL,F,1937.0,Patricia,9
AL,F,1962.0,John,440
AL,M,1945.0,Taylor,17
AL,F,2002.0,Jordan,584
AL,M,1962.0,James,35
AL,F,2000.0,Michael,58
AL,F,2004.0,Taylor,457
AL,M,,Michael,357
 AL ,F,1945.0,Taylor,141
AL,M,1964.0,Michael,158
 AL ,F,1965.0,Mary,566
AL, M ,1930.0,jordan,59
AL,F,1968.0,Taylor,730
AL,M,1984.0,John,1266
 AL ,M,2012.0,Michael,433
AL,M,1981.0,Casey,373
AL, M ,1961.0,John,25
AL,M,1998.0,Robert,709
AL,M,1959.0,Jordan,293
AL,F,1997.0,Jennifer,478
AL, M ,1937.0,Taylor,103
 AL , F ,2000.0,Linda,668
AL,M,1939.0,Casey,87
AL,F,1929.0,Linda,23
AL,M,1967.0,Michael,454
AL, M ,2004.0,John,624
AL,M,1974.0,James,322
,F,,Jennifer,963
AL,M,2000.0,John,128
 AL ,M,2013.0,John,531
AL,M,1950.0,Mary,599
AL,M,1910.0,Jordan,73
AL,M,2022.0, John ,11
, M ,1931.0,Jordan,7
AL,F,1992.0,Taylor,
AL,M,1985.0,Taylor,188
AL,F,,alex,595
AL,F,1963.0,Jennifer,
AL,F,1998.0,Alex,220
AL,M,2020.0,Jordan,5
AL,M,2022.0,Jordan,11
 AL ,F,2011.0,Jennifer,142
AL,M,1954.0,Casey,240
 AL ,F,1914.0, Casey ,25
AL,M,1988.0,John,1259
AL,F,1944.0,Alex,351
AL,F,1963.0, Patricia ,388
AL,M,1957.0,Jordan,344
AL,M,,Taylor,16
AL,F,2009.0,Jordan,46
AL,M,2009.0,Taylor,1027
 AL ,F,,Taylor,
AL,M,2008.0,John,353
AL, F ,1920.0,Mary,60
AL,M,2005.0,Robert,359
AL,M,1958.0,James,248
,F,2018.0,mary,16
AL,F,1944.0,Linda,
AL,M,1947.0,Taylor,6
AL,F,1986.0,jordan,559
AL,,,Mary,510
AL,M,1984.0,Robert,173
AL,M,1913.0,Robert,8
 AL ,M,2006.0,John,24
AL,F,1968.0,Linda,91
AL,F,2019.0,Linda,26
AL,F,2010.0,Taylor,23
AL,F,1942.0,Patricia,14
AL,M,1971.0,james,151
AL, M ,1989.0,Casey,156
 AL ,M,1961.0,Taylor,666
,F,,Jennifer,21
AL,M,1951.0,Michael,25
AL,F,1983.0,Patricia,76
AL,F,1954.0,Jennifer,211
AL,F,1959.0,Taylor,75
 AL ,M,1973.0,Taylor,145
,M,2019.0,Casey,308
AL,M,1991.0, Alex ,81
AL,F,,Linda,208
AL,M,2005.0,Taylor,15
 AL ,M,1999.0,James,1038
AL,F,1954.0,Mary,
AL,F,2005.0,Jennifer,445
AL,F,,Alex,258
AL,M,1994.0, John ,282
AL,F,2004.0,Casey,16
AL,M,1936.0,Michael,223
AL,F,1992.0,Mary,402
AL, M ,1916.0,Michael,37
AL,F,2009.0,Mary,520
