State,Sex,Year,Name,Count
AR,M,1926.0,Robert,104
AR,F,1922.0,James,154
AR,M,1927.0,Mary,16
AR,F,1991.0,Alex,694
AR,M,1980.0,Taylor,386
AR,F,1969.0,Jennifer,206
AR,F,1920.0,Patricia,322
AR,,1922.0,Alex,
AR,F,2011.0,Casey,617
AR,M,1962.0,Casey,648
AR,,2003.0,Patricia,55
AR,F,1973.0,jennifer,506
AR,M,1956.0,,43
AR,F,1974.0,jennifer,955
AR,F,2010.0,Jennifer,104
AR,M,2016.0,,69
AR,F,2018.0,jordan,354
AR,F,1975.0, Patricia ,249
AR,F,1930.0,Patricia,98
AR,M,1977.0,Michael,571
AR,F,1994.0,Patricia,408
AR,F,2013.0,,18
AR,M,1945.0,Jordan,479
AR,M,2003.0,Jordan,
AR,,1984.0,Casey,623
AR,M,1959.0,,18
 AR ,M,1952.0,John,28
AR,F,1965.0,Mary,39
AR,F,1928.0,Jennifer,279
AR,F,1989.0,Taylor,110
AR,M,2018.0,Robert,340
AR,F,1953.0,Mary,457
AR,M,,John,63
AR,M,1959.0,James,869
AR,M,1922.0,James,51
AR,F,1975.0,Taylor,154
AR, F ,2018.0,Patricia,390
AR,M,1980.0,,476
AR,M,1997.0,Casey,161
AR,M,1939.0,Jordan,70
AR,M,1932.0, Casey ,167
 AR ,M,1943.0,Michael,149
AR,F,1989.0,Michael,256
AR,M,1977.0,John,263
,,2020.0,,10
AR,F,1936.0,Mary,13
AR,F,1922.0,Casey,36
AR,F,2006.0,,
AR,M,1984.0,Robert,726
AR,F,2016.0,Jordan,88
AR,M,2016.0,Jordan,201
AR,,1960.0,Alex,
,M,1996.0,John,11
AR,F,1985.0,Jordan,219
AR,F,2000.0,Mary,
AR,F,1948.0,,384
 AR ,M,1974.0,Alex,36
AR,M,1989.0,,422
AR, F ,1933.0,,7
AR, M ,1940.0,Casey,34
AR,F,2009.0,Casey,89
AR,M,2015.0,Jordan,7
AR,M,2004.0,Mary,645
AR,M,2001.0,Michael,23
AR,F,2003.0,Linda,9
AR,F,1943.0,,131
AR,F,1980.0,Jennifer,168
AR, F ,2012.0,Taylor,647
AR,F,1947.0,Mary,160
AR,F,1977.0,Jennifer,768
AR,F,1922.0,Jordan,35
AR,,2022.0,Alex,44
AR,F,1924.0,Mary,43
AR,F,1983.0,alex,
AR,M,1969.0,Robert,468
AR,M,2011.0,John,558
AR,M,1964.0,Jordan,29
AR,,1985.0,John,268
AR,F,1934.0,Alex,
AR,M,1948.0,James,
,F,,Taylor,23
AR,F,2003.0,Alex,189
AR, M ,2002.0,James,108
AR,M,1971.0,Linda,
AR,F,1960.0,Casey,42
AR,F,1980.0,Alex,459
AR, M ,1920.0,James,108
AR,M,2000.0,Casey,166
AR,F,1966.0,Linda,10
AR,F,,Michael,21
 AR ,M,1977.0,Taylor,555
AR,F,1911.0,Jordan,10
AR,M,1935.0,James,70
AR,M,1958.0,James,663
AR,M,1917.0,Michael,88
AR, M ,1984.0,Jordan,286
AR,F,1957.0,Jordan,80
AR,M,2008.0,Michael,348
AR,F,1997.0,Alex,801
AR,M,1915.0,Robert,8
AR,M,1994.0,James,442
AR, M ,1944.0,Alex,21
AR,F,1966.0,Jordan,364
AR,F,1913.0,Mary,44
AR,M,1926.0,Jordan,102
,F,1990.0,Patricia,520
AR,,1978.0,Alex,264
 AR ,M,1986.0,John,268
AR,M,1927.0,James,14
AR,F,,Alex,468
AR,M,1958.0,Mary,189
,M,1969.0,James,356
AR,F,1936.0,Jennifer,
AR,M,1993.0, Taylor ,68
AR,M,1997.0, Alex ,56
AR,M,1962.0,Jordan,591
AR,F,1996.0,Patricia,467
AR,F,1935.0,Alex,107
AR,F,2008.0,Jennifer,65
AR, F ,,Mary,55
AR, M ,1994.0,Michael,831
AR,M,1966.0,Mary,627
AR, M ,2001.0,,99
AR,M,1995.0,James,239
AR,M,2002.0,Michael,501
AR,M,2019.0,Robert,59
AR,F,1988.0,Alex,106
AR,M,1947.0,John,61
AR,M,1921.0,John,10
AR,F,1958.0,Taylor,334
AR,F,1979.0,Casey,647
AR,F,2006.0,Taylor,336
AR,M,,Taylor,222
 AR ,F,1947.0,Patricia,310
AR,M,1990.0,Robert,96
 AR ,M,1982.0,taylor,455
AR,M,1988.0,Casey,83
AR,M,,John,383
AR, F ,1954.0,Jennifer,538
 AR ,M,1949.0,Jordan,180
AR,F,1946.0,Casey,
AR,,1951.0,Taylor,10
AR,F,1930.0,Jennifer,
AR,M,2013.0,John,936
AR,F,1955.0,Jordan,80
 AR ,F,1916.0,Jordan,5
 AR ,F,1982.0, Taylor ,74
AR,M,1938.0,robert,96
AR,F,2016.0,Alex,9
AR,M,2012.0,Alex,
AR, F ,1972.0,James,1219
AR,F,1944.0,taylor,528
AR,F,1955.0,Mary,584
AR, M ,1929.0,John,
AR,M,1996.0,Jordan,200
AR,F,2001.0,Patricia,656
 AR ,F,,Jennifer,451
AR,F,1965.0,Casey,679
AR,F,1927.0,Linda,159
