State,Sex,Year,Name,Count
AZ,M,1965.0,Michael,453
AZ,F,1956.0,,7
AZ,F,1986.0,Jennifer,218
AZ,M,1965.0,Jordan,1019
AZ, M ,1943.0,Alex,324
 AZ ,F,1963.0,Jordan,
AZ,M,1942.0,Taylor,23
,F,1945.0,Jordan,48
AZ,F,1982.0,Taylor,241
AZ,F,1941.0,Casey,49
AZ, F ,1931.0,,357
AZ,M,1964.0,Robert,338
AZ,M,1966.0,Patricia,338
AZ,M,,Alex,108
AZ,F,1997.0,Casey,365
AZ,,2004.0,John,68
AZ,M,1947.0,Casey,25
AZ,F,1955.0,Taylor,203
AZ,F,1965.0,Patricia,569
AZ,F,, Taylor ,823
AZ,F,1942.0,Jordan,47
AZ,F,2002.0,Casey,168
AZ,F,2015.0,Jennifer,728
AZ,M,,,279
AZ,M,1996.0,Alex,553
AZ,F,1945.0,Michael,5
AZ,,1992.0,Taylor,522
AZ, M ,1969.0,Jennifer,426
AZ,F,2016.0,Patricia,58
AZ,M,1956.0,Casey,6
AZ,F,1987.0,Casey,
AZ,F,2004.0,Casey,356
AZ,F,,Jordan,6
AZ,F,1988.0,Casey,20
AZ,F,1990.0,James,302
AZ,F,1990.0,Alex,138
AZ,,1944.0,Alex,111
AZ,F,1984.0,Jordan,84
AZ,,1913.0,Alex,14
AZ,F,1994.0,Linda,92
 AZ ,M,1940.0,Jordan,13
AZ,F,1933.0,Alex,5
 AZ ,M,1957.0,Alex,267
AZ,F,1917.0,Linda,5
AZ,F,2003.0,Taylor,30
AZ,F,1971.0,John,325
 AZ ,F,2020.0,Alex,89
AZ,M,1999.0,Michael,189
AZ,F,1963.0,Patricia,7
AZ,F,1942.0,Patricia,56
AZ,M,2010.0,Taylor,6
AZ,F,1976.0,Alex,142
, F ,1960.0,Casey,23
AZ,F,1980.0,Linda,170
AZ,,1993.0, Patricia ,425
AZ,M,1918.0,Jordan,8
AZ,M,1968.0,James,438
AZ,M,1964.0,Mary,1301
AZ, F ,1937.0,Taylor,8
AZ,M,1960.0,Jordan,
AZ,F,,Linda,130
AZ,M,1983.0,Michael,200
AZ,M,1960.0,Casey,512
AZ,F,1977.0,Linda,642
AZ,M,1963.0,Michael,213
AZ,M,1938.0,Alex,20
AZ,F,1929.0,Casey,213
AZ,M,1968.0,Casey,435
AZ,M,1975.0,John,238
AZ,F,1981.0,Jennifer,1055
 AZ ,M,2013.0, Robert ,
AZ,M,1973.0,Casey,
 AZ ,F,,,174
AZ, M ,1960.0,Alex,671
AZ,F,1981.0,Alex,393
AZ,F,1959.0,Alex,387
,F,1933.0,Jennifer,33
AZ,F,1957.0, Jennifer ,16
AZ,M,, Casey ,757
AZ,M,1974.0,Jordan,257
AZ,F,2000.0,Jordan,41
 AZ , M ,1953.0,Michael,20
AZ,M,1981.0,Michael,
AZ, M ,1926.0,Jordan,111
AZ,F,1938.0,Jordan,366
AZ,,1997.0,Robert,541
AZ,F,1947.0,Taylor,1121
AZ,M,1995.0,James,213
AZ,F,1957.0,,898
AZ,M,1912.0,Alex,
AZ,F,1971.0,Casey,344
AZ,M,2020.0,John,31
AZ,F,1982.0, Casey ,314
AZ,M,1949.0,Michael,17
AZ, F ,1960.0,Mary,206
AZ,F,1935.0,Alex,5
AZ,F,2012.0,Alex,15
AZ,M,1985.0,John,90
AZ,M,1995.0,,36
AZ,F,1977.0,alex,385
AZ,F,1959.0, Jennifer ,122
AZ, M ,1968.0,Michael,132
AZ,M,1929.0, Michael ,620
 AZ ,F,1935.0,Mary,18
AZ,M,2008.0,Alex,152
AZ,M,1993.0,taylor,167
AZ,M,1988.0,John,531
AZ,F,1964.0,Taylor,158
AZ,M,2002.0,James,25
 AZ ,F,2005.0,Jennifer,177
AZ,M,2004.0,Robert,309
AZ,M,1992.0,Alex,855
, M ,1994.0,michael,178
AZ,M,1997.0,Taylor,260
 AZ ,,1965.0,Alex,233
AZ,M,2013.0,John,211
AZ,M,1932.0,John,48
,M,1947.0,,101
,M,1948.0,,5
AZ,F,1974.0,Linda,333
AZ,M,1943.0,John,10
AZ,M,1938.0,Alex,20
AZ,M,1939.0,Robert,32
 AZ ,M,1934.0,Alex,64
AZ,F,2014.0,John,21
AZ,F,1962.0,Mary,110
AZ,M,1946.0,Michael,82
AZ,M,1926.0,John,11
 AZ ,F,1997.0,Taylor,59
AZ,M,1929.0,Taylor,5
AZ,F,1964.0,Casey,344
AZ,M,,Jordan,123
AZ,M,1914.0,Jordan,19
 AZ ,F,1957.0,Jordan,49
AZ,M,1942.0,Alex,62
AZ,M,2007.0,Michael,326
AZ,M,2011.0,Alex,670
AZ,,1970.0,john,185
AZ,M,1936.0,,8
AZ,M,1979.0,Robert,549
AZ,F,1973.0,Taylor,934
AZ,F,2002.0,John,70
 AZ ,M,1988.0,Robert,886
AZ,M,1990.0,Alex,211
AZ,,1933.0,Mary,522
 AZ ,M,2021.0,Robert,159
,F,,Mary,213
 AZ ,F,1973.0,Jordan,959
AZ,F,1948.0,,6
AZ,M,1928.0,John,30
AZ,F,2021.0,Mary,102
AZ,M,1996.0,Robert,744
AZ,M,1943.0,,51
AZ,F,2022.0,,5
AZ,F,1985.0,Linda,
AZ,M,1925.0,James,252
AZ,M,2003.0,James,491
AZ, F ,1984.0, Casey ,984
AZ,M,1979.0,James,268
AZ,,1962.0,Michael,53
AZ, M ,1982.0,Alex,147
AZ,F,2006.0,Patricia,64
AZ,M,1998.0,Robert,1091
AZ,F,1928.0,Jennifer,6
AZ,F,1967.0,Jordan,444
AZ,F,2017.0,Jordan,156
 AZ , M ,1960.0,Taylor,584
AZ,F,1934.0,,89
AZ,,1989.0,jordan,35
AZ,F,1995.0,Jennifer,685
AZ,F,1919.0,Alex,45
AZ,F,2006.0,Alex,19
AZ,M,1963.0,John,994
 AZ ,M,1946.0,Taylor,365
 AZ ,F,1963.0,Taylor,375
AZ,F,1989.0,Alex,438
,M,1952.0,taylor,50
AZ,F,2009.0, Linda ,141
AZ,F,,Mary,394
AZ,F,1965.0,,506
AZ,F,1989.0,Taylor,364
AZ,F,1962.0,Michael,241
AZ,F,1965.0,Taylor,195
AZ,F,1969.0,Jordan,
AZ,F,1946.0,Jennifer,51
AZ,F,2003.0,mary,102
AZ,F,1938.0,Alex,16
AZ,M,1937.0,Michael,15
AZ,F,2003.0,,313
AZ,F,2009.0,Jennifer,348
AZ,F,1978.0,Michael,595
AZ,F,1971.0,Alex,120
AZ,F,1939.0,Jordan,12
AZ, M ,1954.0,John,298
AZ,M,1976.0,Taylor,615
AZ,M,1928.0,James,229
AZ,M,1921.0,John,
AZ,M,1984.0,Casey,657
AZ,F,2007.0,Taylor,24
AZ,M,2021.0,John,28
AZ,M,1939.0,Jordan,80
AZ,M,2005.0,Michael,147
AZ,F,1967.0,Taylor,190
AZ,F,2007.0,,28
AZ,F,1918.0,Alex,12
AZ,F,1958.0,Casey,397
AZ,M,1998.0, John ,1111
AZ,M,1988.0,Casey,247
AZ,F,1958.0,Mary,108
AZ,F,1970.0,jennifer,99
AZ, F ,1962.0,Casey,664
,M,1970.0,Casey,104
AZ,F,1913.0,,13
AZ,,1943.0,Patricia,
AZ,F,2018.0,Linda,55
AZ,M,1954.0,,430
AZ,M,1971.0,Taylor,793
AZ, F ,2019.0,Patricia,499
 AZ ,F,1949.0,Michael,333
AZ,M,1991.0,Michael,47
AZ,F,2018.0,Patricia,541
AZ, M ,2015.0,John,150
AZ,M,1995.0,Taylor,94
AZ,M,1928.0,Jennifer,32
AZ,M,1964.0,Casey,705
 AZ ,M,1957.0,,54
AZ,M,1917.0,Casey,5
AZ,F,2021.0,Taylor,27
AZ,M,1950.0,James,199
AZ,F,1911.0,Robert,9
 AZ ,F,1968.0, Casey ,553
AZ,F,2016.0,Jordan,49
AZ,,1963.0,Casey,28
AZ, F ,,Jordan,815
 AZ ,F,1918.0,Mary,104
AZ,M,1974.0,james,169
 AZ ,M,1978.0,Casey,188
 AZ ,F,1958.0,Taylor,67
AZ,F,,Robert,56
AZ,F,1971.0,Linda,1418
 AZ , F ,1991.0, Casey ,1142
AZ,F,1976.0,Taylor,549
AZ,F,2010.0,Patricia,803
AZ,F,2005.0,Linda,
AZ,M,1979.0,Taylor,586
AZ,F,1983.0,Alex,44
AZ,M,2018.0,James,38
AZ, F ,1991.0,Taylor,319
AZ,F,1939.0,Casey,
AZ, F ,1950.0,Taylor,66
AZ,F,2012.0,Casey,136
AZ,F,1921.0,Taylor,
AZ,F,1925.0,Jennifer,21
AZ,M,1934.0,Jordan,119
,M,1987.0,James,140
AZ,F,1996.0,Casey,303
AZ,M,1929.0,Robert,182
AZ,M,1940.0,linda,541
AZ,M,1989.0,Alex,1112
AZ,,2015.0,Alex,76
AZ, M ,1963.0,Jordan,74
AZ,F,1979.0,Mary,154
AZ,F,1960.0,Jennifer,305
AZ,F,2009.0,Casey,60
AZ,F,1966.0,Linda,5
AZ,F,1966.0,Casey,506
AZ,M,, James ,213
