stateCode,gender,birthYear,firstName,numOccurrences
CA,M,1934.0,John,64
CA,F,1995.0,Mary,816
CA,F,1963.0,Linda,496
CA,M,1970.0,Michael,247
 CA ,F,1959.0,Mary,668
CA,M,1994.0,James,943
,F,1929.0,James,75
CA, F ,1936.0, Casey ,371
 CA ,F,2011.0,Patricia,298
CA,F,2003.0,Mary,75
CA,M,2019.0,,47
CA,M,1929.0,Robert,509
CA,M,1967.0,Taylor,516
CA,F,2003.0, Jennifer ,54
CA, M ,1920.0,James,359
CA,M,1930.0,John,128
 CA , M ,2017.0,Taylor,8
,,1915.0,Taylor,32
CA,F,2009.0,Jordan,34
CA,M,1966.0,Alex,590
CA,M,1966.0,Jordan,162
CA,M,1950.0,Michael,76
CA,M,1910.0,Robert,11
CA,F,1986.0,Linda,287
CA,F,1946.0,Jordan,215
CA,F,,Taylor,34
CA, M ,1981.0,Alex,84
CA, M ,2003.0,Casey,29
CA,M,1971.0,Robert,264
CA,M,1961.0,Jordan,11
CA,F,1968.0,Linda,458
CA,M,2010.0,Jordan,77
CA,F,1981.0,Patricia,57
CA,F,1927.0,Taylor,37
CA,F,1954.0,Jordan,853
CA,F,2020.0,alex,244
CA,F,1998.0,Jennifer,65
CA,,1983.0,john,108
CA,F,1928.0,Casey,139
CA,M,1949.0,Alex,126
CA,M,1931.0,Jordan,145
CA, M ,1924.0,Jordan,52
CA,F,1947.0,Mary,278
 CA ,M,1986.0,casey,
CA,F,2005.0,casey,460
CA,M,1989.0,Taylor,198
CA,M,1945.0,James,
CA,F,1988.0,,315
 CA ,F,1923.0,Taylor,165
 CA ,F,1935.0,Patricia,38
CA,,2004.0,Linda,143
CA,F,1985.0,Jennifer,
CA,F,1959.0,Taylor,84
 CA ,,2010.0,Jennifer,605
CA,M,2013.0, Robert ,159
CA, F ,1968.0,Jordan,537
CA,F,1969.0,Alex,104
CA,F,2015.0,Mary,53
CA,F,2018.0,Taylor,
CA,M,,Alex,359
CA, M ,1977.0,James,596
CA,M,1968.0,Michael,757
CA,M,1922.0,Jordan,39
CA,F,1955.0,Patricia,44
 CA ,F,1998.0,Casey,66
CA,M,1991.0,,616
 CA ,F,1960.0,jennifer,402
CA,M,2005.0,taylor,194
CA,M,1996.0,Robert,127
CA,M,1933.0,Jordan,135
CA,F,1971.0,Linda,518
CA,F,2018.0,Linda,361
CA,M,1976.0,Jordan,52
CA,M,1985.0,Michael,311
 CA , F ,2007.0,Linda,
CA,F,1983.0,Casey,581
,M,2011.0,Robert,360
CA,M,2002.0,James,203
CA,M,2005.0,Casey,261
CA,F,,alex,88
 CA ,M,2009.0,James,129
CA,M,,Casey,128
CA,F,1925.0,Alex,9
CA,F,1981.0,Casey,211
 CA ,M,1954.0,Casey,1087
CA,M,1952.0,Casey,373
,M,1948.0,Casey,10
CA,M,1910.0,James,69
CA,M,1918.0,Casey,8
 CA ,M,1973.0,Taylor,234
CA, M ,1933.0,Jennifer,64
CA,F,1916.0,Casey,52
, M ,1935.0,Jordan,90
CA, M ,1966.0,James,38
 CA ,M,1957.0,James,446
 CA ,M,1942.0,James,71
CA,F,2002.0,Alex,236
CA,F,2001.0,Casey,52
CA,F,,Linda,186
CA,M,1994.0,Michael,60
CA,M,1971.0,Mary,
CA,F,1927.0,Casey,
CA,M,,Taylor,27
CA,F,1966.0, Jennifer ,61
CA,F,1973.0,Alex,605
CA,F,,Jordan,216
CA,M,1942.0,Michael,189
CA,F,1950.0,Jennifer,319
CA,F,2002.0,Jennifer,33
,,2014.0,Taylor,15
CA,M,1984.0,Casey,275
CA,M,1992.0,Jordan,84
