stateCode,gender,birthYear,firstName,numOccurrences
CO,M,1956.0,taylor,209
CO,F,1929.0,Alex,233
CO,F,2008.0,Mary,166
CO,F,1970.0, Patricia ,901
CO,F,1980.0,Taylor,438
CO,F,1969.0, Jordan ,887
CO,M,1976.0,Jordan,334
CO,F,1922.0,Casey,207
CO,F,1944.0,Mary,5
CO,M,1996.0,Robert,545
CO,F,1953.0,Jordan,13
CO, M ,2002.0,Alex,30
CO,F,1945.0,Mary,6
CO,M,1981.0,Robert,115
CO,M,2018.0,James,329
CO,M,2012.0,John,368
CO,M,1955.0,taylor,8
CO,F,1950.0,John,211
CO, F ,1996.0,Mary,84
,,1995.0,Casey,95
CO,,1927.0,Casey,72
CO,F,1916.0,Casey,5
CO,M,1926.0,Robert,25
CO,F,1936.0, Linda ,369
CO,M,1974.0,Alex,352
CO,F,1986.0,Taylor,33
CO,F,1974.0,Jennifer,173
CO,M,2005.0,Robert,
 CO , F ,2016.0,Taylor,31
CO,,1983.0,Jordan,221
,F,,Linda,595
CO,M,2020.0,casey,9
CO,M,2020.0,Michael,
CO,M,1969.0, Michael ,16
CO,F,1976.0,Patricia,176
CO,F,1952.0,Jordan,61
 CO ,F,2015.0,Mary,189
CO,M,1947.0,James,12
 CO ,F,1941.0,Michael,14
CO,M,1939.0,,
CO,F,1950.0,Jennifer,135
CO,F,1969.0,Mary,159
 CO ,F,1921.0,Mary,57
 CO ,M,1979.0,Michael,102
CO,F,1932.0,Jordan,246
CO, M ,1986.0,Jennifer,229
CO, M ,1960.0,James,124
CO,M,1917.0,James,21
CO,M,1911.0,Taylor,34
CO, M ,2017.0,John,762
CO,F,1984.0,Linda,538
,M,2006.0, Robert ,113
CO,M,1956.0,Alex,70
CO,,1982.0,John,158
CO,M,1998.0,Taylor,358
 CO ,F,1924.0,Mary,47
CO,,1979.0,Alex,50
CO,M,1914.0,Casey,16
CO,F,1971.0,jennifer,321
CO,M,1947.0,Alex,364
CO,F,1921.0,Patricia,63
CO,F,1975.0,Jennifer,158
CO,M,1996.0,James,72
CO, F ,1938.0,Mary,116
CO,M,1980.0,Taylor,23
CO,M,2001.0,James,36
CO,F,2000.0,Patricia,143
CO,M,1989.0,James,701
CO,F,1919.0,Alex,18
CO,F,1961.0,Casey,149
CO,M,1985.0, Jordan ,76
CO,F,1920.0,Jennifer,45
CO,M,1934.0,Robert,8
CO,M,1986.0,James,97
CO,F,1951.0,Jennifer,507
CO,M,1997.0,Casey,
CO,F,1975.0,James,121
CO,F,1945.0,Linda,192
,M,1970.0,Linda,383
CO,M,2009.0,Jordan,791
CO,M,1915.0,Robert,32
CO,F,1944.0,,8
CO,M,1962.0,Alex,68
CO,F,1944.0,Alex,662
CO,M,1944.0,Robert,148
CO,M,,,22
CO,M,1924.0,Robert,15
CO,F,1994.0,Casey,42
CO,M,2018.0,Jordan,366
CO,M,2006.0,Taylor,254
CO,F,1986.0,Linda,776
CO,M,1924.0,Alex,24
CO,F,1960.0,Patricia,146
CO,M,1977.0,Alex,510
CO, M ,1992.0,Alex,860
CO,F,1965.0,Mary,588
CO,F,2006.0,Mary,47
CO,M,1984.0,Michael,483
 CO ,M,2003.0,Robert,68
CO,M,1977.0,James,236
CO,M,,Casey,9
CO,F,1968.0,Linda,
CO,M,2015.0,Jordan,48
CO,M,,Robert,187
CO,F,1995.0,Jordan,
CO,M,1952.0,,192
CO,M,1948.0,,643
CO,M,1958.0,,400
CO,F,1996.0,Jennifer,540
CO,F,1972.0,Mary,681
CO,M,2015.0,John,81
CO,M,1931.0,John,5
 CO ,M,2021.0, Jordan ,24
CO,M,1948.0,John,100
CO,M,1936.0,Taylor,43
CO,F,1964.0,Jennifer,416
CO,F,1977.0,Mary,188
CO,F,2002.0,Linda,76
 CO ,M,1970.0,James,38
,M,1944.0,Casey,435
CO,M,1942.0,Casey,351
CO, M ,2018.0,Taylor,495
CO,F,1946.0,Jordan,156
 CO ,F,1975.0,Jordan,342
