stateCode,gender,birthYear,firstName,numOccurrences
CT,M,2021.0,,19
 CT ,M,1927.0,Casey,34
CT,M,1962.0,Alex,112
CT,,1945.0,Patricia,44
CT,M,2015.0,Alex,14
CT,F,1924.0,,7
 CT ,F,2017.0,Casey,92
CT,M,1927.0,John,58
CT,M,1931.0,Michael,5
CT,M,1939.0,casey,22
CT,F,1930.0,Taylor,88
CT, F ,1944.0,Jennifer,35
CT,M,1990.0,Taylor,120
CT,F,1967.0,Linda,212
CT,M,1982.0,Robert,292
CT,M,1943.0,Linda,
CT,M,1983.0,Michael,779
CT,M,2002.0,casey,725
CT, M ,1921.0,John,25
,F,1999.0,Alex,266
CT,F,1984.0,Taylor,593
CT,F,,Patricia,739
,F,2005.0,Alex,
CT,,,Patricia,13
CT,F,1996.0,Patricia,198
CT,M,1957.0,Casey,151
CT,F,1937.0,Alex,118
CT,M,1943.0,John,16
 CT ,F,1974.0,Mary,
CT,M,2013.0,Michael,46
CT,M,1949.0,,15
CT,M,1957.0,James,618
CT,F,1974.0,Jennifer,58
CT,F,2008.0,Taylor,127
CT,M,1938.0,James,164
CT,F,1993.0,Jordan,333
CT,M,1933.0, Jennifer ,84
CT,M,2022.0,Alex,204
CT, F ,1988.0,Linda,316
,M,1989.0,Robert,67
CT,M,1999.0,Patricia,257
CT,F,1959.0,Jennifer,629
CT, F ,,Alex,340
CT,M,1912.0,Taylor,43
CT,M,2010.0,Alex,9
 CT , F ,1939.0,Taylor,5
CT,,1974.0,John,1120
CT,M,1959.0,Alex,97
CT,M,1937.0,Alex,86
CT,,1922.0,Alex,70
CT,M,1971.0,John,403
CT,F,, Jordan ,168
CT,F,1938.0,,236
CT,F,1974.0,Alex,361
CT,F,, Taylor ,21
CT,M,1994.0,Casey,104
CT,F,1982.0,Jennifer,243
CT,M,1948.0,John,198
CT,M,1953.0,Taylor,420
CT, M ,1953.0,Robert,
CT,M,1960.0,james,408
CT, M ,2022.0,Jordan,8
CT,F,1942.0,,5
CT,M,1998.0,Taylor,229
 CT ,F,1974.0,Taylor,121
CT,F,1931.0,Taylor,357
CT,M,1934.0,Taylor,5
CT,M,1950.0,Jordan,324
CT,M,1943.0,Michael,49
CT,M,1954.0,,577
CT,F,1940.0,Casey,34
CT,M,1945.0,Michael,89
CT, F ,1979.0,Casey,
CT,,1926.0,James,25
CT,F,1937.0,jordan,1041
CT,M,,Alex,115
CT,F,2008.0, Patricia ,358
CT,F,1984.0, Linda ,450
 CT ,M,2004.0,Michael,203
CT,F,1955.0,Patricia,88
CT,F,2011.0,Linda,777
 CT ,M,1987.0,James,339
 CT ,F,2014.0,Taylor,5
CT,F,2008.0, Linda ,7
CT, F ,1988.0,Casey,259
CT,M,1994.0,Michael,95
CT,M,,John,58
CT,M,1965.0,Taylor,87
CT,M,1963.0,James,343
 CT ,M,1997.0,Linda,174
