STATE,SEX,YEAR,NAME,COUNT
DC, M ,1936.0,,489
DC,F,1997.0,Mary,14
DC,F,1969.0,Jordan,306
DC,F,2014.0,Taylor,164
DC,M,1995.0,Taylor,316
DC,M,1973.0,Michael,1122
DC,F,1942.0,Alex,486
 DC ,F,1976.0,Jennifer,798
DC,F,2011.0,Linda,346
DC,M,1992.0,John,22
 DC , M ,1959.0,Alex,110
DC,M,1995.0,Casey,14
DC,F,1945.0,Jordan,78
DC,M,1999.0,Casey,117
DC,F,1933.0,Alex,11
DC,F,1962.0,Patricia,493
DC,F,2006.0,Alex,174
DC,M,1967.0,Jordan,1022
DC,M,1915.0,Alex,45
 DC ,M,1938.0,Michael,298
DC,F,1992.0,Casey,329
DC,F,1957.0,Taylor,879
DC,F,1959.0,Linda,88
DC,M,2011.0,Patricia,393
DC,F,1927.0,Linda,
DC,M,1962.0,Taylor,124
DC,F,1951.0,Alex,666
DC,F,2002.0,Mary,37
DC,F,1944.0,Casey,36
,F,1991.0,Alex,63
DC,M,1968.0,Jordan,90
DC,F,2007.0,Linda,144
DC,M,2008.0,Jordan,24
,F,1984.0,Casey,281
DC,F,1932.0,Jordan,97
DC,M,1967.0,Taylor,175
,F,1960.0,Mary,
DC,F,2020.0,Patricia,18
DC,M,1930.0,Alex,
, F ,1997.0,Linda,876
 DC ,M,,James,736
DC,F,1968.0,James,440
DC,M,,John,367
DC,F,1986.0,Linda,301
DC,M,1929.0,Jordan,6
DC,M,1969.0,Jordan,813
DC,M,,Alex,162
DC,F,2011.0,Jennifer,8
DC,M,2019.0,James,448
 DC ,F,1966.0,Linda,34
,M,2002.0,Jordan,196
DC,M,1998.0,Taylor,706
DC,F,1912.0,Mary,21
DC,M,1983.0,James,460
DC,F,1935.0,Taylor,198
DC,M,1990.0,casey,546
DC,F,2022.0,Patricia,25
DC,M,2002.0,Taylor,86
DC,F,1933.0,Jordan,32
DC,M,1950.0,James,117
DC,M,1959.0,Jennifer,115
DC, F ,1958.0,Casey,54
DC,M,1974.0,John,872
DC,M,2005.0,Taylor,92
DC,F,1996.0,Alex,338
 DC ,F,1958.0, Mary ,128
DC,M,2010.0,Casey,624
DC,M,1977.0,Jordan,160
DC,F,1977.0,Jennifer,27
DC,M,2021.0,Casey,97
DC,M,1937.0,Jordan,37
DC,M,1964.0,Jordan,449
DC,F,1917.0, Jennifer ,8
DC, M ,2005.0,james,108
DC,M,,John,60
,F,1983.0,Taylor,398
DC,M,1990.0,Michael,238
 DC ,M,1953.0,Michael,209
DC,F,1955.0,Patricia,26
,M,1993.0,,31
DC,M,2020.0,Michael,118
DC,M,1987.0,James,128
DC, M ,1944.0,James,25
DC,F,2008.0,Jennifer,461
 DC ,M,2014.0,Jordan,405
DC, M ,2000.0,Michael,435
DC, F ,2001.0,Jennifer,650
DC,M,1923.0,Michael,26
,M,1978.0,Taylor,671
DC,F,2020.0,Linda,12
DC,M,2008.0,Jennifer,108
, F ,1964.0,Casey,109
DC,,1989.0,Mary,28
 DC ,F,1957.0,,194
DC,M,2013.0,James,24
DC,F,1945.0,Michael,213
DC,M,2003.0,,694
 DC ,F,1971.0,Jordan,410
DC,F,1935.0,Jordan,9
DC,F,2006.0,Mary,108
DC,F,2009.0,John,174
DC,M,,Robert,350
DC,M,1910.0,Jordan,16
DC,F,1993.0,alex,389
DC,F,1968.0,Jordan,654
 DC ,F,1989.0,Jordan,1219
DC, F ,1979.0,Mary,103
DC,M,1950.0,Robert,468
DC,M,1959.0,Robert,7
DC,F,,Alex,12
DC,M,1987.0,Alex,
DC,,2006.0,Alex,29
DC,F,,Jennifer,47
DC,M,1984.0,James,
DC,M,2007.0,Michael,667
DC,F,2004.0,Patricia,1029
DC,,1958.0,Taylor,708
DC,F,1918.0,Taylor,13
DC,F,1937.0,Jordan,
DC,M,2004.0,Robert,16
,M,2004.0,John,17
DC,F,1985.0,Linda,129
DC,M,1989.0,robert,
,,1948.0,Linda,815
 DC , M ,1989.0,Michael,
DC,F,1968.0,Alex,
DC,M,1986.0,robert,361
DC,M,1966.0,Alex,160
DC,F,1999.0, Alex ,226
,F,1971.0,,714
DC,M,2013.0,Michael,163
DC,M,2016.0,Michael,23
DC,F,1933.0,Casey,113
DC,F,1950.0,Patricia,28
,F,1986.0,Jennifer,836
DC, F ,1975.0,Taylor,614
DC,F,2011.0,Taylor,192
DC,M,1974.0,Jordan,532
DC,,, Taylor ,670
DC,M,1983.0,michael,717
 DC ,M,2013.0, Casey ,109
DC,F,2005.0,Mary,656
DC,F,1910.0,Jordan,21
 DC ,M,2006.0,James,6
DC,F,1989.0,Jennifer,108
DC,M,1983.0,John,168
DC,,1983.0,Taylor,556
DC,F,2018.0,Mary,45
DC,M,1950.0,Michael,
DC,M,1997.0,James,527
DC,F,1924.0,Jordan,15
DC,F,1969.0,Mary,226
DC,F,1922.0,Taylor,
DC,F,2006.0,Linda,75
DC,M,1999.0,Michael,282
DC,F,1911.0,Patricia,24
DC,M,1932.0,Taylor,34
DC,F,1972.0,,1195
DC,F,2021.0,Jordan,22
DC,F,2018.0,Patricia,57
DC, M ,1958.0,Taylor,653
 DC ,M,1967.0,Casey,142
DC,F,1947.0,Taylor,8
DC,M,1961.0,Taylor,444
DC,F,2009.0,Linda,5
DC,M,1987.0,Casey,573
DC,F,1990.0,Taylor,329
DC,M,1989.0, Casey ,
DC,F,1966.0,Taylor,270
DC,F,1941.0, Alex ,645
 DC ,M,1930.0,John,21
DC, F ,1940.0,James,172
DC,M,2016.0,Taylor,14
DC,F,,Jennifer,70
DC,F,2002.0,Jennifer,34
DC,F,2016.0,Alex,85
DC,F,1991.0,Patricia,414
DC,F,1940.0,mary,256
DC,M,1952.0,Michael,37
 DC ,F,1979.0,Casey,523
DC,M,1969.0,Michael,141
 DC ,M,1940.0,Alex,49
DC,M,1951.0,Jordan,122
DC, F ,1939.0,,611
 DC ,M,1946.0,Alex,31
DC,F,1967.0,Casey,568
DC, F ,2000.0,Robert,438
DC,F,1963.0,Jennifer,631
DC,F,1943.0,Jordan,6
 DC ,F,1974.0,Jordan,473
DC,M,1934.0,Jordan,135
DC,M,2018.0,Jordan,340
DC,F,1993.0,Linda,772
DC,F,1977.0,Taylor,970
DC,F,1978.0,Jennifer,330
DC,F,1966.0, Mary ,579
DC,F,1939.0,Robert,411
DC,M,1938.0,taylor,19
DC, F ,1991.0,Taylor,545
DC,M,1973.0,Alex,777
 DC ,F,1954.0,,125
DC, F ,,Alex,29
DC,,1995.0,Robert,187
DC,M,1974.0, Michael ,270
DC,F,2015.0,Jennifer,16
DC,F,,Alex,26
DC,F,1930.0,Jordan,112
DC, F ,1992.0,Alex,282
DC, M ,1974.0,Taylor,244
 DC ,F,2011.0,Alex,524
DC,M,1935.0,Michael,119
DC,F,1950.0,Mary,1013
DC,F,2020.0,Casey,24
DC,F,1949.0, Alex ,691
DC,F,1981.0,Patricia,
DC,F,1967.0, Alex ,32
DC,M,1922.0,John,233
DC,F,1980.0,Linda,447
DC,F,1989.0,Casey,271
DC,F,2018.0,Linda,13
 DC ,F,1967.0,Jennifer,182
DC, M ,1927.0,Taylor,11
DC,M,1963.0,Jordan,
DC,F,2003.0,Alex,72
DC,M,1976.0,Alex,559
DC,,1973.0,Jennifer,1032
DC,M,1953.0,Taylor,84
DC,F,1984.0,Jennifer,895
DC,F,2005.0,Linda,29
,M,1912.0,Taylor,49
DC,F,2022.0,Jordan,
DC,M,1990.0,Alex,361
DC,M,1965.0,James,930
DC,M,1945.0,casey,246
DC,F,1922.0,Jennifer,143
DC,M,1924.0,Taylor,15
DC,M,1961.0,Casey,143
DC,M,1977.0,Taylor,404
DC,M,2009.0,Casey,98
DC,M,1938.0,Robert,20
,F,2002.0,Patricia,86
DC,M,2003.0,Taylor,124
DC,F,1962.0,Alex,5
DC,M,1980.0,Michael,
DC,M,1975.0,John,1056
DC,M,1988.0,John,169
DC,F,1974.0,Linda,538
DC,M,1972.0,,379
DC,M,1968.0,Casey,847
DC,M,1997.0,Casey,461
 DC ,M,1962.0,Casey,11
DC,M,1994.0,,8
DC,,1953.0,Alex,549
DC,F,1939.0,,90
DC,F,1983.0,Alex,376
DC,F,1964.0,jordan,307
DC, F ,1948.0,Jennifer,10
DC,M,1979.0,Jordan,222
DC,F,1996.0,Casey,131
DC,M,1916.0,James,6
DC,F,,Patricia,8
DC,F,1912.0,Jennifer,122
DC, M ,1975.0, Jordan ,199
DC,M,2008.0,Robert,534
 DC ,M,1957.0,Jordan,105
DC,F,1991.0,,106
 DC , F ,2002.0,Jordan,97
DC, F ,1979.0, Jordan ,282
,M,1972.0,Michael,668
DC,,1918.0,Jordan,8
DC,F,1943.0,casey,10
DC,M,1997.0,,53
DC,,1921.0,Casey,5
 DC ,F,,Jordan,226
DC,M,1968.0,Robert,122
DC,M,2004.0,Casey,468
,M,1959.0,Michael,186
DC,F,1942.0,Jordan,336
DC,M,1981.0,Alex,152
DC,F,1956.0,Jordan,51
DC,M,1951.0,Casey,26
DC,M,1976.0,Jordan,335
DC,F,1973.0,Mary,240
,F,1977.0,Jordan,338
,M,1972.0,Taylor,485
DC,F,1941.0,michael,
,F,2000.0, Casey ,
DC,M,1939.0,Robert,9
DC,M,1981.0,Taylor,391
DC,F,2015.0,Patricia,6
DC,F,1945.0,Casey,32
DC,M,1959.0,Casey,784
DC,M,1929.0,,12
DC,F,2015.0,Linda,231
DC,M,2017.0,Robert,7
DC,M,1964.0,Jennifer,
,,1968.0,James,29
DC, F ,2007.0,Casey,925
DC,F,1937.0,Casey,672
DC,F,1946.0,Mary,23
DC, M ,1986.0, Alex ,327
DC,F,1928.0,Mary,19
DC,M,,Robert,
DC,M,2008.0,James,7
DC,F,1988.0,Jennifer,568
DC,M,2006.0,Taylor,43
DC,F,1948.0,Mary,775
DC, M ,2021.0,Robert,243
DC,M,2015.0,Alex,89
DC,M,1963.0,James,6
DC,M,2008.0,,75
DC, M ,1995.0,Michael,
DC,F,1977.0,Robert,425
DC,M,2013.0,Robert,154
DC,M,2014.0,robert,46
 DC ,F,,Linda,12
DC,M,1969.0,Taylor,363
DC,F,1950.0,Jordan,9
DC,M,1998.0,Jordan,126
 DC ,M,2003.0,Michael,371
DC,F,2000.0,Taylor,275
 DC ,,1951.0,Mary,497
DC,F,1953.0,Jordan,47
,M,1972.0,Robert,82
DC,M,,Michael,125
DC,M,2007.0,John,
DC,F,2011.0,Mary,22
DC,M,1980.0,Alex,62
DC,M,2001.0,Jennifer,
DC,F,1961.0,Jennifer,170
DC,,2005.0,Jennifer,167
DC,M,1962.0,Michael,1072
DC,F,1990.0,Jennifer,305
 DC , M ,,Michael,574
DC, M ,1963.0,John,
DC,,1934.0,John,238
DC,F,2012.0,Mary,37
DC,F,1976.0,Alex,510
DC,M,1973.0,,
DC, M ,1994.0,Casey,53
DC,F,1981.0,Jordan,284
DC,M,1979.0,Michael,26
DC,F,1970.0,Taylor,687
DC,F,1925.0,Alex,28
DC,F,1980.0,Casey,212
DC,F,2009.0,Taylor,167
DC,M,1999.0,John,19
DC,F,1971.0,,294
DC,F,,Mary,839
DC,F,1987.0,Casey,232
DC,F,,Casey,960
DC,M,1946.0,casey,662
DC,M,1917.0,John,194
DC, F ,1945.0,Taylor,50
DC,F,1966.0,Jennifer,309
DC,M,1943.0,,176
DC,M,1996.0,John,
,F,2017.0,Alex,6
DC,M,1968.0,Alex,639
DC,F,1973.0,Jordan,659
DC,M,2020.0,Taylor,7
,M,2011.0,Casey,15
DC,M,1918.0,Jordan,15
DC,M,1973.0,Casey,37
DC,F,1951.0,Jordan,532
DC, F ,,Jennifer,11
DC,M,1933.0,Mary,582
DC,M,1999.0,Taylor,37
DC,F,2013.0,Jordan,511
DC,M,1933.0,,69
DC,M,1951.0,Alex,130
,F,1945.0,James,17
DC,F,2001.0,Taylor,9
 DC ,M,1958.0,john,262
DC,F,1946.0,Patricia,166
,M,1925.0,John,83
DC,F,1946.0,Jennifer,402
DC, M ,2019.0,Alex,17
DC,F,2022.0,Taylor,442
DC, M ,1989.0,Alex,226
DC,F,1926.0,Alex,135
DC,F,1978.0,,620
DC,F,1996.0, Taylor ,
DC,M,1960.0,Taylor,1081
DC,F,1930.0,Mary,5
DC,F,2016.0,Casey,16
DC,F,1953.0,Mary,254
DC,M,1979.0,Jennifer,692
 DC ,M,1930.0,Casey,179
DC,M,2015.0, Robert ,11
DC, F ,1997.0,Jordan,769
DC,F,1991.0,Mary,371
DC,M,2007.0,Jordan,22
DC,M,1956.0,Jordan,44
,M,2007.0,Casey,55
 DC ,M,1981.0,Casey,204
DC,M,2012.0,Taylor,234
DC,F,1973.0,Patricia,294
DC,F,1979.0,Alex,150
DC,M,1961.0,Robert,15
DC,M,1910.0,James,16
DC,M,1977.0,Michael,201
 DC ,F,2019.0,Taylor,10
DC,M,1995.0,James,246
DC,F,1933.0,Jennifer,25
DC,M,1931.0,Taylor,91
DC, M ,1992.0,Casey,967
DC, F ,1925.0,Patricia,7
DC, M ,1996.0,,75
DC,M,1911.0,robert,12
DC,F,1935.0,patricia,36
DC,M,,Taylor,741
DC,F,1947.0,,542
DC,M,2003.0,Robert,242
DC,F,1966.0,Alex,47
DC,M,1916.0,John,70
DC,F,1963.0,Casey,692
, F ,1979.0,Taylor,471
DC,F,1917.0,Patricia,112
DC,F,1931.0,Jordan,189
 DC ,M,2015.0,Michael,461
DC,F,1987.0,Patricia,845
DC,F,1932.0,Mary,11
DC,F,1941.0,Taylor,66
DC,M,1986.0,Casey,368
DC,F,1955.0,Casey,78
DC,M,1933.0,James,831
 DC ,M,1960.0,Casey,90
 DC ,F,2017.0, Patricia ,106
DC,M,1994.0,James,32
 DC , F ,1948.0,robert,23
DC,F,1925.0,Linda,45
 DC ,F,2008.0,Alex,123
DC,M,1953.0,Alex,99
DC,F,1943.0,,174
DC,M,2004.0,Jordan,306
DC,F,1960.0,Linda,702
DC, F ,1986.0,Jordan,382
DC,M,1988.0,Robert,630
DC,F,1957.0,Patricia,1107
DC,F,,Patricia,14
DC,,1928.0,Jordan,232
DC,F,1926.0,,9
 DC ,M,2012.0,James,
DC,M,1942.0,James,434
DC,F,1978.0,,31
DC,F,1994.0,Jennifer,51
DC,M,1926.0,Michael,6
DC,M,1931.0,Michael,6
DC,F,,Mary,671
DC,M,1978.0,Robert,54
DC,M,1989.0,James,820
DC,M,1960.0,John,117
DC, M ,1993.0,James,362
 DC ,M,2013.0,Alex,618
 DC ,F,1994.0,Patricia,768
DC,F,1913.0,John,8
DC,F,1989.0,,511
DC,F,2015.0,Jordan,18
DC,F,2009.0, Alex ,624
DC, F ,1968.0,mary,538
DC,F,,Casey,
DC, F ,1970.0,Patricia,12
DC,M,1956.0,Alex,602
DC,F,1993.0,Jordan,343
 DC ,F,1984.0,Jordan,313
DC,F,1965.0,Casey,179
,M,1974.0,Casey,220
DC,M,1991.0,Taylor,221
 DC ,M,1977.0,Patricia,65
 DC ,M,1944.0,,180
DC, F ,1956.0,Taylor,362
DC,M,1985.0,John,450
 DC ,F,1948.0,Taylor,126
DC,,1998.0,Alex,260
DC, F ,2020.0,Jordan,36
DC,M,1964.0,Alex,746
DC,F,1976.0,Taylor,47
DC,M,1991.0,Jordan,98
,F,1957.0,Alex,39
DC,F,1957.0,Mary,366
DC,M,1972.0,Patricia,156
DC,M,1917.0,Casey,58
DC,F,1999.0,Patricia,
DC, M ,1947.0,Patricia,282
DC,M,1943.0,James,5
DC,M,1964.0,James,477
 DC ,M,1974.0,robert,319
 DC ,M,1959.0,Taylor,67
DC,F,2005.0,Jordan,556
DC,F,1959.0,Patricia,164
DC,,1990.0,Patricia,114
DC,F,1995.0,Casey,271
DC,F,1989.0,,511
,F,1923.0,Casey,50
DC,F,1990.0,Casey,
DC, M ,1962.0,Jordan,99
DC,F,1998.0,Mary,71
DC,,1948.0,Jordan,5
DC,F,1986.0,Casey,
 DC ,F,,Mary,574
DC,F,1956.0,,14
DC,F,1921.0,,10
DC,F,2021.0,Linda,52
DC,M,1938.0,Casey,28
DC, M ,2020.0,Casey,16
DC,M,1971.0,alex,
DC,F,1989.0,Alex,145
DC,M,1952.0,Casey,
DC,M,,John,31
DC,F,1969.0,Casey,751
DC,,,Taylor,851
DC,M,1951.0,Robert,82
,F,1981.0,Casey,267
,F,1955.0,Linda,261
DC,,2013.0,Taylor,54
DC,M,1999.0, Alex ,88
DC,,1985.0,,
DC,F,1983.0,Casey,52
,F,1982.0,Mary,207
DC,F,1920.0,Patricia,14
DC,F,2003.0,Jordan,34
DC,M,1965.0,,9
 DC ,M,1966.0,James,157
DC,M,,Robert,14
DC,M,2022.0,Michael,179
DC,M,1992.0,Michael,353
DC,F,1938.0,Alex,521
DC,F,1973.0,John,281
DC,M,2006.0,Michael,12
DC,F,1916.0,Taylor,6
,,1988.0,casey,26
DC,F,1954.0,James,433
DC,F,2008.0,Casey,174
DC,F,1996.0,Mary,172
 DC ,F,1963.0,Patricia,114
DC,M,1940.0,Michael,5
DC,F,1975.0,Jennifer,623
DC,M,1924.0,Robert,
DC, F ,,Mary,13
 DC ,F,1962.0,,623
DC,M,1985.0,Casey,119
DC,M,1953.0,Robert,46
DC,F,1927.0,,7
, F ,1936.0,Jordan,99
DC,F,1991.0,Casey,274
DC,F,1965.0,Jordan,64
DC,M,2000.0,John,14
DC, F ,1980.0,Taylor,38
DC,,1970.0,,139
DC,F,1923.0,Linda,84
DC,F,1978.0,Alex,637
DC,M,1956.0,Casey,914
 DC ,M,2022.0, Taylor ,22
DC,F,1952.0,Jordan,65
DC,M,1997.0,John,153
DC,F,1993.0,Jordan,343
DC, M ,1942.0,Taylor,408
DC,M,1975.0,James,123
DC,M,1917.0, Alex ,5
DC,M,1976.0,Michael,793
 DC ,F,2007.0,Taylor,52
DC,M,1975.0,Robert,364
DC,M,2017.0,Jordan,862
DC, F ,1924.0,Casey,31
DC, M ,2001.0,,184
DC,F,1951.0,Patricia,233
 DC ,F,1951.0,Linda,771
DC,M,1968.0,Linda,511
DC,M,,Michael,73
DC,M,1984.0,Casey,230
DC,M,1945.0,Alex,273
 DC ,M,1931.0,James,271
DC,M,1930.0,Michael,83
DC,M,1990.0, Jordan ,575
DC,M,1975.0,Taylor,337
DC, F ,1985.0,Casey,229
,F,1921.0,Michael,269
DC,F,1990.0,Alex,79
,F,1945.0,Patricia,67
DC,F,1944.0,Taylor,672
 DC ,F,1939.0,Patricia,288
DC,M,1992.0,Robert,100
DC, F ,1946.0,Taylor,111
DC,,1951.0,Jennifer,376
DC, F ,1961.0,Taylor,308
DC,M,,Jordan,13
DC,F,1967.0,Jordan,19
DC,M,1994.0,John,551
DC,M,1993.0,Taylor,183
DC,M,1994.0,Alex,462
DC,M,1998.0,Michael,89
DC,M,,Casey,32
DC,M,1945.0,Michael,52
 DC ,F,2008.0,Jordan,254
DC,F,2014.0,Jennifer,59
DC, F ,2016.0,Mary,162
DC,F,1944.0,Jordan,356
DC,F,2018.0,Jennifer,326
DC,F,2013.0,Linda,53
DC,F,1927.0,Mary,61
DC,F,1942.0,Patricia,54
DC,F,2001.0,Patricia,10
DC,,1965.0,Taylor,299
DC,F,1960.0,Taylor,704
DC, M ,1993.0,James,362
DC,M,1932.0,James,34
DC,F,1952.0,Linda,
DC,F,1942.0,Mary,27
DC,F,1934.0,John,158
DC,,1927.0,Robert,83
DC,M,2009.0, Robert ,16
DC,M,1951.0,James,142
DC,F,1965.0,Linda,621
DC,M,2020.0,John,6
DC,F,1952.0, Jennifer ,228
DC,F,1940.0,Jennifer,130
DC,M,1956.0,John,819
DC,M,1948.0,Alex,70
DC,M,1943.0,Michael,216
DC,F,1960.0,Jennifer,689
DC,F,2004.0,Casey,10
DC,M,1948.0,james,420
,M,1928.0,Alex,15
DC,,1952.0,Alex,8
DC,M,1970.0,John,6
DC,M,1940.0,John,12
DC,F,1989.0,Patricia,309
DC,M,1996.0,Jordan,135
DC, M ,1915.0,John,5
DC,F,1959.0,Casey,404
DC, M ,1977.0,Casey,187
DC,F,2014.0,Mary,819
DC,F,2016.0,Jordan,36
DC,M,2001.0,Casey,56
 DC ,M,,Robert,
DC,M,1997.0,Patricia,341
DC,M,2011.0,Alex,378
DC,F,1979.0, Patricia ,69
DC,M,1924.0,Casey,30
DC,M,1982.0,Taylor,153
DC,M,1957.0,taylor,103
DC,F,1954.0,Casey,639
DC,M,,Michael,97
DC,M,2022.0,,28
DC,F,2001.0,,108
DC,F,2002.0,Casey,25
DC,F,1945.0,Mary,151
DC,F,,Casey,349
DC,F,1959.0,Michael,278
,F,2003.0,Jennifer,71
DC,M,2017.0,Michael,70
DC,,1965.0,Alex,15
DC, F ,1963.0,Alex,966
DC,M,1918.0,James,8
DC,F,1987.0,Jennifer,199
DC,M,1910.0,Michael,
DC,F,1987.0,Linda,32
DC,M,1955.0,Alex,332
DC,F,1926.0,Linda,31
,F,1970.0,Linda,669
 DC ,F,1971.0,Linda,401
DC,F,1969.0,Michael,97
DC,F,1971.0,Jennifer,702
DC,F,1936.0,Taylor,
DC,M,1981.0,James,199
DC,M,1983.0,jordan,108
DC,M,1951.0,michael,17
DC,M,1935.0,John,242
 DC ,M,,Alex,6
, M ,2021.0,John,17
DC,M,1975.0,Alex,1079
DC,M,1955.0,Casey,18
DC,F,1921.0,Jennifer,67
DC,M,1944.0,Robert,15
DC, M ,1982.0,Linda,115
DC,F,1932.0, Patricia ,9
DC,F,1943.0,Taylor,399
DC,M,1962.0,James,466
 DC ,M,2019.0,robert,415
,F,1935.0,Linda,134
DC, F ,1942.0,Jennifer,19
DC,M,1997.0,Taylor,286
DC,F,1995.0,,481
DC, M ,2012.0,John,115
DC,M,, Mary ,479
DC,M,2008.0,John,132
DC,F,1944.0,Jennifer,
DC,F,1963.0,Linda,738
 DC ,F,1960.0,Alex,495
DC,,1963.0,Mary,
DC,M,1952.0,Linda,37
DC,M,1978.0,Michael,
DC,M,2004.0, Taylor ,635
DC,M,1969.0,Robert,14
DC,M,1980.0,John,245
DC,,2018.0,Taylor,136
DC,M,1983.0,Casey,871
DC,F,,Casey,60
DC,M,1981.0,Michael,232
DC, F ,1988.0,Alex,217
DC,F,1914.0,Patricia,41
DC,F,2001.0,Casey,234
DC,F,2014.0,,22
, F ,1989.0,Linda,291
DC,M,1952.0,John,89
DC,M,1969.0,John,422
DC,M,2015.0,Taylor,80
DC,M,1969.0,Alex,935
,F,1927.0,Patricia,5
DC,F,2004.0,Jordan,770
DC, F ,2004.0, Alex ,254
 DC ,M,1994.0,Taylor,784
DC,M,1954.0,Taylor,
DC,M,2014.0,Casey,362
DC,F,1938.0,Casey,39
DC,M,2006.0,Robert,21
 DC ,F,1996.0,Linda,40
,M,1933.0,Robert,31
