STATE,SEX,YEAR,NAME,COUNT
FL, F ,2003.0,Mary,45
FL,F,,Linda,157
FL, M ,1954.0,Robert,35
FL,M,1948.0,Taylor,634
FL,M,2006.0, Michael ,35
FL, F ,1962.0,,499
FL,M,1968.0,John,14
 FL ,M,1934.0,alex,21
FL,F,2008.0,Taylor,96
FL,F,1972.0,Jordan,543
FL,M,1975.0,Alex,504
FL,F,1923.0,Mary,46
FL,F,2020.0,,21
FL,F,2002.0,Mary,7
FL,F,2012.0,Linda,43
FL,F,1964.0,Patricia,
FL,M,2002.0,Patricia,58
FL,M,1989.0,alex,782
FL,M,1977.0,Jordan,14
FL,M,1957.0,James,1077
FL,F,1988.0,Taylor,345
FL,F,2011.0,Linda,103
FL,M,1979.0,Casey,314
 FL ,M,1994.0,Robert,443
FL,F,,,283
FL,F,1949.0,Mary,1023
FL,F,2005.0,Taylor,356
FL,F,, Taylor ,
FL,F,1988.0,Linda,463
FL,F,2012.0,Alex,117
 FL ,F,2009.0,Jennifer,81
,M,1977.0,Alex,209
 FL ,M,1922.0,Michael,9
FL,F,1916.0,,13
FL,F,2010.0,Alex,245
FL, M ,1976.0,Patricia,442
FL,M,2002.0, Taylor ,18
FL,M,1944.0,Taylor,110
FL,F,1975.0,Patricia,
FL, F ,1991.0,patricia,458
FL,M,1973.0,John,613
FL,F,1957.0,Patricia,285
FL,,2007.0,Taylor,59
FL,F,1970.0,patricia,357
FL,F,1993.0,Jennifer,1036
 FL ,F,1948.0, Patricia ,308
FL,F,2002.0,patricia,802
FL, F ,1949.0,Jennifer,5
FL,M,1979.0,Michael,226
FL,F,2004.0, Jennifer ,267
FL,F,1946.0,Casey,
FL,M,1914.0,John,10
FL,M,1991.0, Robert ,696
FL,,1994.0,,83
,M,1945.0,Linda,17
 FL ,M,2012.0,Michael,313
FL,F,1945.0,Mary,8
FL,F,1998.0,Taylor,319
FL, F ,,jordan,131
FL,M,1999.0,James,340
,M,1912.0,James,
,M,1932.0,Robert,13
,F,1910.0,Casey,37
FL,F,2000.0, Alex ,62
FL,,2006.0,John,99
FL,M,1995.0,Taylor,520
FL,M,1995.0,John,
FL, M ,2006.0,Jordan,75
FL,M,1973.0,alex,289
FL,F,1979.0,Mary,125
FL,M,1983.0,Alex,196
 FL ,F,1963.0,Patricia,304
FL,F,1989.0,Patricia,512
FL,,1970.0,Casey,
FL,M,1987.0,Taylor,485
FL,F,1943.0,Linda,15
 FL ,M,2009.0,Taylor,214
FL,M,1934.0,John,16
FL,,2005.0,Robert,50
FL,M,1965.0,Michael,197
FL,,,Alex,112
FL,M,1997.0,Patricia,45
FL,F,1921.0,Patricia,18
 FL ,F,1979.0,Taylor,341
FL,M,1926.0,jordan,83
 FL ,M,,Robert,257
 FL ,F,1953.0,Casey,6
FL, M ,1974.0,John,19
FL,F,1989.0, Jennifer ,295
FL,F,1952.0,Jordan,508
FL,F,1926.0,Jordan,6
FL,M,2005.0,Alex,224
FL,M,1935.0,John,35
,M,2002.0,Casey,59
 FL ,,1921.0,,108
 FL ,F,1992.0,Michael,906
FL,M,1918.0,robert,81
FL,M,1972.0,John,513
FL,M,1991.0,Casey,206
