STATE,SEX,YEAR,NAME,COUNT
GA,F,1998.0,Jordan,345
GA,F,1950.0,Jordan,281
GA,M,1934.0,patricia,
 GA ,F,2001.0,Jordan,212
,F,1978.0,Taylor,329
GA,F,1968.0,Linda,502
GA,M,1965.0,Robert,305
GA,M,1958.0,Alex,186
GA,M,1929.0,Michael,278
GA,M,2021.0,Casey,14
GA,F,2005.0,Casey,336
GA,F,1930.0,Jordan,21
GA,,1986.0,jordan,516
GA,M,1941.0,Jordan,15
GA,M,2007.0,Alex,810
GA,F,1958.0,Mary,241
GA, F ,1939.0,Casey,41
GA,M,2007.0,Casey,625
GA,,1993.0,Jordan,292
GA,M,1986.0,Taylor,129
GA,M,1959.0,Jordan,323
GA,M,1947.0,Taylor,9
GA,M,1929.0,Casey,
GA,M,1927.0,Michael,9
GA,M,1919.0,Jordan,106
GA,M,1943.0,Alex,161
 GA ,M,1983.0,John,49
GA,F,,casey,57
GA,F,1967.0,mary,209
GA,F,2010.0,Robert,8
GA,M,1946.0,Robert,183
GA,F,1983.0,Linda,121
 GA ,M,,Taylor,382
GA,F,2010.0,Casey,267
GA,,2006.0, Casey ,48
GA,M,1982.0,Casey,443
GA,M,1933.0,Michael,44
 GA ,M,1938.0,Casey,483
GA,F,2021.0,Linda,6
GA,F,1946.0,Jordan,1241
GA,F,1952.0,Robert,151
GA,M,2000.0,John,37
GA,F,2022.0,Jordan,5
GA,M,2015.0, Jordan ,11
GA,M,1980.0, Alex ,205
GA,M,1981.0,Robert,325
GA,M,1940.0,James,98
GA,F,,,113
GA,M,1946.0,,
 GA ,M,2005.0,Casey,6
GA,F,1966.0,Casey,91
GA,F,1973.0,Casey,33
GA, M ,2001.0,Alex,952
GA,M,1975.0, Robert ,521
GA,M,1969.0,Michael,260
GA,M,1940.0,Alex,15
 GA ,F,1954.0,Alex,321
GA,F,1977.0,Casey,354
GA,F,2008.0,Taylor,1179
GA, F ,1988.0,Alex,196
GA,M,1996.0,John,89
GA,F,1990.0,Alex,63
GA,M,1986.0,Alex,155
GA,F,2009.0,Linda,22
GA,M,1975.0,Jordan,837
GA,F,1973.0,Jordan,149
GA,,1964.0,Mary,611
GA,F,1966.0,Jennifer,
 GA ,F,1992.0,Linda,53
GA,F,2019.0,Casey,12
GA,F,1955.0,Jordan,576
GA,M,1971.0,James,481
GA,F,1958.0,Patricia,161
GA, F ,1993.0,,437
 GA ,F,2007.0,Linda,224
GA,M,2015.0,John,
GA,F,1993.0,Jennifer,873
GA,F,1933.0,jennifer,312
GA,M,1961.0,Alex,109
, F ,1977.0,Jennifer,178
GA,M,1946.0,Alex,63
GA,F,1966.0,Mary,739
GA,M,2017.0,Jennifer,552
GA,M,1930.0,James,170
