State,Sex,Year,Name,Count
HI,M,,Casey,250
HI,M,1998.0,Michael,482
HI,M,1944.0,Alex,175
HI,F,1945.0,alex,270
 HI ,F,2008.0,Jennifer,281
,F,2021.0,Alex,
HI,F,2006.0,Mary,437
HI,F,1931.0,Jennifer,31
HI,M,2011.0,Jordan,198
HI,F,1976.0,,38
HI,M,1914.0,Taylor,71
HI, F ,1943.0,,19
HI,F,1972.0,Linda,84
 HI ,M,1976.0,Alex,694
,M,1982.0,John,482
HI,M,1996.0,Alex,71
 HI ,F,1965.0, Casey ,303
HI,F,1983.0,Jordan,106
HI, M ,1977.0,Taylor,495
HI,F,2017.0,Casey,11
 HI ,F,1931.0,Linda,11
 HI ,M,2020.0,John,20
HI,M,1999.0,John,15
HI,M,2004.0,Patricia,579
HI,M,2005.0,,216
HI,M,2003.0,Jordan,152
HI,M,1944.0,,47
HI,F,1925.0,jordan,12
HI,M,1964.0,Jordan,248
,M,2021.0,Alex,454
HI,F,,Robert,112
HI,M,2011.0,Taylor,12
HI,F,1958.0,Alex,19
HI,F,2010.0,Patricia,43
HI,M,1968.0,James,99
HI,M,1958.0,Robert,
HI,M,1955.0,James,382
HI,F,2004.0,mary,416
HI,M,1974.0, Taylor ,984
HI,F,2001.0,Mary,89
HI,F,2019.0,Alex,97
HI, F ,1949.0,patricia,16
HI,F,1986.0,Taylor,1054
HI,M,2008.0,Casey,234
HI,F,1932.0,Alex,64
HI,F,1980.0, Jordan ,117
HI,M,2001.0,James,579
HI,F,2010.0,Taylor,805
HI,M,1975.0,,19
HI,F,1983.0,Linda,197
HI,M,1941.0,Casey,277
HI,F,,Jennifer,13
HI,F,1991.0,Taylor,128
HI,F,1957.0,Jennifer,
HI,M,1971.0,Casey,167
HI,M,1923.0,Taylor,6
HI,M,2008.0,michael,811
HI, M ,1991.0,,471
HI,F,1923.0,Taylor,48
HI,F,1926.0,Patricia,8
HI,F,1969.0,Patricia,48
 HI ,F,1932.0,Mary,21
,M,,taylor,
HI,F,,casey,651
HI,M,1956.0,Casey,28
HI,F,1998.0,Patricia,972
HI,F,1973.0,Jennifer,8
HI,M,1973.0,James,80
HI,F,2003.0,Jennifer,26
HI,F,2015.0,James,186
HI,F,1978.0,Alex,375
HI,F,1992.0,Casey,77
HI,F,2001.0,Casey,1029
HI,M,1991.0,robert,416
HI,F,1928.0,Mary,34
HI,M,1970.0,John,138
HI,M,2020.0,Michael,783
HI,F,1950.0,Alex,12
HI,F,1913.0,Linda,46
HI,M,1944.0,Casey,13
HI, M ,1964.0,Robert,167
HI,M,1984.0,James,163
HI,M,1981.0,James,632
HI,F,1940.0,Jennifer,36
HI,M,1951.0,Michael,980
 HI ,F,1944.0,Jennifer,26
HI,F,1953.0,Patricia,80
HI,M,1940.0,Robert,1328
HI,F,1999.0, Linda ,99
,M,1998.0, Alex ,120
HI,M,1994.0,John,753
HI,M,1948.0,Alex,282
HI,F,2011.0,Patricia,9
HI,,1993.0,Taylor,639
HI,M,2004.0,Alex,431
HI, F ,1949.0,Casey,122
HI,F,1975.0,Taylor,
HI,F,1978.0,Taylor,92
HI,F,1957.0,Casey,40
HI,F,1945.0,Casey,97
HI,F,1997.0,Taylor,367
,F,1996.0,Taylor,41
,F,1974.0,Linda,767
,,2005.0,,
HI,F,1999.0,Taylor,409
HI,,1978.0,Jordan,119
HI,F,1930.0, Patricia ,24
HI,M,1932.0,James,59
HI,M,1984.0,John,297
HI,M,1923.0,Robert,9
,F,1954.0,Linda,240
HI,M,1967.0,Alex,966
HI,F,2005.0,Jordan,11
HI,F,1947.0,Mary,639
HI,M,1998.0, Robert ,18
,F,1965.0,taylor,250
 HI ,F,2008.0,Linda,42
HI,M,1945.0,John,203
HI,F,2017.0,Jordan,527
HI,M,1991.0,James,867
HI,F,1970.0,Taylor,112
HI,,1995.0,Taylor,615
HI,M,1956.0,James,22
HI,M,2018.0,Taylor,28
HI,M,1939.0,Michael,653
HI,M,1994.0,Robert,458
HI,M,1940.0,,27
HI,M,1958.0,Michael,
 HI ,M,1950.0,Mary,103
HI,F,1946.0,,6
 HI ,M,1989.0,Casey,45
HI, F ,1959.0,Mary,1053
HI,F,,Taylor,581
HI,,1995.0,John,109
,F,1962.0,Jennifer,50
HI,F,1945.0,Mary,127
HI,F,1922.0,Jordan,152
HI, M ,1987.0,James,94
HI,F,1997.0,Mary,448
HI,M,1959.0,Alex,188
HI,,1965.0,taylor,
HI,M,,James,796
HI,F,1994.0,mary,416
HI,M,,Mary,452
