stateCode,gender,birthYear,firstName,numOccurrences
IA,M,1969.0,Casey,350
IA,F,2001.0,Linda,152
IA,M,1928.0,Jordan,64
IA,M,1972.0,,800
 IA ,F,2004.0,Alex,99
IA,M,1958.0,Casey,120
IA,,1980.0,Alex,154
IA,F,1977.0,Linda,301
IA,M,1999.0,robert,23
IA,M,2009.0,Taylor,74
IA,F,1937.0,Patricia,
IA,F,1970.0,Jordan,154
IA, M ,1948.0,Alex,1009
IA,F,2006.0, Alex ,186
IA,M,1992.0,Michael,60
IA,F,1973.0,Jordan,353
IA,M,1960.0,Casey,55
IA,F,1971.0,Alex,377
,F,1924.0,Robert,11
IA,F,1911.0,Patricia,24
IA,M,1982.0,,286
IA,F,1921.0,Mary,7
IA,F,,,369
IA,F,1989.0,Taylor,251
 IA ,F,1963.0,Alex,111
,M,1935.0,Taylor,8
IA,M,1986.0,Michael,186
IA,M,2015.0,Taylor,321
IA,M,1925.0,Robert,252
IA,F,2016.0,Taylor,253
IA,F,1922.0,Patricia,31
IA, M ,1980.0,Robert,369
IA,M,1914.0,Taylor,5
IA,M,1941.0,Jordan,405
IA,M,,robert,
IA,M,1912.0,james,
IA,F,1929.0,Linda,22
IA,M,2008.0,Michael,72
IA,M,1947.0,Jordan,134
IA,M,1984.0,Michael,86
IA,M,1911.0,Alex,5
IA,F,1990.0,Mary,94
,F,1978.0,Jennifer,804
,F,1928.0,jordan,188
IA,F,1925.0,Linda,192
 IA ,M,1966.0,Jordan,
IA,F,1964.0,Taylor,700
IA, M ,1981.0,Robert,1322
IA,M,1957.0,James,109
IA,M,1994.0,Taylor,195
IA,F,1948.0,Taylor,14
 IA ,M,1963.0,John,207
IA,M,1958.0,Robert,221
IA,M,,Casey,56
IA,M,, Casey ,173
IA,M,2013.0,Robert,104
 IA , M ,1993.0,James,61
IA,F,1997.0,Taylor,218
IA,M,1989.0,Casey,612
IA,M,1947.0,Casey,9
IA,,1927.0,Casey,40
IA,F,1980.0,James,702
IA,,1998.0,Patricia,623
IA,M,2019.0,Michael,14
IA,M,1974.0,James,
IA,M,1952.0,Jordan,254
IA,M,1944.0,Jordan,13
 IA ,F,,Jennifer,307
IA,M,1961.0,Alex,5
IA,M,1939.0,James,410
IA, F ,1941.0,Casey,250
IA,F,1963.0,Jennifer,163
IA,F,1992.0,Linda,48
IA,M,1930.0,Michael,30
 IA ,M,1994.0,Patricia,942
IA,F,1948.0,Patricia,135
IA,F,1981.0,,39
 IA ,M,1942.0,James,421
IA,M,1910.0,Casey,21
IA,F,1941.0,Linda,40
IA,M,1925.0,Taylor,13
IA,F,1975.0,Patricia,133
IA,F,2003.0,Mary,105
 IA ,M,2019.0,Jordan,41
IA,F,1983.0,Jennifer,452
IA,F,1933.0,Jennifer,144
IA,F,2017.0,Jennifer,980
IA,F,2000.0,Patricia,80
IA,F,1987.0,John,576
IA,F,1993.0,Patricia,1049
 IA ,M,2002.0,James,64
IA,F,1919.0,Linda,47
IA,F,1933.0,Michael,18
IA,M,1950.0,Alex,512
 IA ,M,1953.0,Casey,581
IA, F ,1989.0,Robert,174
 IA ,M,1951.0,Taylor,672
IA,M,1951.0,Michael,174
IA,M,1921.0,Robert,134
IA,F,1937.0,Mary,55
IA,M,1912.0,Michael,11
IA,F,1947.0,Jordan,252
IA,M,1929.0,James,9
IA,F,2005.0,Alex,28
IA,M,1933.0,John,609
,F,1940.0,Alex,161
 IA ,F,1939.0,Mary,5
IA,M,1943.0,Alex,32
,M,1966.0,Casey,836
IA,F,1965.0,Linda,132
IA,F,1979.0,Jennifer,263
IA,F,2010.0,Linda,315
IA,F,,Jordan,433
IA,M,1946.0,Robert,216
IA,M,1950.0,Robert,6
IA,F,1964.0,Mary,463
 IA ,F,1977.0,Jennifer,
IA,M,1978.0,James,455
IA, M ,1969.0,Jordan,827
IA,M,,Taylor,39
IA,F,2007.0,Mary,495
IA,,1954.0,Linda,438
IA,F,1990.0,Casey,285
IA,M,,Jordan,8
IA,F,1988.0,Casey,90
 IA , F ,1971.0,Mary,759
IA,F,1969.0,Mary,285
IA,M,1982.0,Alex,518
IA,F,1955.0,mary,85
IA,F,1955.0,Taylor,426
IA,M,1942.0,Michael,39
IA,F,1924.0,Jennifer,6
IA,F,1919.0,Jennifer,57
IA,,2013.0,John,76
IA,F,1997.0,Jordan,310
IA, M ,1959.0,John,655
IA, M ,1941.0,Michael,14
IA,F,1915.0,James,42
IA,F,1974.0,Taylor,401
IA,F,1962.0,Linda,33
IA,M,2000.0,Michael,289
,M,1945.0,Taylor,41
,F,,,332
IA,F,2019.0,Taylor,840
IA,M,1938.0,John,386
IA,M,1998.0,Taylor,30
IA,M,1935.0,Robert,469
 IA , F ,1984.0,Alex,20
IA,M,1923.0,James,67
IA, F ,1936.0,Mary,93
IA,M,1999.0,Michael,84
IA,M,1978.0,Michael,413
 IA ,F,,Jordan,743
IA,F,1948.0,Linda,18
IA,M,2001.0,Alex,78
 IA ,F,1922.0,Taylor,31
IA,F,1985.0,Jordan,159
IA,F,1966.0,Mary,436
IA, M ,1964.0,Michael,768
IA,M,1980.0,Jennifer,63
IA,,1922.0,,14
IA,F,1962.0,James,19
 IA ,F,1949.0,Taylor,564
IA,M,1935.0,Michael,32
IA,F,,Casey,40
IA,F,1995.0,alex,520
,,1989.0,Taylor,492
IA,M,2004.0,Casey,402
,F,1987.0,Taylor,119
IA,M,1981.0,Linda,45
IA,F,1984.0,Linda,344
IA,F,1911.0,Jennifer,15
IA,F,1961.0,Patricia,330
IA,M,2000.0,alex,98
IA,F,1914.0,Taylor,58
IA,F,1915.0,Alex,25
IA,F,1972.0,Alex,671
IA,F,1952.0,Jennifer,16
IA,M,1959.0,Casey,565
IA,,1975.0,James,705
, F ,1943.0,Jennifer,315
IA,,1990.0,Jordan,377
IA,M,1970.0,,650
IA,M,2022.0,John,605
, M ,1934.0,Alex,245
IA,F,2009.0,Linda,771
 IA ,F,1952.0,Casey,218
IA,M,1990.0,james,497
IA,F,1950.0,Mary,9
IA,M,2021.0,Michael,629
IA,F,,Casey,15
IA,M,1939.0,Robert,792
IA,F,1937.0,Linda,
IA,F,1986.0,Patricia,302
IA,,1954.0,Robert,397
IA,F,1912.0,Taylor,13
 IA ,F,1989.0,Alex,26
IA,M,1988.0,Alex,330
IA,F,1948.0,Jordan,318
IA,M,1961.0,Casey,213
,M,1934.0,Jordan,9
IA,F,1979.0,Taylor,103
IA,,1977.0,Jordan,178
IA,F,1930.0,Taylor,279
IA,M,1976.0,Casey,315
IA,F,2010.0,James,22
IA,M,2000.0,Jordan,180
IA,F,,Mary,1033
IA,M,,Patricia,93
IA,F,1959.0,Alex,98
IA,M,1973.0,Alex,830
IA,M,2005.0,James,45
IA,F,,Mary,295
IA,M,2000.0,Taylor,490
IA,F,2015.0,Linda,1062
IA, M ,1993.0,Casey,278
IA,F,,Jennifer,29
IA,M,1922.0,James,13
IA,F,2021.0,Mary,18
IA,M,1966.0,John,
,F,2003.0,Casey,60
IA,M,1938.0,James,95
IA,F,2007.0,Jennifer,
IA, M ,2003.0,Taylor,174
IA,M,1942.0,Casey,507
IA,F,1992.0,Jordan,327
IA,F,1983.0, Casey ,642
 IA , F ,1929.0,jennifer,15
IA,M,2011.0,,411
 IA ,M,2002.0,John,686
IA,F,1979.0,Linda,324
IA,M,1933.0,Casey,29
IA,M,2002.0,jordan,89
IA,F,1963.0,Taylor,155
IA,F,2006.0, Jordan ,639
IA,M,1993.0,Alex,424
IA,F,1947.0, Mary ,14
IA,,1910.0,,9
IA,M,1998.0,Alex,301
IA,M,1960.0,James,83
IA,M,1952.0,Robert,17
IA,M,,james,517
IA,M,1984.0,Taylor,578
IA,F,1993.0,James,373
IA,M,2022.0,James,187
IA,F,1993.0,Linda,397
IA,F,1982.0,John,306
IA,F,1986.0,Linda,880
IA,M,1942.0,Alex,30
IA,F,1976.0,Linda,760
 IA ,F,1946.0,Alex,31
IA, F ,1991.0,Casey,393
IA,M,2002.0,Taylor,10
,F,1972.0, Linda ,542
IA,M,2004.0,Alex,37
IA,F,2021.0,Casey,31
IA,M,1937.0,Jordan,13
 IA ,M,1989.0,Alex,
IA,,1934.0,Patricia,7
IA, M ,2014.0,John,63
 IA ,M,1976.0,Jennifer,571
IA,F,1989.0, James ,363
IA, F ,1925.0,Taylor,65
IA,M,1954.0,Michael,27
 IA ,F,1916.0,Taylor,315
IA,F,1955.0,Jennifer,541
IA,,1954.0,Casey,225
IA,F,2022.0,Mary,111
IA,M,1928.0,James,241
IA,F,1963.0,Casey,162
IA,M,1957.0,Robert,28
IA,M,1949.0,John,450
IA,M,2005.0,Taylor,294
IA,M,1991.0,Jennifer,91
IA,,,Michael,530
 IA ,F,1973.0,Mary,998
IA,F,2006.0,Linda,373
IA,M,1979.0,James,360
IA,M,1928.0,Robert,21
IA,M,1950.0,Michael,271
IA,M,1985.0,John,381
IA,F,1962.0,Alex,677
IA, M ,1978.0,John,351
IA,M,1954.0,Casey,76
IA,F,1947.0,Jennifer,129
IA, F ,,Jordan,59
IA, M ,1968.0,Jordan,422
IA,M,1999.0,Jordan,177
IA,M,1943.0,John,516
IA, M ,1992.0,Taylor,811
IA,F,1954.0,James,551
IA,M,1940.0,robert,5
IA,F,1972.0,Jordan,31
IA,M,1951.0,James,283
IA,M,1984.0,Alex,361
 IA ,M,2020.0,Casey,112
IA,M,1944.0,Casey,7
IA,M,1964.0,Casey,586
IA,,1946.0,Casey,52
IA,,1972.0,Mary,551
IA,F,2019.0,Linda,15
IA, F ,1999.0,Jordan,123
IA,F,,Taylor,11
IA,M,1955.0,Casey,313
 IA ,,1992.0,Mary,319
IA,F,1936.0,Alex,19
IA,M,2011.0,Alex,12
IA,M,1944.0,Taylor,20
IA,F,1988.0,Linda,133
IA,M,1987.0,Michael,258
IA,M,1954.0,John,35
IA,M,2017.0,Michael,6
IA,M,,Taylor,461
IA,M,2006.0,Robert,798
IA,F,2008.0,Mary,561
IA,M,1977.0,Robert,311
IA,F,2011.0,Jordan,9
IA,F,1990.0, Taylor ,121
IA,F,1955.0,linda,706
 IA ,F,1965.0,Taylor,172
IA,F,1925.0,Alex,142
IA,M,1940.0,Jordan,18
,F,1953.0,Jordan,55
IA,F,2019.0,Jordan,101
IA,M,1927.0,Jordan,344
IA,M,1949.0,Jordan,107
IA,F,1977.0,Taylor,241
IA,M,1993.0,Michael,37
IA,F,1979.0,Jordan,93
IA,F,1976.0,Taylor,223
IA,M,1984.0,John,671
IA,M,2006.0,John,161
IA,F,1981.0,Jordan,
IA,F,1946.0,,175
IA,F,1974.0,Linda,663
IA,M,2022.0,Michael,
IA,M,1982.0,Michael,169
IA,F,1914.0,John,18
 IA ,M,1961.0,John,10
IA,M,1934.0,james,5
IA,M,1952.0,Taylor,8
,M,1948.0,casey,26
IA,F,1941.0,Taylor,9
IA,M,1957.0,Michael,329
IA,M,1911.0,Taylor,7
IA,M,1998.0,John,368
IA,F,2005.0,Mary,48
IA,F,2000.0,Taylor,738
IA,M,1958.0,Alex,175
IA,M,1955.0,Michael,118
,M,1954.0,Alex,200
,M,,james,937
IA,F,1949.0,Casey,11
IA,M,1980.0,Michael,240
IA,M,1949.0,Alex,10
 IA ,M,1924.0,Taylor,
IA,F,1997.0,Jennifer,201
IA,M,2007.0,Robert,442
IA,M,1940.0,Casey,29
IA,M,1959.0,Robert,214
IA,M,1987.0,Casey,88
IA,F,2000.0,Mary,84
IA, M ,1955.0,John,44
IA,F,1993.0,Taylor,574
IA,F,1971.0,Jordan,211
IA,M,1920.0,Taylor,53
, M ,2013.0,Michael,103
IA,F,1930.0,Jordan,633
IA,F,1958.0,Patricia,42
 IA ,M,1964.0,Jordan,129
IA,M,1939.0,Michael,7
IA,F,1985.0,linda,786
 IA ,F,1968.0,John,316
 IA ,,1968.0,James,323
IA,M,1995.0,Taylor,202
 IA ,M,1979.0,Jordan,417
IA,M,1958.0,Mary,68
IA,M,2003.0,robert,12
IA,F,1991.0,Mary,514
IA,F,1986.0,Jordan,
 IA ,F,1952.0,Jordan,71
IA,F,,Casey,5
IA, M ,1958.0,Taylor,575
IA,F,2002.0,Taylor,548
IA,M,1980.0,Taylor,19
IA,F,2015.0,mary,30
IA,F,1996.0,Casey,67
IA,F,1937.0,Patricia,
IA,M,2001.0, John ,405
IA,F,1996.0,Patricia,35
IA,F,1959.0,Jordan,291
,F,1994.0,Mary,
IA,M,1970.0,Jennifer,593
IA,F,1937.0,Jordan,78
IA,M,1966.0,Taylor,476
IA,M,,Robert,216
IA,F,1917.0,Jennifer,12
,M,1980.0,James,96
IA,F,2017.0,alex,21
IA,,1957.0,Jennifer,60
 IA ,M,1997.0,Michael,416
, M ,2022.0,Alex,9
IA,F,1970.0,Alex,762
IA,,1951.0,Alex,
IA, M ,1992.0,Robert,274
IA,M,1972.0,Jordan,618
IA,M,1927.0,Alex,71
IA,M,2012.0,Alex,
 IA , M ,1962.0,,510
 IA ,F,2011.0,Jennifer,414
IA, M ,1989.0,Patricia,161
IA,M,2014.0,James,442
,F,1959.0,Patricia,
IA,F,1981.0,Patricia,565
IA, F ,1961.0,,221
IA, M ,1923.0,Casey,10
IA,F,1912.0,Jordan,154
IA,F,2014.0,Linda,144
 IA ,F,1945.0,Jordan,19
IA,F,1987.0,Jennifer,
IA,F,2013.0,Patricia,221
,F,2016.0,Linda,1005
IA,M,1940.0,John,251
IA,M,1982.0,John,121
IA,M,1963.0,Michael,128
IA,M,1970.0,Michael,52
 IA , M ,1946.0,Taylor,503
 IA ,F,1960.0,Robert,193
,F,1952.0,Patricia,605
IA,F,1958.0,Linda,177
IA,F,1960.0,Taylor,239
IA,M,1973.0,Robert,
IA,F,1946.0,Taylor,921
IA,M,1937.0,Taylor,141
, F ,1920.0,Alex,155
IA,F,1970.0,Taylor,116
IA, M ,1972.0,John,
IA,F,1910.0,Taylor,25
IA,F,2011.0,Casey,29
IA,F,1944.0,Jordan,22
IA,F,1969.0,,612
IA,F,2001.0,taylor,86
IA,F,1951.0,Linda,546
IA,M,1945.0,Robert,173
IA, F ,1983.0,Mary,619
IA,M,1938.0,Alex,90
 IA ,F,1976.0,Jordan,255
IA,,1943.0,Robert,
IA,F,1933.0,Michael,18
IA,M,1943.0,Michael,34
IA,F,1927.0,Jordan,12
IA, F ,2020.0,Linda,211
,M,1977.0,John,472
IA,M,,Jordan,39
,F,1974.0,Jennifer,179
IA,M,2003.0,Alex,35
IA,F,1978.0, Casey ,141
,M,1961.0,James,117
IA,M,1930.0,Taylor,482
IA,F,2010.0,Patricia,185
IA,F,1923.0,Taylor,30
IA,F,1944.0,Taylor,23
IA,F,1914.0,Taylor,58
IA,F,2013.0,Taylor,5
 IA ,F,1921.0,Linda,14
,M,1978.0,Robert,381
IA,M,1950.0, Taylor ,109
IA,M,1990.0,Casey,337
IA, F ,1992.0,Jennifer,824
IA,F,,Alex,5
IA,F,1945.0,Linda,690
IA,F,2002.0,Patricia,
IA,M,2021.0,Taylor,11
 IA ,,1941.0,Robert,13
 IA , F ,1934.0,Linda,14
IA,M,1992.0, James ,970
IA,F,1982.0,Linda,193
IA,F,1927.0,Taylor,18
IA,M,1967.0,John,330
 IA ,M,1957.0,Taylor,339
IA,F,1980.0,casey,62
 IA ,F,1995.0,Taylor,961
IA,M,2001.0,Taylor,186
IA,,1969.0,Jennifer,564
IA,M,1968.0,Alex,99
IA,F,1922.0,Jordan,26
IA,F,2016.0,jennifer,464
IA,F,1963.0,Mary,59
IA,F,1987.0,Jordan,122
IA,M,2019.0,Taylor,13
IA,F,1919.0,Mary,118
IA,F,1994.0,,500
IA,F,1955.0,Alex,
IA,F,1965.0,Alex,187
IA,M,2013.0,alex,12
 IA ,M,2005.0,Robert,200
IA,F,1993.0,Casey,190
IA, F ,1953.0,Taylor,27
IA,M,1948.0, Jennifer ,355
,M,1994.0,John,384
IA,M,2015.0,Robert,533
IA,M,1936.0,Jordan,5
IA,F,1914.0,patricia,35
 IA ,F,1923.0,Patricia,12
IA,F,1982.0,Taylor,181
IA,M,1963.0,James,21
IA,F,1962.0,Patricia,103
IA,F,1951.0,Patricia,7
IA,F,1962.0,Mary,406
 IA ,M,2001.0,James,25
