state,sex,year,name,count
ID,M,1959.0,John,
 ID ,M,1928.0,Michael,61
ID,F,1995.0,Linda,124
 ID ,F,,Casey,7
ID,M,1963.0,Alex,346
ID,F,1983.0,Jennifer,67
ID,M,1934.0,James,5
ID,F,2008.0,Michael,660
 ID ,M,1991.0,Michael,746
 ID , M ,1960.0,Casey,499
ID,M,1943.0,,439
 ID ,M,2003.0,Alex,
,M,2013.0,Alex,93
 ID ,F,1922.0,Alex,11
ID,M,1951.0, John ,105
 ID ,F,1999.0,Linda,183
ID,,1980.0,john,676
ID,F,2005.0,Alex,317
ID,M,1968.0,Linda,
 ID ,M,1999.0,Casey,281
 ID ,M,2015.0, Jordan ,413
ID,F,2006.0,Jordan,5
ID,F,1993.0,Patricia,195
ID,M,1966.0,Casey,434
ID,M,1967.0,Jordan,499
ID,M,1975.0,James,99
ID,M,2020.0,Jordan,162
ID,M,1959.0,Jordan,
ID,F,1936.0,Linda,55
ID, F ,1989.0,Linda,314
ID,F,1984.0, Casey ,957
 ID ,M,1955.0,Michael,40
ID,F,1972.0,Alex,259
 ID , F ,1931.0,Casey,470
ID,M,2021.0,john,14
ID,M,1948.0,Michael,604
ID, F ,1999.0,Patricia,111
ID,M,1956.0,Michael,393
ID,,1933.0,Alex,18
ID,M,1939.0,Michael,157
ID,M,1960.0, Alex ,974
ID,M,2022.0,Robert,19
ID,M,1994.0,Casey,274
ID,F,,Jennifer,114
 ID ,M,1951.0,Alex,969
 ID ,F,1987.0,Casey,559
ID,M,1969.0,John,174
ID,M,1932.0,Michael,13
ID,F,1980.0,Jordan,1061
ID,,2008.0,Linda,686
 ID ,F,1980.0,Patricia,470
ID,M,1958.0,John,583
ID, F ,1968.0,Alex,190
ID,F,1927.0,Linda,107
 ID ,,2015.0,linda,265
ID,M,1972.0,Jennifer,497
ID,F,1996.0,Taylor,291
ID,F,2019.0,Michael,302
ID,F,2017.0,Mary,491
 ID ,F,1978.0,Linda,
ID, F ,2018.0,Alex,470
ID,M,1970.0,Alex,284
ID,M,2015.0,James,
ID,F,1969.0,Taylor,178
,F,2004.0,Jordan,
ID,F,1993.0,Casey,1016
ID,M,1993.0,Taylor,161
ID,M,,Alex,336
