state,sex,year,name
IL,F,2015.0,Alex
IL,M,1931.0,Casey
 IL ,M,1954.0,James
IL,F,1962.0,Jennifer
IL,,2012.0,Casey
IL,F,1947.0,Taylor
 IL ,M,1953.0,Robert
IL, M ,2012.0,James
IL,M,1947.0,Alex
IL,F,1978.0,Casey
IL, M ,1954.0,Michael
IL,F,1960.0,Patricia
IL,F,1970.0,Patricia
IL,F,2006.0,Mary
IL,M,1981.0,Casey
IL,F,1947.0,Jennifer
IL,,2018.0,John
IL,F,,Alex
IL, M ,,Alex
IL,F,1982.0,Taylor
IL,F,2022.0, Jordan 
IL,F,1999.0,Mary
IL,F,1961.0,Casey
IL,M,1966.0,Casey
 IL ,F,1910.0,Casey
IL,M,1965.0,John
IL,F,1956.0,Jennifer
IL,F,1948.0,Alex
 IL ,,2022.0,Mary
IL,M,1924.0,taylor
IL,M,1962.0,Casey
IL,F,1991.0,Casey
 IL ,M,1938.0,James
IL,M,1981.0,Michael
IL,M,1995.0,Casey
IL,F,1972.0,Taylor
,M,1972.0,James
IL,F,1985.0,Linda
,M,1929.0,Linda
IL,M,1930.0,Michael
IL,F,1939.0,Patricia
IL,F,2010.0,Linda
IL,M,1939.0,Jordan
 IL ,M,1946.0,John
IL,M,2021.0,John
,M,2006.0,taylor
IL,F,1943.0,Casey
 IL ,F,1955.0,Patricia
IL,,1918.0,Michael
IL,M,2008.0,Michael
IL,M,2008.0,Alex
 IL ,M,1947.0,James
IL,M,1967.0,
IL,M,1963.0,Alex
 IL ,F,2011.0,Jennifer
IL,M,1986.0,
IL,M,2020.0, Casey 
IL, F ,2020.0,Jennifer
IL,M,1956.0,Michael
IL,M,2007.0,James
IL,F,1999.0,Jordan
IL,F,1953.0,Mary
IL,M,1957.0,casey
IL,M,1991.0,Taylor
 IL ,F,2019.0,Jennifer
IL,,1952.0,Mary
IL,F,1934.0,Taylor
IL,M,1943.0,Taylor
IL,F,1946.0,Alex
IL,F,1953.0,Alex
 IL ,,1993.0,Patricia
 IL ,F,1987.0,taylor
IL,M,2010.0,Robert
IL,,1928.0,Alex
IL,F,1963.0,Jennifer
IL,F,1947.0,Alex
IL,,2000.0,Jordan
IL,F,2012.0,Mary
IL,F,1946.0,Casey
IL,M,1911.0,John
IL,F,1954.0,jennifer
IL,M,1961.0,Alex
IL,M,1919.0,John
IL, F ,1915.0,Casey
IL, F ,1917.0,Casey
IL,M,1939.0,Alex
 IL , F ,2003.0,alex
IL,M,,Jordan
IL,F,1946.0,Jordan
IL, F ,1993.0, Mary 
IL,F,1955.0,Mary
IL,F,1966.0,Alex
IL,F,1922.0,jennifer
IL, M ,1966.0,John
IL,M,2013.0,Alex
IL,M,1936.0,James
IL,F,1962.0,
IL,M,2017.0,Robert
IL,M,1937.0,James
IL,F,2000.0,
IL,M,1999.0,Jordan
IL,F,1992.0,Casey
IL,F,1978.0,Jennifer
,F,2005.0,Casey
IL, M ,1999.0,Taylor
IL,F,1971.0,Casey
IL,M,,Jordan
IL,F,2012.0,Jordan
IL,M,2010.0,Alex
IL,F,1926.0,Jennifer
 IL ,F,1941.0,Casey
IL,M,2001.0,Robert
,F,1994.0, Casey 
IL,M,1934.0, Jordan 
IL,F,2017.0,Patricia
IL,F,1932.0,Linda
IL,F,1960.0,Jennifer
IL,F,1921.0,Taylor
IL,F,1912.0,Jordan
IL,M,1969.0,Jennifer
IL,M,1978.0,Casey
IL,F,1975.0,Mary
IL,M,1947.0,Michael
IL,M,,Casey
IL,M,1951.0,Michael
IL,M,2005.0,Michael
IL, F ,1914.0,Patricia
IL,F,2021.0,Mary
IL,F,1967.0,Taylor
 IL , F ,1955.0,Alex
IL,M,1970.0,John
IL,F,1992.0, Robert 
IL,M,1989.0,James
IL,F,1972.0,Patricia
IL,F,2020.0,Mary
IL,F,1930.0,Jennifer
IL,F,1997.0,
IL,F,2006.0,Linda
IL,,1998.0,Jordan
IL,F,1980.0,Linda
IL,F,1972.0,Casey
IL,M,1933.0,Jordan
IL,M,1932.0,Robert
IL,F,2016.0,Jordan
IL,F,1940.0,
IL,F,1981.0,Casey
IL,F,1997.0,Linda
 IL ,F,1974.0,Jennifer
IL,M,2004.0,John
IL,F,2012.0,Taylor
IL,M,1977.0,James
IL,F,,Jennifer
IL,M,1957.0,Michael
IL,,1910.0,Jordan
IL,M,1962.0,Robert
IL,M,1994.0,Casey
IL,F,1961.0,Patricia
IL,M,1998.0,Jordan
IL,F,1942.0,Jordan
 IL ,M,1949.0,Casey
IL,F,1990.0,Jennifer
,M,1920.0,Jordan
IL,M,2022.0,Michael
IL,M,2010.0,Mary
IL,M,1973.0,John
IL,,1996.0,Michael
IL,M,1972.0,Jordan
IL,F,2012.0,Patricia
IL,M,1974.0,Jordan
IL,M,1997.0,James
IL, F ,1921.0,Casey
IL,M,1944.0,Casey
IL,M,1990.0,Michael
IL, F ,1986.0,Jennifer
IL,M,1973.0,Casey
IL,F,1990.0,Linda
IL,M,1991.0,Michael
IL,F,1998.0,Linda
IL,F,1933.0,Casey
 IL ,M,1933.0,Michael
IL,F,1943.0,Linda
IL, F ,1922.0,Taylor
IL,M,1918.0,
IL,F,1978.0,Alex
IL,M,1962.0,Jennifer
IL,M,1954.0,Alex
IL,M,1936.0,
,M,1948.0,John
IL, M ,1936.0,Taylor
IL,M,2000.0,Taylor
IL,M,2014.0,John
IL,F,1983.0,Jordan
IL,F,,
IL, M ,1944.0,James
IL, F ,1981.0,Jordan
IL,F,2013.0,Patricia
IL,M,1960.0,Jordan
IL,M,2002.0,Jennifer
IL,M,1927.0,Michael
IL,F,1924.0,Jennifer
IL,F,2020.0,jordan
IL,M,1930.0,Taylor
 IL , F ,1966.0,Casey
IL,M,1977.0,
IL,F,1956.0,patricia
IL,M,2011.0,John
,M,1929.0,John
 IL ,F,2000.0,
IL,M,1983.0,Alex
IL,F,2004.0,Taylor
IL,M,1965.0,Taylor
IL,F,1999.0,Patricia
IL,M,2002.0,Jordan
IL,F,1929.0,jennifer
IL,M,2015.0,Michael
IL,M,1975.0,Michael
IL,F,1989.0,Linda
IL,F,1970.0,Linda
IL,M,1949.0,Alex
IL,F,1923.0,Linda
IL,F,1937.0,Robert
IL,F,2010.0,
IL,F,2009.0,
IL,M,1997.0,Jordan
IL,,1928.0,Jennifer
IL,F,1941.0,Jennifer
IL,F,2011.0,Linda
IL,F,2012.0,John
IL,,1988.0, Alex 
IL,M,,casey
IL,F,2002.0,Jennifer
IL,,1942.0,Alex
IL,F,1986.0,Alex
IL,F,1982.0,Linda
IL,F,2001.0,Linda
IL, M ,2017.0,Jordan
 IL ,M,2008.0,Casey
IL,F,1967.0,Jennifer
IL,F,1995.0,Mary
IL,F,1977.0,
IL,M,2005.0,Robert
IL,M,1949.0,Taylor
IL,F,1942.0, Linda 
IL,M,1991.0,James
IL,M,1977.0,john
IL,F,2000.0,Mary
IL,M,1977.0,Taylor
IL,M,1992.0,Jordan
,F,1951.0,Mary
IL,F,1988.0,Mary
IL,M,,Alex
IL,F,1924.0,James
IL,,2021.0,Alex
IL,F,1964.0,Jennifer
IL,M,1965.0,Casey
IL,M,1993.0,Alex
IL, M ,1956.0,John
IL,,1940.0,Michael
IL,,,Robert
IL, F ,,Linda
IL,,1933.0,Taylor
IL,M,2002.0,Jordan
IL,F,2006.0,Alex
IL,F,1970.0,Casey
IL,F,1964.0,Patricia
, M ,1986.0,Patricia
 IL ,M,1983.0, James 
IL,M,1938.0,John
IL,F,2008.0,Linda
IL,M,1952.0,James
IL,,1989.0,alex
IL,M,,Jennifer
IL,F,2019.0,Patricia
IL,,2001.0,Mary
IL, M ,1975.0,jordan
IL,M,,John
IL,F,2018.0,
IL,M,1956.0,Alex
IL,M,2006.0, Alex 
IL, F ,1910.0,Linda
IL, F ,,Casey
IL,F,1956.0,Mary
 IL ,M,2009.0,John
IL,F,1929.0,Mary
IL,,1991.0,Jordan
IL,M,1940.0,James
IL, M ,1985.0, John 
IL, M ,1964.0,Jordan
IL, M ,1959.0,Taylor
IL, F ,1913.0,Alex
IL,M,1976.0,James
IL,M,,Alex
IL,M,2003.0,Taylor
IL,M,2022.0,James
IL,F,1953.0,Casey
IL,M,1973.0,Jordan
IL,M,1956.0,Jordan
IL,F,1930.0,Jordan
IL,F,1992.0, Mary 
IL,M,1996.0,Alex
IL,F,1935.0,Alex
IL, F ,2015.0, Jordan 
IL,F,1924.0,Casey
IL, M ,1915.0,Michael
IL,M,1947.0,Jordan
IL,F,1989.0,Jennifer
IL,,1958.0,Taylor
IL,M,1959.0,Robert
,F,1979.0,Casey
IL,M,1996.0,Robert
IL,F,1952.0,Patricia
IL,M,1958.0,Jordan
IL,F,1944.0,Alex
IL,F,1918.0,Alex
IL,M,1978.0,Michael
IL,M,1975.0,Casey
IL,M,1982.0,James
IL,F,1932.0,Jordan
 IL ,M,2015.0,Alex
IL,M,1964.0, Casey 
 IL ,M,1993.0,James
 IL ,M,1935.0,Jordan
IL,M,2002.0, Alex 
IL,M,1993.0,Taylor
IL,M,1983.0,John
IL,F,2015.0,linda
IL,F,1972.0,Jordan
IL,M,1916.0,James
IL,M,1945.0,James
IL, F ,1973.0, Jennifer 
IL,F,1951.0,Casey
IL,F,1982.0,mary
IL,F,1952.0,John
IL,F,1910.0,Jordan
IL,M,1978.0,Taylor
IL,F,1963.0,Mary
IL,F,1940.0,Mary
IL,M,2010.0,Casey
IL,M,2000.0,Robert
IL,M,2019.0,James
IL,M,1998.0,Jordan
,M,2013.0,John
IL,M,1945.0,Casey
IL,F,2019.0,Casey
IL,,1998.0,Jennifer
IL,M,1920.0,Michael
IL,F,1951.0,Alex
 IL ,M,1911.0,Casey
IL,M,1936.0,Casey
 IL , M ,1966.0, Michael 
IL,M,,Casey
IL,F,1974.0,Taylor
IL,M,1987.0,Alex
IL,M,1992.0,Casey
IL,M,1959.0,Mary
IL,M,1954.0,Robert
IL,M,1951.0,Taylor
IL,F,1979.0,Michael
IL,M,1923.0,Jennifer
 IL ,M,1974.0,Mary
IL,M,1938.0,Michael
IL,M,1925.0,Casey
IL, F ,1973.0, Jennifer 
IL, M ,1948.0,Alex
IL,M,1972.0,John
,F,1921.0,Linda
,M,1960.0,Taylor
,F,1991.0,Linda
IL,F,1942.0, Linda 
IL,,2000.0,James
IL,F,2007.0,Jennifer
,F,2003.0,Linda
IL,M,,Michael
IL,F,1940.0,Patricia
 IL , F ,1930.0,Linda
 IL ,,1980.0,Patricia
IL,F,2005.0,Jordan
IL,F,1995.0, Casey 
IL,F,1925.0,Taylor
,M,1969.0,Casey
IL,F,1958.0,Casey
IL,F,1988.0,Casey
IL,F,2018.0,Casey
,F,1952.0,Linda
IL, F ,1931.0,patricia
IL,F,1959.0,Jordan
IL,F,1945.0,Patricia
IL,F,1921.0,Jordan
IL,M,1965.0,
 IL ,M,1991.0,Casey
IL,M,1989.0,Linda
IL,F,2005.0,Alex
IL,F,2012.0,Jennifer
IL, M ,2001.0,james
, F ,1982.0,Alex
IL,M,1981.0,Taylor
IL,M,,casey
 IL ,M,,James
IL,F,2010.0,Patricia
IL, F ,2016.0,Patricia
IL, F ,1977.0,Jennifer
IL,F,1960.0,Taylor
IL,F,1961.0,Jordan
IL,M,1961.0,James
IL,M,1988.0,Michael
IL,M,1980.0,Alex
IL,F,2000.0,Alex
IL,F,2008.0,Jennifer
IL,M,1937.0,John
IL,,1959.0,taylor
IL,F,1938.0,Jordan
IL,M,1968.0,jordan
,F,1921.0,Linda
IL,F,1974.0, Alex 
 IL ,M,2004.0,James
IL,M,2020.0,Taylor
 IL ,M,,Casey
IL,F,1934.0, Alex 
IL,F,1920.0,Alex
IL, F ,2008.0,Alex
IL, F ,1914.0,Casey
,F,1946.0,Taylor
IL,M,2010.0,Michael
IL,M,2022.0,
IL,,,Mary
,M,1923.0,Taylor
IL,M,2001.0,Casey
 IL ,M,1991.0,Patricia
IL,F,,Alex
IL,F,1967.0,Patricia
IL,F,2004.0,Patricia
IL,M,2012.0,John
IL,M,1985.0, James 
IL,F,,Jordan
IL,M,1958.0, Robert 
IL, M ,2021.0,taylor
IL,F,1973.0,Linda
 IL ,M,1920.0,James
IL,F,1981.0,Mary
, F ,1939.0,Linda
IL,,1990.0,Casey
IL, M ,,John
IL,F,2009.0,Taylor
IL,M,1925.0,Alex
IL,M,1945.0,John
IL,M,1979.0,Jordan
IL,M,1969.0, Taylor 
IL,F,1964.0, Alex 
 IL ,,1951.0,Jennifer
IL,F,1996.0,Mary
IL,F,2010.0,Alex
IL,M,1944.0,John
IL,,1966.0, Robert 
IL,F,1981.0,Alex
IL,M,2022.0,John
IL,M,1991.0,Alex
IL, F ,1944.0,Casey
IL,M,1958.0,Jordan
IL,M,2003.0,John
IL,F,1976.0,Alex
,M,1988.0,Jordan
IL,M,1917.0,Robert
IL,M,1993.0,John
IL,F,1978.0,Jordan
IL,M,2022.0,Alex
IL,F,2022.0,Alex
IL,F,1948.0,James
 IL ,M,2010.0,Jordan
,F,1930.0, Taylor 
IL,M,2016.0,Robert
IL,M,1953.0,Alex
,M,1979.0, Alex 
 IL ,,1956.0,Linda
IL,F,2001.0,Alex
 IL ,M,1994.0,John
IL,,1997.0,Casey
IL,F,1929.0,Taylor
IL,F,,Linda
IL,M,1980.0,Jordan
IL,F,1985.0,Jennifer
IL,,1929.0,Patricia
IL,F,1949.0,Patricia
IL,F,1943.0,Mary
IL,,1985.0,Michael
IL, M ,1950.0,Robert
IL,M,2013.0,Robert
IL, M ,1960.0,Michael
IL,M,,Robert
IL,F,1999.0,Alex
IL,F,1984.0,Patricia
 IL ,F,1950.0,casey
 IL ,F,1980.0,Taylor
IL,M,2000.0,Mary
IL,M,2006.0,michael
IL,F,1970.0,Taylor
IL,M,1995.0,John
IL,M,1913.0,John
IL,F,1990.0,Mary
IL, F ,2001.0,Casey
IL,F,2011.0,Alex
IL, M ,1974.0,Michael
,M,2014.0,
IL,M,2011.0,
IL,F,1961.0,Taylor
IL,M,1965.0,James
IL,F,1939.0, Alex 
IL,F,1970.0,Mary
IL,M,1968.0,James
 IL ,F,1959.0,
 IL ,F,1929.0,Alex
IL,,2011.0,Robert
IL,M,1961.0,Jordan
IL,F,1969.0,Taylor
 IL ,M,2016.0,John
IL,M,1970.0,
IL,F,1930.0,Casey
IL,F,1988.0,Taylor
IL,M,2002.0,Robert
IL,M,2012.0,robert
IL,M,1970.0,Jordan
 IL ,M,1974.0,Casey
IL,F,1969.0, Jordan 
IL,F,2010.0, Jordan 
IL,F,1998.0,
 IL ,F,1934.0,Casey
,F,1944.0,Patricia
IL, M ,1935.0,Michael
IL,F,1954.0,Taylor
IL,F,,Mary
IL,M,1995.0,James
IL,M,2001.0,Michael
IL,M,1991.0,Jennifer
IL,M,1911.0,
IL,M,2014.0,Mary
IL,M,2012.0, Casey 
IL,F,1967.0,jordan
IL, F ,1975.0,Alex
IL,M,1965.0,Robert
IL, F ,1995.0,Alex
IL,M,1945.0,Taylor
IL,M,1932.0,james
IL, F ,2002.0,Alex
IL,F,2019.0,Jordan
 IL , F ,1967.0,James
IL,F,1958.0,Taylor
IL,M,1986.0,Jordan
IL,M,1990.0,Michael
 IL , M ,1927.0,James
IL,M,1986.0,James
IL,F,1940.0,Alex
IL,M,1987.0,John
IL,M,1990.0, Taylor 
IL,F,2021.0,Jennifer
 IL ,M,1968.0,Robert
IL,F,2001.0,Taylor
IL,F,1975.0,
IL,M,2006.0,John
IL,F,1982.0,jennifer
IL,M,1990.0,Jordan
IL,M,1919.0,taylor
IL,M,1964.0,John
IL,F,1940.0,Michael
IL, M ,1982.0,Alex
IL, M ,1938.0,Taylor
IL,M,1935.0,Taylor
IL,M,2000.0,John
IL,M,2001.0,Alex
IL,F,,Jennifer
IL,M,1982.0,Casey
IL,F,2016.0,mary
IL, F ,,Mary
IL,F,,Jordan
IL,F,1976.0,Mary
IL,F,1972.0,Linda
IL,F,1927.0,mary
IL,F,1993.0,Linda
IL,M,1945.0,Alex
IL,F,2009.0,Patricia
IL,M,,Taylor
IL,F,2019.0,Linda
IL,F,1963.0,Alex
IL,M,1976.0,Alex
IL,M,2004.0,Alex
IL,M,1985.0,Taylor
IL,M,1946.0,Taylor
IL,M,1984.0,Robert
IL,M,2010.0,John
IL,F,1928.0, Patricia 
IL,M,2015.0,Jordan
IL,,2018.0,Jordan
 IL ,M,1953.0,Michael
IL,M,1998.0,Mary
IL,M,1910.0,Michael
IL,M,1934.0,Taylor
IL,M,1956.0,Taylor
IL,M,1961.0,Michael
IL,M,1955.0,michael
IL,F,1913.0,Jennifer
IL,F,1925.0,casey
IL,M,1954.0,John
IL, F ,2019.0,Alex
IL,F,1977.0,Casey
IL,F,2008.0,jordan
 IL ,F,1918.0,Patricia
IL,F,1937.0,Alex
IL,F,,Jordan
IL,F,1956.0, Jordan 
IL,F,1977.0,Linda
IL, F ,1988.0,Alex
IL,M,1998.0, James 
IL,F,1946.0,Patricia
IL,M,1959.0,Alex
 IL ,F,1980.0, Alex 
IL,M,1980.0,John
,M,1923.0,Taylor
IL,F,, Mary 
IL,M,1956.0,Patricia
IL,F,,Mary
IL,M,1955.0,Casey
,M,1944.0,Michael
IL,M,1964.0,
 IL ,F,1963.0,Patricia
 IL ,F,,patricia
IL,F,1964.0,Robert
IL, F ,1976.0,Taylor
IL,M,1950.0,Alex
IL,M,1994.0,Taylor
IL,F,1947.0,Mary
IL,M,1978.0,Jordan
IL,F,1938.0,Mary
 IL ,F,1960.0,Jordan
IL,F,1994.0,
IL,F,1954.0,Casey
IL,,1972.0,Jennifer
IL,M,1932.0,james
 IL ,M,1957.0,Jordan
IL,F,1929.0,
IL,M,2017.0,James
IL,M,1971.0,James
,M,1972.0, Alex 
IL, F ,1941.0,Alex
IL,M,1983.0,
IL,M,1984.0,Alex
IL,,2018.0,James
IL,M,1998.0,Taylor
IL,F,,Jordan
IL,F,1944.0,Jordan
IL,M,1952.0, Michael 
IL,M,2017.0,Alex
IL,M,1950.0,John
 IL ,F,2013.0,Jennifer
IL,M,1956.0,Mary
IL,F,1995.0,Jennifer
IL,M,1964.0,James
IL,,1957.0,Jordan
IL,M,1934.0,Casey
IL,,1961.0,Robert
IL,M,1947.0,Taylor
IL,F,1926.0,Casey
IL,M,2003.0,
 IL ,F,1980.0,
IL,M,1973.0,James
IL,F,1935.0,Mary
IL,M,2005.0,Jordan
IL, F ,1959.0,Alex
IL,M,1952.0,
IL,M,1964.0,
IL, F ,2000.0,Casey
IL,M,2012.0,michael
 IL ,F,1971.0,Patricia
IL,F,1990.0,Casey
IL,M,1946.0,James
IL,M,1980.0,Casey
IL, F ,1936.0,Casey
IL,F,1956.0,Alex
IL,M,1946.0, Michael 
IL,M,1939.0,Robert
 IL ,F,1928.0,Mary
 IL ,M,1977.0,Mary
IL,F,1969.0,Patricia
IL,,1941.0,Jordan
 IL ,F,1965.0,Taylor
IL,,,Mary
IL,F,1998.0,Patricia
IL,F,2002.0,Jordan
IL,M,1970.0,Taylor
IL,F,1937.0,Casey
IL,F,1959.0,Patricia
IL,M,1929.0,Jordan
IL,F,1960.0,Linda
IL,M,1943.0,John
IL,F,1976.0,Jennifer
IL,,2007.0,Robert
IL,F,1990.0,Alex
IL,M,1970.0,Alex
, M ,1998.0,Casey
IL,F,2022.0,Jennifer
 IL ,F,1924.0,Jordan
IL,M,1921.0,james
IL, F ,,Linda
IL,F,1979.0,Mary
IL,F,1978.0,
IL,M,2014.0,Alex
IL,M,1948.0,michael
IL,F,1932.0,Mary
IL,F,1962.0,Patricia
IL,F,1984.0,Linda
IL,M,1999.0,Robert
IL,F,1984.0,Taylor
IL,M,2008.0,Robert
 IL ,M,2004.0,Linda
IL,M,2020.0,Jordan
IL,F,1969.0,Casey
 IL ,M,2018.0,Michael
IL,M,1937.0,Alex
IL,F,1982.0,Jordan
IL,M,2008.0,James
IL, F ,2020.0,Alex
IL,F,1988.0,Patricia
IL,M,1962.0,
IL,M,1933.0,Robert
IL,M,1940.0,Taylor
IL,F,,Linda
