State,Sex,Year,Name,Count
 IN ,M,1965.0,Michael,337
IN,M,1935.0,,740
IN,F,2020.0,Alex,54
 IN , M ,1950.0,Alex,86
 IN ,F,1917.0,Jordan,8
IN,M,1940.0,Michael,360
 IN ,M,2004.0,Michael,58
,M,1951.0, Michael ,
IN,F,1986.0,Mary,534
IN,M,1944.0,Casey,28
IN,M,1989.0,Robert,324
IN,,,,15
IN,F,1912.0,Jennifer,36
IN,M,2003.0, John ,254
IN,F,,Jordan,1150
IN,F,1948.0,James,74
 IN ,F,1950.0,Patricia,
IN,M,1982.0, Michael ,163
IN,F,1953.0,Linda,161
IN,F,1942.0,Mary,169
IN,M,2005.0,casey,309
IN,F,1927.0,James,47
IN,F,1942.0,Linda,817
IN,M,1992.0,Casey,64
IN,F,1952.0,Mary,157
IN,F,1984.0,Jordan,
 IN ,F,1954.0,Patricia,61
IN,F,1943.0, Alex ,258
IN,M,1995.0,John,580
IN, F ,2002.0, Casey ,270
IN,F,1940.0,Patricia,10
IN,M,1965.0,,293
IN,M,1951.0,Alex,
IN,M,1989.0,Michael,624
IN,F,1981.0,Jordan,714
IN,M,1958.0,Michael,149
IN,M,,Jordan,91
,F,1982.0,Taylor,412
IN,F,1972.0,Mary,78
IN,F,2013.0,Alex,150
IN,,1913.0,James,5
IN,F,1976.0,,1058
IN,F,1985.0,Jennifer,221
IN,M,1947.0,Taylor,104
IN,F,2000.0,Mary,176
IN,M,1970.0,Robert,103
IN, M ,1941.0,Alex,479
IN,M,1955.0,Alex,194
IN,F,2012.0,Linda,227
 IN ,F,1987.0, Patricia ,260
IN,M,1964.0,Casey,439
IN,M,2007.0,james,579
IN,F,2015.0,Patricia,104
IN, F ,1925.0,Patricia,56
IN,M,1981.0,Robert,370
IN,F,1980.0,Mary,573
IN,M,1995.0,James,60
 IN ,M,,Michael,31
IN,M,1951.0,Robert,561
,F,2012.0,Taylor,273
 IN ,F,2004.0,Jennifer,190
IN,F,1993.0,Casey,482
IN,F,1935.0,Casey,176
IN,M,1978.0,Robert,
IN,F,1936.0,Jennifer,381
IN,F,2015.0, Jennifer ,133
IN, M ,2009.0,Robert,5
IN,F,1981.0,Linda,252
IN,M,1911.0,Robert,13
IN,F,1985.0,Patricia,1026
 IN , M ,1920.0,John,72
IN,F,1989.0,Alex,287
IN,M,1983.0,Alex,681
IN,M,2018.0,Casey,298
IN,M,1915.0,Taylor,20
IN,M,1991.0,Taylor,176
IN,F,2014.0,Alex,180
IN,F,1986.0,Jordan,317
IN,F,1940.0, Casey ,5
IN,M,,Taylor,118
 IN ,M,1996.0,Jordan,665
IN,F,1982.0,Patricia,533
IN,F,1957.0,Jennifer,747
IN,M,1992.0, John ,202
IN,M,1911.0,John,103
IN,F,1961.0,Jennifer,83
IN,M,2016.0,Casey,292
IN,M,1947.0,James,45
IN, M ,1922.0,James,21
IN,M,1965.0,Robert,982
IN,F,2003.0,Alex,21
IN,M,1996.0,James,175
IN,F,1955.0,Jennifer,313
IN, F ,1954.0,jennifer,109
IN,F,1961.0,Jordan,332
IN,M,1991.0,Jordan,20
IN,M,1969.0,Michael,186
IN,F,1953.0,Mary,29
IN,F,1956.0,Alex,67
IN,,1981.0,Alex,696
 IN ,M,1999.0, Jordan ,751
IN,M,1923.0,Alex,7
IN,F,1977.0,Mary,947
 IN ,M,1932.0,Alex,33
