STATE,SEX,YEAR,NAME,COUNT
KS,F,1920.0,Jordan,73
KS, F ,1917.0,Jennifer,122
KS,F,1935.0,Linda,37
KS,F,1960.0,Patricia,543
KS,F,2014.0,Linda,53
KS,M,2018.0,Michael,140
KS,M,1963.0,Jordan,100
KS, F ,2021.0,Taylor,
KS,F,1999.0,Linda,631
KS,M,1996.0,Robert,61
KS,F,2020.0,Linda,341
KS, M ,1977.0,Jordan,523
KS,M,1912.0, Casey ,68
KS, F ,1944.0,Patricia,358
KS,M,1930.0,Alex,40
KS,F,1927.0,alex,19
KS,M,2019.0, Robert ,
KS,M,1913.0,Jordan,71
KS,F,1992.0,Jennifer,49
KS,F,1970.0,Casey,185
KS,F,1967.0,Linda,157
KS,M,1952.0, Michael ,890
KS,M,1953.0,Robert,183
KS, M ,2019.0,Jordan,56
KS,M,2013.0,Robert,447
KS,F,1965.0,Jordan,26
KS, M ,1985.0,Patricia,589
,F,1926.0,,550
KS,F,1967.0,John,63
,F,1943.0,Alex,29
KS,F,1988.0,Patricia,11
KS,F,1920.0,Patricia,10
KS,F,1964.0,Alex,933
KS, F ,1919.0,Mary,93
KS,F,1964.0,Patricia,726
KS,M,2011.0,robert,75
KS,F,1967.0, Alex ,422
KS,M,1945.0,Michael,22
KS, F ,1962.0,Linda,464
KS,F,1982.0, Alex ,306
KS,F,2018.0,Jordan,363
KS,F,1954.0,Jordan,66
,F,2006.0,Alex,146
 KS ,M,1913.0,Taylor,91
 KS ,M,2014.0,Alex,20
KS,M,1970.0,John,239
,F,1980.0,Jennifer,802
KS,F,1919.0,Jennifer,45
KS,,2015.0,Jennifer,110
KS,M,2021.0,Casey,123
,M,1988.0,Jordan,114
KS,F,1963.0,Casey,589
KS,M,1978.0,Taylor,453
KS,M,1961.0,Taylor,
KS,F,2007.0,Patricia,293
KS, M ,1927.0, Taylor ,13
KS, M ,1953.0,Michael,27
KS,F,1993.0,Linda,252
KS,M,1954.0,James,31
KS,F,2022.0,,39
KS,M,1968.0,Michael,268
KS,M,1942.0,Robert,336
KS,M,1940.0,,120
KS,F,1981.0,Patricia,59
KS,M,1975.0,Robert,480
KS,M,1931.0,,136
KS,M,1992.0,Michael,424
KS,F,1956.0,Casey,33
KS,F,2001.0, Jordan ,486
KS,F,1910.0,Linda,64
KS,M,,Taylor,8
KS,F,2002.0,Patricia,46
KS,F,1975.0,Linda,107
KS,M,1987.0,Michael,772
KS, F ,,Linda,483
,M,1970.0,James,378
KS,F,2001.0,Jennifer,496
KS,M,1946.0,Jordan,166
KS,M,2008.0,John,874
 KS ,M,1947.0,,9
 KS ,F,1952.0,Linda,87
KS,M,1944.0,Michael,85
KS,M,1970.0,Casey,528
KS,M,1981.0,Patricia,559
