State,Sex,Year,Name,Count
KY,M,2000.0,James,37
KY,M,1961.0,James,58
,,2014.0,Alex,185
KY,M,1982.0,Michael,154
KY,F,1967.0,Alex,318
KY,M,1951.0,jordan,18
,F,1993.0,Michael,34
KY, M ,2011.0,Jordan,16
KY,F,1921.0,Linda,36
KY, M ,2020.0,Taylor,102
KY,F,1947.0,Jordan,9
KY,F,1997.0,Linda,104
KY,M,1955.0,Robert,38
KY,F,1926.0,Jordan,71
KY,F,2016.0,Casey,487
KY,F,1990.0,Alex,947
KY,F,1950.0,Taylor,982
KY,M,1988.0,Casey,294
KY,M,2002.0,Patricia,285
 KY ,M,1968.0,Alex,86
KY,M,1916.0,Taylor,29
KY,F,1971.0,Mary,36
KY,M,1990.0,Mary,168
KY, M ,1984.0,Alex,166
KY,M,1945.0,Casey,8
KY,M,1949.0,Taylor,261
KY,F,1931.0,Patricia,80
KY,F,1971.0,Jordan,178
KY,M,1956.0,James,82
KY,M,1975.0, Linda ,579
KY,F,2004.0,Taylor,74
 KY , F ,1996.0,Mary,68
KY,M,1986.0, Taylor ,164
KY,M,1960.0,Casey,605
KY,M,1952.0,Robert,801
KY,F,1941.0, Patricia ,15
KY,F,2012.0,Linda,50
KY,M,1920.0,John,8
KY,F,1955.0,Alex,246
KY,M,1975.0,Taylor,31
KY,F,2005.0,Alex,184
KY,M,1948.0,Robert,345
 KY ,,1983.0,Jordan,54
KY,F,1990.0,Taylor,576
KY,F,1949.0,Mary,33
KY,M,1939.0,Robert,259
KY,F,2009.0,Michael,112
KY,M,,Taylor,22
KY,M,1912.0,Alex,122
KY,M,,Michael,16
KY,F,1964.0,Jordan,756
KY,M,1976.0,James,600
KY,M,1941.0,Patricia,13
KY,F,1956.0,Linda,585
 KY ,M,1990.0,Taylor,
KY,,1946.0,Jennifer,10
KY,F,,Mary,393
KY,F,2003.0,Jordan,644
KY,F,1951.0,Linda,484
KY,,1999.0,Casey,31
KY,F,1979.0,Casey,216
KY,M,1961.0,Casey,54
KY,F,2003.0,Mary,184
KY,M,1916.0,Jordan,16
KY,F,1989.0,Patricia,16
KY,F,1953.0,Linda,78
KY,M,1976.0,alex,112
KY,M,1953.0,Alex,91
 KY ,F,1946.0,Jordan,52
KY,F,,Patricia,134
KY,M,1963.0,Casey,
KY,M,1943.0,Casey,25
KY,,1993.0,Linda,21
,F,1950.0,Linda,629
KY,F,1934.0,Casey,74
KY,M,1971.0,Taylor,63
KY,M,2003.0,Robert,71
KY,F,1953.0, John ,504
KY,M,1971.0,James,200
KY,M,2014.0,jordan,18
KY,M,1980.0,Alex,516
KY,M,1994.0,Michael,159
KY, M ,1993.0,Taylor,299
KY,M,1944.0,Alex,55
KY,M,2010.0,Michael,386
KY,F,1939.0,Alex,5
KY,,1960.0, Jordan ,310
KY,F,1947.0,Patricia,43
KY,M,2004.0,James,82
KY,M,1977.0,john,235
