state,sex,year,name,count
 LA ,F,1953.0, Robert ,918
LA,F,1989.0,,306
LA,,2016.0,Alex,648
,M,1935.0,Michael,15
 LA ,F,2008.0,Alex,11
LA,F,1969.0,Mary,152
LA,F,1929.0,Mary,67
LA, F ,2017.0,Jennifer,6
LA,M,2003.0,Taylor,158
LA,F,1998.0,Alex,168
LA,F,1960.0,Mary,859
LA,F,1946.0, Patricia ,156
LA,M,1999.0,Patricia,236
LA,M,1985.0,Casey,45
LA,M,1973.0,Alex,72
LA,M,1985.0,Alex,68
LA,M,1992.0,Casey,279
LA,M,1975.0,John,202
LA,M,2004.0,,
LA,F,1988.0, Michael ,269
LA,F,1940.0,Linda,7
LA,M,,Jordan,399
LA,,1967.0,James,643
LA,F,1992.0,Mary,411
LA,F,1950.0,Jennifer,284
LA,M,2003.0,James,622
LA,M,1959.0,Linda,707
LA,M,1912.0, Michael ,43
LA,F,,Mary,1566
LA,F,1941.0,Linda,
LA,F,1935.0,Casey,34
,M,1994.0,John,359
LA,F,1974.0,Patricia,40
 LA ,F,1974.0,Alex,6
LA, M ,1987.0,,135
LA,M,1979.0,Alex,141
LA,F,2007.0,,22
LA,F,1961.0,Casey,49
 LA ,F,2001.0,Mary,466
LA,F,2022.0,James,731
LA,F,1992.0,Casey,627
LA,F,1952.0,Casey,47
LA,,2014.0,Jordan,966
LA,F,2005.0,Jordan,63
 LA ,F,2002.0,Linda,580
LA,F,1992.0,Linda,634
LA,F,,Mary,31
LA,F,2021.0,Mary,5
,M,1995.0,Robert,755
LA,F,1932.0,Jordan,18
 LA ,F,1942.0,Linda,719
LA,M,1955.0,robert,28
LA,M,2004.0,John,626
LA, F ,,Jordan,447
LA,F,1989.0,Jordan,
LA,M,1972.0,Jordan,
LA,M,1945.0,Robert,10
LA,F,1991.0,Jordan,509
LA,,2019.0,Alex,316
LA,M,,Taylor,16
LA,M,1982.0,John,140
 LA ,F,1981.0,Linda,125
LA,F,,,32
LA,M,1929.0,Alex,77
LA,F,1975.0,Mary,253
,F,2004.0,Jennifer,41
LA,M,2015.0,,338
LA,M,1972.0,Robert,138
LA,M,1976.0,,220
LA, M ,2010.0,,205
LA,F,1982.0,Jennifer,
 LA ,M,1999.0,Taylor,277
LA,M,2000.0,Michael,64
 LA , F ,1917.0,Jordan,12
LA,M,1974.0,John,543
LA, M ,1970.0,Robert,286
LA,F,1915.0,Jennifer,77
LA,M,1949.0,casey,444
LA,M,1959.0,Robert,37
LA,,1974.0,Taylor,201
 LA ,F,1965.0,Taylor,34
LA,M,1932.0,Taylor,165
,M,1977.0,John,523
 LA ,,2000.0,Taylor,83
,F,2006.0,Taylor,7
LA,M,1962.0,John,293
LA,M,1930.0,Taylor,98
LA,M,1911.0,Alex,7
LA,M,1968.0,Robert,288
LA, M ,1933.0,Robert,104
LA, M ,1955.0,Alex,7
LA,M,1993.0,Taylor,1361
 LA ,M,1986.0,Taylor,125
LA, M ,1972.0,James,268
LA, F ,1957.0,Mary,27
LA,M,1940.0,James,35
LA,M,1950.0,Casey,35
LA,F,2020.0,Jennifer,529
LA,F,2013.0,Linda,109
LA, M ,1961.0,Robert,740
LA,M,2014.0,Michael,10
LA,F,1999.0,Alex,96
LA,M,1975.0,Jordan,219
LA, F ,1977.0,Mary,330
LA,M,1964.0,Alex,27
 LA , F ,1958.0,Linda,99
LA,F,,Jennifer,427
LA, F ,2003.0,Taylor,840
LA,M,1921.0,Casey,21
LA,F,1929.0,Patricia,7
LA,M,1917.0,Robert,45
LA, F ,,Casey,42
LA,F,2018.0,Jordan,
LA,M,2020.0,Taylor,87
LA,M,1924.0, Casey ,158
LA,F,1961.0,Robert,16
LA,F,2022.0,Patricia,22
