state,sex,year,name,count
MA,M,1971.0,James,731
MA,F,1913.0,Patricia,36
MA,F,,Casey,324
MA, F ,1962.0,Mary,44
 MA ,F,1989.0,Taylor,15
MA,M,1932.0,John,81
MA,M,2001.0,Alex,46
MA,M,1933.0,Jordan,74
 MA ,M,1979.0,Jordan,461
MA,,2009.0, Michael ,7
MA,F,1975.0,Taylor,463
MA,F,,Alex,71
MA,F,1916.0,Michael,14
MA,F,1989.0,Jennifer,376
MA, M ,1940.0,robert,459
MA,F,1921.0,Linda,222
 MA ,M,1921.0,Taylor,16
MA,F,1986.0,Mary,277
MA,F,2008.0,Alex,103
MA,F,1971.0,Taylor,
MA,F,1979.0, Patricia ,193
MA,M,2018.0,Jordan,7
MA,M,1962.0,,121
MA,F,1939.0,Casey,
MA,F,1932.0,Taylor,247
 MA ,M,1948.0,,235
MA,F,1966.0,Mary,697
MA,M,,Michael,459
MA,F,,Jennifer,46
MA,M,1963.0,Alex,380
MA,F,1946.0,Casey,17
MA,M,2014.0,Taylor,78
MA,F,1960.0,Patricia,
MA,M,,Robert,223
 MA ,M,1996.0,Alex,146
,F,1956.0,Casey,485
MA,M,2017.0,John,36
MA,M,1973.0,Alex,115
MA,F,1974.0,Linda,553
MA, F ,1968.0,Jennifer,
MA,M,,Taylor,470
MA,M,1967.0,Taylor,838
MA,M,1987.0,Jordan,421
MA,F,,Alex,189
MA, M ,1916.0,Jordan,53
MA, M ,1938.0,Alex,80
MA,F,,Taylor,652
MA,M,1986.0,Alex,862
MA,M,1982.0,Jordan,122
MA,,2021.0,Casey,5
MA,F,1987.0,Casey,
MA,M,1921.0,Jordan,12
MA,F,1989.0,Jordan,479
MA,F,1970.0,Jennifer,579
MA,F,2019.0,Taylor,19
MA,M,1944.0,Michael,11
MA,M,1992.0,Taylor,332
MA,M,2012.0,,132
MA,M,1973.0,Michael,538
,M,1935.0,James,25
MA, M ,2019.0,Taylor,728
 MA ,F,2014.0,Jennifer,6
MA, F ,2010.0, Patricia ,40
MA,F,1929.0,Taylor,7
MA,M,1932.0,Taylor,25
MA,M,1976.0,Michael,99
 MA ,M,1930.0,Jordan,55
MA,F,1993.0,Casey,
MA,M,1974.0,Michael,36
MA, M ,2006.0,,74
MA, F ,2016.0,Jennifer,
MA,F,1994.0,Taylor,64
 MA , F ,1975.0,Linda,94
 MA ,F,,Casey,456
MA,M,1962.0,Taylor,137
MA,M,2006.0,James,150
MA,F,1988.0,Taylor,184
MA,F,2013.0,Linda,595
,M,1934.0, James ,285
MA,,1920.0,Alex,9
MA, M ,1969.0,Jordan,505
MA,M,2007.0, James ,35
MA,,1984.0,Alex,30
MA,F,1988.0, Alex ,13
MA,F,1998.0,Casey,44
MA,M,1941.0,,264
MA,F,1934.0,Taylor,91
MA,M,1972.0,Alex,407
MA,M,1992.0,Casey,520
MA,,1912.0,James,82
MA,F,1976.0,Casey,73
,M,,James,18
MA,,1951.0,Alex,328
MA,M,1946.0,Alex,22
MA,M,2004.0,Taylor,369
MA,M,2013.0,Patricia,209
MA,F,2017.0,Robert,148
MA,F,1951.0,Patricia,8
MA,M,1916.0,James,23
,F,1988.0,Patricia,594
MA,F,2006.0,Casey,205
 MA ,F,1952.0,Taylor,399
,F,2002.0,Jordan,792
MA,M,1950.0,John,80
MA,F,1976.0,,293
MA,M,1977.0,Taylor,846
MA, F ,1969.0,Patricia,812
MA,F,1974.0,Alex,241
MA,F,1958.0,Alex,123
MA,F,1960.0,Jordan,343
MA,,1948.0,James,87
 MA ,F,2013.0,Robert,614
MA,M,1990.0,Robert,832
 MA ,M,2013.0,John,473
MA, F ,1987.0,Jordan,307
MA,M,1979.0,James,856
 MA ,M,1952.0, Casey ,58
MA,F,1941.0,Casey,325
MA,F,1982.0,Casey,429
 MA ,F,1940.0,,21
MA,F,1950.0,Patricia,442
MA,M,1949.0,Taylor,182
MA,,1927.0,Robert,12
MA,F,1994.0,mary,105
MA,F,1953.0,Jennifer,47
 MA ,F,1991.0,Alex,35
 MA ,,2017.0,Casey,258
 MA ,F,2005.0,Taylor,88
 MA ,M,2010.0,Michael,170
MA,M,1925.0,Taylor,19
MA,F,1974.0,Patricia,243
