State,Sex,Year,Name,Count
 MD ,M,2017.0,Mary,34
MD,M,1982.0,Jordan,357
 MD ,M,1956.0,Taylor,39
MD,F,1933.0,Mary,128
MD,F,1986.0,Michael,57
MD,M,1983.0,Taylor,101
MD,F,1965.0,Linda,5
,F,2005.0,Casey,200
 MD ,F,1956.0,Jordan,314
MD,M,1977.0,James,831
 MD , F ,1925.0,Jennifer,107
MD,M,1954.0,jordan,869
MD,F,1954.0,Jordan,366
MD,M,1983.0,Robert,745
MD,F,1945.0, Alex ,19
MD,M,2008.0,Alex,75
,M,1989.0,michael,599
MD,F,,Mary,368
MD,F,1948.0,Mary,30
MD,F,1918.0,Patricia,11
MD,M,1946.0,John,16
MD,F,1974.0,Alex,79
MD,M,1956.0,Michael,191
MD,F,1960.0,Jordan,655
MD, F ,1968.0,alex,266
MD,M,1984.0,Alex,234
MD,M,2015.0,Jennifer,95
MD,M,1973.0,Jordan,233
MD,F,1978.0,Alex,652
MD,F,1967.0,Patricia,1009
MD,F,1961.0,Jordan,571
MD,F,1928.0,Casey,20
MD,,2011.0,Michael,477
 MD ,M,1943.0,Taylor,19
MD,F,2010.0,Jennifer,515
MD, M ,,Taylor,497
MD,M,1998.0,Alex,162
MD,F,1986.0,Mary,507
MD,M,1945.0, James ,683
MD,M,1945.0,Casey,12
MD,M,,Alex,530
MD,F,1969.0,Linda,662
MD,F,1954.0,Patricia,414
MD,M,2008.0,Jennifer,328
,F,1975.0,Patricia,214
 MD , F ,1993.0,Taylor,187
 MD , M ,1913.0,Michael,13
MD, F ,1978.0,Jordan,855
MD,M,1972.0,Alex,391
MD, M ,2012.0,Taylor,25
MD,M,1939.0,Michael,299
, F ,1983.0,Taylor,475
MD,M,1929.0,Casey,13
MD,M,1938.0,John,6
MD,F,1969.0,Mary,48
MD,M,1933.0,James,433
MD,F,1991.0,Linda,78
MD,F,1984.0,Mary,62
 MD , F ,1937.0,jordan,
MD, F ,1948.0,Patricia,96
MD,M,1946.0,Linda,677
MD,F,1990.0,,326
MD, F ,2005.0,,510
MD,M,1929.0,John,5
 MD ,M,1932.0,Robert,36
MD,F,1927.0,Taylor,
MD,M,1941.0,Patricia,7
MD,F,1987.0,Jordan,306
MD,F,2000.0,Taylor,53
MD,M,,Michael,229
MD,M,,Casey,52
,M,1979.0,,85
MD,M,1958.0,Jordan,38
,M,1980.0,Michael,371
MD,F,2022.0,Patricia,417
MD,F,1942.0,Alex,239
MD,M,,James,335
MD,F,2020.0,Jennifer,787
MD,F,1975.0,Casey,524
MD,M,, Casey ,191
MD,M,1959.0,Casey,41
MD,,,,25
MD,M,,alex,843
MD,F,1939.0,Taylor,10
MD,F,2020.0,Alex,6
MD,M,2010.0,Michael,38
MD,M,1924.0,Michael,26
MD,F,1944.0,Mary,408
MD,F,,Jennifer,937
MD,,2014.0,Alex,105
MD,M,,Michael,159
MD,M,1945.0,Alex,32
MD,F,1950.0,Mary,21
MD,M,1949.0,James,71
MD,F,1976.0,Jennifer,413
 MD ,F,,Mary,31
MD, F ,1948.0,Jordan,132
MD,M,1941.0,Robert,78
MD,F,1950.0,Jordan,66
MD,M,1948.0,Michael,17
,M,1975.0, Taylor ,377
MD,F,1970.0,Jennifer,636
MD,F,1939.0,Mary,129
MD,F,2004.0,Jordan,67
MD,F,1948.0,Alex,75
MD,M,1984.0,Robert,210
MD, M ,1962.0,John,687
MD,M,1949.0,Jordan,173
MD,M,1995.0,casey,776
MD,F,1943.0,Linda,33
MD,M,1915.0,Jordan,59
MD,,2003.0,Alex,118
MD,M,2006.0,Alex,73
MD,,, Linda ,261
MD,M,1939.0,Jordan,24
MD, F ,1976.0,patricia,417
MD,F,2001.0,Linda,62
MD, F ,2011.0,Taylor,512
MD,M,1972.0,michael,1337
MD,M,1931.0,,
MD,F,2006.0,Linda,8
 MD ,F,1969.0,Alex,200
MD,F,2003.0,Jordan,867
MD,F,1926.0,Taylor,60
MD, F ,1997.0,casey,494
MD,M,1926.0,Casey,9
MD,F,1932.0,Taylor,101
MD,M,1952.0,Casey,16
 MD , F ,1994.0,,364
MD,F,1994.0,Mary,994
MD,M,1938.0,Alex,38
MD,F,1995.0,Jordan,28
MD,F,1962.0,Linda,209
MD,M,1925.0,Taylor,107
MD,M,1985.0,Linda,1190
MD,M,2005.0,John,35
MD,F,1964.0,Taylor,156
MD, M ,2022.0,Michael,14
MD,F,1978.0,James,532
MD,F,1958.0,Casey,629
MD,F,1953.0, Linda ,35
MD,M,2012.0,James,315
MD,F,1960.0,Casey,64
MD,F,1933.0,Jordan,55
MD,F,1949.0,Patricia,30
MD,F,1919.0,Jennifer,86
MD,M,1986.0,Jordan,489
MD,F,1931.0,casey,265
MD, F ,1971.0, Jordan ,88
MD, F ,1925.0,patricia,414
MD,M,1938.0,Casey,
MD,M,1968.0,James,262
,M,,,142
MD, F ,1934.0,Alex,20
 MD ,M,1926.0,James,
 MD ,F,2011.0,Jennifer,24
MD,F,1949.0,Jordan,359
MD,F,1965.0,Taylor,24
MD,F,1967.0,Robert,322
MD,F,,Patricia,1007
MD,F,1940.0,Taylor,241
 MD ,M,1930.0,Robert,270
MD,F,1962.0,Taylor,170
MD,F,1979.0,Linda,158
MD,M,2003.0,Casey,18
MD,M,1917.0,John,237
MD,M,1989.0,Taylor,33
 MD ,F,1946.0,Taylor,103
MD,M,1980.0,Casey,1010
 MD ,F,1977.0,,578
MD,F,1914.0,Mary,38
MD,F,2021.0,Jordan,127
MD,F,2018.0,Linda,7
 MD ,F,1989.0,Jordan,47
MD,F,2002.0,Jordan,18
MD,M,1980.0,Taylor,95
MD,M,2017.0,Casey,39
MD,F,1977.0,michael,662
MD, F ,1921.0,Patricia,132
MD,M,1984.0,Jordan,156
MD, M ,2000.0,Michael,5
 MD ,M,2016.0,John,11
MD,F,2016.0,Linda,71
MD,F,1997.0,Mary,20
MD,M,1955.0,John,92
 MD ,F,1943.0,Jordan,138
MD,F,1999.0,jennifer,596
MD,M,1921.0,Jordan,14
MD,F,2009.0,Linda,12
MD,F,1936.0, Taylor ,453
MD,F,1952.0,alex,71
MD,M,1942.0,Robert,11
MD, M ,1950.0,John,250
 MD ,F,1994.0,Jordan,1088
MD,M,,James,69
MD, F ,1991.0,Casey,126
MD, F ,1989.0,Michael,88
MD,F,,Patricia,5
MD,F,1919.0,Patricia,57
 MD ,M,1950.0,casey,17
MD,F,1952.0,Jennifer,20
MD,,1971.0,Jennifer,170
MD,M,1951.0,John,697
MD,,2018.0,Michael,193
MD, M ,2012.0, Mary ,46
MD,M,1973.0,Michael,302
MD,M,1975.0,Jordan,208
MD,M,1913.0,James,99
MD,F,1952.0, Jordan ,85
MD,M,1931.0,John,36
MD,M,1964.0,John,675
MD,M,2017.0,Robert,
MD, F ,1970.0,Patricia,9
MD,M,1986.0,Casey,237
 MD ,M,1970.0,Alex,120
MD,M,2016.0,Jordan,84
MD,F,1978.0,Linda,324
MD,M,1992.0,Jordan,882
