state,sex,year,name,count
ME,M,1990.0,Alex,73
ME,M,1985.0, Robert ,66
ME,F,,Jordan,249
ME,F,1941.0,Mary,51
ME,M,2007.0,Alex,14
ME,M,1973.0,Casey,101
ME, F ,1954.0,Jordan,173
ME,F,1970.0,John,231
ME,M,1979.0,Jordan,356
 ME ,M,1944.0,Mary,80
ME, F ,1996.0,Linda,39
ME,F,1980.0,Patricia,795
ME, F ,1970.0,Jennifer,625
ME,,1947.0,Robert,615
 ME , M ,1933.0, Jordan ,121
ME,,2004.0, Michael ,247
 ME ,F,1945.0,Taylor,621
ME,M,1941.0,Michael,127
ME,F,1991.0,Alex,59
ME, M ,2001.0,Casey,35
ME,M,1941.0,James,7
ME,F,2007.0,Patricia,112
ME, M ,1969.0,Robert,34
ME,M,2003.0,Robert,23
 ME ,F,2005.0,Casey,
ME,,1934.0,Jordan,26
ME,M,,Robert,279
ME,M,2008.0,Taylor,
ME,M,2003.0,Michael,92
ME,F,1941.0,,189
ME,F,1950.0,Taylor,
,F,1928.0,Jordan,14
ME,M,1952.0,James,515
ME,F,1978.0,linda,338
ME,M,1996.0,Jordan,144
ME, M ,1971.0,Michael,174
ME,M,1966.0,Jennifer,305
ME,F,1975.0,Alex,280
ME,,1919.0,Patricia,
 ME ,M,,Michael,194
ME,F,1975.0, Jordan ,386
ME,M,1930.0,alex,213
ME,F,1973.0,casey,727
ME, F ,1942.0, Jennifer ,22
ME,F,1999.0,Casey,215
ME,M,,Casey,820
ME,F,1961.0,jordan,528
ME,F,1980.0,Jennifer,110
ME,,1943.0,Casey,233
ME,F,2010.0,Jennifer,363
ME,F,1933.0,Casey,87
ME,M,2015.0,James,48
ME,F,2008.0,Mary,89
ME,M,1985.0,Casey,464
ME,M,1996.0,John,102
ME,M,2006.0,,568
ME,F,1998.0,Jordan,386
ME,F,2002.0, Mary ,23
 ME ,F,1979.0,Patricia,555
ME,F,1938.0, Taylor ,474
ME,F,, Patricia ,63
ME,F,1964.0,Alex,82
ME, M ,,John,399
ME,M,2017.0,john,21
ME, F ,1942.0,Mary,6
ME,,1973.0,,153
ME,M,2013.0,Casey,37
 ME ,M,1933.0,Patricia,
ME,F,1987.0,Taylor,628
ME,F,1953.0, Patricia ,15
ME,M,1974.0,John,297
ME,F,2013.0,Casey,17
ME,M,,James,25
ME,F,1971.0,Casey,154
,F,1959.0,Alex,431
ME,F,1935.0,,283
ME,,1993.0,Casey,564
ME,M,1979.0,Casey,120
ME,F,1988.0, Casey ,440
ME,M,1965.0,,119
 ME ,F,1942.0,Alex,271
ME,M,1949.0,Robert,74
ME,M,1976.0,James,148
ME,M,1967.0,Michael,566
ME,M,,Michael,
ME,F,2020.0,Alex,55
ME,M,1991.0,Alex,825
ME,F,,Jennifer,883
ME,F,1994.0,Casey,5
ME,F,1999.0,Jennifer,689
ME, F ,1956.0,Jordan,170
ME, M ,, Robert ,933
ME,F,1958.0,Casey,688
ME,F,1932.0,Jennifer,70
ME,F,1929.0,Alex,34
ME,M,1928.0,Robert,14
ME,M,1940.0,Taylor,52
ME,M,1969.0,Michael,142
,F,1959.0,Jordan,
ME,M,1929.0,John,133
ME,M,1979.0,Alex,80
ME,M,1997.0,Linda,747
ME,F,1959.0,Jennifer,318
ME,F,1979.0,Casey,641
ME,F,1979.0,Jordan,
ME,M,1936.0,Casey,49
,M,1967.0,Taylor,268
ME, F ,1968.0,Patricia,65
ME, M ,2019.0,,15
ME, M ,1945.0,Alex,63
ME,M,1936.0,Alex,15
ME,M,2016.0,John,147
ME,M,1950.0,John,557
ME,M,1927.0,Taylor,27
ME,F,1942.0,Jordan,32
