state,sex,year,name,count
MI,F,2002.0,Jennifer,18
MI,F,1992.0,Mary,178
MI,M,1959.0,John,46
MI,F,1922.0,jennifer,94
MI,M,1910.0,Alex,12
MI,M,1978.0,Alex,701
MI,,1940.0,Patricia,319
MI,F,1915.0,Taylor,23
 MI ,M,1916.0,Taylor,48
 MI ,F,1944.0,Linda,14
MI,F,1933.0,Jennifer,42
MI,M,1976.0,,90
 MI ,F,1953.0,Patricia,286
 MI ,M,1952.0,Robert,579
MI,M,1973.0,Casey,234
MI,F,,James,50
MI,M,2016.0,,12
MI,M,,,542
MI,M,2003.0,Casey,88
MI,M,1985.0,John,763
MI,F,1947.0,Linda,16
MI,M,1966.0,Michael,146
MI,M,1928.0,Casey,86
MI,M,1962.0,james,599
MI,,1997.0,,544
MI,M,,Jordan,427
MI,M,1949.0,Robert,488
MI, M ,1933.0,John,259
MI, F ,1986.0,Linda,31
,F,1926.0,Patricia,188
MI,M,1929.0,Robert,39
MI,,1990.0,Alex,253
MI,M,1988.0,michael,425
MI,M,1962.0,Casey,242
MI,M,1976.0,casey,78
MI,F,1975.0,Linda,595
MI,,1950.0,Taylor,26
MI,F,2003.0,Patricia,18
MI, F ,1948.0,Linda,296
MI,F,1974.0,Jordan,346
MI,F,1925.0,Jordan,
MI,F,1963.0,Taylor,728
MI,F,1981.0,Mary,251
MI,M,1993.0,Michael,145
MI,M,1993.0,James,89
 MI ,M,1986.0,Robert,
MI,F,1983.0, Patricia ,452
,,1945.0,Casey,545
MI,M,2017.0,Casey,10
MI,F,1997.0,James,350
 MI ,M,1925.0,Robert,9
MI, M ,1965.0, Casey ,240
MI,F,1985.0,Jennifer,223
 MI ,F,1966.0,Jordan,424
 MI ,M,1989.0,Jordan,64
MI,F,1974.0,Jennifer,106
MI,M,1937.0,Alex,7
MI,F,1977.0,Jennifer,24
,M,1946.0,Mary,123
 MI ,M,1969.0,jordan,504
MI,F,1980.0,Mary,403
MI,F,1988.0,Mary,245
MI,,1934.0,james,35
MI, M ,,Michael,16
MI,F,1983.0,,29
MI,F,1994.0,Linda,218
MI, M ,1943.0,Jordan,91
MI,F,1972.0,Alex,337
MI,F,1990.0, Casey ,346
MI, F ,2003.0,Linda,26
MI,M,1934.0,Robert,385
MI,F,,Jordan,157
 MI , F ,1958.0,Alex,274
MI, M ,1941.0,James,7
,M,1989.0,Mary,485
MI,,2014.0,Casey,26
 MI , M ,1947.0,Taylor,313
MI,F,1993.0,Alex,40
 MI ,M,2014.0, James ,608
MI,F,1954.0,Jennifer,96
MI, M ,2007.0,Jordan,61
MI,F,2014.0,Alex,25
MI,F,1965.0,Alex,22
MI,M,1965.0,Jordan,73
MI, F ,1987.0,jordan,379
MI,M,1920.0,Casey,130
MI,F,1925.0,Alex,325
MI,M,,Jordan,209
MI,F,1965.0,Linda,282
MI,M,1956.0,John,218
