stateCode,gender,birthYear,firstName,numOccurrences
MN,F,1947.0,taylor,5
MN,M,1995.0,Alex,396
MN,M,1982.0,James,219
MN, M ,1914.0,Jordan,40
,F,,Casey,527
MN,M,1925.0,Casey,7
MN,F,1949.0,Taylor,9
MN,M,1926.0,Alex,25
MN,F,1975.0,Jordan,209
MN,F,1979.0,Linda,668
MN,F,1960.0,Casey,341
MN,M,1975.0,Taylor,242
MN,F,1961.0,Casey,287
MN,F,1990.0,Jordan,33
MN,M,1911.0,Alex,10
MN, F ,1962.0,,247
MN,F,2014.0,Alex,12
MN,F,1971.0,Taylor,321
MN,M,2000.0,Jordan,54
MN,M,1923.0,John,56
MN,F,1972.0,Casey,332
MN, M ,1914.0,Michael,22
MN,F,1978.0,Casey,15
MN,F,1942.0,Patricia,68
 MN ,,1938.0, James ,175
MN,M,1973.0,Michael,338
,F,2011.0, John ,16
MN,M,1951.0,John,10
MN,M,2001.0,James,403
MN,F,1949.0,mary,82
MN,M,1947.0,Taylor,355
MN,F,2009.0,patricia,16
MN,F,1944.0,Mary,467
MN,M,2001.0,Michael,611
MN,F,1921.0,Taylor,215
MN,,1939.0,jordan,7
MN, M ,1953.0,Casey,443
MN,F,1976.0,Taylor,
MN,M,1976.0,Taylor,176
MN,M,,Michael,83
MN,M,1977.0,Jordan,543
MN,M,1959.0,Alex,117
MN, M ,1997.0,John,34
MN, F ,1939.0,Michael,5
MN,M,2014.0,Jordan,151
MN, M ,,Jordan,86
MN,M,1967.0,Robert,70
MN,M,1966.0,John,433
MN,F,2019.0,Mary,424
MN,F,1994.0,Linda,936
MN,F,1950.0, Jennifer ,38
MN,M,2016.0,James,130
MN,M,2005.0,Michael,1090
MN,F,1957.0,Patricia,9
MN,F,1953.0,Patricia,222
MN, M ,1963.0,Robert,202
MN,F,1973.0,Alex,40
MN,M,1951.0,Jordan,371
MN,F,1952.0,Linda,931
MN,F,1983.0,Linda,141
MN,,2012.0,Alex,6
MN,M,1921.0,Alex,23
MN,,1953.0,James,6
MN,F,1984.0,Taylor,297
MN,M,2006.0,Robert,162
MN,M,2008.0,Casey,25
MN,M,2018.0,James,70
MN,M,1980.0,Casey,673
,,1921.0,Alex,51
MN,F,1980.0,Jennifer,563
MN,M,2014.0,Alex,18
MN,,1928.0,Robert,300
MN, F ,1971.0,Casey,132
 MN ,F,1914.0,Linda,5
MN,F,2002.0,linda,55
MN,F,1998.0,Alex,738
MN,M,1911.0,casey,7
MN, M ,2013.0,Michael,22
MN,F,1939.0,Alex,484
MN,M,1940.0,James,155
 MN ,F,1988.0,Alex,592
MN,M,1927.0,Michael,108
MN,M,1946.0,Taylor,196
MN,F,2013.0,Jordan,13
MN,M,1960.0,John,396
MN,F,1993.0,Jordan,258
MN,F,1921.0,Mary,113
MN,M,2017.0,Jordan,197
MN,F,1995.0,Taylor,757
MN,F,1972.0,Jordan,346
 MN ,M,1982.0,Robert,460
MN,F,1941.0,Michael,169
MN,M,1996.0,Alex,503
 MN ,M,1944.0,Taylor,615
MN,F,2000.0,Patricia,485
MN,,1945.0,Mary,509
MN,M,2008.0,Jordan,25
MN,F,1940.0,Patricia,9
MN,F,1914.0,Jordan,34
MN,M,1993.0,Jordan,59
MN,F,1973.0,Mary,888
MN,,2008.0,Alex,104
MN,M,1986.0,Taylor,1080
MN,M,1919.0,Alex,54
MN,F,,Jordan,102
MN,,1950.0,alex,
MN,F,1938.0,Casey,344
MN,M,1960.0,James,91
MN,F,1980.0, Linda ,45
MN,,1956.0,Casey,17
MN,M,1995.0,James,370
MN,F,1980.0,Mary,392
MN,M,1975.0,Robert,503
MN,M,1950.0,James,12
 MN ,F,1945.0,Casey,652
,F,1983.0,alex,177
MN,M,1972.0,,81
MN,F,1959.0,,760
MN,M,1915.0,Michael,24
MN, F ,1924.0,Patricia,9
MN,M,, James ,794
MN, M ,2009.0,alex,18
MN,M,1910.0,Michael,5
MN,F,1990.0,linda,816
MN,M,1971.0,Casey,163
MN,M,1964.0,Robert,42
 MN ,M,1987.0,Alex,328
MN,F,2015.0,Patricia,355
MN, F ,1979.0,John,157
MN,F,1988.0,,134
MN,F,2022.0,Linda,74
,M,2012.0,Michael,366
MN,M,1945.0,Casey,9
MN,F,1946.0,Patricia,5
MN,F,1978.0,Patricia,1103
MN,M,1976.0,Taylor,176
MN, F ,1980.0,Alex,209
MN,F,1998.0,mary,39
MN,M,1943.0,James,50
MN,M,1976.0,Michael,291
MN,M,1975.0,Michael,185
,M,1935.0,Taylor,49
MN,M,1958.0,James,1072
MN,M,1980.0,,
MN,M,1937.0,Robert,16
MN,F,1997.0,Linda,247
MN,,2021.0,Robert,32
MN,F,1967.0,taylor,627
MN,M,1992.0,Casey,71
MN,F,,Casey,271
MN,,1917.0,Jennifer,5
MN,M,2005.0,Jordan,195
MN,F,1911.0,Casey,7
MN, M ,1936.0,Alex,
MN,M,1959.0,Taylor,301
MN,F,1985.0,Mary,98
 MN ,M,1933.0,Jordan,9
MN, M ,1940.0,Alex,792
MN,M,2013.0,Alex,166
 MN ,M,1948.0,Michael,13
MN,M,1942.0,Taylor,26
 MN ,F,1993.0,Patricia,527
MN,M,1988.0,Taylor,
 MN ,F,1938.0,Alex,
