State,Sex,Year,Name,Count
MO,M,1974.0,Jordan,
MO,F,1959.0,Jordan,38
MO,M,2013.0,Alex,466
 MO ,,2010.0,Mary,382
MO, M ,1936.0,Jordan,23
,M,1967.0,,707
,F,1946.0,Patricia,245
MO,M,1963.0,James,165
 MO ,M,1957.0,james,420
MO,F,1979.0,james,201
MO,M,1981.0,John,154
MO,F,1990.0,Mary,20
MO,M,1975.0,John,480
MO,M,1911.0,John,19
 MO ,M,1974.0,Robert,861
MO,F,1981.0,Casey,
MO,F,1948.0,Jennifer,117
MO,M,1988.0,James,517
 MO ,M,1935.0,Jennifer,8
 MO ,M,1997.0,Alex,49
MO,F,2018.0,Linda,233
MO,F,1951.0,Mary,538
MO,F,,Alex,328
MO,M,2002.0,Alex,438
MO, M ,1961.0,James,132
,F,1995.0,Taylor,66
,F,1943.0,,29
MO,F,1917.0,Jordan,
MO,M,1958.0,Robert,1103
,F,1943.0,Jordan,768
MO,F,1955.0,james,
MO,F,1942.0,Patricia,102
MO,M,2005.0,Robert,15
MO,M,1966.0,Jordan,542
MO,M,1957.0,John,272
MO,F,1986.0,Jennifer,486
MO,M,1934.0,Jordan,188
MO,F,1989.0,Mary,144
MO, F ,,Jennifer,54
MO,F,2003.0,jennifer,431
 MO ,M,2016.0,Michael,18
MO,F,2012.0,,1060
MO,F,1976.0,,
MO,F,1930.0,Jordan,15
MO,F,1950.0,Patricia,13
MO,F,,casey,234
 MO ,M,1939.0,Casey,15
MO,F,1995.0,,
 MO ,M,1926.0,Jordan,25
MO,F,1977.0,Mary,1227
MO,M,1990.0, James ,44
MO,F,1984.0, Jordan ,404
MO,M,1965.0,Robert,305
,M,2001.0,Casey,43
MO,F,1951.0,Jordan,19
MO,F,1955.0,Taylor,510
MO,M,1984.0,Michael,16
MO,M,1979.0,robert,300
 MO ,F,1946.0,Jordan,35
MO,M,1992.0,Taylor,775
MO,F,1959.0,Taylor,262
MO,F,1956.0,Taylor,547
MO,F,1991.0,patricia,
MO,F,1977.0,Casey,146
MO,M,2007.0,Casey,136
MO,F,1961.0,Casey,182
MO,M,1913.0,Casey,8
MO,F,1982.0,Mary,217
MO,F,1996.0,Casey,397
,M,2012.0,Michael,108
MO, F ,1973.0,Mary,61
MO,M,1958.0,James,986
MO,F,1919.0,Alex,150
MO,M,1941.0, Linda ,275
MO,F,2006.0,Jordan,11
MO,F,1940.0,Casey,104
 MO ,M,1933.0,John,45
MO,M,1950.0,John,
MO,M,2017.0,Michael,157
MO,F,1931.0,Alex,12
MO,M,1922.0, Michael ,185
MO,M,1989.0,Alex,536
MO,F,2017.0,Jennifer,24
MO,M,1934.0,Alex,
 MO ,M,1963.0,,33
,M,1954.0,James,258
MO,F,,Patricia,160
MO, F ,,Jennifer,250
MO,F,1968.0,Casey,650
MO,F,1924.0,Casey,11
MO,F,2010.0,Jordan,91
MO,F,2001.0,Taylor,556
MO,F,1990.0,Taylor,541
MO,M,1950.0, Michael ,417
MO,M,1975.0,Jordan,88
MO,M,2017.0,Casey,58
MO,M,1930.0,John,11
MO,,1932.0,Jordan,17
MO,F,1988.0,Jordan,224
MO,F,1969.0,casey,489
MO,M,1954.0,John,11
MO, M ,1979.0,Taylor,296
MO,F,1999.0,,748
MO, M ,1931.0,Robert,39
MO,M,1984.0,Jordan,65
MO,M,1996.0,james,91
,F,1960.0,Patricia,293
MO,M,1961.0, Jennifer ,519
MO,M,2013.0,James,984
MO,M,1953.0,Casey,75
MO,F,2005.0,Jennifer,16
MO,F,1921.0,Linda,7
MO,F,1931.0, Jordan ,106
MO,F,1990.0,Linda,596
MO,,,Linda,44
MO,F,1935.0,Jennifer,
MO,,2006.0,Alex,40
MO,F,1961.0,Jennifer,513
 MO ,M,2010.0,jordan,323
MO,F,1988.0,Linda,397
MO,F,2016.0,casey,8
MO,F,1978.0,Casey,132
MO,F,1955.0,Patricia,316
MO,F,1925.0,Alex,40
,M,1947.0,Casey,14
MO,M,1925.0,Michael,118
MO,F,1992.0,Taylor,1167
MO,F,2012.0,Mary,9
MO,M,2009.0,Robert,838
MO,F,,Alex,82
MO,M,,Jordan,323
MO,F,2004.0,,428
MO,F,1994.0,Taylor,129
MO,M,1985.0,John,452
MO,,1967.0,Taylor,137
MO,M,2001.0,James,68
MO,M,1995.0,Robert,
MO,M,1944.0,Taylor,386
 MO ,F,1913.0,Taylor,9
MO,M,1933.0,Alex,87
MO, F ,1932.0,Taylor,136
MO, M ,1958.0,Jordan,259
MO, F ,2004.0,Taylor,574
MO,F,1987.0,Alex,342
MO, F ,1922.0,Jennifer,8
, M ,1950.0,James,671
MO,F,2016.0,Mary,83
MO,,1991.0,Robert,679
MO,F,1997.0,Casey,20
,F,1922.0,Casey,189
MO,M,1945.0, Jordan ,11
 MO ,F,2009.0,Jordan,561
 MO ,F,2014.0,Mary,11
MO,M,1951.0,Robert,553
MO,F,1971.0,taylor,376
MO,F,1962.0,Mary,825
MO,M,1944.0,Michael,65
MO,M,1991.0,Taylor,1076
MO,M,1943.0, Robert ,85
MO,F,2008.0,Taylor,45
 MO ,F,1946.0,Casey,89
MO,M,1949.0,James,539
MO,F,2007.0,Jordan,85
MO,M,2015.0,Casey,140
MO,M,1996.0,Taylor,217
 MO , M ,1959.0,james,216
MO,M,2005.0,Jordan,52
MO,F,1933.0,Patricia,
MO,F,1996.0,Linda,145
MO,M,2006.0,Jordan,178
MO,M,1983.0,,310
MO,M,1948.0,casey,9
MO, F ,1948.0,Linda,10
MO,F,1976.0,Jennifer,65
MO,F,1996.0,Patricia,345
MO,F,1954.0,Alex,11
MO,F,2018.0,Patricia,15
MO,F,2002.0,Jordan,312
, M ,1942.0,John,
,F,2008.0,Mary,18
MO, F ,1947.0,Jordan,33
MO,M,1963.0,Robert,100
MO,M,1935.0,James,201
MO,F,1937.0,Casey,22
MO,,2004.0,Linda,183
MO,M,1984.0,Alex,403
MO,F,1929.0,Casey,134
MO,F,,James,558
MO,F,2004.0,Jordan,182
MO,M,2013.0,,7
MO, M ,1965.0,Casey,612
MO,M,1970.0,Alex,787
MO,M,2014.0,Robert,369
MO,F,2002.0,Linda,93
MO,F,2006.0,Mary,286
MO,F,2003.0,patricia,31
MO,F,1981.0,Taylor,324
MO,F,2003.0,Jordan,
MO,F,1956.0,Robert,525
MO,M,1935.0,Taylor,80
MO,F,1971.0,Linda,141
MO,,1951.0,Patricia,5
MO,M,1919.0,Mary,6
MO,F,1946.0,Alex,
MO,M,2018.0,John,29
MO,F,1973.0,Casey,385
MO,F,1966.0,Mary,365
MO, F ,1927.0,taylor,22
MO,M,2021.0,Robert,61
MO,M,1991.0,James,873
MO,M,1968.0,John,710
MO,M,1964.0,Casey,207
MO,M,1921.0,Robert,188
 MO ,M,1989.0,James,924
MO,,1986.0,Casey,153
 MO ,M,1999.0,Robert,23
MO,M,2021.0, Mary ,167
MO,F,1993.0,linda,345
MO,F,1926.0,alex,63
MO,F,1933.0,Jennifer,132
MO,F,2009.0,Linda,51
,F,1992.0,Jordan,404
MO, F ,1947.0, Casey ,219
MO,,1935.0,Casey,7
MO,F,1993.0,Alex,17
MO,M,,Michael,7
MO,M,1912.0,Jordan,19
MO,M,1970.0,Michael,11
MO,M,1984.0,Jennifer,530
MO, M ,1939.0,Alex,48
MO,F,2013.0,Alex,
MO,M,2002.0,John,17
MO,M,1970.0,Robert,763
 MO ,M,1923.0,John,141
MO,F,1992.0,Alex,182
