state,sex,year,name
MS, M ,1950.0,James
MS,M,2008.0,Jordan
 MS ,M,1986.0,Taylor
MS,F,1972.0,Jordan
MS, M ,1989.0,Jordan
 MS ,M,2012.0,casey
MS,M,1971.0,
MS,F,1918.0,
MS,F,1937.0,Jennifer
MS,F,1966.0,Jennifer
MS,M,1987.0,Michael
MS,F,1957.0,Casey
MS,M,, Jordan 
MS,F,1950.0,Jordan
MS,M,1984.0,James
MS,M,1973.0,James
MS,M,2002.0,Alex
MS,M,1984.0,
MS,F,2020.0,Alex
,M,1979.0,John
MS,F,1962.0,Mary
 MS ,M,2009.0,Taylor
,M,1948.0, Jordan 
MS,M,1924.0, James 
MS,F,1981.0,Casey
MS,F,1951.0,Linda
MS,F,,jennifer
MS,M,1962.0,John
MS,M,1989.0,Michael
MS,F,1998.0,Mary
MS,M,2005.0, Michael 
MS,,1937.0,Mary
MS,M,1991.0,
 MS ,M,1986.0,John
MS,M,1915.0,John
MS, M ,1998.0, Robert 
MS,F,2022.0,Alex
MS,F,1994.0,
MS,F,1931.0,Jennifer
MS,F,1968.0,Jordan
MS,F,1967.0,Alex
MS,F,1984.0,Linda
MS, F ,1994.0,Patricia
MS,M,1972.0,Michael
MS,M,1982.0,
 MS ,M,1976.0,Robert
MS,M,1996.0,Taylor
MS,,1958.0,Linda
MS,F,1942.0,Casey
MS,M,1956.0,Jordan
MS,M,1951.0,Robert
MS,F,2000.0,Taylor
MS,F,1917.0,Linda
,F,1982.0,Linda
MS,F,1930.0,Patricia
MS,F,1928.0,Alex
MS,F,1932.0,taylor
MS,M,1931.0,James
MS, M ,2011.0,casey
MS,F,1986.0,Jordan
,M,1912.0,Jordan
 MS ,F,1920.0,Jennifer
MS, F ,1973.0,Casey
MS,F,1965.0,Mary
MS,F,1925.0,Casey
MS,F,2020.0, Mary 
MS,M,2003.0,Robert
MS,F,1935.0,Mary
MS,F,1991.0,Jennifer
MS,M,2001.0, James 
MS,F,1924.0,Taylor
MS,M,1926.0,Taylor
,M,1963.0,John
MS,F,1932.0,casey
MS,M,,Alex
MS,M,2015.0,Alex
MS,M,1959.0,Jordan
 MS ,F,1911.0,taylor
MS,F,1949.0,Jordan
 MS ,F,1980.0,Jordan
MS,F,1960.0,Jordan
 MS ,M,2000.0,Jordan
MS, M ,1986.0,Casey
MS,M,2011.0,John
MS,F,1987.0,
,,2010.0,Michael
MS,M,1994.0, James 
MS,M,1999.0,Alex
MS,F,1922.0, Patricia 
MS,F,1949.0,Taylor
MS,F,2000.0,Casey
MS,F,2009.0,Mary
MS,M,2009.0,Michael
 MS , F ,1996.0,Taylor
MS,M,2008.0,James
MS,F,1979.0, Linda 
MS,M,1971.0, Robert 
MS,M,2014.0,John
MS,F,1996.0,jordan
MS,F,1958.0, Robert 
MS,M,,
MS,M,1927.0,Alex
MS,M,1962.0,
MS,M,1964.0,Taylor
MS,F,1972.0,Casey
MS,F,1943.0,taylor
MS,M,1983.0,James
,M,1919.0,
MS,M,1978.0,
MS, M ,1968.0,Mary
MS,F,2020.0,Jennifer
MS,F,1962.0,Casey
MS,M,1932.0,Casey
MS,F,1939.0,Alex
MS,M,1988.0,Jordan
MS,M,2016.0,Taylor
MS,F,1970.0,Robert
MS,F,1930.0,John
MS, M ,2016.0,alex
MS,M,1963.0,Casey
MS,M,1962.0,Jordan
MS, F ,,Taylor
, F ,1991.0,John
MS,F,1955.0,
MS,M,1910.0,Casey
MS,M,2007.0,Taylor
MS,F,1957.0,Jordan
MS,M,1999.0,Mary
MS,M,1931.0,Taylor
MS,F,1963.0,Alex
 MS ,F,1943.0,Patricia
MS,F,1964.0,Linda
MS,F,1981.0,Jennifer
 MS ,F,1959.0,Mary
MS,F,1951.0,Mary
MS,M,,Casey
MS,M,1934.0,Robert
MS,M,2004.0,Michael
MS,F,1997.0,Taylor
MS,F,1988.0,Jordan
MS,F,1949.0,Jennifer
MS,F,1982.0,Taylor
MS,,2002.0,Casey
MS,F,2012.0,Patricia
MS,M,1955.0,Alex
MS,M,1979.0,Michael
 MS ,M,2004.0,Robert
MS,M,1994.0,Robert
,M,1978.0,john
MS,M,1994.0,Michael
MS,M,1924.0,Michael
MS,F,2002.0,Patricia
MS,M,1979.0,Jordan
MS,F,2017.0,Casey
MS,F,2018.0,Mary
MS,F,1959.0,Patricia
MS,F,1944.0, Jennifer 
MS,M,1921.0,Robert
MS,M,1942.0,Mary
MS,M,1977.0,Robert
,M,1967.0, Jordan 
MS,M,1930.0,Casey
MS,M,1947.0,Alex
MS,F,1951.0,Alex
MS,M,2014.0,Casey
MS,M,1963.0,Robert
 MS ,M,2012.0,casey
MS,F,1962.0,Alex
MS,M,1974.0,Alex
MS,M,1972.0,james
MS,M,2022.0,Alex
MS,F,1944.0,Patricia
 MS , F ,2017.0,Patricia
MS,F,1933.0,Linda
MS,M,1958.0,Robert
MS,M,1968.0,Robert
MS,M,1986.0,James
MS,F,1926.0,Mary
MS,F,2007.0,Jordan
MS,F,1991.0,Linda
MS, M ,1964.0, Robert 
MS, F ,1914.0,Patricia
MS,F,1967.0,Jordan
MS,F,2009.0,Casey
 MS ,M,1946.0,Robert
MS, M ,1947.0,John
MS,M,1976.0,Jordan
MS,F,1964.0,Patricia
MS, M ,1923.0,Jordan
MS,,2015.0,Linda
MS,F,1961.0,Taylor
MS,M,2010.0,Alex
MS,F,1919.0,Mary
MS,M,2003.0,Jordan
MS,F,1953.0,Alex
MS,F,1924.0,James
MS,F,2012.0,Jordan
MS,F,1959.0,Jordan
,M,,Alex
MS,F,1956.0,Patricia
MS,F,2011.0,Jordan
MS,M,1989.0,Alex
 MS ,M,1942.0,Michael
MS,F,2001.0,Patricia
,,2003.0,Mary
MS,F,1997.0,Jennifer
MS,M,1929.0,
MS,M,2002.0,James
MS, M ,2004.0,Patricia
MS,F,1913.0,casey
MS,M,1961.0,James
MS,M,1988.0,Alex
MS,F,1934.0,Mary
MS,M,1974.0,Taylor
MS,F,1947.0,Jordan
MS,F,1948.0,Linda
MS, F ,1937.0,Casey
MS,F,2012.0,Alex
MS,F,1965.0,Casey
, M ,1911.0,Alex
MS,F,2010.0,John
,M,1938.0,michael
MS,M,1960.0,Robert
MS,F,1987.0,Taylor
MS,M,1965.0,Michael
MS,M,1978.0,Taylor
MS,F,2001.0,
MS,M,1983.0,Michael
MS,M,1913.0,James
 MS ,M,1976.0,Taylor
MS,F,1941.0,Jordan
MS,F,1954.0,Linda
MS,M,1973.0,Jordan
MS,M,2003.0, Taylor 
MS,M,2001.0,Jordan
 MS ,M,1945.0,Casey
MS,F,1974.0,Alex
MS,M,1945.0,James
MS,F,2000.0,Alex
MS,F,1937.0,Patricia
MS,F,1936.0,Alex
MS,M,1981.0,james
MS,F,1928.0,Patricia
MS,M,1917.0,James
MS,M,1978.0,Casey
MS,F,1946.0,Jennifer
MS,F,1960.0,Jennifer
MS,M,1970.0,Casey
,F,1956.0,Alex
MS,F,1949.0,James
MS,F,1932.0,Patricia
MS, F ,1985.0,Taylor
,M,1983.0,Alex
MS,M,1983.0,Casey
MS,F,1969.0,Patricia
,F,1954.0,Jennifer
MS,F,1922.0,James
MS,,1970.0,Robert
,M,2009.0,Alex
MS,F,2017.0,Alex
MS,M,1956.0, James 
 MS ,M,1957.0,Alex
MS,M,1978.0,James
MS,M,1935.0,John
MS,F,1967.0,Taylor
MS,M,1999.0,
MS,M,2018.0,Alex
MS,M,,Jordan
MS,F,,Patricia
MS,F,2006.0,Patricia
MS,F,2016.0,Mary
MS,F,1937.0,Taylor
MS,F,1935.0,Jennifer
MS,F,1945.0, Patricia 
MS,F,1983.0,Jennifer
MS,M,1963.0,
MS, M ,2013.0,Michael
MS,,1947.0,Alex
MS,F,1992.0,Mary
 MS ,F,1940.0,Linda
MS,M,1926.0,Alex
MS,,1967.0,Mary
MS,M,2019.0,John
MS,F,2012.0,Mary
MS,M,1978.0,Alex
MS,M,2005.0,Alex
MS,F,1997.0,Robert
MS,F,2014.0,jennifer
MS,F,2016.0,Taylor
MS,M,,John
MS,M,1999.0,Robert
MS,M,1918.0,Robert
MS,F,1989.0,Patricia
MS,F,2013.0,Taylor
MS,M,1941.0,Alex
MS,F,1936.0,Mary
MS,M,1921.0,Taylor
MS,M,1976.0,Michael
MS,F,,Patricia
MS,M,1941.0,robert
MS,M,1997.0,Alex
MS, M ,1991.0,Michael
MS,F,1992.0,Patricia
MS,F,1944.0, Linda 
MS,M,1944.0,Jordan
MS,F,,Robert
MS,M,2007.0,John
 MS ,F,1915.0,Taylor
MS,F,1980.0,Casey
 MS ,M,1922.0,
MS,M,2010.0,Taylor
MS,M,1989.0,John
MS, F ,1944.0, Taylor 
MS,M,1985.0,Jordan
MS,M,1963.0,James
MS,M,1974.0,Robert
MS,F,2015.0,Taylor
MS, M ,1938.0,Alex
MS,M,1987.0,James
,M,2018.0,Casey
MS,F,,Patricia
MS,M,1921.0,Jordan
MS,F,1986.0,Alex
MS,M,1939.0,Michael
MS,M,1959.0,Michael
MS,F,1984.0,Jordan
MS,M,1967.0,michael
MS,M,1943.0,Alex
MS,F,1990.0,Jordan
MS,F,1979.0,Mary
MS,F,,Linda
MS,M,1932.0,Taylor
MS,M,1933.0,Casey
MS,M,1959.0,Mary
MS,M,1940.0,James
MS,F,1951.0,Taylor
MS,M,1921.0,john
,F,1918.0,Jennifer
MS, F ,1919.0,Patricia
MS,F,1982.0,Mary
MS,F,1921.0,Alex
 MS ,F,1974.0,Mary
MS,F,1970.0,Alex
MS, M ,1953.0,Michael
MS,F,1976.0, Mary 
MS, F ,1972.0,Patricia
MS,F,1966.0,Michael
MS,M,1928.0,Taylor
MS,M,2003.0,Patricia
MS,,1990.0,Mary
MS,F,1984.0,Patricia
, M ,,Michael
 MS ,F,1957.0,Linda
