state,sex,year,name,count
MT, M ,1993.0,Casey,21
MT,M,1927.0,Casey,223
MT,F,1980.0,Jordan,
 MT ,M,1976.0,Taylor,187
MT,F,1938.0,Jennifer,85
MT, M ,1940.0,Jordan,552
MT,M,2012.0,Casey,
MT,M,1996.0, Alex ,
MT,,1948.0,Patricia,50
MT,M,1965.0,Jordan,231
MT,F,1983.0,Mary,277
MT,F,1934.0,Jennifer,372
MT,F,2000.0,Jordan,750
,F,1920.0,Linda,47
MT,M,1938.0,Michael,54
MT,F,1976.0,Mary,70
MT,M,1933.0,Casey,
MT,M,1981.0,Taylor,231
 MT , M ,2008.0,Jordan,5
MT,F,1961.0,Jordan,325
MT,F,1975.0,Jennifer,321
MT,,1995.0,Linda,656
, F ,1932.0, Linda ,43
MT,M,1950.0,Alex,31
MT,M,1967.0,Jordan,
MT,F,1981.0,Patricia,383
MT,F,1923.0,Linda,24
 MT , M ,1924.0,James,186
MT,M,1955.0,Taylor,270
 MT ,M,2005.0,Taylor,119
MT,M,1982.0,Taylor,223
MT,M,1930.0,Michael,14
MT,M,2000.0,Patricia,278
MT,M,2001.0,michael,1122
MT,,1913.0,James,72
MT,M,1957.0,John,43
MT,M,2010.0,James,254
MT,,2007.0,Michael,694
MT,M,,Taylor,53
MT,F,2013.0,Casey,30
 MT ,M,1992.0,Michael,183
MT, F ,1998.0,Jennifer,867
 MT ,F,1972.0,Taylor,22
MT,F,1965.0,Jordan,265
,F,1941.0,Jennifer,376
MT, M ,2019.0,Michael,7
MT,M,2007.0,Alex,78
MT,M,1967.0,Michael,99
MT,F,1978.0,Linda,651
MT,M,1962.0,casey,811
MT,,, Alex ,540
MT,F,2022.0,Linda,550
MT,F,1932.0,Mary,21
MT,M,1949.0,Alex,35
MT,F,1922.0,Patricia,195
 MT ,F,1984.0,Patricia,64
MT,M,1947.0,Casey,178
MT,M,2001.0,James,333
MT,F,2022.0,Casey,19
MT,F,1973.0,Linda,
MT,M,1912.0,Michael,27
MT,F,1910.0,Alex,11
MT,F,,patricia,8
MT,M,,,8
MT,F,1986.0,Linda,303
MT,M,1979.0,John,218
 MT ,M,1997.0,Jordan,337
MT, M ,1963.0,Alex,297
