state,sex,year,name,count
ND,F,1968.0,Taylor,93
,M,2016.0,John,5
ND,M,2005.0,James,119
ND,M,1957.0, Robert ,930
ND,F,1969.0,Mary,765
ND,F,2013.0,Taylor,65
ND,M,1974.0,,903
 ND ,M,1969.0,,480
ND,M,2013.0,Michael,173
ND,M,1938.0,Jordan,51
ND,F,1940.0,Jordan,220
ND, M ,1930.0,Alex,60
 ND ,F,1936.0, Alex ,152
ND,F,1941.0,Alex,296
ND,F,2019.0,Casey,894
ND,M,1962.0,james,661
 ND , F ,1955.0,Alex,74
 ND ,M,1969.0,Alex,39
ND, F ,1920.0,,38
ND, F ,1994.0,john,208
,M,2000.0,Jordan,898
ND,M,1975.0,Alex,795
ND,M,2021.0,michael,593
ND, M ,1960.0,Jordan,112
ND,F,1979.0,Patricia,575
ND,M,1926.0,Michael,7
ND,M,,Robert,74
ND,F,1978.0,jordan,49
ND,M,1994.0,Jordan,383
ND,F,1977.0,Mary,601
ND,F,,,9
ND,M,1966.0,James,561
,M,1981.0,Michael,16
ND,F,2005.0,jennifer,8
ND,F,1916.0,Casey,42
ND,F,1939.0,Alex,380
ND,,1913.0,James,28
ND,F,2014.0,Casey,310
ND,F,1992.0,Jennifer,488
ND,M,1919.0,jordan,162
,,,John,335
ND,F,1971.0,Taylor,339
ND, F ,1924.0,Mary,45
ND,F,1995.0,Jordan,161
ND, M ,1911.0,Robert,
ND,F,1939.0,Jordan,7
ND,M,1949.0,Taylor,24
ND,F,1951.0,,412
ND,F,2017.0,Linda,
ND,F,1942.0,linda,127
ND,M,2010.0,Alex,621
ND,F,1919.0,,57
 ND , M ,,Alex,23
,M,1958.0,taylor,262
,F,1990.0,Casey,232
ND,F,1995.0,Patricia,845
ND,F,1996.0,Linda,459
ND,M,1968.0,Michael,605
ND,F,1947.0,Patricia,27
ND,M,,Jordan,123
ND,M,1982.0,Jordan,447
 ND ,M,1960.0,Casey,78
ND,,1999.0,Taylor,284
ND,F,1957.0,Jordan,51
ND,M,1972.0,Casey,250
ND,M,2019.0,James,407
ND,M,2011.0,Robert,128
ND,F,1961.0,Taylor,60
ND, M ,1964.0,Alex,346
ND,M,1953.0, James ,861
ND,F,1994.0,Jennifer,55
ND,F,1993.0,Jordan,673
ND,F,1949.0,linda,152
 ND ,M,2004.0,Michael,137
ND,F,1979.0,Casey,411
ND,M,2017.0,Casey,13
ND,F,2017.0,Alex,168
ND,M,1912.0,Jordan,9
ND,F,1910.0,Jennifer,27
ND,F,1946.0,Casey,161
ND,F,1942.0,Alex,50
ND,F,2018.0,Patricia,681
ND,F,1983.0,Mary,151
ND,M,1989.0, Alex ,131
ND,F,1983.0,Alex,672
ND,M,1949.0,Robert,53
ND,F,1970.0,Taylor,98
ND,M,1927.0,jordan,128
ND,M,2011.0,James,478
,M,1926.0,Jordan,84
ND,F,1960.0,Taylor,27
ND,M,2009.0,Alex,544
ND,F,1949.0,Casey,54
ND,,1951.0,taylor,455
ND,F,1986.0,Casey,403
ND,M,1999.0,james,211
ND, F ,1912.0,Mary,8
ND,F,1930.0, Taylor ,154
ND,F,1993.0,Jennifer,378
ND,F,1948.0,Linda,219
ND,F,1979.0, Alex ,316
ND, F ,1953.0,Casey,5
ND,M,1931.0, James ,74
ND,F,2014.0,Patricia,16
ND,M,1998.0,Casey,128
ND,F,1976.0,Taylor,707
ND,,2009.0,Jordan,127
ND,,1997.0,Mary,1011
 ND ,F,1978.0,James,526
ND,F,2013.0,Patricia,468
ND,F,1968.0,Casey,122
ND,F,1980.0,Linda,281
ND, F ,1918.0,Michael,7
ND,F,2020.0,Patricia,115
ND, M ,1941.0,Taylor,7
 ND ,M,, Jordan ,45
ND, M ,1959.0, Linda ,101
ND,M,2004.0,John,9
ND,M,1979.0,Taylor,738
 ND ,F,1914.0,Jordan,8
ND, M ,1944.0,Jordan,17
ND, M ,1918.0,Jordan,43
,M,2015.0,Taylor,180
ND,F,1933.0,Casey,49
ND,M,1935.0,Robert,7
ND,M,1985.0,Taylor,84
ND,F,1981.0,Mary,342
ND, M ,1948.0,Robert,
,F,1991.0,Mary,188
ND,F,1962.0,,117
ND,F,1973.0,,90
ND,M,1973.0,Robert,376
ND,M,2003.0,Robert,397
