state,sex,year,name,count
NE,M,1960.0,Robert,48
NE,M,,Taylor,55
 NE ,F,2003.0,Alex,95
 NE ,M,1929.0,Alex,128
NE,F,1929.0,Patricia,5
NE, M ,1910.0,John,26
,F,1935.0,Patricia,62
NE,F,1954.0,Jennifer,348
NE,M,1972.0,Casey,454
NE,M,1993.0,Taylor,668
NE,F,1981.0,Linda,910
NE,F,1945.0,John,129
NE,M,1947.0,,590
 NE ,M,1958.0,Taylor,984
NE,F,2007.0,,9
 NE ,F,2013.0,Casey,21
NE,F,1972.0,Mary,40
NE,F,1982.0,Taylor,
NE,F,2019.0,linda,66
NE,M,2005.0,Robert,723
NE,F,1969.0,Linda,9
,F,1993.0,Linda,98
 NE , F ,1969.0,Patricia,749
NE,M,1932.0,Alex,
NE,M,1971.0,Jennifer,194
NE,F,1985.0,Jordan,76
NE,F,1994.0,Jordan,266
,M,,Jordan,30
NE,F,1965.0,Jordan,219
NE,F,1911.0,Mary,94
NE,F,1949.0,Patricia,102
 NE ,F,,Patricia,127
NE,M,1972.0,John,212
 NE ,F,1985.0,Taylor,223
NE,F,2008.0,Alex,129
NE, M ,1997.0,John,527
NE,,1975.0,Taylor,1029
NE,M,,Taylor,48
NE,M,2010.0,,40
NE,F,1982.0,Jordan,401
NE,M,1992.0,John,81
NE,M,1991.0,Alex,205
NE,F,2003.0,Jennifer,80
NE,F,2009.0,Jordan,282
NE,F,1987.0,,125
NE,F,1970.0,Taylor,491
NE,M,1996.0,Robert,672
NE,F,1962.0,Jennifer,156
NE,M,1977.0,Taylor,750
NE,M,1962.0,Alex,376
,M,1945.0,Jordan,322
NE,F,2010.0,Jennifer,13
NE,F,1956.0,Linda,986
NE, F ,1940.0,Jordan,146
NE,F,1969.0,Taylor,905
NE,,1999.0,linda,12
NE,F,1988.0,Mary,431
NE,M,1979.0,Jordan,143
NE,M,1940.0,Alex,40
NE,F,1984.0,Taylor,289
NE,,1992.0,Taylor,132
NE,F,1912.0,Linda,
NE, M ,1978.0,Casey,474
NE,M,1998.0,Robert,291
NE,M,1943.0,Michael,10
NE,F,,John,67
NE, M ,,Alex,174
NE,F,1953.0,Taylor,24
,M,1980.0,James,325
NE,M,1960.0,James,391
NE,M,1916.0,Taylor,87
NE,M,1999.0,Michael,434
, M ,1937.0,Robert,
NE,M,1995.0,Jordan,344
NE,F,1978.0,Jordan,369
NE,F,1955.0,James,25
NE, M ,2012.0,John,55
NE,M,2015.0,james,127
NE,F,1989.0,Linda,279
NE,M,1937.0,James,467
NE,F,1952.0,alex,310
NE,F,1920.0,Jennifer,108
NE,F,1991.0,Jennifer,511
NE,F,1982.0,Alex,19
 NE ,F,2015.0,Patricia,200
NE, M ,1945.0, Michael ,31
NE,F,1993.0,mary,20
NE,M,1930.0,Alex,13
 NE ,F,1969.0,Alex,17
NE,M,1917.0,Robert,21
NE,M,1936.0,Alex,70
NE,F,2013.0, Jennifer ,455
NE,M,2003.0,,1094
NE,M,1974.0,Alex,753
NE, M ,1929.0,John,75
NE,F,,Mary,525
NE,F,2005.0,Linda,45
NE,F,1994.0,Jennifer,53
NE,F,1927.0,Casey,8
NE, M ,1948.0,Taylor,659
NE,F,1953.0,Mary,664
,M,1982.0,James,190
NE, F ,1971.0,Jordan,197
NE,M,1970.0,Patricia,149
NE,,2009.0,Mary,11
NE,M,1990.0,Alex,138
NE,M,1928.0,John,
 NE ,F,1952.0,Casey,307
NE,M,2022.0,Jordan,39
NE,F,1983.0,Jordan,967
NE,F,2001.0,Patricia,
NE,,1983.0,Alex,126
NE,M,1935.0,Jordan,60
NE, M ,1925.0,Taylor,30
NE,M,2016.0,,42
 NE ,M,1973.0,Jordan,830
NE,M,2016.0,James,251
NE,M,2010.0,Jordan,105
,M,1957.0,Alex,92
,M,1945.0,Taylor,465
NE,M,2022.0,Taylor,20
NE,M,1939.0,Taylor,158
NE,M,2022.0,John,15
NE,M,1944.0,Casey,199
NE,M,2001.0,Taylor,173
,M,1978.0,Taylor,519
NE,F,2005.0,Patricia,619
NE,F,1999.0,Alex,360
NE,F,1947.0,Jordan,53
,M,1916.0,Robert,185
NE,M,1969.0,Michael,615
,F,1926.0,Taylor,44
NE,M,1916.0,casey,8
 NE ,F,1981.0,Alex,477
NE,F,1957.0,Patricia,613
NE,F,1931.0,Jordan,156
NE,F,1995.0,Alex,626
NE,F,1910.0,Patricia,22
NE,M,1977.0,Casey,558
NE,F,1972.0, Jordan ,86
NE,F,1910.0,Mary,20
,F,1968.0,Taylor,32
