STATE,SEX,YEAR,NAME,COUNT
NH,M,1940.0,Taylor,157
NH,F,1936.0,Jordan,5
NH,F,1989.0,Taylor,
 NH ,F,2007.0,Jennifer,13
NH, F ,1962.0,Patricia,
NH, M ,1996.0,Alex,247
 NH ,M,1923.0,Taylor,34
NH,F,1957.0,Patricia,36
NH,M,1940.0,michael,522
NH,F,1939.0,Mary,97
NH,M,2011.0,Casey,177
NH,F,,Patricia,211
NH,M,,Casey,13
NH,,1969.0,Alex,402
NH,F,1957.0,Linda,220
NH,F,1941.0,Patricia,61
NH,M,1980.0,Michael,199
NH,F,1914.0,Casey,72
NH, M ,2017.0,Linda,83
NH,M,, John ,625
NH,F,1991.0,Linda,520
NH,M,1937.0,John,9
NH,F,1932.0,Mary,93
NH, M ,2008.0,Alex,71
 NH ,F,2007.0,Taylor,97
NH,M,,Robert,519
NH,F,1986.0,,282
NH,M,1934.0,Jordan,56
NH,F,1950.0,Casey,834
NH,F,2005.0,Jennifer,1366
NH,,1934.0,,53
,,2005.0,Linda,29
NH,M,2004.0,Michael,87
NH,M,2002.0,james,36
NH,F,1961.0,Jennifer,342
NH,F,2003.0,Casey,429
 NH ,F,1932.0, Linda ,91
NH,F,1977.0,jordan,174
NH, F ,2001.0,Alex,50
NH,F,1952.0,Taylor,88
NH,,,Linda,77
NH,F,1955.0,Linda,286
NH,F,1911.0,Jordan,13
NH,M,2010.0,Michael,917
NH,M,1951.0, Casey ,33
NH,F,1967.0,Casey,677
NH,M,1999.0,James,20
NH, M ,1959.0,Jordan,99
NH,M,1958.0, Taylor ,682
,F,1992.0,Jordan,298
NH,M,,James,28
NH,M,2003.0,Michael,81
NH,F,, Alex ,76
NH,M,1936.0, John ,97
NH,M,1952.0,taylor,208
NH,F,1980.0,Jennifer,222
,M,1974.0,Robert,441
 NH ,M,1937.0,Mary,13
NH,F,1996.0,Taylor,840
NH,F,1983.0,Taylor,850
NH,M,1943.0,Casey,718
NH,M,1961.0,Alex,423
NH,M,2016.0,Robert,260
,F,2008.0,Jordan,74
NH,F,1921.0,Casey,18
NH,M,1972.0,Alex,238
NH,M,1936.0,Taylor,180
NH,F,1975.0,Casey,805
NH,F,1936.0,Jordan,5
NH,F,1978.0,Linda,397
