State,Sex,Year,Name,Count
NJ,M,1941.0,,51
NJ,M,1954.0,Michael,53
NJ,F,1937.0,Jennifer,52
NJ,F,1922.0,Alex,253
NJ,M,1956.0,Linda,231
NJ,M,2010.0,James,250
 NJ ,F,2020.0,Taylor,29
 NJ ,M,1962.0,Robert,
 NJ ,M,2011.0,Alex,494
,M,2009.0,John,211
NJ, F ,,Jordan,107
NJ,M,1925.0,James,17
NJ,F,1958.0,Mary,85
NJ,M,1918.0,Jordan,65
 NJ ,M,2016.0,John,44
NJ,M,1969.0,Michael,33
NJ,F,1929.0,Taylor,245
NJ,F,1994.0,Jennifer,34
NJ,M,1983.0,john,802
, M ,1924.0,Taylor,5
NJ,F,1981.0,Patricia,
 NJ ,F,1919.0,Mary,5
NJ,,1968.0,Jordan,199
NJ,M,1946.0,Taylor,214
NJ,F,1983.0,Alex,321
NJ, M ,1942.0,jordan,17
NJ,F,1996.0, Jordan ,460
NJ,M,1964.0,John,38
NJ,F,1991.0,Patricia,337
NJ,M,2003.0,Taylor,48
NJ, F ,1978.0,Alex,143
NJ,M,1953.0,Alex,61
NJ,M,1920.0,Michael,27
 NJ ,M,2003.0,Jordan,196
NJ,,2001.0,John,781
NJ,F,2016.0,Linda,45
NJ,M,2008.0,Alex,22
NJ,M,1932.0,Robert,609
NJ,M,1966.0,Taylor,103
NJ,M,1910.0,Jordan,25
NJ,M,1931.0, Taylor ,239
NJ,M,1975.0,John,305
NJ,F,1947.0,Mary,1317
NJ,F,1925.0,Jennifer,48
NJ,F,1915.0, Mary ,17
NJ,F,2005.0, Alex ,105
NJ,M,1949.0,John,36
NJ,F,2021.0,,11
NJ, M ,1937.0,Jordan,321
NJ,F,1986.0,Casey,249
NJ,M,1959.0,Jordan,
NJ,F,1911.0,Mary,40
NJ,F,1996.0,Linda,119
NJ,M,1937.0,Michael,5
NJ,F,1965.0,Casey,685
NJ,,1997.0,Robert,
NJ,F,1937.0,James,80
NJ,M,2021.0,John,97
NJ,M,2008.0,Jordan,180
NJ,F,1951.0,Taylor,93
NJ,M,1918.0,Casey,117
NJ, F ,1970.0,Jennifer,122
, M ,2011.0,Michael,61
,F,2000.0,Jordan,126
NJ,F,1993.0,,
,F,1922.0,Linda,20
NJ,F,1992.0,Patricia,382
NJ,M,2009.0,James,308
NJ,F,1923.0,,49
NJ,M,2012.0,Alex,152
NJ,F,1989.0,John,237
NJ,F,1963.0,Patricia,365
,F,1959.0,Taylor,142
NJ,F,1981.0,Linda,156
NJ, F ,1939.0,Casey,97
NJ,M,1932.0,Michael,180
NJ,M,1981.0,Taylor,475
 NJ ,F,1942.0,Alex,310
, F ,1974.0,Casey,646
NJ,M,1991.0, Casey ,153
NJ,F,,Casey,195
NJ,F,1985.0,taylor,85
,M,1973.0,Alex,707
NJ,F,2022.0,Mary,
NJ, M ,2006.0,Robert,801
NJ,F,1977.0,Taylor,744
NJ,M,1971.0,Jennifer,71
NJ,,1965.0,john,308
NJ,F,2013.0,Alex,12
NJ,F,2005.0,jennifer,146
NJ,F,1927.0,Jordan,14
NJ,F,1911.0,Jordan,47
 NJ ,,1971.0,Taylor,37
,F,1928.0,Patricia,34
NJ,F,1961.0,Alex,191
NJ,F,1917.0,Jennifer,11
NJ,F,1925.0,Casey,28
NJ,M,1915.0,Taylor,20
NJ,M,1970.0,,607
NJ,M,1954.0,Casey,6
NJ,M,1966.0,Casey,444
NJ,F,1931.0,patricia,31
NJ,,2003.0,Patricia,109
NJ,F,2011.0,Linda,184
NJ,,1944.0,Mary,256
NJ,M,1998.0,John,244
NJ,F,2008.0,Taylor,88
NJ,F,1972.0,Taylor,484
,F,1975.0, Taylor ,341
NJ,F,1987.0,Jordan,100
 NJ ,M,1916.0,,41
NJ, F ,1961.0,Casey,404
NJ,F,2004.0,Taylor,53
NJ,F,1944.0,Taylor,257
NJ, F ,1975.0,Mary,458
NJ,F,1993.0,Mary,116
NJ,M,1954.0,James,59
NJ,M,1988.0, Jordan ,563
NJ,F,1948.0, Patricia ,
NJ,M,1944.0, James ,686
NJ,M,1975.0,Casey,259
,M,1995.0,Robert,303
 NJ ,M,,Taylor,1215
NJ,M,2010.0,Michael,64
NJ,F,1955.0,Jordan,186
NJ, F ,1980.0,Jennifer,15
 NJ ,F,1929.0,Jordan,6
NJ,F,1973.0,James,438
NJ,F,2015.0,Casey,30
 NJ ,M,1936.0,Jennifer,72
NJ,F,1967.0,Taylor,177
NJ,F,1948.0,mary,41
NJ,M,1980.0,Jordan,169
NJ,,1934.0,Linda,5
NJ, F ,1961.0,jennifer,951
NJ,F,1958.0,,414
NJ,F,2003.0,Linda,
NJ,M,1999.0,Michael,17
NJ,M,1927.0,Jordan,48
NJ,M,2022.0,robert,51
NJ,F,2018.0,Casey,55
NJ,F,1966.0,Jennifer,7
NJ,F,1988.0,Taylor,266
NJ,M,1961.0,John,33
NJ,M,1929.0,John,21
 NJ ,,2010.0,Casey,61
NJ,F,1999.0,Patricia,83
NJ,F,1994.0, Taylor ,129
NJ,F,1987.0,James,442
NJ,F,1938.0,Linda,8
,F,2018.0,Mary,660
NJ,M,2000.0,James,33
NJ,F,1965.0,Mary,363
NJ,M,1947.0,Taylor,647
NJ,,1933.0,,11
NJ,F,1985.0,Alex,772
NJ,M,2017.0,Jordan,79
NJ, M ,2015.0,James,31
NJ,F,,Linda,48
NJ,M,2018.0,Casey,112
NJ,M,2001.0,Robert,281
NJ,F,2015.0,Jordan,254
NJ,M,1963.0,Robert,670
NJ,,2003.0,Taylor,462
NJ,F,1992.0,Jennifer,389
NJ,M,1938.0,Robert,11
NJ,F,1982.0,Taylor,71
NJ,M,1941.0,John,231
NJ,F,1917.0,Jordan,39
NJ,M,1995.0,Michael,1024
 NJ ,M,1942.0,Michael,300
,F,1966.0,Alex,12
NJ,,2009.0,John,
NJ,M,2013.0,Casey,197
NJ,F,1998.0,Jordan,5
 NJ ,F,1965.0,alex,974
NJ,M,1989.0,Alex,
 NJ , F ,1948.0,Casey,572
NJ,M,1925.0,Taylor,5
NJ,M,1963.0,Taylor,48
NJ,M,1975.0,Michael,647
NJ,F,2012.0,,79
 NJ ,F,1957.0,Jordan,449
 NJ ,M,2012.0,Taylor,187
NJ,M,1967.0,Casey,1075
NJ,M,1997.0,,61
NJ,F,2009.0,,651
NJ,F,1997.0,Casey,88
NJ,F,2012.0,Casey,154
NJ,F,1953.0,Patricia,5
NJ,F,2012.0,Linda,81
NJ,M,1935.0, John ,11
NJ,M,1999.0,James,115
NJ,M,1946.0, John ,7
NJ,F,1994.0,Jordan,235
NJ,F,1982.0,Mary,231
NJ,F,1950.0,Casey,230
NJ,M,1992.0,Alex,109
NJ,F,2001.0,Jennifer,95
NJ,F,1988.0, John ,385
NJ,F,1930.0,Jordan,8
NJ,F,1980.0,,44
NJ,M,1996.0,Michael,28
NJ,M,1947.0,Robert,183
NJ,M,1939.0,Robert,
NJ,M,2009.0,taylor,32
NJ,F,1937.0,Taylor,89
NJ,F,1925.0,Alex,122
NJ,F,1977.0,Jennifer,145
NJ,M,1979.0,Casey,183
NJ,F,1965.0,Linda,234
NJ,F,1933.0,Alex,69
NJ,M,1968.0,Robert,
NJ,M,1945.0,Alex,461
NJ,F,1961.0,Taylor,215
NJ,M,1935.0,Robert,54
NJ,F,1944.0,Linda,73
NJ,M,1973.0,Jordan,344
NJ, M ,1930.0,Casey,92
NJ,F,,Linda,154
NJ,M,1926.0, Casey ,73
NJ,M,1945.0,Taylor,17
NJ,M,1953.0,John,378
NJ,M,1990.0,John,
NJ,F,1933.0,Linda,26
 NJ ,M,1965.0,Jordan,18
NJ,,,Jordan,141
NJ,M,1944.0,jordan,131
NJ,M,1995.0,Linda,127
NJ,M,,Taylor,32
NJ,F,1990.0,Jordan,483
 NJ ,F,2011.0, Jennifer ,400
NJ,F,1976.0,Mary,221
NJ,M,1969.0,,677
NJ,M,1949.0,Taylor,37
NJ,F,1969.0,Linda,16
NJ, F ,1979.0,Casey,411
 NJ ,F,2018.0,Jordan,16
NJ,M,1963.0,patricia,64
NJ,F,1946.0,Jennifer,18
NJ,M,1965.0, Taylor ,1006
NJ,F,1985.0,Patricia,397
NJ, M ,1945.0,Jordan,284
NJ,M,1959.0,Michael,20
NJ, M ,2014.0,Michael,8
NJ,F,1968.0,Patricia,
NJ,F,2010.0,Patricia,43
NJ,M,1943.0,Michael,97
NJ,M,1934.0,Casey,202
NJ,F,1990.0,Taylor,850
NJ,F,1995.0, Alex ,552
NJ,F,1997.0,Alex,
NJ,M,1941.0,,92
NJ,,2003.0,,
NJ,M,1979.0,Jordan,454
NJ,M,2020.0,Michael,83
NJ,M,,Alex,195
NJ,M,,John,844
NJ,F,1959.0,Linda,23
NJ,M,1949.0,Michael,39
NJ,M,2004.0,John,83
NJ,F,2000.0,Mary,413
NJ,F,1955.0,Jennifer,62
NJ,F,1975.0,Jordan,750
NJ,F,1926.0,Jordan,82
NJ,M,1962.0,Casey,122
NJ,F,1912.0,Jordan,18
NJ,M,2019.0,Alex,71
NJ,F,1914.0,Patricia,32
NJ,M,1974.0,Michael,430
NJ,F,2013.0,Jordan,9
 NJ , M ,1957.0,John,59
,F,1944.0,,18
NJ,M,1994.0,,370
NJ,M,1998.0,patricia,130
NJ,F,1967.0, Mary ,425
NJ,F,1998.0,Linda,730
NJ,F,1922.0,Mary,6
NJ,F,1936.0,Mary,25
NJ,M,,Jordan,
NJ,M,1956.0,Alex,
 NJ , F ,1957.0,Casey,22
NJ,F,1995.0,Taylor,29
NJ,F,1976.0, Casey ,591
 NJ ,F,1967.0,Alex,249
NJ,F,1976.0,Jordan,106
NJ, F ,,Alex,403
NJ,M,1951.0,James,
NJ,F,2010.0,Alex,605
NJ,M,1980.0,James,66
NJ,M,1932.0,Jordan,405
NJ,F,1971.0,Linda,309
NJ,F,1943.0,Casey,141
NJ,F,1968.0,Taylor,29
NJ,M,1944.0,Michael,339
NJ,M,2020.0,Jordan,85
NJ,M,1939.0,James,49
 NJ ,M,1944.0,Casey,116
NJ,F,1999.0,taylor,199
NJ,M,1991.0,Jordan,352
NJ,F,1946.0,,640
,M,1946.0,Alex,153
NJ,M,,James,290
NJ,M,1958.0,Taylor,336
NJ,F,2020.0,patricia,9
NJ,F,1988.0,Taylor,266
NJ,M,1995.0,Jordan,123
NJ,M,1944.0,Taylor,180
NJ,F,2004.0,Linda,91
 NJ ,F,1935.0,Patricia,145
NJ,,1998.0,Alex,892
NJ,M,1978.0, Alex ,630
NJ, M ,1933.0,Jordan,12
 NJ ,M,1965.0, Casey ,827
NJ,F,1966.0,Linda,200
NJ,M,2009.0,,49
 NJ ,M,1970.0, Casey ,9
NJ,F,2006.0,Jennifer,15
NJ, F ,1950.0,Taylor,736
NJ,F,1932.0,Jordan,24
NJ,F,2017.0,Taylor,714
NJ,M,1954.0,Alex,342
NJ,F,2011.0,Patricia,74
NJ, F ,1992.0,Mary,503
NJ,M,1951.0,Taylor,510
NJ,F,1914.0,,8
NJ,M,1922.0,Taylor,22
NJ,F,1918.0,jordan,20
NJ,M,2017.0,Alex,
NJ,M,1957.0,Michael,1443
NJ,M,2016.0,Michael,475
,F,1994.0,Linda,22
NJ, M ,1997.0,Alex,658
NJ, M ,1939.0,Alex,13
 NJ ,M,1940.0,Jordan,53
NJ,F,1949.0,Linda,161
NJ, F ,1995.0,,666
NJ,M,1945.0,Robert,561
NJ,F,1934.0, Jordan ,220
NJ,,2014.0,Jennifer,796
NJ,M,1977.0,John,243
,M,1963.0,Alex,37
NJ,M,1919.0,Casey,28
NJ,F,2006.0,Taylor,52
,M,, Taylor ,48
NJ,M,, Robert ,7
NJ,M,1995.0,Michael,1024
NJ,F,2002.0, Jennifer ,283
NJ,F,1982.0,Linda,628
 NJ ,M,1948.0,Michael,
NJ, M ,1975.0,Alex,275
NJ,F,2012.0,Alex,144
NJ, F ,1976.0,Alex,96
NJ,M,1965.0,James,196
NJ,M,2006.0,Casey,143
NJ, M ,1994.0,john,404
NJ,M,1971.0,Jordan,989
NJ,M,1971.0,Robert,391
 NJ ,F,1984.0,Patricia,384
NJ,M,1950.0,John,589
NJ,M,1940.0,Robert,5
NJ,M,1949.0,Casey,
NJ,,1993.0,Casey,32
NJ,M,2012.0,Michael,5
 NJ , F ,1922.0,Taylor,209
NJ,M,2007.0,Taylor,372
NJ,M,2006.0,John,1132
 NJ ,F,,Patricia,133
NJ,F,1984.0,Alex,148
NJ,M,1962.0,James,13
NJ,M,1953.0,Taylor,349
NJ,M,2019.0,Jordan,87
NJ,F,1980.0,Jordan,79
NJ,F,1971.0,Jordan,469
NJ,F,1994.0,Mary,812
NJ,F,1972.0,Mary,96
NJ,F,1978.0,jordan,257
NJ,M,1993.0,Jordan,31
NJ,M,1947.0,Michael,38
NJ,F,1944.0,Patricia,28
NJ,M,2005.0,Casey,11
NJ,,2014.0,John,27
, M ,1939.0,Patricia,54
NJ,F,1954.0,Linda,397
NJ,M,1953.0,Jordan,129
NJ,M,1992.0,John,479
NJ,M,1985.0,Jordan,140
,M,2021.0,Casey,281
NJ,F,1937.0,Alex,8
NJ,F,1916.0,Alex,149
NJ,F,1981.0,,444
NJ,M,1934.0,taylor,13
NJ,F,1983.0,James,145
NJ, F ,2015.0,Alex,268
NJ,M,1927.0,Casey,24
NJ,,1957.0,,213
 NJ ,M,1925.0,Jordan,13
NJ,F,2007.0,Jennifer,77
NJ,,1973.0,Linda,445
NJ,M,1995.0, Alex ,295
NJ,F,1941.0,Jennifer,198
NJ,M,1940.0,Casey,46
NJ,,1932.0,Casey,128
NJ,F,2002.0,John,
NJ,F,1977.0,Michael,37
NJ,M,1983.0,Casey,387
NJ,M,1999.0,Taylor,222
 NJ ,F,1932.0,Jennifer,8
 NJ ,M,2004.0,James,45
NJ,M,1959.0,Taylor,112
NJ,M,1974.0,Michael,430
NJ,M,1964.0,James,776
NJ,M,2015.0,Alex,18
NJ,M,1954.0,Taylor,188
NJ,M,2004.0,Robert,42
NJ,F,1937.0,Mary,140
NJ,F,1968.0,Michael,18
NJ,M,1941.0,Michael,35
NJ,M,1930.0,Jennifer,9
,M,1984.0, Casey ,105
NJ,M,1998.0,Taylor,
NJ,F,,Jordan,967
NJ,M,2021.0,Jordan,
NJ, F ,1972.0,Casey,556
, M ,2011.0,John,368
NJ,F,1923.0,Mary,55
NJ,F,2014.0,Jordan,49
NJ,M,1965.0,Michael,548
NJ,F,1989.0,Jordan,728
NJ,M,1946.0,James,231
NJ,M,1933.0,Taylor,13
NJ,F,2000.0,Taylor,344
NJ,M,2006.0,Alex,710
NJ, M ,2005.0,Alex,623
NJ,M,1964.0,Jordan,13
NJ,F,,Alex,10
 NJ ,M,1965.0,Jordan,18
NJ,M,1978.0,John,119
NJ,F,1926.0,Alex,13
NJ,M,2011.0, Jordan ,352
NJ,,2006.0,Linda,22
,M,2004.0,Taylor,52
NJ,M,1971.0,Alex,1072
NJ,F,1962.0,Patricia,102
