state,sex,year,name,count
NM,F,1965.0,John,56
NM,M,1943.0,Taylor,28
NM, F ,,Taylor,377
NM,,1972.0,James,329
NM,M,1950.0,Casey,37
NM,M,1988.0,Taylor,183
NM,F,1967.0,Patricia,121
NM,M,1949.0, Robert ,43
,M,1995.0,Robert,252
NM,M,1946.0,Taylor,11
NM,F,1949.0,Casey,442
NM,M,1911.0,Alex,50
NM,F,2009.0,Casey,299
NM,M,1934.0,Linda,230
NM,,1992.0, Robert ,81
NM,F,1930.0,casey,17
NM,,2007.0,Jordan,
NM,F,2006.0,Patricia,161
NM,F,1957.0,Patricia,68
NM,M,2005.0,Jennifer,656
 NM ,F,2014.0,Casey,35
NM,M,1997.0,John,99
 NM ,M,1989.0, Casey ,272
NM,M,1914.0,Alex,19
NM,M,1992.0,Casey,423
NM,F,1991.0,Jordan,299
 NM ,M,2000.0,Robert,771
NM,F,1955.0, Linda ,56
NM,F,1973.0,Alex,220
,F,1943.0,Jennifer,9
 NM ,M,2011.0,Casey,81
NM,F,,Jennifer,61
NM, M ,1981.0,Alex,225
NM,M,1978.0,Jordan,92
NM,M,2003.0,John,8
NM,F,1933.0,Alex,7
,M,2003.0,Casey,41
NM,F,1947.0,Patricia,297
NM,M,2006.0,,404
NM, M ,1962.0,Casey,254
NM,F,1956.0,Jennifer,88
NM,M,1978.0,John,375
NM,F,1961.0,Alex,18
 NM ,M,,,164
NM,F,1946.0,Mary,44
NM,M,1972.0,Michael,285
 NM ,M,1911.0,Robert,6
NM,F,1966.0,Taylor,413
NM,M,,John,82
NM,F,1968.0,James,822
NM,F,2019.0,Jennifer,113
NM,M,1949.0,James,79
NM,M,2001.0,James,34
NM,F,1974.0,Patricia,
NM,M,2015.0,Alex,35
NM,M,1937.0,Alex,13
NM,M,1994.0,James,650
NM,M,1934.0,Michael,67
NM,,1957.0,Robert,1317
NM,F,1984.0,John,
NM,M,,Alex,241
NM,,1998.0,Jennifer,83
NM,F,1998.0,Jordan,168
NM,F,2016.0,Casey,52
NM,F,1962.0,John,44
NM,,1961.0,Patricia,
NM,M,1956.0,,108
 NM ,F,1984.0,Jennifer,117
NM,F,1921.0,James,53
NM, M ,1959.0,James,19
 NM ,M,2017.0,casey,154
NM,F,1942.0,James,160
NM,M,2018.0,Jordan,31
,M,1975.0,Michael,909
NM,M,,John,36
NM,F,2015.0,Alex,287
NM,M,2013.0,James,166
NM,M,1988.0,Michael,838
NM,M,1910.0,Michael,26
NM,M,1938.0,Michael,233
NM,F,2013.0,Jennifer,8
NM,F,1968.0, Mary ,386
NM,M,2016.0,taylor,
NM,M,1999.0,Casey,294
NM,M,,Robert,
NM,F,1995.0,Alex,111
NM,F,,Jordan,745
NM,M,,Alex,71
NM,F,1980.0, Jennifer ,933
 NM ,M,2022.0,James,442
,F,2018.0,Jennifer,72
NM,M,1953.0,Michael,140
NM,M,1963.0,Robert,29
NM,F,1934.0,Jennifer,223
NM,M,1978.0,Taylor,1185
NM,M,1942.0,Robert,616
NM, M ,1951.0,Taylor,403
NM,M,2007.0,James,71
 NM ,F,,Jordan,363
NM,M,1966.0,Taylor,188
NM,F,1955.0,Taylor,394
NM,F,,,779
NM,M,1920.0,Michael,44
NM,M,1948.0,Mary,7
NM,M,1983.0,John,726
NM,M,2011.0,Robert,24
NM, F ,2020.0,Alex,179
 NM ,M,2013.0,Alex,177
NM,F,2018.0,Mary,211
NM,M,1955.0,Alex,960
NM,F,1930.0,patricia,29
NM,F,2001.0,Taylor,
 NM ,M,1954.0,Casey,635
NM,M,1959.0,Taylor,47
 NM ,M,1936.0,,19
NM, M ,1986.0,John,201
 NM ,F,2000.0,Patricia,470
NM,M,,Alex,5
NM,F,2009.0,Michael,127
NM,M,1935.0,Alex,525
NM,M,1949.0,taylor,312
 NM ,M,1945.0,Taylor,321
NM,M,1951.0,John,1072
NM, M ,1965.0,Michael,
NM,M,1934.0,James,6
, F ,2003.0,casey,47
NM,F,1963.0,Mary,624
NM,F,1991.0,Casey,57
NM,M,1960.0,Jordan,32
NM,M,1915.0,Robert,27
 NM ,F,1948.0,Michael,123
NM,F,2012.0,Mary,490
NM,M,1980.0,Casey,185
 NM ,F,1964.0,Linda,462
NM,M,2010.0,Robert,28
NM,F,1950.0,Mary,577
NM,,1993.0,Taylor,923
NM,F,1937.0,Taylor,312
NM,F,1957.0,Mary,
NM,M,1960.0,Robert,95
NM,M,1979.0,Taylor,
NM,M,1954.0,Taylor,472
NM,F,2005.0,Casey,35
NM,M,1950.0,Jordan,6
NM, M ,1991.0,John,321
NM,F,1997.0,Casey,
NM,M,1930.0,Jordan,6
NM,M,1995.0,Casey,162
NM,F,2007.0,Casey,14
NM,M,,Casey,210
NM,M,2000.0,taylor,847
NM,F,1992.0,Casey,172
NM,M,1983.0,Casey,300
NM,M,2015.0,John,5
NM,F,2011.0,Casey,32
NM,F,1964.0,Jordan,516
NM,F,1928.0,mary,197
NM,M,,Michael,122
NM,M,,Alex,60
 NM ,M,2011.0,John,14
NM,M,2013.0,Jordan,506
NM,M,1951.0,Jordan,141
NM, M ,1971.0,James,83
 NM ,F,1962.0,Mary,538
NM,F,1959.0,Alex,1055
NM,M,1981.0,Taylor,228
NM,F,2019.0,Casey,525
NM,M,1988.0,,585
, M ,2015.0,James,260
,F,1997.0, Mary ,762
NM,M,1987.0,Taylor,84
NM,F,1991.0,Linda,499
NM,M,1972.0,,66
