state,sex,year,name,count
NV,M,2019.0,John,379
NV,F,2015.0,Jennifer,9
NV,F,2011.0,Linda,36
NV,M,1930.0,John,13
NV,M,1987.0,Jennifer,644
NV,F,1959.0,Patricia,124
NV,M,1911.0,John,27
NV,M,1975.0,Casey,903
 NV , M ,2018.0,James,
NV,F,1948.0,Casey,25
NV,F,2004.0,Taylor,426
NV,M,,Casey,123
NV,M,1953.0,Casey,108
NV,F,1929.0,John,146
NV,F,1962.0,,
 NV ,M,1951.0,Michael,65
NV,M,1942.0,Robert,
NV,F,,Casey,797
NV,M,1948.0,Jordan,139
NV,,, Linda ,
NV,M,2015.0,Michael,42
NV,M,1967.0,Casey,78
NV,M,1972.0,Casey,668
NV,F,1993.0,,104
NV,,1965.0,Linda,411
NV,M,1984.0,James,583
NV,F,1924.0,,10
NV,M,2010.0,Robert,83
NV,M,1978.0,Michael,33
NV,F,1917.0,Casey,20
 NV , F ,1946.0,michael,239
 NV ,F,1927.0,Mary,12
NV,F,2017.0,Jennifer,37
NV,F,2021.0,Casey,15
NV,F,1944.0,Jennifer,537
NV,F,1934.0,Casey,415
NV,M,1956.0,Jordan,538
NV,F,1962.0,Casey,184
,M,1990.0,Casey,450
NV,F,2012.0,Jennifer,348
NV,F,2016.0,Jordan,7
NV,,1958.0,Alex,45
NV,F,1993.0, Taylor ,210
NV,M,1943.0,John,18
 NV ,M,1963.0,James,207
NV, M ,2022.0,Alex,24
 NV ,M,1933.0,John,304
NV,M,1996.0,,92
 NV ,F,1935.0,Jordan,9
NV,M,1957.0,Michael,385
NV,M,1944.0,taylor,396
NV, M ,1995.0,John,432
NV,F,2002.0,Jordan,38
NV,M,2021.0,Robert,6
NV, F ,1910.0,Mary,18
NV,M,2004.0,Taylor,112
NV,F,2001.0,Alex,419
NV,F,1988.0,Casey,106
NV,M,1935.0,James,501
NV,,1982.0,Jordan,
 NV , M ,1999.0,taylor,232
NV,M,1963.0,Alex,175
NV,F,1977.0,,350
NV,M,2014.0,,44
,,1966.0,Casey,29
NV,F,1976.0,Casey,46
NV, F ,1989.0,Patricia,201
NV,M,1992.0,Taylor,617
NV,M,1933.0,Alex,9
NV,F,1997.0,Mary,150
NV,F,2019.0,patricia,16
,M,1970.0, James ,53
NV,F,1944.0,Jordan,321
NV,,1947.0,Michael,122
NV,M,1998.0,,93
NV,M,1945.0,jordan,33
 NV ,M,1954.0, Jordan ,127
NV,F,1983.0,Alex,556
NV,F,1973.0,,
NV,M,1963.0,Robert,199
NV,F,1978.0,Jordan,81
NV,F,1927.0,Patricia,34
NV,F,1926.0,Jennifer,33
NV,M,2020.0,Taylor,39
NV,F,1966.0,Mary,236
NV,F,2012.0,Casey,60
NV,M,1997.0,Alex,55
NV, M ,1922.0,Mary,60
NV,F,1931.0,Mary,162
NV,F,2011.0,Jennifer,54
 NV ,M,1978.0,James,309
NV,M,1964.0,James,155
NV,F,1945.0,Mary,48
NV,M,1988.0,John,245
NV,F,1994.0,Linda,255
NV,M,1948.0,Robert,438
NV,M,1989.0,Robert,587
NV, F ,1925.0,Mary,98
NV,M,1973.0,Taylor,251
NV,M,1998.0,Casey,37
NV,M,2013.0,Linda,260
NV,M,1986.0,Casey,552
NV,F,1926.0,taylor,217
NV,F,1955.0,Linda,345
 NV ,F,1998.0,Linda,741
NV,M,1960.0,Robert,753
NV,M,1948.0,Alex,15
NV,F,1920.0,Casey,28
NV, M ,1971.0,Robert,422
NV,M,1964.0,,
NV,F,1971.0,Linda,451
,F,1969.0,Alex,126
NV, M ,2011.0,Patricia,216
,F,1953.0,Linda,79
NV,F,1976.0,Linda,407
NV,F,1979.0,Jordan,33
NV,F,1941.0,,160
NV,M,1920.0,Robert,31
NV,M,1996.0,Taylor,363
NV,F,1972.0,Casey,
NV,F,1978.0,Casey,355
NV,M,1982.0,Robert,359
NV,M,1950.0,Robert,800
NV,F,1998.0,Mary,251
NV,F,2005.0,Alex,128
NV,F,1946.0,linda,345
NV,F,2000.0,Alex,173
NV,F,2022.0,Taylor,12
NV,M,1970.0,Alex,53
NV,F,1992.0,,347
NV,F,1951.0,Mary,38
NV,M,2010.0,Linda,27
,F,1982.0,james,478
NV, M ,1944.0,Jordan,314
NV,F,1956.0,Linda,826
NV,M,1937.0,Robert,6
NV,M,1941.0,Robert,25
 NV ,F,1980.0,jordan,656
NV,M,,taylor,212
NV,F,1984.0,,65
NV,F,1991.0,Jordan,511
 NV ,M,1965.0,Michael,101
 NV ,,1997.0,Michael,119
NV,F,1941.0,Jordan,25
NV,F,1988.0,Jordan,525
NV,M,1921.0,Casey,42
 NV ,M,1915.0,,85
NV,M,1988.0,Michael,164
