stateCode,gender,birthYear,firstName,numOccurrences
,M,2013.0,casey,341
NY,M,1913.0,John,10
NY,F,1959.0,Casey,274
,F,1964.0,Alex,87
NY,F,1985.0,Linda,476
NY,M,1932.0,Michael,366
NY,F,1910.0,Taylor,72
NY,M,1992.0,Jordan,618
NY, F ,1960.0,,165
NY,M,2011.0,John,35
 NY , M ,1993.0,John,262
NY,F,1946.0,Jordan,492
NY,M,1992.0,Alex,247
NY,F,1924.0,Patricia,6
NY,F,1973.0,Linda,680
,F,1943.0,Jennifer,63
,M,1981.0,James,277
NY,F,1970.0,James,189
NY, F ,2012.0,Linda,257
NY,F,1960.0,Casey,157
,M,1913.0,Michael,
, F ,1940.0,Jennifer,112
NY,F,2002.0,Linda,865
NY,M,1978.0,John,495
NY,F,1927.0,linda,8
NY,F,1980.0, Jennifer ,8
NY, F ,1967.0,Patricia,172
NY,M,2000.0,Mary,185
NY,F,1938.0,Mary,37
 NY ,M,1923.0,Jordan,18
 NY ,F,1994.0,Patricia,306
NY,F,1957.0,Taylor,47
NY,F,1988.0,Patricia,8
NY,M,1979.0,Michael,65
 NY ,F,2020.0,Alex,858
NY,F,1942.0,Patricia,325
NY,F,1998.0,Linda,43
NY,F,1989.0,Linda,819
NY,M,1973.0,Jordan,154
NY,,1938.0,Taylor,267
NY,M,1998.0,Michael,810
NY,M,1982.0,Linda,186
NY,M,1955.0,Jordan,292
NY,M,1958.0,jennifer,280
NY,F,1957.0,Jennifer,270
NY,M,1966.0, Robert ,622
NY,F,1915.0,James,
, F ,1979.0,Alex,100
NY,M,1997.0,,714
 NY ,F,1972.0,Taylor,896
NY,F,1922.0,John,62
NY,M,1955.0,Taylor,919
NY,M,2003.0,Taylor,90
NY,M,1963.0,Alex,621
 NY ,M,1965.0,John,698
NY,M,,Alex,58
NY,M,,John,13
,M,2004.0,John,160
NY,F,2009.0,Jordan,421
NY,M,1960.0,John,136
NY,M,,James,44
NY,M,1913.0,james,15
NY,M,1962.0,Casey,122
NY,F,2018.0,,68
NY, M ,1963.0,Robert,10
NY, M ,2001.0,John,467
NY, F ,2020.0,Linda,169
NY,M,2000.0,John,12
NY,M,1930.0,Michael,
NY,M,,Jordan,335
 NY ,M,,John,89
NY,F,2019.0,Casey,103
 NY ,M,1965.0,Taylor,85
NY,F,,Taylor,86
NY,M,1987.0,Robert,1155
NY,F,1986.0,Taylor,925
 NY ,M,1998.0,jordan,86
NY,M,2014.0,Jordan,88
NY,F,1992.0,Jennifer,513
NY,F,1945.0,James,12
 NY ,M,1956.0,John,592
 NY ,M,1930.0,James,76
NY,F,1987.0,Patricia,442
NY,M,1915.0,Alex,11
NY,F,1943.0,Mary,92
NY,M,1948.0,Alex,147
, F ,2000.0,Casey,70
NY,F,1947.0,Casey,298
NY,M,1994.0,casey,354
 NY , F ,1940.0,Casey,5
NY,M,1964.0,James,264
 NY , F ,2019.0,Alex,160
NY,F,1939.0,Mary,5
,M,1941.0,James,50
NY,M,1946.0,Alex,28
NY,M,1978.0,Mary,56
NY,M,2013.0,John,9
NY,,2020.0,Casey,8
NY,M,1997.0,alex,
NY,F,1970.0,Jordan,399
NY, F ,1948.0,Mary,840
NY,F,,Alex,63
NY,M,1929.0,John,49
NY,M,2005.0,James,389
NY,F,2017.0,Linda,767
NY,F,1984.0,Taylor,489
NY,F,1920.0,Casey,21
NY,M,1983.0,Alex,75
NY,F,1999.0,Alex,190
NY,F,1968.0,Jennifer,112
NY,F,1948.0,Taylor,10
NY, M ,1996.0,Casey,
NY,F,1924.0,Casey,
NY, F ,1961.0,Jennifer,130
NY,M,2006.0,casey,28
NY,F,2020.0,Casey,186
NY,F,1940.0,Patricia,12
NY,M,1950.0,Robert,454
NY,F,,Taylor,147
NY,M,1975.0, Taylor ,378
