state,sex,year,name,count
OH,M,1978.0,Jordan,375
OH,M,1918.0,casey,114
OH,M,,Michael,105
,M,1932.0,James,539
OH,M,2022.0,Alex,42
 OH ,F,1973.0, Jennifer ,78
OH,,1988.0,Patricia,78
OH,F,2002.0,,967
 OH ,M,1997.0,John,105
OH,F,1963.0,Alex,43
OH,F,2017.0,Linda,47
OH,M,1946.0,Casey,142
OH,F,1914.0,Alex,5
OH,M,1972.0,Jordan,525
OH, F ,1954.0,Patricia,307
OH,M,1969.0,Jordan,344
 OH , F ,1958.0,Jennifer,633
OH,M,1966.0,Casey,190
OH,F,1982.0,alex,460
OH,M,1937.0,Michael,28
OH,F,1976.0,Linda,65
OH,M,1949.0,Jordan,56
OH, F ,1967.0,Patricia,887
OH,F,1991.0,Jordan,531
OH,M,1980.0,Casey,596
OH,F,1995.0,Linda,625
OH,M,1951.0,Michael,14
OH,F,1934.0,Jennifer,102
OH, M ,,John,564
OH, M ,1917.0,John,21
OH, M ,,Jordan,732
OH,M,1978.0, Alex ,376
OH,M,1969.0,,585
OH,M,1975.0,Taylor,67
OH,F,1968.0,,674
OH,M,2021.0,Jordan,436
OH,F,2011.0,mary,245
OH,F,1973.0, Alex ,26
OH,M,2014.0, Taylor ,39
OH,M,2003.0,John,20
OH,M,1933.0,Taylor,43
OH,F,1988.0,Jordan,577
OH,F,1992.0,Casey,571
OH,M,1959.0,James,215
OH,F,1943.0,,260
OH,,1922.0,Jordan,129
OH,,1922.0,Taylor,29
OH, F ,1917.0,Mary,20
OH,M,1968.0,James,133
OH,F,1981.0,Casey,177
OH,F,1957.0,Mary,71
OH, M ,1988.0,Michael,772
OH,M,1927.0,Alex,33
,,1953.0,John,78
OH,M,1938.0,James,171
OH,M,2007.0,Michael,615
OH,M,1991.0,Robert,277
OH,M,1959.0,Casey,498
OH,F,1961.0,Jordan,939
OH,F,1954.0,Taylor,66
OH,,1982.0,Casey,618
OH,F,1942.0,John,23
OH,F,1948.0,Patricia,1341
OH,M,1921.0,John,20
OH,F,1939.0,Mary,138
OH,M,1952.0,Patricia,319
OH,M,1974.0,Alex,182
OH,M,2005.0,,143
 OH ,F,1945.0,Alex,130
OH,M,1996.0,John,12
 OH ,M,,Robert,651
 OH ,F,,,20
OH,M,2022.0,Jordan,29
 OH ,,2005.0,John,430
OH,F,1958.0,Casey,227
OH,F,1910.0,Mary,23
OH,M,2001.0,Alex,202
OH,F,1941.0,Taylor,134
OH,M,1914.0,James,65
OH,F,2004.0,Taylor,541
OH,M,2016.0,John,86
OH,F,1921.0,Jordan,39
OH,F,1921.0,Linda,99
OH,F,1926.0,Casey,
OH,F,1965.0,Taylor,662
OH,,1947.0,John,15
OH,M,1961.0,James,118
OH, F ,1955.0,linda,45
 OH ,M,1947.0,Casey,34
OH,M,2019.0,Michael,39
 OH ,F,1933.0,Jennifer,178
OH,F,1957.0,Linda,212
OH, F ,2002.0, Taylor ,323
OH,F,1966.0,Taylor,478
OH,M,2020.0,Robert,101
OH,,1971.0,James,138
 OH ,,1973.0,Jordan,477
OH,M,2014.0,John,405
OH,M,1924.0,Taylor,19
OH,F,1987.0,Jennifer,480
 OH ,F,1957.0,Jennifer,50
,M,1916.0,Michael,197
OH,F,1983.0,Alex,14
OH,M,1993.0,Michael,74
OH,F,2008.0,Casey,78
OH,M,2013.0,Robert,28
OH,M,2009.0,Michael,31
OH,M,2011.0,Robert,
OH,,1949.0,Mary,6
OH,F,1998.0,Casey,278
OH, M ,1938.0, Jordan ,188
OH,M,1954.0,Alex,81
OH,M,1982.0,Robert,443
OH,M,1939.0,,23
OH,M,1964.0,John,65
OH,M,1947.0,Alex,402
OH,F,1920.0,Jordan,18
OH,M,1954.0,Casey,54
 OH ,M,1994.0,,154
 OH ,M,1945.0,Jordan,725
OH,F,2004.0,Jordan,7
OH,M,1930.0,Jordan,6
,,1947.0,Michael,91
OH, F ,1988.0,Mary,45
OH,F,1994.0,patricia,889
 OH ,M,1987.0,Casey,781
OH, F ,2012.0,Patricia,
OH,M,, Robert ,127
OH,M,1925.0,Robert,91
OH,M,2003.0,Jordan,115
OH,F,1944.0,Linda,81
OH,F,1969.0,Taylor,154
OH,F,1972.0,,547
OH,F,1990.0,Jennifer,481
OH,F,1965.0,Jordan,85
OH,M,2010.0,Casey,514
OH,M,1920.0,Casey,71
OH,M,1911.0,Jennifer,14
,F,1986.0,Linda,311
OH,F,1985.0,Mary,544
OH,F,1971.0,Mary,261
OH,F,2021.0,Taylor,12
OH,M,1975.0,Casey,363
OH,M,1928.0,John,45
OH,F,1920.0,Jennifer,19
OH,F,1957.0,Taylor,108
OH, M ,1924.0,Patricia,34
OH,F,1977.0,Linda,921
OH,F,1947.0,Taylor,
OH,M,2004.0,Alex,618
OH,M,1965.0,John,883
,M,1991.0,Taylor,55
OH,F,1921.0,Casey,64
OH,M,1971.0,Michael,436
OH,F,1947.0,Linda,144
OH,F,1957.0,Patricia,1309
OH,M,2005.0,Jordan,39
OH,M,1992.0,James,8
OH,M,1961.0, Casey ,400
OH,F,1958.0,Jordan,514
OH,F,1976.0,taylor,506
OH,F,1979.0,Taylor,
OH,F,1982.0,Jordan,214
OH,F,2005.0,Linda,141
OH,F,1961.0,Alex,405
OH,,,James,314
OH,M,1928.0,Michael,210
OH,F,1970.0,Mary,274
OH,F,1944.0, Casey ,19
OH,F,1975.0,Casey,94
OH,F,1976.0,Alex,606
OH,M,1952.0,Casey,847
,M,1942.0,Casey,83
OH,F,1995.0,Casey,91
OH,F,1913.0,Linda,94
OH,F,2008.0,Jordan,188
OH,F,,Mary,312
OH,M,1997.0,Taylor,80
OH,M,1964.0,Michael,687
OH,M,1965.0,jennifer,465
 OH ,F,1999.0,Patricia,499
OH,,1911.0,John,85
OH,F,1951.0,Mary,1138
OH,F,1989.0,Patricia,186
OH,F,,Patricia,62
OH, M ,1932.0,John,120
OH,F,2005.0,Mary,391
OH,M,1916.0,,174
 OH ,M,1956.0,Patricia,483
OH,M,1982.0,Alex,162
 OH ,F,2018.0,Mary,346
OH,M,,Casey,351
OH,F,1952.0,Alex,1020
,M,2012.0,Alex,63
OH,F,1915.0,Jennifer,151
OH,F,1930.0,Alex,427
OH,M,,John,386
OH,F,2016.0,jordan,27
OH,F,1968.0,Jennifer,223
OH,M,2009.0,Robert,145
OH, F ,1983.0,Linda,210
OH,F,1960.0,Linda,179
OH,F,1951.0,Linda,5
OH,F,1986.0,Robert,776
OH,F,1968.0,Linda,299
OH, F ,2002.0,Jordan,29
OH,F,1973.0,Jordan,58
OH,M,1981.0,michael,512
OH,F,1953.0,Jordan,576
 OH ,F,1960.0,Taylor,38
OH,M,1943.0,Jordan,7
OH,F,1935.0,Jennifer,109
OH, M ,1956.0,Jordan,121
