State,Sex,Year,Name,Count
OK,M,2015.0,Taylor,125
OK, M ,1975.0,John,296
OK,M,1996.0,Robert,344
OK,M,1926.0,Jordan,60
OK,F,,,324
, M ,1963.0,Casey,509
OK,M,1990.0,Taylor,885
 OK ,M,2013.0,James,129
 OK ,,2007.0,Taylor,517
OK,F,1976.0,Taylor,537
OK,M,1933.0,Jordan,12
OK,F,1981.0,Linda,409
OK,M,1968.0,James,64
OK,F,1976.0,Alex,372
OK,F,1923.0,Patricia,
OK,F,1983.0,jennifer,799
OK,M,1990.0,John,918
OK,M,1912.0, Jordan ,14
OK,,1994.0,Casey,75
OK,F,1952.0,Jennifer,36
OK,M,1940.0,James,72
OK,M,1923.0,Alex,5
OK,F,1944.0,Jennifer,12
OK,M,1961.0,Robert,407
OK,M,1962.0,James,709
OK,F,1996.0,Taylor,706
OK, F ,2007.0,Patricia,68
OK, F ,1994.0,Jennifer,251
OK,M,1999.0,John,11
OK,M,1983.0,Casey,130
OK,,1933.0,James,347
OK,F,2007.0, Jennifer ,20
OK,M,1922.0, Linda ,43
OK,M,1996.0,James,290
OK,F,1992.0,Casey,605
OK,M,2016.0,Mary,24
OK,M,1925.0,John,44
OK,F,1997.0,Jordan,1137
OK,F,1948.0,Alex,183
OK,F,,Taylor,9
OK,M,1932.0,Taylor,83
OK,M,1999.0,Michael,
OK,F,1998.0, Mary ,543
OK, M ,1981.0,Jordan,897
OK,M,1921.0,Taylor,5
OK,F,1923.0,Mary,209
OK,F,1944.0,Taylor,13
OK,M,1959.0,Casey,444
 OK ,M,1946.0,,80
OK,M,2017.0,Robert,82
OK,F,1939.0,Jordan,75
OK,M,,Taylor,676
OK, F ,2017.0,,274
OK,,,Taylor,81
OK,M,1943.0,James,86
OK,F,1931.0,Casey,33
 OK ,M,1924.0,Robert,42
OK,F,1923.0,Alex,378
,F,1937.0,Jordan,224
OK,F,1969.0,Jordan,834
,M,1950.0,Casey,115
OK,F,1912.0,Jennifer,15
OK,M,2019.0,,6
OK,M,1971.0,Alex,20
OK,M,1938.0,Robert,115
OK,M,1999.0,Alex,298
OK,F,1933.0, Casey ,31
, M ,1927.0,Jordan,7
OK,M,1984.0,James,578
,F,1987.0,Robert,281
OK, F ,2010.0,Jordan,26
OK,F,1924.0,Linda,65
,M,1919.0,Casey,13
OK,M,1972.0,Taylor,563
OK,F,1971.0,Taylor,157
OK,M,1987.0,Casey,859
,M,1943.0,Michael,253
OK,F,1942.0,Jordan,423
 OK ,M,1977.0,Jordan,202
OK,F,2021.0,Jennifer,280
OK,M,1975.0,Taylor,103
OK,M,,James,509
OK,F,1928.0,Patricia,269
OK,M,2016.0,Jordan,39
OK, M ,1939.0,michael,124
OK,F,1981.0,Casey,771
OK, F ,1969.0,Alex,
OK,F,2003.0, Taylor ,414
OK,F,1977.0,,742
OK,F,2014.0,Patricia,12
OK,M,1975.0,Taylor,103
OK,F,1992.0,Mary,194
,M,1934.0,Taylor,19
OK,F,1972.0,Casey,179
, F ,1983.0,Alex,1116
OK,F,1980.0,Jordan,457
,F,1968.0,,70
OK, F ,2002.0,Mary,31
OK,F,1913.0,taylor,6
OK,F,2019.0,Robert,141
OK,F,1934.0,Jordan,27
OK,,1944.0,Linda,690
OK,F,1925.0,Mary,5
OK,F,1979.0,Casey,568
OK,M,1982.0,Casey,577
OK,F,1957.0,Jennifer,578
OK,F,1931.0,Casey,33
OK,F,1979.0,Linda,
OK,F,1958.0,Patricia,623
OK,M,1939.0,Robert,13
OK,M,1978.0,Alex,249
OK,F,,Mary,152
OK,,1922.0,Mary,22
OK,M,1972.0,robert,644
,F,1945.0,Patricia,10
OK,M,1988.0,Jordan,535
OK,F,1964.0,Linda,764
OK,M,1934.0,John,126
OK,F,1986.0,Taylor,1097
OK,F,1998.0,Taylor,150
OK,F,2008.0,Taylor,239
 OK ,F,2004.0,Patricia,69
OK,F,1939.0,Taylor,158
OK,F,1952.0,Casey,422
,M,1946.0, Jordan ,285
OK,M,1946.0,John,51
OK,M,2020.0,Michael,252
OK,M,2003.0,Jennifer,73
OK,F,2008.0,Jennifer,198
OK,F,2019.0,Casey,321
OK,F,1991.0,taylor,338
 OK ,F,1993.0,Mary,304
OK,F,1973.0,Jennifer,542
OK,M,1911.0,Taylor,11
OK,M,1959.0,James,486
,F,, Alex ,514
 OK ,M,1935.0,John,12
OK,F,2011.0,Jordan,379
OK,M,1994.0,James,148
OK, M ,1944.0,Casey,19
OK,F,2018.0,Casey,135
OK,,1987.0,,
OK,,2002.0,Linda,75
OK,F,1963.0,Linda,550
OK,M,1948.0,Michael,340
,M,1924.0,James,45
OK,F,2009.0,Jordan,50
OK, F ,2002.0,James,56
OK,F,1999.0,Michael,319
OK,M,1990.0,Jordan,82
OK, F ,1939.0,Patricia,19
OK,F,1932.0,Casey,21
OK,F,1963.0,Mary,222
OK,F,1994.0,,513
OK,F,1990.0,Casey,1171
OK,F,1965.0,Linda,90
OK,,1992.0,Alex,142
OK,F,1920.0,Patricia,33
OK,M,,Michael,88
OK,M,2001.0,John,194
OK,M,1944.0,Jordan,5
OK,M,2018.0,Alex,93
,M,1972.0,James,1036
OK,M,1928.0,James,107
OK,M,1958.0,James,57
OK,F,2006.0,linda,
OK,M,1987.0,Jordan,673
OK,F,1950.0,jennifer,200
OK,M,1979.0,John,379
OK,F,1985.0,Taylor,466
OK,M,2014.0,James,
OK,F,2017.0,Jennifer,42
OK,,1987.0,Taylor,774
OK,M,1960.0,James,38
,F,1989.0,Alex,
OK, M ,1991.0,James,525
OK,F,1972.0,Jennifer,518
OK,F,2000.0,Linda,963
OK,M,1976.0,Alex,34
OK,F,1959.0,Taylor,77
OK,F,2010.0, Linda ,82
OK,F,1978.0,Casey,235
 OK ,M,1983.0,James,
OK,M,1998.0,Alex,129
OK,M,2005.0,Taylor,286
OK,M,1913.0,Jordan,5
OK,M,1954.0, Robert ,11
OK,M,2013.0,Alex,25
OK,M,1952.0,Robert,10
OK,M,1961.0,Patricia,73
OK,M,1979.0,Taylor,520
OK,F,1943.0,Patricia,374
OK,F,2021.0,Alex,10
OK,M,1969.0,Jordan,1039
OK,M,1991.0,Jordan,74
OK,M,1991.0,robert,495
