STATE,SEX,YEAR,NAME,COUNT
OR,F,1914.0,Jennifer,72
OR, F ,1988.0,,165
 OR ,M,2013.0,Casey,
OR,M,2015.0,Robert,6
OR, F ,1936.0,Jennifer,152
OR,F,1913.0, Casey ,18
 OR ,F,1993.0,Robert,771
OR,F,1966.0, Linda ,605
OR,F,1983.0,Patricia,1145
OR,F,1944.0, Mary ,425
OR,M,2016.0,Michael,31
OR,M,1953.0,Jordan,120
OR,F,1973.0,Jennifer,489
OR,F,2016.0,Jordan,74
OR,M,,Casey,199
,,1998.0,Linda,891
OR,M,1995.0,Casey,45
OR,,2013.0,Jordan,76
OR,F,1980.0,Casey,53
OR,M,,Jordan,50
OR,,1931.0,Casey,102
OR,M,1956.0,Casey,1390
OR,F,,Taylor,
OR,M,1973.0,James,221
OR,M,1978.0,Alex,425
OR,,2000.0,James,92
OR, M ,2006.0,Taylor,58
OR,,2000.0,Casey,984
OR,F,2011.0,Jordan,73
OR,F,1965.0,Taylor,
OR,M,1930.0,Alex,
OR,M,2000.0,Casey,237
OR,M,2002.0,Jordan,1280
OR,F,1985.0, Linda ,45
 OR ,M,,Robert,616
OR,F,1952.0,Linda,1048
OR,F,2022.0,Jennifer,20
 OR ,M,1974.0,Michael,584
OR,F,2013.0,Jennifer,239
OR,F,1952.0,Taylor,8
OR,M,1929.0,,13
OR,M,2018.0,John,585
OR,F,1979.0, Mary ,351
OR,M,2005.0,Jordan,121
OR,M,1977.0,Taylor,249
OR,F,1987.0,Taylor,609
 OR ,M,1998.0,Taylor,369
OR, M ,1994.0, John ,315
OR,M,1932.0,Patricia,41
OR,M,1943.0,Jordan,44
,F,2016.0,Casey,19
 OR ,M,1928.0,Casey,13
OR,F,1940.0,Taylor,199
OR,F,1911.0,Alex,17
OR,M,1960.0,Taylor,54
OR,M,,john,405
OR,F,1981.0,Patricia,373
 OR ,M,1969.0,James,755
OR,F,1922.0,Patricia,127
OR,M,1958.0,John,265
OR, F ,1924.0,Patricia,11
OR,M,1966.0,Jordan,1013
OR,F,1939.0,,471
OR,M,2011.0,Michael,293
OR,F,1981.0,Alex,87
OR,F,1987.0,Jordan,647
OR,M,1980.0,John,305
OR,M,2020.0,james,628
 OR ,M,1964.0,Michael,623
OR, M ,2016.0,Casey,
,F,1985.0,Taylor,318
OR,F,2002.0,Linda,717
OR,F,1976.0,Mary,6
 OR ,F,2004.0,James,55
OR,F,1977.0,Patricia,191
,M,1975.0,James,461
OR,F,2000.0,Alex,176
OR,M,2006.0,Robert,402
OR,M,1974.0,Alex,151
OR,M,2013.0,James,26
OR,M,1956.0,James,54
OR,,1956.0,Alex,31
OR,M,,Alex,10
OR,M,1945.0,James,239
OR,M,2022.0,Jordan,191
OR,F,1938.0,Alex,101
 OR ,M,1961.0,Robert,11
 OR ,M,,Jordan,
OR,M,2006.0,Jordan,16
OR,F,1941.0,Alex,123
OR,M,2000.0,Robert,26
OR,M,,Robert,282
OR,M,2008.0,Alex,948
 OR ,F,1986.0, Mary ,309
OR,F,2019.0,James,10
OR,M,1990.0,John,190
OR,F,1971.0,Mary,115
OR,M,1948.0,Taylor,112
OR,F,1985.0, Mary ,42
OR,F,,Linda,384
OR,F,1918.0,Casey,32
OR,F,2020.0,Jordan,75
OR,M,1929.0,Casey,31
OR,,1928.0,Patricia,33
OR,F,2017.0,Taylor,512
OR,M,1912.0,Robert,12
 OR ,F,1937.0,Alex,222
 OR ,F,,Jordan,546
OR, M ,1932.0,Alex,103
OR, F ,1969.0,Patricia,
OR,F,2011.0,Mary,
OR, F ,1972.0,Patricia,241
 OR ,M,1991.0,Taylor,586
 OR , M ,1964.0,James,
OR,M,2009.0,James,461
OR,F,1975.0,alex,207
 OR ,M,,Jordan,
OR,F,1978.0,Alex,856
OR,F,1977.0,,42
OR,M,1960.0,Jordan,500
OR,F,,Jennifer,641
OR,M,2009.0,Michael,200
OR,M,1973.0,Casey,189
OR,F,2014.0,Jordan,243
OR, M ,1965.0,James,94
OR,F,2004.0,Jordan,427
OR,F,1941.0,Linda,299
OR,M,1939.0,Casey,33
OR,F,1993.0,Jordan,712
OR,F,1954.0,Alex,356
OR,F,1996.0,Jennifer,719
OR,M,1911.0,Casey,7
 OR ,M,1918.0,James,11
OR, M ,1983.0, James ,616
OR,M,1957.0,Michael,247
OR,M,1987.0,Taylor,234
OR,F,2008.0,Mary,138
OR,F,1982.0,Jennifer,195
OR, M ,2014.0,robert,235
OR,F,1960.0,Patricia,668
OR, F ,1953.0,Mary,20
OR,M,1943.0,Robert,65
OR,M,2001.0,Mary,
 OR ,F,2002.0,Jennifer,
OR,M,1992.0,Jordan,61
OR,M,1942.0,Alex,441
OR,F,2012.0,Patricia,33
OR,F,1945.0,Jennifer,192
OR,M,1930.0,John,135
OR,F,1959.0,Linda,
OR,,1959.0,Jordan,312
OR,M,2022.0,Alex,
OR, M ,1979.0,Casey,1384
OR,M,1986.0,Taylor,300
OR,F,1973.0,Patricia,1286
OR,F,1975.0,Jordan,469
OR, M ,2004.0,Taylor,157
OR,,1913.0,Michael,27
OR,,2002.0,Casey,24
OR,F,1948.0,Casey,951
OR,M,2016.0,James,5
OR, F ,1983.0,Casey,452
OR,F,1965.0,Alex,17
OR,M,,Taylor,761
OR,M,1985.0,Michael,264
OR,F,1940.0,Linda,55
OR, M ,1966.0,John,171
,F,1948.0,Taylor,665
OR,,1939.0,James,263
OR,M,1963.0,Michael,914
OR,F,2003.0,Taylor,152
OR,F,1983.0,Alex,147
OR,,2012.0,Jordan,157
OR, F ,1971.0,Casey,73
OR, M ,1938.0,Jordan,302
OR,F,2010.0,Jordan,268
OR,M,2019.0,Jordan,186
OR, M ,,John,642
 OR ,M,1924.0,Jordan,49
,,1994.0,Taylor,557
OR,M,1960.0,Robert,166
 OR ,F,1938.0,Taylor,89
OR,M,1972.0,James,962
OR,F,2010.0,Taylor,34
OR,M,1925.0,James,71
 OR ,F,1991.0,Mary,268
,,2004.0,Mary,348
OR,,1916.0,Casey,124
OR,F,1921.0,casey,27
OR,,1927.0,Jennifer,62
,M,2021.0, Patricia ,396
OR,F,1981.0,Linda,10
OR,M,1951.0,Michael,46
OR,F,2006.0,Jordan,8
OR,M,1928.0, Robert ,30
OR, M ,1967.0,Robert,321
OR,,1961.0,Jennifer,164
OR,F,1980.0,jordan,338
OR,F,1932.0,Jennifer,178
OR,M,2012.0,James,1142
OR,F,1965.0,Mary,68
OR,M,1967.0,James,97
OR,F,1977.0,Alex,59
OR,F,1965.0,Michael,471
OR,F,1979.0,Jordan,171
OR,M,1971.0,James,386
OR,F,2012.0,Taylor,575
OR,M,2007.0,Michael,947
,F,1951.0,,26
 OR ,M,1997.0, Robert ,341
 OR ,F,1987.0,Linda,
 OR ,F,1961.0,Patricia,93
OR,F,2006.0,Taylor,767
OR,F,,Jennifer,18
OR, M ,1991.0,Casey,99
OR,M,1982.0,Alex,90
OR,M,1983.0,Robert,192
OR,F,,Taylor,
OR,M,1944.0,Alex,18
 OR ,M,1940.0,Alex,5
OR,M,1956.0,taylor,442
OR,F,1997.0,Linda,413
OR,M,1948.0,Jordan,413
OR, F ,1967.0,Jordan,434
OR,F,1946.0,Jordan,32
OR,M,1940.0,Michael,16
OR,M,1941.0,Robert,12
OR,F,2021.0,Patricia,297
OR,F,1995.0,Casey,754
OR,M,1999.0,Jordan,60
OR,F,1919.0,Jennifer,28
OR,F,1970.0,Jordan,154
 OR ,F,1971.0,Jennifer,47
OR,M,2004.0, Jordan ,56
OR,M,1918.0,Casey,8
OR,,1997.0,mary,144
OR,,1931.0,Patricia,11
OR,F,1939.0,jordan,21
,M,1980.0,James,144
OR,M,1933.0,Patricia,76
 OR ,F,1994.0, Jordan ,105
,,1949.0,Mary,162
OR,M,1933.0,Alex,27
OR,M,2018.0,James,204
OR,M,1921.0,,17
OR,M,1984.0,James,105
 OR ,M,1915.0,Jordan,35
OR,,2003.0,Jennifer,177
OR,,1962.0,Linda,809
OR,M,,Jordan,757
OR,M,1948.0,Alex,17
OR,M,2018.0,Jordan,214
OR,M,1957.0,Alex,415
OR,F,1981.0,Taylor,863
OR,,1952.0,Patricia,15
,F,1997.0,Alex,
OR,F,1963.0,Casey,464
 OR ,M,1997.0,John,488
 OR ,M,1977.0,Casey,
OR,F,1961.0,,56
 OR ,F,1993.0,,264
OR,,1994.0, Taylor ,315
,,1946.0,Taylor,351
OR,F,1976.0, Linda ,211
OR,F,1951.0,Alex,144
OR,F,1959.0,Robert,379
OR,F,1990.0,Alex,
OR,F,2022.0,Linda,21
 OR ,F,1979.0,Patricia,62
OR,M,2007.0,Taylor,88
OR,F,1915.0,Jordan,50
OR,,2022.0,,22
OR,F,1926.0,Alex,6
OR,M,1961.0,Michael,719
OR,M,1987.0,Jordan,289
OR,,1939.0,Jennifer,5
OR,M,1996.0,Alex,410
 OR ,M,1968.0,James,53
OR,F,1967.0,Jennifer,7
OR,F,2015.0, Jordan ,137
OR,F,2014.0,patricia,56
OR,,,Alex,660
OR,M,1999.0, Casey ,68
,F,1978.0,Jennifer,140
OR,M,2017.0,Michael,89
OR,M,2005.0,Robert,675
OR,F,1943.0,Linda,13
OR,M,1970.0,John,722
OR, M ,1917.0,Jordan,96
OR,F,1981.0,Jordan,164
 OR ,F,1915.0,Alex,58
OR,M,1989.0,Michael,137
OR,F,2015.0,Patricia,198
OR,M,1967.0,Taylor,348
OR,M,1950.0,Casey,275
OR,F,1923.0,Patricia,53
 OR ,F,2011.0,Casey,523
OR,F,,Patricia,69
OR, F ,2001.0,Jordan,329
OR,M,2009.0,Alex,139
OR,M,1931.0,Taylor,469
OR,F,1975.0,,127
OR,M,1929.0,Robert,7
OR,F,2012.0,Jordan,480
OR,M,1920.0,Casey,7
OR, M ,1985.0,Casey,199
OR,F,1923.0,,71
OR,M,,Jordan,7
OR,M,1995.0,John,
OR,M,2013.0,Jordan,664
OR,F,1983.0,Linda,373
OR, F ,1991.0,Linda,825
OR,F,2000.0,Linda,460
OR,F,1954.0, Taylor ,
OR,M,1928.0,Alex,488
OR,F,1956.0,Taylor,540
OR,,2000.0,John,191
OR, M ,2007.0,Robert,110
OR,M,,James,127
OR,M,1914.0, Taylor ,31
OR,M,1975.0,John,253
OR,F,1969.0,Alex,316
OR,M,1984.0,Jordan,466
 OR , F ,1978.0,Mary,224
OR,,1937.0,Michael,382
OR,F,1968.0, Jennifer ,157
OR,M,1982.0,Casey,294
OR,M,1967.0,Jordan,7
OR,M,,John,139
OR,M,1929.0,Alex,103
OR,F,1968.0,Mary,142
OR,M,,Michael,521
OR,,1969.0,Casey,631
OR,F,1980.0,Patricia,
OR,M,1941.0,Taylor,109
OR,M,1946.0,Robert,8
OR, M ,1937.0,James,332
 OR ,F,2003.0,Patricia,28
OR,F,1958.0,taylor,426
OR,M,2010.0,James,130
OR,F,2009.0,Casey,515
OR,M,2002.0,Taylor,6
OR,M,1974.0,Casey,963
OR,M,1914.0,John,33
OR,M,1978.0,,25
,M,1941.0,Jordan,165
 OR , F ,2019.0,Mary,49
OR,F,1984.0,Jordan,603
OR,F,1921.0,Alex,20
OR, M ,1944.0,John,223
OR,M,1958.0,robert,89
OR, M ,1949.0,James,46
OR,M,2006.0,Michael,9
,F,2006.0,Alex,12
OR,,2011.0,John,22
OR,M,1926.0,Michael,5
OR,M,1989.0,Alex,358
 OR ,M,1981.0,John,543
OR,M,1994.0,Jordan,513
OR, F ,1992.0,Jennifer,642
OR,M,2014.0,Alex,291
OR,F,1976.0,Jennifer,83
OR,F,1941.0,Patricia,186
OR,F,2008.0,Patricia,13
OR, M ,1949.0,James,46
OR,M,1967.0,Alex,117
OR,F,1968.0,Casey,688
OR,M,2017.0,Alex,27
