STATE,SEX,YEAR,NAME,COUNT
,M,1950.0,Jordan,52
PA,,1990.0,Alex,164
PA,M,2014.0, Alex ,110
 PA ,F,1990.0,Alex,48
PA,M,1950.0,Michael,33
 PA ,F,1957.0,Jordan,12
 PA ,F,1989.0,Alex,843
PA,M,1972.0,Jordan,376
PA, F ,1975.0,Alex,316
PA,F,1932.0,james,33
PA,F,1957.0,,104
PA,M,1993.0,Jordan,166
PA,F,1970.0,Taylor,86
PA,M,2012.0,Jordan,102
PA,F,1979.0, Linda ,444
PA,M,2001.0,Jordan,529
PA,M,1995.0, Michael ,129
PA,M,1989.0,Alex,429
PA,M,1974.0,james,470
PA,F,2015.0,patricia,827
PA,F,1999.0,Linda,273
 PA ,F,2007.0,Taylor,94
PA,F,2012.0,Linda,136
PA,F,1929.0,,12
PA, F ,1948.0,Casey,181
PA,F,1972.0,,
PA,M,1959.0,Taylor,210
PA,F,2014.0,Taylor,69
PA,M,2009.0,Taylor,855
 PA ,M,1948.0,Alex,599
 PA ,M,1986.0,Michael,313
PA,F,1955.0,Alex,25
PA,M,1944.0,,37
PA, F ,1963.0,Linda,26
PA,F,1943.0,Jordan,45
PA,M,1988.0,Michael,131
PA,M,1988.0,Casey,179
PA,F,1944.0,Michael,220
PA,M,1943.0,James,272
PA,,1967.0,Alex,536
PA,M,1971.0,Alex,112
PA,M,1995.0,Taylor,246
PA,M,1919.0,,22
 PA ,F,2018.0,Linda,93
PA,M,1975.0,Michael,419
PA,F,1942.0,Patricia,291
PA, M ,1946.0,Casey,224
PA,M,1976.0,Alex,31
PA,F,1917.0,Taylor,11
PA,F,2019.0,Robert,196
PA,M,1989.0,Jordan,802
PA, M ,1984.0,Michael,54
PA, F ,2002.0,Patricia,347
, M ,2022.0,John,55
 PA ,M,1931.0,James,5
PA,M,1973.0, John ,326
PA,M,1966.0,John,179
PA,F,1978.0,Linda,984
PA,F,1945.0,Jordan,36
,F,2005.0,Linda,51
PA,M,2013.0,Casey,34
PA,M,1968.0,Alex,168
,M,2002.0,Taylor,43
PA,F,2003.0,Taylor,211
PA,F,1960.0,Taylor,67
PA,,1993.0,John,60
 PA ,F,1993.0,Jennifer,982
,M,1981.0,Michael,104
PA,M,2011.0,Alex,142
PA,M,1983.0,Mary,676
,F,1951.0,Jennifer,5
PA,M,1942.0,Robert,17
PA, M ,1976.0,Mary,748
PA,M,2003.0,Taylor,17
PA,M,, John ,115
PA, F ,1940.0,Casey,
