state,sex,year,name,count
RI,M,1994.0,John,604
RI,F,1949.0,Linda,29
RI,M,1986.0,James,387
RI,,,,
RI,F,1959.0,Jordan,881
,F,1985.0,Alex,309
 RI ,F,1942.0,Linda,13
RI, M ,1954.0,Casey,291
RI,F,1997.0,Robert,107
 RI ,F,1917.0,Casey,6
RI,F,1999.0,Jordan,154
RI,M,1990.0,John,150
RI,M,1928.0,James,19
RI,M,1924.0,Robert,325
RI,M,1951.0,Jordan,12
,F,1998.0,Jennifer,774
RI,M,1924.0,John,80
RI,M,1925.0,Jennifer,34
RI,F,1944.0,Patricia,
RI,,1986.0,Linda,345
RI,F,1942.0, Jennifer ,16
RI, F ,1987.0,Jennifer,403
RI,F,1945.0,Linda,15
RI,F,1951.0,Taylor,173
RI,M,1995.0, John ,234
RI,F,1915.0,Michael,52
 RI , F ,1964.0,Linda,226
RI,M,1926.0,John,17
RI,F,1930.0,Alex,237
RI,M,1950.0,,303
RI,F,1979.0,Mary,371
RI,M,1951.0,Alex,23
RI,M,1962.0,Jordan,441
RI,,,Michael,183
RI,F,,Jennifer,163
RI,,1964.0,Casey,235
RI, F ,1926.0,Patricia,109
 RI ,M,2002.0,Robert,76
RI,,2022.0,Robert,353
RI,F,1971.0,Taylor,731
RI, M ,1998.0,Taylor,82
RI,M,1984.0,Robert,148
RI,,1936.0, James ,65
RI,M,1956.0,Alex,
RI,M,1977.0,Jordan,107
RI,F,1957.0,Taylor,311
RI,F,1986.0,Mary,252
RI,F,,Jordan,266
RI,M,1979.0,John,552
RI,F,1938.0,Taylor,138
RI,M,1965.0,Linda,765
RI,F,2000.0,Taylor,616
RI,F,2004.0, Alex ,598
RI,M,1968.0,Taylor,271
RI,F,1978.0,Jordan,265
RI,F,2002.0,Patricia,1147
RI,M,1927.0,Robert,10
RI,M,2011.0,taylor,93
RI,M,1941.0,Alex,92
RI,M,1950.0,James,291
RI,M,1956.0,Casey,52
RI,F,2011.0,Patricia,62
RI,M,1948.0,Casey,145
RI,M,2018.0,Alex,15
RI, M ,1997.0,Michael,18
RI,F,2003.0,Jordan,85
RI,F,,Jordan,53
RI,F,2019.0,Alex,104
 RI ,F,2006.0,Taylor,56
RI,F,1994.0,Patricia,227
RI,M,1977.0,Michael,201
RI,F,1991.0,Taylor,98
RI,M,1934.0,Taylor,120
RI,F,1974.0,Jennifer,234
RI,F,1934.0,Linda,137
RI,M,1928.0,alex,20
RI,F,1910.0,Mary,5
RI,M,2013.0, Alex ,364
RI,F,1957.0,Jordan,779
 RI , F ,2011.0,Casey,50
RI,M,1996.0,John,530
RI,F,1988.0,Jennifer,430
RI,F,1972.0,Taylor,
RI,F,1950.0,Alex,593
RI,M,1953.0,Taylor,11
, M ,1949.0,Michael,36
RI,M,1983.0, John ,
RI, F ,1917.0,Jennifer,
RI,F,1988.0,Taylor,448
 RI ,M,2021.0,Linda,61
RI,M,2014.0,Alex,478
 RI ,M,2004.0,Jordan,14
RI,M,2000.0,Taylor,55
RI,M,1975.0,Michael,777
RI,F,2019.0,Mary,77
RI,F,1963.0,Taylor,521
,F,1971.0,Linda,154
RI,F,1935.0, Mary ,37
RI,F,1990.0,Robert,350
RI,F,2002.0,Jennifer,458
RI,F,1920.0,Jordan,139
RI,F,1949.0,Jennifer,129
RI,F,1982.0,Taylor,864
RI, F ,1910.0,Jordan,68
RI,M,1957.0,Alex,211
 RI ,M,1994.0,Jordan,238
RI,F,1947.0,Jennifer,480
RI,F,1981.0,Mary,383
RI,M,,Michael,99
RI,M,2016.0,Michael,284
RI,M,1931.0,James,
RI, F ,1997.0,Patricia,6
RI,F,1967.0,Patricia,697
RI,F,1949.0,Patricia,36
RI,F,1987.0, Casey ,604
RI,M,1963.0,taylor,191
RI,F,1931.0,Jennifer,24
RI,F,1989.0,James,86
RI,M,2013.0,Taylor,174
RI,M,1983.0,Jordan,672
RI,M,1980.0,alex,189
RI,F,1993.0,,57
RI,M,1961.0,Alex,68
RI,F,1962.0,Casey,78
RI,M,2019.0,Michael,264
RI,F,1997.0,Casey,29
RI,F,1965.0,Taylor,617
RI,F,1991.0,Linda,652
RI,M,1943.0,John,9
RI,M,1937.0,Taylor,25
RI, F ,2015.0,Alex,811
 RI ,M,2014.0,Robert,403
RI,M,2003.0,Robert,281
 RI ,F,1923.0,Mary,
RI,F,1958.0,Jennifer,304
RI, F ,1984.0,Taylor,983
RI,M,1935.0,,
RI,F,1969.0,Mary,215
RI,M,1910.0,John,8
RI,M,1971.0,Casey,83
RI,M,,James,
 RI ,F,1966.0,taylor,441
,F,2004.0,Casey,160
 RI ,F,2008.0,Jordan,10
RI,F,1982.0, Jennifer ,337
, M ,1952.0,Michael,55
 RI ,M,1927.0,James,7
 RI ,M,2008.0, Jordan ,901
RI, M ,,Michael,879
RI,F,1928.0,James,25
RI,M,1923.0,Jordan,87
RI,M,1972.0,James,371
RI,F,1987.0,Patricia,868
RI,,1923.0,Michael,17
RI,M,1980.0,James,163
RI,F,1999.0,Jordan,154
RI,M,1964.0,Taylor,977
RI,M,2022.0,Michael,274
RI,M,2003.0,James,51
RI,F,1954.0,Casey,175
RI, F ,1989.0,Jordan,279
RI,M,1986.0, Linda ,182
RI, F ,1937.0,Alex,5
RI,M,1954.0,James,227
RI,M,2007.0,Alex,475
RI,M,1994.0,Casey,244
RI,M,1972.0,Casey,688
RI,M,1979.0,Michael,872
RI,F,2020.0,Jennifer,19
 RI ,M,2007.0,John,660
RI,M,1984.0,Jennifer,337
RI,M,2005.0,James,22
RI,F,1936.0,alex,302
RI,F,1973.0,Patricia,759
 RI ,,,Taylor,33
RI,M,1939.0,Mary,7
RI,F,1939.0,Patricia,357
RI,F,2011.0,Mary,256
RI,F,1932.0,Taylor,5
RI, F ,1981.0,Taylor,177
RI,M,1944.0,Taylor,71
RI,F,1999.0,Casey,43
 RI ,F,1920.0,Mary,19
RI,F,1934.0,Casey,322
RI,M,1935.0,,24
RI,M,1985.0,John,600
RI,M,1959.0,Alex,87
RI,M,1928.0,Michael,48
RI,M,,Jordan,320
RI,F,1980.0,Jordan,310
RI,F,1989.0,Linda,329
RI,F,2006.0,patricia,
RI,F,1997.0,Taylor,553
RI,F,1992.0,Jordan,27
RI,M,1944.0,Linda,77
RI,F,,Jennifer,273
RI,M,1944.0,Robert,408
RI,M,1979.0,John,552
RI,M,1983.0,Robert,274
RI,M,1940.0,Alex,5
RI,M,1964.0,Linda,884
,F,2006.0,linda,41
RI,F,1997.0,,167
RI, F ,1973.0,Taylor,1001
RI,F,1990.0,Jordan,106
RI,F,2019.0,Michael,24
RI,F,,Casey,324
RI,M,1961.0,James,442
RI,F,1979.0,Jennifer,266
RI,M,1967.0, James ,1047
RI, F ,1992.0,Taylor,489
RI,M,1914.0,Taylor,10
 RI ,F,1999.0,,10
RI,M,1974.0,Alex,213
 RI ,M,1987.0,Robert,361
RI,F,1930.0,Linda,52
RI,M,2017.0,James,477
RI,M,1996.0, Michael ,275
 RI ,M,2003.0,Michael,528
RI,F,2002.0,linda,116
RI,M,1924.0,Patricia,241
RI,F,2007.0,Casey,5
RI,M,1976.0,Taylor,231
RI,F,1910.0,Linda,49
RI,M,1976.0,James,
,M,2020.0,Michael,229
 RI ,M,2000.0,James,11
RI,M,1930.0,Jordan,116
RI,M,1946.0,James,320
RI,M,1915.0,James,14
RI,F,1961.0,Patricia,375
RI,,1992.0,James,37
,F,1965.0,Linda,250
 RI ,F,2022.0,Taylor,20
RI,M,1921.0,James,102
RI, F ,1927.0,,8
RI,M,1922.0,Casey,5
RI,M,2013.0,Casey,494
,M,1915.0,Robert,10
RI,F,2001.0,Jennifer,166
RI,F,1958.0,Alex,292
RI,F,1999.0,Patricia,15
RI,M,1916.0,John,114
RI,M,1935.0,James,123
RI,M,1974.0,Robert,35
RI,F,1932.0,Mary,284
RI,,1995.0,michael,29
RI,F,1962.0,Jordan,214
RI,M,1966.0,Robert,682
RI,M,1929.0,Robert,75
RI,M,1965.0,James,72
RI,M,2009.0,Michael,807
RI,F,1963.0,Jennifer,89
RI, F ,1973.0,Alex,1010
RI,F,1922.0,Patricia,246
RI,M,1944.0,James,385
RI,M,1940.0,jordan,
RI,M,1997.0,Taylor,892
RI,,,Jennifer,71
RI,F,1958.0,Mary,282
 RI ,F,1988.0,Casey,
RI,M,1976.0,Robert,543
RI,M,2018.0,John,140
RI, F ,1979.0,Jordan,703
,F,1952.0,Casey,54
RI,M,1991.0,Robert,33
RI,F,2020.0,Casey,82
RI,M,1945.0, Jordan ,35
RI,M,1967.0,Robert,103
RI,M,1982.0,Taylor,266
RI, F ,2007.0,Alex,13
RI,F,1942.0,,194
 RI ,F,1990.0,Mary,282
RI,M,1959.0,James,589
RI, M ,1975.0,Jordan,75
RI,M,1964.0,John,90
RI,M,1958.0,Robert,364
RI,,2011.0,Alex,94
RI,M,1935.0,John,46
 RI ,F,1997.0,Jennifer,341
,F,1942.0,Casey,85
RI,M,1949.0,Taylor,634
RI,M,1913.0,James,7
RI,M,1993.0,James,
RI,M,1987.0,Taylor,660
 RI ,F,1998.0,Linda,139
RI,F,1943.0,,31
RI,F,1928.0,Mary,156
RI,F,1927.0,Jordan,16
RI,M,1998.0,John,167
, F ,1961.0,Jordan,36
RI,F,1929.0,Jordan,216
RI,F,1995.0,Jordan,659
RI,M,1971.0,Taylor,494
RI,,,Robert,336
RI,F,1961.0,Casey,379
RI,F,1994.0,Jordan,153
RI,M,1931.0,Taylor,9
RI,F,1938.0,Patricia,660
RI,F,1968.0,Taylor,190
RI,F,1935.0,Patricia,19
RI,M,1999.0,Michael,207
RI,M,1991.0,Alex,715
 RI ,M,1941.0,James,421
RI, F ,1974.0,Patricia,81
RI,F,1946.0,Taylor,59
RI,F,2021.0,Alex,106
RI,F,2017.0,Taylor,150
RI,F,2021.0,Patricia,25
RI,M,1988.0,Michael,524
RI,M,1995.0,Robert,155
 RI ,F,1936.0,Jennifer,36
RI,M,1989.0,Alex,394
RI,,1939.0,Taylor,133
RI,M,1957.0, John ,388
RI,F,1944.0,Alex,80
 RI , M ,1959.0, Robert ,453
RI,M,2001.0,Michael,328
RI,F,2005.0, Taylor ,132
RI,F,1957.0,Linda,371
RI,M,,Jordan,31
RI,M,1952.0,John,20
RI,F,2018.0,,25
RI,M,1989.0,Casey,214
RI,F,2010.0,Taylor,494
RI,F,1929.0,Linda,122
RI,F,2002.0,Mary,125
RI, F ,1976.0,Jennifer,1252
RI,M,1944.0,James,385
RI,F,1992.0,Mary,220
RI,F,1948.0, Alex ,481
RI, M ,1992.0,John,807
RI,M,1948.0,Robert,130
RI,,1948.0,Jennifer,45
RI,F,2008.0,Linda,327
RI,M,1975.0,Robert,335
RI, F ,1964.0,Mary,1013
RI,M,1993.0,Taylor,976
RI,M,1919.0,John,7
RI,F,2009.0, Jordan ,1278
RI,F,2003.0,Jennifer,48
RI,F,1985.0,Taylor,540
RI,M,1914.0,James,217
RI,M,1912.0,Taylor,
RI,M,1929.0,Taylor,240
RI, F ,1976.0,Alex,386
RI,M,2017.0,James,477
 RI ,M,1961.0,John,458
RI, M ,1921.0,Taylor,30
RI,M,,Robert,13
,M,1977.0,john,596
RI, F ,1967.0,Alex,104
RI,F,1972.0,Patricia,889
RI,M,1943.0,Casey,111
RI,M,1965.0,Alex,381
RI,F,1980.0,patricia,178
RI,F,1921.0,Mary,237
RI,M,1918.0,Alex,70
RI,F,2014.0,Jennifer,23
RI,M,1986.0,Jordan,701
RI,F,1971.0,Jordan,35
RI,M,1910.0,Taylor,12
 RI ,M,1997.0,robert,134
RI, F ,1961.0,Jennifer,783
RI,F,2003.0,,613
RI,F,1933.0,Mary,21
 RI ,F,1965.0,Jennifer,80
RI,M,2014.0,Casey,192
 RI ,F,2018.0,Taylor,141
RI,F,1976.0,John,454
,M,2010.0,Taylor,16
, M ,1986.0,Alex,188
RI,F,,Jordan,11
RI,F,2012.0,Casey,461
RI,M,1971.0,John,35
RI,M,1982.0,John,130
 RI ,F,1991.0,Jennifer,444
, F ,1969.0,Jordan,622
RI,M,1957.0,Taylor,145
RI,,2010.0,Mary,32
RI,M,1925.0,Casey,55
 RI ,F,,Alex,220
RI,M,1923.0, James ,43
RI,F,1932.0,Casey,49
RI,M,,Jordan,30
RI,M,1982.0,Casey,110
RI,M,2022.0,Alex,713
RI,F,1940.0,Alex,389
RI,F,1972.0,Patricia,889
RI,M,1947.0,Casey,124
RI, M ,1993.0,Alex,93
RI,F,2003.0,Patricia,231
RI,F,2002.0,Casey,439
RI,M,2006.0,Jordan,552
RI,F,2012.0,Alex,121
RI,M,1978.0,James,91
RI,M,2012.0,Robert,964
 RI ,,1953.0,Casey,17
RI,M,1945.0,John,7
RI,F,1945.0,Jordan,94
RI,F,2010.0,Casey,45
RI,M,1963.0,Robert,132
RI,M,1924.0,Taylor,20
RI,F,1921.0,Casey,26
RI,,1973.0,Alex,61
RI,M,1929.0,Alex,92
RI,,2012.0, Taylor ,21
RI,F,2021.0,,147
RI,M,1942.0,John,57
RI,M,1968.0,John,194
RI,F,1936.0,taylor,95
RI,F,1929.0,Mary,213
,F,1928.0,Patricia,16
RI,F,2004.0,Taylor,641
RI,M,1961.0,Robert,207
RI,M,2001.0,Jordan,5
,M,1926.0,James,98
RI,F,1999.0,Alex,172
RI,F,2013.0,Mary,26
RI,M,2010.0,Casey,228
RI,M,1924.0,James,43
RI,M,2021.0,Jordan,5
RI,M,1951.0,Michael,35
RI,F,1949.0,Mary,30
RI,M,1981.0,Robert,197
RI,M,,Casey,71
 RI ,F,1995.0,Casey,82
RI,F,1950.0,Jennifer,56
RI,M,,Alex,359
RI,F,1941.0,Jordan,552
RI,F,1925.0,Robert,19
RI,M,1961.0,casey,126
RI,F,1955.0,Casey,281
RI,M,1977.0,,166
RI,M,1963.0,James,33
RI,M,,Jennifer,29
RI,M,1968.0,Alex,650
RI,F,2016.0,Alex,
RI,F,1925.0,Jordan,12
RI,F,1983.0,Alex,105
RI,M,1934.0,John,136
RI,F,2004.0,Patricia,1068
RI,F,1945.0,Jennifer,13
RI,F,1972.0,linda,423
 RI ,F,1958.0,Taylor,841
RI,F,2012.0,Linda,41
RI,M,2000.0,Casey,584
RI,F,1983.0,Michael,261
RI,F,1993.0,Patricia,5
RI,F,,casey,77
RI,M,1946.0,Taylor,13
RI,F,1974.0,Taylor,154
RI,M,2015.0,James,17
RI,F,1967.0,Linda,120
RI, F ,,Mary,446
RI,F,1968.0,Linda,
RI,M,2018.0,Casey,6
RI, F ,1993.0,Jordan,
RI,M,1969.0,Taylor,34
RI,M,1976.0,Casey,848
RI,M,1972.0,Jordan,81
RI,F,1985.0,,54
RI, M ,1989.0,james,192
RI, M ,2015.0, Casey ,29
RI, M ,1950.0,Jennifer,
 RI ,M,1940.0,John,104
RI,,1994.0,Alex,791
RI,M,1932.0,Jordan,213
RI, M ,1977.0,Taylor,163
RI,F,1986.0, Taylor ,558
RI,,1987.0,James,236
RI,M,1957.0,Jordan,46
RI,M,2000.0,Taylor,55
RI,M,1926.0,Casey,35
RI,F,2011.0,Robert,23
RI,M,1969.0,James,256
RI,F,2015.0,,13
RI, F ,1969.0,Taylor,52
RI,M,1915.0,Taylor,25
RI,F,2006.0,Jordan,171
RI, F ,1925.0,Jennifer,94
 RI ,F,1989.0,Mary,55
RI,F,1929.0,Casey,61
RI,F,1948.0,Jordan,26
RI,M,1932.0,John,452
RI,M,1980.0,Casey,974
RI,,1970.0,Alex,69
RI,F,1982.0,mary,496
RI,M,1965.0,Patricia,273
RI,F,1945.0, Alex ,10
RI,F,2009.0,Casey,95
RI,M,1965.0,Robert,571
RI,M,1956.0,James,55
RI,M,1953.0,Alex,160
RI,F,1983.0,Casey,281
RI,M,2009.0,Casey,297
RI,,1953.0,Casey,
RI,M,1996.0,Casey,36
RI,M,2022.0,John,13
RI,M,2005.0, John ,393
RI,F,1966.0,Jennifer,253
RI,F,1958.0,Casey,461
RI,F,2013.0,Jordan,19
RI,F,1970.0, Taylor ,455
RI,F,1934.0,Jordan,19
RI,F,1969.0,Alex,32
 RI ,M,1957.0,Michael,15
RI,M,1913.0,Alex,20
 RI ,F,2020.0,Taylor,8
,M,1957.0,James,
 RI ,F,1973.0,jordan,
RI,F,1971.0,casey,578
RI,M,1948.0,Michael,87
RI,F,1969.0,Linda,95
 RI , M ,1954.0,Taylor,28
RI,F,2011.0,Jennifer,260
RI,M,,Jordan,674
RI, F ,2003.0,Alex,19
RI,F,1971.0,Patricia,431
RI,F,1962.0,Linda,258
 RI ,F,1955.0,Jennifer,39
RI,F,1975.0,taylor,431
RI,F,,Mary,520
RI,M,1914.0,Casey,11
RI,,1969.0,Casey,117
RI,F,1965.0,Alex,290
RI,M,1911.0,Michael,37
RI,M,1996.0,Jordan,414
RI,M,1991.0,Jordan,348
RI,F,1974.0,Linda,139
RI, F ,1937.0,Casey,119
RI, M ,2021.0,casey,9
RI, M ,1945.0,Alex,10
RI,F,1960.0,Linda,10
,M,1945.0,Casey,167
RI,M,1956.0,Robert,542
RI,M,1936.0,Taylor,14
RI,F,1954.0,Linda,64
RI,M,2013.0,Robert,
RI,F,1981.0,Casey,571
RI,M,1930.0,John,17
RI,M,2010.0,alex,16
RI,M,1937.0,Alex,577
RI,F,1940.0,Patricia,44
RI, F ,1974.0,Alex,260
RI,F,1995.0,Linda,71
,M,1992.0,linda,64
RI,F,1982.0,Linda,310
RI,F,1987.0,Jordan,329
RI,F,1997.0,jordan,71
RI,,,Michael,326
RI,,1926.0,Mary,200
RI,M,1983.0,Michael,54
RI,M,2007.0,Taylor,54
RI,F,1976.0,Mary,716
RI,M,1936.0,Alex,255
RI,F,1944.0,Jordan,37
RI,M,1973.0,Taylor,728
RI,F,1990.0,Linda,75
RI, M ,1957.0,Casey,111
RI,F,2015.0,Casey,998
RI,M,1967.0,Jordan,502
RI,F,,Alex,392
RI, F ,1913.0,,70
RI,F,2008.0,James,156
RI,F,1995.0,Jennifer,42
RI, M ,1955.0,Michael,529
RI,M,1951.0,Robert,126
RI,M,2006.0,,198
RI,F,2018.0,Patricia,832
RI,M,2011.0,Robert,48
RI,M,1933.0,James,179
RI,,1969.0,Patricia,671
RI,M,1969.0,Casey,124
RI,M,2001.0,Taylor,393
RI,M,1971.0,james,126
RI,M,1964.0,Michael,19
,F,,Taylor,104
RI,F,1963.0,Casey,833
 RI ,F,1979.0,Patricia,578
RI,M,1983.0,Taylor,280
RI,F,2002.0,Casey,439
RI,F,1988.0,Linda,319
RI,F,2005.0,,73
RI,F,1984.0,Jennifer,76
RI,M,1946.0, Robert ,49
RI,M,2022.0,James,11
 RI ,F,1916.0,Taylor,7
RI,M,1965.0,Casey,41
 RI ,M,1919.0,Alex,24
RI,F,1965.0,Alex,290
RI,M,1999.0,Patricia,21
RI,M,2017.0,Alex,10
RI,M,1965.0,Michael,55
RI,F,1953.0,Alex,263
,M,2000.0,Jordan,1100
RI,,1947.0,Jordan,1200
,F,2017.0,Jennifer,71
RI,M,1994.0,Robert,253
RI,F,1944.0, Taylor ,71
RI,M,1975.0,John,216
 RI ,M,2010.0,John,42
RI,M,1967.0,Taylor,86
RI,M,,Casey,205
RI,F,1926.0,taylor,344
RI,M,1962.0,Taylor,600
RI,M,1986.0,Michael,594
RI,M,1916.0,Alex,10
RI,M,1991.0,Casey,105
RI, M ,1968.0,Casey,765
RI,F,1999.0,Jennifer,87
 RI , F ,1944.0,Casey,
,F,1917.0,Jordan,121
RI,M,2000.0,Alex,454
RI,F,1953.0,Jennifer,24
,M,2014.0,Taylor,264
RI,F,1919.0,Mary,5
RI, F ,1963.0,Mary,230
RI, M ,1916.0,Robert,26
 RI ,M,1923.0,Linda,17
RI,M,1963.0,Michael,106
RI,M,2001.0,James,97
RI,M,1988.0,Robert,561
RI,F,1977.0,Jordan,306
RI,M,1979.0,taylor,530
RI,M,2008.0,Casey,61
RI,M,1961.0,Jordan,319
RI,M,1948.0,,59
RI,M,1934.0,michael,102
RI,F,1972.0,Mary,443
RI,M,1917.0,Taylor,5
RI, M ,1964.0,James,408
RI, M ,1961.0,Taylor,64
RI,M,2007.0,,301
 RI ,F,,Mary,445
RI,F,1946.0,Jordan,522
 RI ,M,1995.0,James,
RI,M,1978.0, Michael ,442
RI,F,1944.0,Linda,290
RI,M,1933.0,James,179
RI,M,1972.0,Mary,109
RI,M,1974.0,Taylor,349
 RI ,M,1916.0,Michael,70
RI,F,2018.0,Alex,11
RI,M,1987.0,John,172
RI,F,1976.0,Patricia,669
RI,M,2009.0,Alex,12
RI,F,1994.0,,56
 RI , F ,1996.0, Linda ,254
 RI , M ,1963.0,,7
RI,M,2001.0,Casey,133
RI,F,2011.0,,
RI,F,1975.0,Jordan,75
RI,F,, Jordan ,136
 RI ,M,1956.0, Linda ,54
RI,F,1961.0,Mary,
RI,F,1928.0,Jennifer,21
RI,M,1955.0,,18
RI,M,1995.0,Taylor,502
RI,F,1950.0,Linda,
RI,M,2014.0,Casey,192
RI,M,1976.0,John,496
 RI ,M,1999.0,mary,122
RI,M,2005.0,Casey,72
RI,,1952.0,Jennifer,19
RI,M,1959.0,John,549
RI,M,1944.0,Alex,426
RI,M,2018.0,Robert,203
