state,sex,year,name,count
SC,,1953.0,Michael,284
SC,F,1946.0,Mary,5
SC,M,1964.0,Casey,
SC,F,1947.0,Jordan,6
SC,,1955.0,Jennifer,182
SC,M,2014.0,James,20
SC,M,1994.0,Jordan,464
 SC ,F,1996.0,,78
SC,M,2007.0,John,241
SC,F,2022.0,Jennifer,97
SC, F ,1991.0,,43
,F,2015.0,Jordan,207
 SC ,M,1946.0,Casey,319
SC,F,2002.0,Mary,39
SC,F,1994.0,Robert,78
SC,,1991.0,Jordan,43
,F,1927.0,Patricia,42
SC,M,1925.0,Robert,11
SC, M ,1970.0,Robert,45
,F,1940.0,Jordan,359
 SC ,F,1985.0, Taylor ,
SC,M,2011.0,,44
SC,F,1996.0,Alex,355
SC,M,1949.0,Michael,23
SC,F,,Casey,65
SC,,1925.0,Linda,5
SC,F,1974.0,Jennifer,88
SC, M ,2015.0,jennifer,34
SC,M,1956.0,Michael,10
SC, F ,1967.0,alex,370
SC,M,1911.0,John,43
SC,F,1980.0,Taylor,289
SC,F,1934.0,Casey,285
SC,M,1954.0,Jordan,1223
SC,F,1966.0,Jordan,303
SC,M,1983.0,Jordan,702
SC,M,1957.0,Taylor,49
SC, M ,1967.0,Taylor,182
SC,M,2008.0,James,20
SC,M,1933.0,Taylor,693
SC, F ,1953.0,Taylor,130
SC,F,1980.0,Alex,233
SC,M,1961.0,Casey,43
SC,M,1962.0,Michael,183
SC,M,1963.0,John,10
 SC ,M,1995.0,Michael,17
 SC ,F,1974.0,Taylor,839
,F,2006.0,Mary,434
SC,F,1940.0, Patricia ,85
SC,F,1959.0,Alex,99
SC,M,2012.0,Jordan,21
SC,F,1981.0,Jordan,592
SC,M,1972.0,,110
 SC ,M,1934.0,John,350
SC, F ,,Taylor,83
SC,M,1946.0,Alex,14
SC,M,1982.0,,761
SC,M,1973.0,James,162
SC,F,2001.0,Patricia,83
SC,F,1966.0,Linda,760
SC,M,2003.0,Robert,23
 SC ,F,2010.0,Alex,53
SC,F,1958.0,Taylor,500
SC,M,,Jordan,22
SC,M,1966.0,Michael,573
SC, M ,1941.0,Jordan,255
,M,1981.0,Jordan,170
SC,F,1997.0,Jordan,5
SC, M ,1973.0,Casey,359
SC, M ,1927.0,Alex,50
SC, F ,1992.0,Patricia,118
SC,M,1979.0,Michael,503
SC,M,1944.0,John,181
SC,M,1933.0,James,5
SC,M,2008.0,,435
SC,M,1986.0,Michael,502
 SC ,M,2022.0,James,81
SC,F,1978.0,,8
SC,M,1961.0,Alex,1241
SC,F,1982.0,Taylor,295
SC,F,1960.0,Jennifer,158
, M ,1992.0,James,300
SC,M,2017.0,Jordan,116
SC,F,1961.0, Patricia ,938
SC,F,1942.0,Jordan,251
SC,F,1979.0,Jennifer,451
 SC ,F,1980.0,Patricia,829
 SC ,M,1983.0,Taylor,845
SC,M,2006.0,Jordan,195
SC,F,1952.0,Jordan,41
SC,M,1932.0,John,21
SC,M,1944.0,James,78
SC,F,1987.0,Casey,209
 SC ,,1990.0,Taylor,147
SC,,,Casey,292
SC,F,1983.0,Casey,321
SC,M,1951.0,jordan,1384
SC, F ,2003.0,Linda,
SC,F,1962.0,Jennifer,133
SC,F,2007.0,Taylor,180
SC,F,1971.0, Taylor ,275
 SC ,F,1984.0,Taylor,100
, F ,1955.0,,13
SC,M,1977.0,Michael,778
SC,M,1954.0,James,81
SC,M,1948.0,Taylor,61
SC,M,1999.0,Taylor,528
SC,F,1949.0,Robert,147
SC,F,1982.0,Casey,146
SC,M,2010.0,John,34
SC,F,1971.0,Jennifer,36
, F ,1950.0,,28
SC,M,1959.0,Casey,8
 SC ,F,1993.0,mary,337
SC,F,1968.0,,
SC,M,1918.0,Taylor,24
SC,F,1949.0,Casey,397
SC,F,1951.0,Mary,133
SC, M ,2013.0,Robert,57
SC,F,1953.0,Mary,121
SC,M,1965.0,Alex,743
SC,F,1998.0,alex,87
SC,M,1952.0, Alex ,101
,M,1967.0,Robert,301
,M,2020.0, Jordan ,140
SC,M,1917.0,Michael,20
,F,1975.0,Jordan,310
SC,M,2005.0,Michael,40
SC,M,1921.0, Mary ,20
SC,M,1963.0,Alex,106
SC,F,1994.0,Jennifer,423
SC,F,2009.0,Jordan,183
SC, M ,1967.0,Michael,390
SC,F,,Linda,330
SC, F ,1960.0,Jordan,169
SC,,,Taylor,64
SC,F,1936.0,,373
SC,M,1997.0,Jordan,259
