STATE,SEX,YEAR,NAME,COUNT
SD,F,1983.0,Casey,117
SD, F ,1973.0,Mary,97
SD, M ,1926.0,,20
SD,M,2021.0,John,40
SD, F ,1985.0,Casey,
SD,F,1941.0,casey,365
SD,M,,Casey,80
SD,,1988.0,Jordan,
SD,M,1969.0,Robert,587
SD,,1945.0,Casey,125
 SD ,M,1933.0,Robert,255
SD,F,2022.0,Jordan,20
SD,M,1961.0,Casey,649
SD,F,1974.0,John,278
 SD ,M,1953.0,Taylor,984
SD,F,1966.0,Mary,814
 SD ,F,,Taylor,21
SD,F,1995.0,Taylor,522
SD,F,1968.0,Patricia,65
SD,F,1914.0,Jordan,7
SD,,1975.0,Mary,382
SD,F,1958.0,Casey,
SD,M,1984.0,Casey,550
SD,M,1987.0,Robert,337
SD, M ,2005.0,James,28
SD,F,1982.0,Alex,40
SD,F,1989.0,Casey,917
SD,F,2012.0,Patricia,426
SD,F,2003.0,Alex,18
 SD ,M,1994.0,Jordan,543
SD,M,1990.0,John,416
SD,F,1978.0,Patricia,181
SD,M,1973.0,Robert,23
SD, F ,1932.0,Jordan,6
SD,F,2005.0,Jordan,197
SD,M,1992.0,Robert,61
SD,F,1974.0,Patricia,611
SD, M ,1919.0,John,101
SD,M,1949.0,Jordan,115
SD,M,1965.0,Robert,222
,M,1937.0,Alex,89
 SD ,,1995.0,Linda,425
SD,M,1975.0,Michael,359
 SD , F ,1933.0,James,
SD,M,1948.0, Robert ,293
SD,,1965.0,Taylor,244
SD, M ,2008.0,Jordan,15
SD,F,1920.0,Alex,11
SD,F,1953.0,Patricia,134
SD,M,2012.0,Jordan,5
SD,M,1995.0,Taylor,28
SD,M,1951.0,,509
SD,M,1944.0,Michael,193
SD,M,2004.0,James,575
SD,F,1941.0,Mary,120
SD,F,1951.0,Patricia,54
SD,M,2018.0,Michael,9
SD,M,1936.0,Robert,312
SD,M,1948.0,Alex,408
SD,M,1997.0,Casey,
SD,F,1930.0,jennifer,51
SD,M,1966.0,Casey,453
,M,1981.0,Michael,275
SD,F,1992.0, Linda ,129
 SD ,F,2008.0,Linda,254
