stateCode,gender,birthYear,firstName,numOccurrences
,F,1921.0,Alex,
TN,M,1976.0,Alex,226
TN,M,1924.0,James,40
TN,M,1959.0,Robert,95
TN,M,1930.0,Jordan,46
TN,F,2010.0,Casey,9
 TN , M ,1965.0,Michael,396
TN,F,,Alex,
TN,,1984.0,,138
 TN ,F,,Taylor,186
TN,F,1996.0,Jennifer,304
TN,M,1964.0,John,102
TN,M,1980.0,Robert,311
,M,1928.0,Michael,83
TN,F,1924.0,Alex,197
TN,M,1992.0,,117
TN,F,1940.0,Casey,77
TN,M,1946.0, Alex ,35
TN,F,1962.0, Alex ,1244
TN,,1955.0,John,387
TN,F,1919.0,Linda,88
,F,1935.0,Taylor,15
TN,M,1968.0,Michael,288
TN,M,2009.0,James,70
TN,F,1948.0,Jennifer,234
TN,M,1981.0,Patricia,835
TN,,2009.0,Taylor,5
 TN , M ,1963.0,Patricia,592
TN,F,,Alex,377
TN,M,2005.0,John,26
TN,M,1958.0,Casey,551
TN,F,1977.0,Taylor,
TN,M,1952.0, John ,339
 TN ,F,1950.0,Jordan,551
TN, M ,1998.0,Michael,316
TN,M,1960.0,Robert,160
TN,M,1959.0,Taylor,205
TN,F,1976.0,Patricia,477
TN,M,1993.0,Alex,123
TN,M,2003.0,Casey,
TN,M,1981.0,Jordan,192
TN,F,1930.0,Jordan,268
TN,M,1993.0,Michael,318
TN,F,1957.0,Casey,493
TN,F,1970.0,Taylor,8
 TN ,M,2009.0,michael,40
TN,F,1984.0,Alex,359
TN,M,1972.0,,409
TN,M,1964.0,Jordan,61
TN,M,1979.0,Casey,199
TN,F,1990.0,Jennifer,102
TN,F,1956.0,linda,
TN,M,1971.0,Robert,355
TN, F ,1956.0,Taylor,649
,F,1945.0,Casey,30
 TN ,F,1957.0,Jennifer,362
 TN ,F,1961.0,Mary,618
TN,F,,Mary,227
TN,F,1970.0,Mary,62
TN, F ,1991.0,Patricia,173
TN,M,1948.0,Robert,53
TN,F,1954.0,Mary,25
TN,F,2014.0,Casey,479
TN,F,,Linda,24
TN,M,1961.0,Alex,113
TN,F,2009.0,,172
TN, M ,2022.0,Jordan,
 TN ,M,1919.0,james,63
TN,F,1965.0, Jordan ,233
TN, M ,1949.0,taylor,9
TN,M,1957.0,Michael,28
TN,M,1972.0,Robert,220
TN,F,1967.0,Linda,597
TN,M,1998.0,James,344
TN, M ,2006.0,James,416
TN,F,1912.0,Alex,50
TN,F,1961.0,Jordan,113
TN, M ,2010.0,Alex,112
TN,F,1960.0,Mary,51
TN,M,2019.0,,37
 TN ,F,1949.0,Linda,13
TN,M,1919.0,Robert,8
TN, F ,1962.0,Taylor,173
,M,2019.0,Casey,13
TN,F,1946.0,Linda,50
TN,F,1993.0,Jordan,1151
TN,F,,Alex,45
TN,F,1941.0,Linda,468
TN,F,2009.0,Alex,55
 TN ,F,,Jennifer,188
TN,M,1930.0,John,
TN, M ,2013.0,Alex,223
TN,M,,James,126
TN,F,1971.0,Jennifer,219
TN, F ,1996.0,Alex,91
TN,F,2002.0,Alex,17
 TN ,F,1954.0,Patricia,953
TN,F,1955.0,Jordan,17
TN, M ,1959.0,Alex,666
TN,,1942.0,Linda,
TN,F,1995.0,Jordan,251
TN,F,1969.0,Taylor,84
TN,F,1918.0,Jennifer,6
TN,F,1939.0,Jordan,22
TN,M,1973.0,John,381
TN,F,1973.0,Patricia,595
TN,M,,Jordan,394
TN,F,2013.0,Linda,217
 TN ,M,2010.0,john,342
TN,M,1934.0,James,196
TN,F,1929.0,Mary,34
TN,M,1988.0,Jordan,260
TN,F,1953.0,Jordan,191
TN, F ,2022.0,Casey,65
TN,,2002.0,Jordan,125
TN,F,1963.0,Jennifer,781
TN,M,1961.0,Casey,558
TN,M,2013.0,James,12
TN, F ,1961.0,Taylor,153
TN,F,1966.0,Linda,836
 TN ,F,1994.0,Patricia,137
TN,M,1947.0,Alex,16
TN,F,2010.0,Alex,49
TN,F,,Jordan,159
TN,,1967.0,Alex,228
TN,F,1927.0,Alex,6
TN,M,1941.0,James,131
 TN ,F,1978.0,Casey,142
TN,M,2013.0,Michael,33
TN,F,1988.0,Mary,104
TN,M,1969.0,Taylor,382
TN,M,1957.0,Jordan,588
TN,M,1977.0,Alex,416
TN,M,1935.0,Alex,11
TN,M,1981.0,John,241
TN,,2016.0,Patricia,62
TN,M,,Casey,33
TN,M,1978.0,Casey,293
 TN ,M,,Robert,152
TN,F,2005.0,Casey,130
TN,M,1995.0,Mary,
TN,F,1976.0,alex,186
TN,M,1996.0,James,242
TN,F,1973.0,Jennifer,448
TN,M,2011.0,,22
TN,M,1992.0,Robert,300
TN,F,1983.0,Linda,763
 TN ,F,1924.0,Jordan,32
 TN ,F,1982.0,Mary,35
 TN ,M,1977.0,James,220
TN,F,2019.0,Taylor,20
TN,M,1929.0,Michael,55
 TN ,F,1927.0,Casey,13
TN,M,1960.0,John,69
TN,F,1912.0,Casey,33
TN,F,1931.0,Casey,
TN,M,1984.0,James,358
TN,F,2004.0,Linda,175
TN,F,1917.0,Alex,40
 TN ,F,1936.0,casey,5
TN,M,1991.0,John,337
TN,M,1963.0,Linda,1023
TN,F,1956.0,Jordan,336
TN,M,1916.0,Taylor,57
TN,F,1990.0,Alex,310
TN, M ,1975.0,,237
TN,F,1974.0,,285
TN,F,1972.0,,351
TN,M,1917.0,Alex,169
TN,M,1965.0,james,717
TN, M ,1969.0,John,411
TN,F,1991.0,Casey,300
TN,M,1943.0,Alex,
TN,M,2004.0,Alex,32
TN, M ,2008.0,Alex,574
TN,M,2000.0,James,54
TN,F,1989.0,Taylor,63
,F,1974.0,Linda,235
TN,M,2002.0,Casey,332
TN,M,1975.0,Casey,251
TN,F,2005.0,Jennifer,13
TN,F,1992.0,Jennifer,78
TN,F,1946.0,Jordan,7
TN,M,1913.0,Alex,6
TN,M,1961.0,Michael,664
TN,F,1971.0,,278
TN, F ,1990.0,Linda,52
TN,M,1983.0,Robert,1320
TN,M,2003.0,Michael,42
TN,F,2009.0,Taylor,55
TN,,1984.0,Alex,610
TN,M,1982.0,Taylor,418
 TN ,F,1950.0,Taylor,1202
