State,Sex,Year,Name,Count
TX,F,1970.0,Patricia,648
TX,F,1969.0, Mary ,663
TX,M,2013.0,Taylor,145
TX,,1941.0,Taylor,26
TX,M,1995.0,Taylor,494
TX,M,1976.0,Taylor,507
TX, M ,1978.0,John,1102
TX,M,2018.0,Robert,131
TX,,1991.0,Casey,422
TX,M,1973.0,Casey,158
TX,F,1958.0,Jordan,359
TX,M,2004.0,James,303
TX,F,1953.0,Taylor,26
TX,F,1996.0,Casey,244
 TX , F ,1964.0,Jordan,144
TX,F,1978.0,Patricia,402
TX,M,1954.0,Casey,21
TX,F,2005.0,Alex,13
TX,F,1999.0,Patricia,14
TX,M,1966.0,Alex,687
TX,M,1996.0,alex,374
TX,M,1954.0,Alex,46
TX,M,1912.0,John,17
TX,F,1996.0, Mary ,97
TX,F,1963.0,Linda,30
TX,F,2006.0,Alex,340
TX, M ,2012.0,taylor,543
TX,F,2017.0,Patricia,801
TX,F,2002.0,Linda,255
TX,M,1986.0,Patricia,165
 TX ,F,1997.0, Taylor ,607
TX,,1980.0,,49
 TX ,F,2006.0,Jennifer,81
TX,F,1994.0,Mary,166
TX,F,1989.0,Alex,269
TX,M,1940.0,James,102
,M,1930.0,Jordan,67
TX,,1965.0,Casey,153
TX,M,1985.0,John,310
TX,M,1969.0,Robert,331
TX,M,1974.0,Michael,56
TX,M,1962.0,James,337
TX,F,1939.0,Jennifer,625
TX,M,1960.0,Jordan,40
TX,M,1940.0,John,264
 TX ,F,1994.0,Alex,664
TX,F,1911.0,Linda,6
TX,M,2016.0, Taylor ,108
TX,F,1960.0,Casey,763
TX,M,2010.0,Casey,11
TX,M,1994.0,Alex,262
,F,1975.0,Jordan,190
TX,F,2019.0,Jordan,116
TX,F,2015.0,Patricia,252
 TX ,F,1929.0,Taylor,29
TX,F,1935.0, Jennifer ,690
TX,M,1997.0,,30
TX,F,2010.0,Patricia,1050
TX,M,2012.0,Jordan,19
TX,F,2019.0,James,207
TX,M,1940.0,Alex,52
, F ,1935.0,Alex,7
TX,M,1924.0,Jordan,80
TX,M,1970.0, Taylor ,216
TX,F,1969.0,Taylor,436
TX,F,1960.0,Alex,
TX,M,1965.0,Linda,257
TX,M,1948.0,Taylor,610
TX,M,1993.0,Michael,73
 TX ,M,1989.0,Michael,14
TX,F,1914.0,Michael,13
TX,M,1966.0,,1002
TX,M,1988.0,Michael,942
 TX ,M,1967.0,Alex,523
TX,M,1970.0,John,185
,F,1968.0,,130
TX, M ,1973.0,Robert,122
TX,M,1914.0,James,34
 TX ,,1976.0,Alex,572
TX,M,2001.0,Robert,484
TX,M,1929.0,Michael,418
,M,1922.0, Michael ,95
,F,1945.0,,8
TX,F,1953.0,Alex,22
TX,F,1990.0,Casey,222
 TX ,F,1931.0,Patricia,5
TX,M,1958.0,Jordan,160
TX,F,1985.0,Jennifer,72
TX, M ,1971.0,Taylor,170
TX,F,2021.0,Patricia,109
TX,M,1965.0,,28
 TX ,F,1953.0,Jennifer,12
TX,M,1988.0,,292
TX,F,1997.0,James,9
TX,M,1951.0,Alex,30
TX,F,2017.0,Alex,10
,M,1972.0,casey,234
TX,F,1939.0,Patricia,46
TX,F,1970.0,Mary,444
TX,F,1935.0,Jordan,472
TX,M,2016.0,Alex,171
TX,F,1965.0,Jennifer,171
TX,M,1957.0,Jordan,410
 TX , F ,,Robert,19
TX,M,1962.0,Robert,376
TX,F,1976.0,Linda,629
 TX , M ,1981.0,Casey,314
TX,M,1945.0,Casey,169
TX,,1924.0,,39
TX,F,1963.0,Mary,54
TX,F,1966.0,Jennifer,318
TX,M,2020.0,michael,41
TX,F,1990.0,alex,989
 TX ,M,1925.0,Robert,5
TX,M,1953.0,James,241
TX,M,1954.0,Jordan,685
TX,M,1933.0,Michael,21
TX, F ,1976.0,James,242
, M ,1935.0,Jordan,258
TX,,1996.0,Jennifer,288
 TX ,M,1995.0,John,267
TX,,1979.0,Casey,660
TX,M,1963.0,Mary,654
TX,M,, Robert ,5
TX,F,1973.0,,813
TX,M,1974.0,Taylor,917
TX,M,1968.0,,382
TX,M,1977.0,,18
TX, F ,1987.0,mary,520
TX,F,1985.0,mary,7
TX, F ,2022.0,Mary,8
TX,F,2017.0,Jennifer,295
TX, M ,1997.0, Michael ,67
TX,M,1966.0,John,404
TX,M,1976.0,Alex,788
TX,M,1994.0,Linda,163
TX,F,1984.0,Casey,94
TX,M,1969.0, Taylor ,346
TX,M,1959.0, Robert ,24
 TX ,F,1954.0,Linda,67
TX,M,1977.0,Michael,45
 TX ,F,1953.0,Jennifer,12
TX,F,1989.0,Taylor,922
TX,F,1916.0,Patricia,42
TX, F ,1990.0,Linda,440
TX,M,1979.0, James ,222
TX,M,1917.0, Jordan ,15
, M ,1926.0,Casey,46
TX,M,1964.0,John,611
TX,M,1961.0,James,483
TX,F,2008.0,Linda,540
TX,F,2007.0,Mary,136
TX,F,1974.0,Jordan,654
TX,F,1992.0,Mary,412
TX,M,1943.0,Alex,76
TX,F,2012.0,Jennifer,17
TX,F,2016.0,Jordan,419
TX,F,1968.0, Jordan ,741
TX,M,1991.0,Alex,
TX,F,1949.0,,162
TX,M,,Michael,243
TX,,2007.0,Jordan,21
TX,M,1949.0,Alex,106
TX,F,1982.0,Mary,138
 TX , F ,1934.0,Robert,36
TX,M,1950.0,Taylor,51
TX,F,1950.0,Taylor,33
TX,M,1951.0, John ,25
,M,1997.0,John,235
TX,F,1940.0,Taylor,259
TX,M,1993.0,Robert,1346
TX, M ,2019.0,Jordan,167
TX,M,2005.0,Casey,149
TX,,1980.0,Robert,382
TX,F,2017.0,Casey,36
TX,F,2001.0,Patricia,15
 TX , F ,1998.0,Casey,35
TX,F,1949.0,Taylor,245
TX,F,1964.0,Jennifer,566
TX,M,1933.0,James,173
TX,M,2017.0,Casey,92
TX,M,2003.0,,117
TX,M,2016.0,Robert,6
,F,1975.0,Alex,1049
TX,M,1930.0,Casey,245
TX,M,1994.0,,175
TX,F,2020.0,alex,46
TX,M,1999.0,Casey,644
TX,M,1962.0,Mary,19
TX,F,1949.0,Jennifer,196
TX,M,1975.0,Michael,949
TX,M,2006.0,Alex,104
TX,M,1920.0,Taylor,6
TX,F,1936.0,Casey,10
TX, F ,1942.0,Jennifer,45
TX,M,1995.0,Alex,133
TX,F,2003.0, Mary ,1452
TX,F,1942.0,Taylor,821
TX,F,1925.0,Mary,7
TX,F,1951.0,James,548
TX, F ,1944.0,Linda,72
TX,F,1913.0,Linda,18
TX,M,1963.0,Robert,16
TX,F,2006.0,Mary,14
TX,F,2009.0,Taylor,278
TX,M,1971.0,Casey,269
TX,,1988.0,Mary,613
,M,1949.0,Casey,146
TX,M,1914.0,Alex,8
 TX ,F,1982.0,taylor,445
TX,M,1949.0,Jordan,630
TX,F,2003.0,Alex,5
TX,F,1947.0,Linda,78
,F,1937.0,Mary,26
TX,F,1932.0,Mary,27
TX,F,,Jordan,11
TX,F,1924.0, Michael ,9
TX,F,1972.0,Jordan,395
TX,F,1964.0,Alex,89
TX,F,1943.0,Patricia,55
TX,M,1944.0, John ,22
TX,M,2018.0,james,24
TX,M,1945.0,Jordan,34
TX,M,1986.0,Robert,156
 TX ,F,1928.0,Linda,70
TX,M,1969.0,Jordan,
TX,M,2003.0,Jordan,983
TX,,1970.0,Taylor,218
TX,M,1999.0,Michael,69
TX,F,1993.0,Jennifer,929
TX,M,1958.0, Taylor ,11
TX,F,2019.0,Mary,635
TX,M,1930.0,Robert,509
TX,F,1995.0, Jordan ,94
TX,F,1963.0,Alex,230
TX,F,1962.0,Linda,636
TX,F,1942.0,Alex,517
TX, M ,1961.0,Alex,265
,M,2009.0,Taylor,18
TX,,1966.0,James,492
TX, F ,1940.0,Mary,217
TX,M,1977.0,casey,380
TX, F ,1959.0,Mary,293
TX,F,2009.0,Patricia,72
TX,M,1989.0,Robert,720
