stateCode,gender,birthYear,firstName,numOccurrences
UT,F,1974.0,Jordan,232
UT,F,1994.0,Alex,661
UT, M ,,Taylor,341
UT,F,1969.0,Jennifer,148
UT,,1915.0,James,69
UT,F,1997.0,Jennifer,
UT,F,1947.0,Taylor,47
UT,M,2000.0,Mary,388
,F,1994.0,Jennifer,200
UT,F,1995.0,Alex,174
UT, M ,1999.0,James,971
,F,1957.0,Linda,50
,F,1938.0,Alex,70
UT,M,1953.0,,16
UT,M,1943.0,James,27
UT,F,2015.0,Alex,13
UT,M,1996.0,John,135
UT,M,1979.0,,265
UT,M,1940.0,Taylor,145
UT,F,1968.0,Alex,53
UT,M,1921.0, James ,25
UT,M,1967.0,,885
UT,F,1988.0,Taylor,61
UT, M ,1948.0,Mary,282
UT,M,1979.0,Patricia,493
UT,F,1971.0,Alex,164
UT,M,,John,18
,M,2015.0, Robert ,
UT,M,1999.0, Alex ,375
UT,M,1979.0,michael,201
UT,F,1937.0,Jennifer,137
UT,F,1951.0,Alex,894
UT,M,1959.0,Casey,20
UT,F,1974.0,Alex,360
 UT ,F,2015.0,Patricia,337
 UT ,F,,Casey,226
UT,F,1996.0,,231
UT,M,2010.0,Casey,5
,M,1923.0,Casey,9
 UT ,F,1931.0,Linda,177
UT,M,1966.0,,75
 UT ,M,1986.0,john,476
UT,,1981.0,Casey,674
UT,F,2012.0,Casey,310
UT,F,2006.0,Jordan,440
UT, M ,1929.0,Alex,15
UT,M,1965.0,Michael,661
UT,F,1973.0,Alex,360
,M,1915.0,Jordan,77
UT, F ,,Linda,161
UT,F,1953.0,Jordan,235
UT,F,1993.0,Jennifer,46
,F,1960.0,Alex,45
UT,F,,Taylor,511
UT,M,1984.0,James,433
UT,F,1937.0,Alex,35
UT,M,2009.0,John,74
UT,,1950.0,Jordan,63
UT,F,2005.0,Mary,22
UT,F,1996.0,jordan,495
UT,M,1981.0,James,861
UT,F,1990.0, Jordan ,55
UT,M,1994.0,Jordan,445
UT,F,1969.0,Alex,
 UT ,M,1932.0,Alex,
UT,M,1977.0,Alex,161
UT,M,1997.0,Linda,47
UT,M,1981.0,Robert,174
UT,F,1951.0,Taylor,46
UT, F ,1927.0,Linda,78
 UT ,F,1991.0,Patricia,63
UT,M,2017.0,Casey,694
UT,M,1936.0,Casey,273
UT,M,2020.0,,306
UT,M,1984.0,Casey,11
UT,F,2014.0,Casey,21
UT,F,1980.0,,239
UT,M,2000.0,James,365
UT,F,1980.0,Taylor,302
UT,M,1950.0, Casey ,890
UT,M,1980.0,james,566
UT,M,1982.0,Patricia,732
UT,F,1964.0,Alex,96
UT,M,1975.0, Casey ,142
UT,M,2016.0,Taylor,9
UT,M,1961.0,Michael,1072
 UT ,F,1943.0,Taylor,86
UT,M,1935.0,Casey,299
 UT ,F,2003.0,Taylor,56
UT,,2013.0,Jordan,27
UT,M,1989.0,James,1033
UT,M,1942.0,Michael,408
 UT ,F,1928.0,Robert,49
UT,M,2003.0,Alex,398
UT,F,1971.0, Casey ,225
UT,M,1944.0,James,218
UT,F,2012.0, Alex ,
UT,M,2015.0,Casey,216
UT,,2013.0,John,104
UT,M,1987.0,,296
UT,M,1982.0,Michael,200
UT,F,1933.0,Alex,388
UT,F,2007.0,Jennifer,151
UT,,2000.0,jordan,191
UT,M,1988.0,James,464
UT,M,1976.0,James,607
UT,M,,Taylor,14
UT,F,1974.0,Taylor,56
UT,M,1966.0,Michael,29
UT,F,1976.0,Taylor,291
UT,F,2005.0,Casey,370
UT,M,1972.0,Linda,534
UT,F,1930.0,Alex,273
