stateCode,gender,birthYear,firstName,numOccurrences
VA,M,,Jordan,78
 VA ,M,2004.0,Jordan,
VA,F,1939.0,Taylor,48
VA,M,1942.0,Robert,6
VA,F,1960.0,Linda,599
VA,,2010.0,Linda,165
VA,M,1957.0,Casey,399
VA,F,1943.0,Jordan,95
VA,M,2020.0,John,13
VA,F,1999.0,Patricia,462
VA,M,1968.0,Michael,705
VA,M,,James,469
VA,M,1952.0,John,76
VA,F,1937.0,Alex,8
VA,M,1916.0,Alex,14
VA,F,2001.0,Jordan,294
VA,F,2018.0,Jordan,70
VA,M,1981.0,Jordan,147
VA,M,2000.0, Alex ,15
VA,F,1954.0,Linda,21
VA, F ,1954.0,Mary,572
VA,M,2022.0,Robert,
VA,F,1953.0,Jennifer,6
VA,F,1979.0,Mary,224
 VA ,M,1998.0,,5
VA,F,1921.0,Taylor,76
VA, M ,1937.0,John,105
VA,M,,Taylor,777
VA,F,1942.0,Jordan,192
VA,M,2003.0,Michael,443
VA,M,1953.0,Robert,5
VA,,1976.0,Jordan,10
 VA ,F,2021.0,Mary,
VA,F,1954.0,Alex,86
VA,F,1957.0,Jennifer,325
VA,M,2004.0,Casey,355
VA,F,1922.0,linda,13
VA,M,1985.0,Alex,799
VA,M,1930.0,John,34
VA,M,2022.0,Casey,
VA,M,2019.0,James,816
VA,M,1960.0,Jordan,37
VA,F,1950.0,Jordan,142
VA,F,2006.0,Jennifer,133
VA,M,1973.0,Jordan,859
, F ,1974.0,Jordan,114
,M,2007.0,Jordan,809
VA,M,1938.0,Taylor,89
VA,M,1925.0,Michael,30
 VA ,F,1960.0,Jennifer,
VA,F,2017.0,Jennifer,360
VA,M,1918.0,casey,32
VA,M,1958.0,Linda,56
VA, F ,2005.0,Jordan,656
VA,F,1944.0,Patricia,12
VA,M,1933.0,Taylor,35
 VA ,F,1961.0,Jennifer,54
VA,M,1939.0,Casey,6
VA,M,1960.0,Robert,104
VA,F,1947.0,Jennifer,32
 VA ,M,1964.0,Jordan,1063
,M,1944.0,Jordan,404
VA,M,2010.0,Casey,355
 VA ,F,2012.0,Linda,30
VA,F,1979.0,Robert,16
VA,F,1967.0,Casey,361
VA,F,1955.0,Jordan,47
VA,F,1974.0, Alex ,199
,F,1950.0,Taylor,941
VA,M,2002.0,Taylor,
VA, M ,1987.0,Casey,225
VA,F,2010.0,Patricia,682
VA,F,,Jordan,84
VA,F,1982.0,Taylor,75
VA,M,1920.0,Michael,52
VA,F,1989.0,Jennifer,506
VA,F,2017.0, James ,98
VA, M ,, Robert ,11
VA,F,1958.0,Alex,43
VA,M,2011.0,Linda,14
VA,F,1999.0,Taylor,263
VA,M,1976.0,John,669
VA,F,1922.0, Jennifer ,
VA,M,1978.0,Casey,982
VA,M,1958.0,John,64
VA,F,1999.0,Mary,64
VA,F,1988.0,Mary,322
VA,M,,Casey,212
 VA ,F,1967.0,Michael,760
VA,M,2005.0,Taylor,156
VA,F,2015.0,,608
VA,F,1969.0,Alex,134
VA,,1976.0,Jennifer,391
VA,F,1991.0,Linda,1014
VA,M,2019.0,Michael,
VA,F,2000.0,Linda,555
VA,F,1949.0,Patricia,614
VA,M,2007.0,Michael,10
VA,M,2017.0,Jordan,65
VA,F,1933.0,Patricia,49
VA,F,1912.0,Jennifer,10
VA,F,1970.0,Linda,106
,F,1949.0,Mary,6
VA,M,1966.0,Casey,236
VA,F,, Jennifer ,15
VA, F ,2022.0,Linda,67
VA,M,1987.0,John,10
VA,M,1938.0,John,7
VA,F,1997.0,Mary,334
VA,M,1983.0,Casey,53
VA,F,1965.0,Mary,480
VA,M,2018.0,Casey,27
VA,F,1946.0,Patricia,73
VA,M,2020.0,Jordan,25
VA,F,1969.0,Taylor,630
VA,M,1969.0, John ,342
VA,F,1989.0,Patricia,449
VA,M,1970.0,Jennifer,299
,M,2006.0,Jordan,712
VA, M ,1988.0,Michael,297
VA,F,1959.0,Patricia,200
VA,M,2008.0,John,98
VA,F,,Taylor,71
VA,F,1989.0,Casey,73
VA,F,1988.0,,1104
 VA , M ,1973.0,Taylor,474
VA, M ,1986.0,Casey,
VA,F,1941.0,Jennifer,11
VA,M,1971.0,Jordan,731
VA,F,1964.0,Jennifer,252
VA,M,1949.0,Robert,700
VA, F ,1981.0,Alex,370
VA,F,1987.0,Jordan,24
VA,M,1938.0,Jordan,75
VA,F,1960.0,Jordan,374
VA,F,1945.0,Alex,19
VA,M,2007.0,john,170
VA,F,2003.0,Patricia,66
VA,M,1977.0,Michael,473
VA,M,1971.0,Jordan,731
VA,M,1944.0,Taylor,15
VA,M,1943.0,Robert,28
VA,F,2006.0, Alex ,11
VA,M,1951.0,James,45
VA,M,2016.0,John,35
VA,M,1919.0,michael,85
VA, M ,2020.0,Casey,234
VA,M,2018.0,Alex,46
VA,M,1946.0,Robert,799
VA,M,1993.0,Casey,164
VA, F ,1996.0,,271
VA,M,1966.0,Taylor,140
VA,M,1962.0,Taylor,51
VA,,1989.0,Taylor,450
VA,F,2013.0,Taylor,18
VA,,2016.0,Casey,97
VA,F,2010.0,Jennifer,550
VA,,1918.0,Michael,69
VA,M,2010.0,Jordan,22
VA,M,1938.0,James,91
VA,F,1973.0,mary,73
VA,M,2010.0,John,53
 VA ,M,1982.0,Casey,125
VA,F,2011.0,Alex,662
VA,M,1921.0,James,19
VA, M ,1959.0,Casey,837
 VA ,,1982.0,Taylor,544
 VA ,F,1925.0, Jordan ,6
,M,1935.0,Casey,198
VA,F,1931.0,Alex,234
VA,M,1955.0,John,748
VA,M,1990.0,,191
VA,M,,Jordan,55
VA,M,1997.0,Alex,360
VA,F,1972.0,Taylor,265
VA,M,,Casey,156
VA, F ,,Michael,601
VA,F,1987.0, Casey ,679
VA,F,1971.0,Mary,623
VA,F,1932.0,Alex,100
VA,M,1979.0,Taylor,373
VA,M,1977.0,Taylor,603
VA,M,1981.0,James,122
VA,M,1963.0,Mary,66
VA,M,1991.0,Alex,236
VA,M,1919.0,Casey,12
VA,M,1954.0,James,316
 VA ,F,2002.0,,52
VA,,1933.0,Taylor,9
VA,F,1973.0,James,13
VA,F,1995.0,,1224
VA,M,2017.0,alex,40
VA,F,2006.0,Linda,13
VA, M ,1978.0,Taylor,211
VA, M ,1972.0, Taylor ,720
VA,F,1983.0,Mary,486
VA,,2019.0,John,9
VA,F,2016.0,Jordan,96
VA,M,1942.0,Casey,9
VA,M,1924.0,Alex,138
VA,F,1964.0,Jordan,21
VA,M,2007.0,Alex,29
 VA ,,1935.0,Linda,58
, F ,1991.0,Taylor,84
VA,F,1948.0,Taylor,131
,F,1923.0,Mary,179
VA,F,1926.0,Jordan,28
VA,M,1965.0,Robert,95
VA,M,1922.0,Jordan,6
VA,F,1943.0,Alex,44
VA, M ,1975.0,Casey,378
VA,F,2017.0,John,775
 VA ,M,1936.0,James,7
VA,F,1917.0,Linda,193
VA, F ,1935.0,Jennifer,295
 VA ,M,1943.0,Michael,48
 VA ,M,1951.0,Michael,
VA,M,1948.0,Casey,742
VA,,1956.0,Alex,323
VA,M,1960.0,Casey,703
VA,F,2019.0,Linda,223
VA,M,1937.0,Jordan,54
VA,F,2019.0,Jordan,8
VA,M,1988.0,Alex,256
VA,F,1965.0,Taylor,75
 VA , F ,2003.0,Mary,280
VA,M,1924.0,Robert,64
VA,M,2009.0,James,36
VA,M,1948.0,John,11
VA,F,1961.0,Mary,60
VA,F,2021.0,,435
VA,F,2018.0,Mary,121
VA,M,1957.0,Robert,395
VA,M,2005.0, John ,44
VA, F ,2004.0,Alex,21
VA,M,1931.0,Taylor,45
 VA ,M,1944.0,Michael,9
VA,M,1958.0,Michael,
VA,F,1918.0,Alex,7
,F,1946.0,Mary,
 VA , F ,1979.0,Jennifer,168
VA,M,2001.0,Michael,651
,F,2010.0,Jordan,25
VA,F,2005.0,Linda,43
VA,M,1970.0,Michael,680
