STATE,SEX,YEAR,NAME,COUNT
VT,M,2016.0,Patricia,23
VT,F,2018.0,Patricia,27
VT,M,1966.0,Jordan,251
VT,M,2003.0,James,426
VT,M,1917.0,Robert,68
VT,F,1977.0,Linda,311
VT,M,2008.0,Casey,103
 VT ,M,1947.0,Robert,336
VT,F,1968.0,Jordan,
VT,M,1934.0,Michael,78
VT,F,2021.0,Alex,10
VT,F,1944.0, Michael ,5
VT,F,2008.0,Linda,37
VT,M,1964.0,Patricia,46
VT,F,1931.0,,124
VT,F,1995.0,Casey,157
VT,F,2006.0,Alex,114
VT,M,1978.0,John,80
VT,M,,Alex,408
VT,M,1957.0,Taylor,386
VT,M,1916.0,john,6
VT, M ,1995.0,Jordan,67
 VT ,F,2010.0,Jennifer,5
VT,M,1954.0,Casey,590
VT,,1985.0,Jennifer,171
VT,M,1962.0,John,301
VT,F,1984.0,Mary,787
VT,F,1986.0,Patricia,404
VT,M,2020.0,james,219
 VT ,M,2009.0,,35
,M,1991.0,Jordan,306
VT,M,,John,162
VT, M ,1910.0,Michael,23
VT,F,1997.0,Taylor,14
VT,F,1924.0,Jordan,8
VT,M,2015.0,Michael,252
VT,F,1956.0,Linda,185
,F,,Mary,543
VT,M,1964.0,Michael,601
VT, F ,2010.0, Jordan ,30
VT,F,1960.0,James,1012
,M,1993.0,John,321
VT,M,1983.0,Taylor,552
 VT ,M,1947.0,Michael,35
VT, F ,1972.0,John,
VT,F,1951.0,Jordan,187
 VT ,M,2012.0,,63
VT,M,1933.0,Jordan,41
VT,F,1914.0,Casey,8
 VT , F ,2008.0,Michael,17
VT,M,2008.0,Michael,
VT,F,1964.0,Linda,291
VT,M,1976.0,,175
VT,M,1967.0,Taylor,481
VT,F,1983.0,Taylor,13
VT,F,1948.0,Linda,268
VT, M ,2002.0,Robert,
, M ,1919.0,Robert,97
VT,F,1975.0,Linda,239
VT,F,1991.0,Alex,394
 VT ,M,,James,473
VT,M,,Jordan,710
VT,F,1994.0,Mary,52
VT,M,2000.0,Michael,13
VT,M,1976.0,,378
VT,F,1947.0,Taylor,10
VT,,2003.0,Patricia,158
VT, M ,1997.0,Jordan,
VT,M,2020.0,Robert,128
VT,F,1956.0,Patricia,437
,F,1983.0,Patricia,120
VT,F,1969.0,Alex,13
VT,M,1993.0,Robert,27
VT,M,2005.0,James,241
VT,F,1953.0, Mary ,273
VT,M,1923.0,Alex,46
VT,F,1950.0,Taylor,222
VT,F,1945.0,Linda,78
VT,M,2016.0,Jordan,168
VT,F,2001.0,Mary,43
VT,F,2007.0,Patricia,304
VT,M,1955.0,Michael,486
VT,F,2005.0,Jordan,168
VT,M,1917.0,Casey,39
VT,M,1976.0,Linda,144
VT,M,1980.0, Taylor ,13
VT,F,2002.0, Jennifer ,487
VT,M,2020.0,Jordan,83
VT,,1928.0,Michael,121
VT,M,1982.0,Alex,32
VT,F,1961.0,jordan,84
VT, M ,1973.0,Robert,507
,M,2003.0,John,361
VT,M,1936.0,Taylor,113
VT,M,1954.0,Taylor,370
VT,M,1928.0,Casey,69
VT,F,1978.0,Taylor,261
VT,M,2012.0,Robert,568
VT,M,1942.0,Casey,
VT,F,2018.0,Alex,91
,F,2005.0,Patricia,
VT,M,1996.0,Jordan,7
VT,F,1954.0,Taylor,512
VT, M ,1977.0,Jordan,682
VT,M,1992.0,Michael,387
VT,F,1930.0,Linda,34
VT,M,1955.0,,346
VT,M,1963.0,Mary,915
VT, F ,1996.0,Jennifer,36
VT,M,2000.0,Jordan,246
VT,M,1940.0,James,19
VT,,1973.0,Patricia,20
 VT ,M,1935.0,Casey,368
VT,F,1971.0,Casey,535
VT,,2004.0,Jennifer,792
VT,M,1995.0,Michael,579
VT,M,1966.0,Michael,245
VT,F,1996.0,,224
VT,M,1978.0,taylor,69
 VT ,F,1972.0,Linda,312
VT,M,1938.0,Casey,50
VT,F,1939.0,Jennifer,331
VT, F ,2009.0,Jordan,39
,F,1970.0,Taylor,250
VT,M,2009.0,James,212
VT,F,1986.0,Jennifer,
VT,M,,Casey,
,F,1985.0,Mary,321
VT,F,1955.0,jennifer,434
VT,M,1988.0,Alex,710
VT,F,1940.0,Jennifer,235
VT, M ,1948.0,Jordan,926
VT,F,1997.0,Alex,426
VT,F,1964.0,jordan,112
 VT , F ,2017.0,Taylor,144
VT,F,1946.0,Casey,171
VT,M,2016.0,Robert,10
VT,F,1954.0,Mary,
VT,F,1990.0,Patricia,449
 VT ,F,1950.0,Robert,28
, M ,1980.0,Michael,550
 VT ,M,1927.0,Jordan,
VT,M,1978.0,Michael,17
VT,,1957.0,Patricia,
VT,,1942.0,Michael,82
VT,F,1952.0,Linda,25
VT, M ,1967.0,Robert,106
 VT ,,1960.0,Patricia,110
VT,M,1923.0,Robert,76
 VT ,M,1971.0,Alex,545
VT,F,2010.0,John,120
VT,M,1962.0,james,262
VT,M,2016.0, Alex ,217
VT, F ,1974.0,Linda,902
 VT ,M,1940.0,Alex,28
VT, F ,1995.0,Linda,288
VT,M,,Mary,54
VT,F,1967.0,Alex,144
 VT ,M,1986.0,,547
 VT ,M,1987.0,James,1126
VT,F,1974.0,Mary,106
VT,F,1964.0,Patricia,684
VT,F,1939.0,Alex,
VT,M,1994.0,Alex,1464
VT, F ,1956.0,Mary,7
VT,M,1939.0,jordan,39
VT,M,1947.0,Taylor,222
VT,F,1997.0,Mary,484
,M,1924.0,Casey,14
VT,F,1960.0,Jennifer,319
VT,,1923.0,Taylor,62
VT,F,1997.0,Casey,185
 VT ,,1978.0,Casey,
VT,F,1984.0,Patricia,328
VT,F,1962.0,Jennifer,516
VT,M,1999.0,Michael,82
 VT ,F,1956.0,Taylor,69
VT,M,1951.0,Jordan,1089
 VT ,M,2020.0,Alex,10
VT,F,1957.0,Linda,1454
VT,F,1988.0,Alex,165
VT,M,1935.0,,115
 VT ,F,1964.0,Alex,319
VT, M ,1947.0,,730
VT,M,1985.0,James,178
VT,M,1942.0,Alex,732
,F,1964.0,Mary,147
VT,F,2000.0,casey,567
VT,M,1935.0,Alex,241
VT,F,1931.0,,228
 VT ,M,2022.0,Jordan,253
VT,M,1963.0,James,59
VT,M,1995.0,Robert,138
VT,F,2000.0,Linda,1502
VT,F,1975.0, Mary ,388
VT,M,1967.0,Jordan,195
VT,,1945.0,Mary,119
VT,F,1991.0,Patricia,16
VT,M,1984.0,Michael,563
VT,F,1957.0,Casey,347
VT,F,2011.0,Patricia,704
VT,,1960.0,James,455
VT,M,1992.0,Casey,89
,F,2002.0,,1235
VT,F,1939.0,Casey,171
VT,F,1938.0,Jordan,86
VT,F,1982.0,Patricia,
VT,F,1946.0,linda,414
VT,F,1956.0, Alex ,75
VT,F,2022.0,Linda,66
VT,F,2019.0,Taylor,126
VT,,1986.0,Linda,335
VT,F,1937.0,John,10
VT,M,1965.0,James,90
VT,M,1962.0,Jordan,43
VT,F,1946.0,Jennifer,36
VT,M,1979.0,Robert,349
VT,M,1932.0,Casey,6
VT,M,2017.0,Casey,80
VT,F,,Taylor,226
VT,M,2000.0,Robert,11
VT,,1968.0,Casey,162
VT,M,2004.0,James,296
VT,,1965.0,Linda,67
VT,M,1932.0,Taylor,7
VT,F,1950.0,Jennifer,70
VT,M,1989.0,James,567
VT,M,1978.0,Jordan,347
VT,F,1977.0,Patricia,927
VT,F,1985.0,Jordan,201
 VT ,M,1959.0,,8
VT, F ,1958.0,Alex,9
VT,M,1923.0,James,127
VT,M,2013.0,Mary,24
VT,F,1953.0,Casey,267
VT,M,1969.0,Jordan,467
VT,F,1982.0,Jennifer,282
VT,F,1963.0,Alex,1069
VT,F,,Patricia,573
VT,F,1971.0, Alex ,42
VT, M ,1980.0,Jordan,83
,F,1949.0,Casey,409
VT,M,1926.0, Alex ,17
 VT ,F,2009.0,Casey,159
VT,F,1968.0,Jennifer,145
VT,M,2000.0,,121
VT,M,1942.0,James,242
VT,F,1989.0,,27
, M ,1975.0,john,165
VT,M,2008.0,Alex,426
VT,F,1999.0,Patricia,90
VT,M,1926.0,John,14
VT,F,2005.0,,175
VT,F,1963.0,taylor,118
VT,M,1931.0,Michael,321
VT, M ,2014.0,Robert,15
VT,,2011.0,Robert,21
 VT , M ,1984.0,Taylor,494
VT,M,1957.0,James,763
VT,F,1941.0,Jennifer,6
VT,M,2000.0,John,93
 VT ,F,1978.0,Alex,370
VT,M,2002.0,Alex,188
VT,M,2008.0,John,5
VT,F,1943.0,Jennifer,26
VT,M,1981.0,James,101
VT,F,1999.0,Casey,
VT,F,1967.0,Taylor,
VT,F,1923.0,Taylor,28
VT, F ,,Jennifer,103
 VT ,M,1998.0,Jordan,934
VT,M,2000.0,Taylor,946
,M,1949.0,James,42
VT,F,1992.0,Patricia,492
VT,M,2002.0,Michael,61
, M ,2006.0,Casey,70
VT,F,1917.0,Mary,24
,F,2016.0,Mary,
VT,F,1966.0,Jennifer,71
VT,M,,James,30
VT,M,2001.0,Alex,41
VT,M,2019.0,Robert,6
VT,M,1989.0,,525
VT,M,2009.0,Michael,1188
VT,M,2017.0,John,161
VT,F,2006.0,Taylor,119
VT,M,1980.0,Casey,100
,F,1960.0,Alex,496
VT,F,2011.0,Mary,74
VT,F,1943.0, Jordan ,20
VT,F,1966.0,Casey,39
VT,F,1969.0,Taylor,853
VT,M,1971.0,Jordan,21
 VT ,F,1982.0,Jordan,246
VT,,2000.0,Casey,323
VT,F,1936.0,Alex,128
 VT ,F,1974.0,Jennifer,158
VT,M,1940.0,Taylor,72
VT,F,1989.0,Alex,133
,M,1982.0,Casey,78
VT,M,1931.0,Jordan,91
, M ,1982.0,Michael,118
VT,F,1934.0, Patricia ,43
VT,F,1914.0,linda,5
VT,F,1993.0,Casey,259
VT, M ,2016.0,Taylor,108
 VT , M ,1990.0,John,
VT,M,,Michael,52
 VT ,M,1964.0,Jennifer,658
VT,F,1994.0,Alex,942
VT,F,2017.0,Alex,12
VT,M,,Alex,871
 VT , M ,,Casey,332
VT,F,1913.0,Jordan,10
 VT ,F,1971.0,taylor,89
VT,M,1973.0,,
VT,M,1949.0,Jordan,442
VT,F,1929.0,Casey,79
 VT ,M,1955.0,Jordan,21
VT,M,1961.0,Casey,16
VT,F,1977.0,Mary,86
VT,F,1962.0,Linda,24
VT,M,1955.0,John,52
 VT ,M,1969.0,Michael,200
VT,M,1976.0,Casey,23
VT,F,1963.0,,224
VT,M,1974.0,James,53
VT,M,1977.0,Alex,478
VT, M ,1961.0,Jordan,609
VT,F,1928.0,Jordan,50
VT,M,2013.0,John,10
 VT ,F,2004.0,Linda,478
VT,M,1917.0,John,35
VT,M,1938.0, James ,8
VT,M,1948.0,Taylor,27
VT,F,1942.0,Jordan,27
VT,M,1912.0,Taylor,30
VT, F ,2006.0,,285
VT,F,2006.0,Jordan,205
 VT ,M,1930.0,Robert,39
VT,F,1961.0,mary,
VT,F,1987.0,Taylor,382
VT,M,1963.0,Mary,915
VT,F,1913.0,Linda,7
VT,M,1969.0,Alex,316
VT,M,2014.0,Jordan,70
VT,F,1970.0,Alex,145
VT,M,1955.0,James,250
VT,M,1999.0,James,219
VT,M,1977.0,Casey,507
VT,F,2011.0,Jennifer,256
VT,F,1971.0,Mary,532
VT,M,2011.0,Michael,73
VT,F,1992.0,Casey,
VT,,1960.0,Casey,90
VT,M,1983.0,,448
VT,F,1963.0,Robert,14
VT,M,1945.0,Robert,23
VT,M,1958.0,Casey,76
VT,M,,Alex,307
VT,M,1961.0,Alex,30
VT,F,,Alex,71
VT,M,1977.0,John,652
VT,M,1942.0,Robert,252
VT,F,1988.0,Mary,46
VT,M,1981.0,Taylor,788
VT, M ,2019.0,,121
VT,F,1948.0,Casey,23
 VT ,M,1984.0,Alex,601
VT,M,1995.0,Alex,461
VT,F,1986.0,james,471
,F,1969.0, Patricia ,58
VT,F,1955.0,Alex,25
VT,M,1991.0,Alex,129
VT,F,1990.0,Taylor,37
VT,M,1967.0,Alex,104
VT,F,1947.0,,10
VT,,1912.0, Jordan ,33
VT,M,,,112
VT,M,2013.0, Jordan ,58
VT,F,1995.0,Jordan,527
VT,F,1937.0,,14
VT,F,1954.0,Jennifer,100
VT,M,2009.0,,
VT,F,1935.0,Jennifer,188
 VT ,F,1916.0,Taylor,6
VT,,2008.0,Casey,257
VT,M,1931.0,Taylor,132
VT,M,2005.0,Jordan,273
VT,M,2001.0,John,7
VT,,2003.0,Jordan,684
VT,F,1948.0,Alex,65
VT,M,1930.0,James,28
 VT ,F,,Linda,77
VT,F,1947.0,Alex,5
VT,F,1914.0,Jordan,15
VT,M,1974.0,Taylor,152
VT,F,1965.0,Jordan,15
VT, F ,1997.0,Linda,429
,M,1998.0,john,97
VT,F,1998.0,Linda,110
VT,M,,Michael,132
VT,F,1932.0,Jordan,60
VT,F,1943.0, Taylor ,10
VT,F,1968.0,Patricia,667
VT,F,1997.0,Jordan,46
VT,M,1933.0,Casey,16
,M,1970.0,Michael,603
VT,M,2008.0,Taylor,772
VT,M,, Casey ,370
VT,F,1923.0,,45
VT,F,,Linda,17
VT,F,1969.0,Jordan,183
VT,F,1984.0,Jordan,242
VT,M,1959.0,James,508
VT,F,1974.0,Taylor,995
VT,M,2004.0,Taylor,28
VT,M,2007.0,Jordan,813
VT,F,1993.0,Taylor,276
VT,M,1973.0,,207
VT,F,1946.0,Mary,422
VT,F,2014.0,Mary,131
,M,1967.0,John,282
VT,F,1966.0, Taylor ,100
VT,M,,Jordan,643
VT,F,1928.0,Linda,268
VT,F,2003.0,Jennifer,863
VT,F,2012.0,Jordan,90
 VT ,F,,Patricia,36
VT,F,,Mary,639
VT,M,1920.0,Taylor,5
VT,F,1985.0,Linda,541
VT, F ,2012.0,Mary,183
,,2001.0,Taylor,734
VT,F,1970.0,Mary,663
VT, M ,,Jordan,229
VT,F,1932.0,Casey,9
 VT , F ,1985.0,Casey,62
VT,,1987.0,Patricia,797
,M,1958.0,michael,77
VT,M,1993.0,Michael,246
 VT ,M,1964.0,Taylor,831
 VT ,F,1945.0,Jennifer,544
VT, M ,1968.0,,225
VT,M,1974.0,Mary,119
VT,F,1952.0,Patricia,344
VT,M,1966.0,Robert,573
VT,F,1932.0,Patricia,82
 VT ,F,1959.0,Taylor,97
VT,M,1988.0,Michael,605
VT,F,1941.0,patricia,159
VT,M,2018.0,John,94
VT,M,1938.0,Robert,36
VT,F,1919.0,linda,18
VT, F ,1954.0,Jordan,655
VT,F,1945.0,Taylor,8
VT,M,1968.0,James,13
VT,M,1915.0,Taylor,8
VT,F,1993.0,Patricia,97
VT,F,,Patricia,8
VT,F,1997.0,Patricia,892
VT,M,2019.0,Jordan,1019
VT,M,1985.0,Taylor,134
VT,M,2015.0,James,232
,F,1999.0,Robert,666
VT,M,1937.0,Casey,296
VT,M,1999.0, Patricia ,726
VT,M,1958.0,James,438
VT,F,1967.0,,535
VT,F,1925.0,Jordan,47
 VT ,M,1950.0,Patricia,6
 VT ,M,1998.0,Alex,772
VT,M,1945.0,James,253
VT,M,1974.0,michael,830
VT,F,1976.0,,195
VT,F,2017.0,Jennifer,429
VT,M,1929.0,Jordan,14
VT,F,1923.0,Jennifer,11
VT,F,1975.0,Jennifer,89
VT,M,1965.0,Michael,415
VT, M ,1999.0,Alex,201
 VT ,F,1930.0,Mary,222
VT,F,1919.0,Casey,7
VT,F,1960.0,Linda,53
VT,M,1972.0,,297
VT,M,1984.0,Robert,158
VT,F,1935.0,Alex,5
 VT ,F,1960.0,Jordan,113
VT,M,1928.0,Casey,69
VT,F,1918.0,Jennifer,52
VT,M,1989.0,John,521
VT,F,1991.0,Jennifer,90
,,1973.0,John,396
VT,F,1971.0,Linda,272
VT,M,1976.0,James,216
VT,M,2022.0,Michael,213
VT,F,1963.0,Mary,29
VT,F,1922.0,Patricia,91
VT,M,1947.0,Alex,
VT,M,1923.0,Jordan,
VT,M,1988.0,James,472
VT,M,1940.0,Casey,13
VT,M,2019.0,Casey,523
VT,M,2002.0,james,443
VT,M,1953.0,Robert,278
VT, F ,1918.0,Michael,25
VT,M,1987.0,Alex,157
VT, M ,2002.0,Casey,
VT,M,1988.0,Alex,710
 VT ,M,2008.0,Robert,
 VT ,,2011.0,Alex,242
VT,F,1972.0,Casey,419
VT,M,1940.0,Michael,342
VT,F,2022.0,Alex,
,M,1942.0,Taylor,28
 VT ,F,2005.0,Linda,24
VT,,2007.0,Jennifer,16
VT,,1990.0,Casey,57
VT,F,2015.0,Taylor,604
 VT , F ,2007.0,Jennifer,95
VT,M,1962.0,Jordan,43
VT,F,1950.0,John,482
VT,,1977.0,Taylor,569
 VT ,M,1946.0,James,6
VT,M,2010.0,John,167
VT,M,1919.0,John,10
,F,1975.0,Jordan,712
VT,M,1951.0,John,103
VT,M,2012.0,Taylor,389
 VT ,F,,Alex,24
VT,M,,,10
VT,M,1923.0,Jordan,
VT,M,1963.0, Alex ,1218
VT,M,, Taylor ,11
VT,F,1923.0,Jordan,106
VT,M,2001.0,Jordan,945
VT,F,2016.0,Robert,904
,F,1955.0,,917
VT, M ,1964.0,Casey,479
VT,M,1974.0,casey,592
,F,1938.0,Casey,
VT,F,2019.0,Alex,25
VT,,1983.0,Alex,261
VT,F,1993.0,Mary,220
VT,F,1954.0,Alex,224
VT,F,1919.0,Patricia,
 VT , M ,1998.0,Taylor,610
VT,F,,Linda,477
 VT ,F,2020.0,Taylor,189
 VT , M ,1988.0,Robert,733
VT,M,1979.0,James,325
VT, F ,2008.0,Taylor,147
VT,M,1989.0,Taylor,351
VT,M,1968.0,Alex,252
VT,F,1971.0,,362
VT,M,1984.0,james,385
VT,M,,Alex,17
VT,F,1943.0,Patricia,627
VT,F,1999.0,Jennifer,104
VT,F,2007.0,Linda,57
 VT ,M,1986.0,Michael,42
VT,M,1980.0,Robert,56
VT,M,1998.0,Mary,545
VT, F ,1970.0,Jordan,1133
VT,F,1977.0,Jordan,149
VT,F,1937.0,Jennifer,113
 VT ,M,1934.0,Alex,37
VT,,1940.0,Alex,198
VT, M ,1965.0,casey,476
VT,,1942.0,James,14
VT,M,1985.0,Alex,67
VT,F,1913.0,james,34
VT,F,1953.0,Alex,102
VT,F,,Alex,128
 VT ,M,1913.0,Jordan,21
VT,F,2021.0,Linda,107
VT,M,1986.0,Casey,105
,M,2009.0,Jordan,16
VT,F,2004.0,Alex,7
VT,M,2019.0,James,173
VT,M,1974.0,Alex,458
VT,F,1965.0,Patricia,97
VT,,,Casey,529
VT,M,1960.0,Michael,137
VT,M,2017.0,Taylor,11
VT, M ,1922.0,Jordan,30
VT,M,1937.0,James,9
,M,1972.0,Taylor,395
VT,M,1947.0,James,668
VT,M,1938.0,Jordan,905
VT,M,1964.0,Robert,
 VT ,M,2007.0,John,64
 VT ,F,2005.0,Linda,24
VT,F,1959.0,Mary,389
VT,F,1963.0,Linda,402
VT,F,1982.0,Mary,785
VT,F,1931.0,Linda,102
VT,M,,John,55
VT,M,1946.0,Alex,14
VT, F ,1927.0,Taylor,81
VT,F,1962.0,Alex,367
VT,M,,John,19
VT,F,2015.0,Jennifer,64
VT,M,1967.0,Casey,317
VT,F,1972.0,Jennifer,157
VT,M,1952.0,Taylor,97
VT,F,1995.0,Taylor,99
VT,M,1998.0,Michael,532
VT, F ,,Alex,58
,M,1956.0, James ,395
VT,M,,Casey,771
VT,M,1998.0,James,
VT,,2014.0,Alex,189
VT,F,1987.0,Alex,393
 VT ,M,2002.0,Taylor,1188
 VT ,M,1987.0,Jordan,161
VT,F,,Casey,363
 VT ,M,1996.0,Taylor,292
