State,Sex,Year,Name,Count
WA,M,1917.0,James,16
WA,F,1969.0,Casey,61
WA,,1964.0,Casey,84
 WA ,F,2015.0,Taylor,167
WA,F,1975.0,Patricia,326
WA,F,2015.0, Mary ,312
WA,F,1982.0,,184
WA,M,2006.0,Jennifer,852
WA,M,1954.0,Robert,339
 WA ,M,1945.0,Alex,11
WA, F ,1957.0,Jennifer,226
WA,F,1983.0,linda,566
WA,F,2019.0,Jennifer,72
WA,F,1954.0,Patricia,18
WA,F,2019.0, Mary ,428
WA, F ,1989.0,Patricia,155
WA,F,1947.0,Patricia,233
 WA ,F,,Patricia,24
WA,M,2002.0,Alex,656
WA,M,2014.0,Casey,60
WA,F,1965.0,Taylor,300
WA,M,1978.0,James,479
 WA ,F,1956.0,Mary,132
WA,M,1976.0,James,148
WA, F ,2012.0,Patricia,98
WA,M,1997.0,James,623
WA,M,1972.0,Michael,
WA,M,1987.0,Michael,
WA,F,1954.0,Linda,245
WA,F,1957.0,Linda,631
WA,M,1946.0,John,
WA,F,1973.0,Alex,543
WA, M ,1997.0, John ,839
WA,F,1999.0,Taylor,129
WA,F,2021.0,Linda,9
WA,M,1933.0,Alex,279
 WA , F ,1956.0,Jennifer,31
WA,M,1979.0,Michael,762
WA,M,,Jordan,1004
WA,F,1951.0,Taylor,128
WA,M,1977.0,Casey,195
WA,,,linda,710
WA,M,1950.0,John,590
WA,F,1982.0,Linda,293
WA,M,1979.0,Taylor,973
WA,M,1940.0,Taylor,
WA,F,1996.0,Taylor,441
WA,M,1998.0,taylor,797
WA,F,,Jennifer,14
WA,M,1975.0,Taylor,228
WA,F,1996.0,Mary,22
WA, M ,1996.0,John,855
WA,M,1975.0,Patricia,40
WA,M,1990.0,Jordan,392
WA,M,1960.0,Michael,332
WA, M ,2011.0,Taylor,234
WA,F,2015.0,jordan,230
WA,F,1950.0,Casey,129
WA,M,1956.0,James,22
 WA ,F,1949.0,Jordan,381
WA,M,1965.0,Robert,118
WA,F,1933.0,Jordan,12
WA,M,1917.0,,57
WA,F,2007.0,Patricia,8
WA,F,2004.0,Linda,98
WA,M,1929.0,James,34
WA,F,1947.0,Mary,9
WA,F,1958.0,John,103
WA,M,1972.0,Taylor,557
 WA ,M,1997.0,Alex,107
WA,M,1921.0,Jordan,10
WA,M,2022.0,Robert,158
WA,M,1990.0,James,207
WA,M,1985.0,Jordan,368
WA,M,1955.0,Casey,5
WA,F,1933.0,Alex,58
WA,F,1912.0,Jennifer,8
WA,M,2007.0,Michael,219
WA,F,1941.0,Linda,29
WA,M,1974.0,John,295
WA,F,1934.0,Alex,92
WA,M,1924.0,John,26
WA,M,2011.0,Michael,629
WA,M,1961.0,Taylor,317
WA,M,1945.0,Patricia,691
WA,F,1962.0,Taylor,70
WA,,1981.0,Robert,410
WA,F,1992.0,Patricia,85
WA,F,1973.0,Casey,184
WA,F,1981.0,Jordan,355
 WA ,F,1990.0,Patricia,675
WA,F,2001.0,Casey,232
WA,F,1970.0,Jordan,688
WA,M,1950.0,Michael,292
WA, F ,1982.0,Patricia,638
WA,F,1975.0,Taylor,577
WA,F,1956.0,Casey,58
WA,M,1925.0,,228
WA,M,1926.0,James,
WA, M ,2004.0,Michael,772
WA,M,1952.0,taylor,22
WA,M,1999.0,Jordan,362
WA,M,1977.0,Jordan,234
WA,M,1959.0,Michael,458
WA,M,1967.0,Taylor,202
WA,F,1942.0,Linda,6
WA,F,1986.0,Casey,112
WA,F,1973.0,Jennifer,420
WA,M,1982.0,,54
WA,M,,Jordan,197
WA,F,1993.0,Linda,175
WA,M,1987.0,Robert,96
WA,M,1913.0,Alex,
 WA ,M,2015.0,Jordan,17
WA, M ,1997.0, Michael ,978
,F,1941.0,Patricia,35
WA,M,2020.0,Taylor,302
WA,M,1983.0,Taylor,353
WA,F,1954.0,Casey,27
 WA ,F,,Jennifer,525
 WA ,M,1928.0,,5
WA, M ,1972.0,Robert,496
WA,F,1946.0,Casey,146
,F,1943.0,Patricia,19
 WA , F ,1965.0,Linda,125
WA,M,1940.0,James,
 WA ,F,1927.0,Linda,81
WA, M ,1936.0,Robert,8
WA,M,1941.0,Robert,35
WA, M ,1994.0,Taylor,133
WA,F,1970.0,Casey,397
WA,M,1995.0,,226
WA,F,1950.0,Patricia,185
WA,F,1994.0,Taylor,541
WA,M,2022.0,Casey,8
WA,M,1941.0,,
WA,M,1938.0,Michael,54
WA,M,1979.0, Alex ,219
 WA ,F,1999.0,Linda,507
WA,,1948.0,mary,456
WA,M,1960.0, Taylor ,58
,M,1981.0,Taylor,42
WA,M,1995.0,,154
WA,F,1972.0,Jordan,358
WA, F ,1948.0,taylor,103
,M,1955.0, James ,420
WA,F,1994.0,Linda,351
WA,F,1958.0,Jordan,29
WA, M ,2005.0,Taylor,759
WA,F,2002.0,Jordan,207
WA,M,1996.0,Michael,15
WA,F,1974.0,Taylor,268
,M,1998.0,Michael,809
 WA ,,1931.0,John,73
WA,F,2015.0, Linda ,47
WA,,2003.0,Casey,139
WA,M,2017.0,Jordan,223
WA,F,2020.0,Taylor,866
,F,1957.0,Patricia,123
WA,M,1928.0,Jordan,75
WA, F ,1915.0,Patricia,5
WA,F,1963.0,Alex,1009
WA,F,1978.0,Jennifer,363
WA,M,2011.0,James,8
WA,,1943.0,Jordan,390
 WA ,F,1965.0,Casey,814
WA,F,1944.0,Alex,175
WA,M,1968.0,James,67
,M,1957.0,linda,90
WA, F ,1927.0,alex,86
WA, F ,1940.0,,489
WA,F,1951.0,Jennifer,302
WA,F,,Patricia,528
WA,M,,James,174
WA,F,2017.0,Alex,572
WA,F,1929.0,Alex,212
WA,M,2010.0,Casey,13
WA, M ,2014.0,Robert,988
WA,M,1960.0,Jordan,552
,F,2011.0,Jennifer,126
WA,F,1924.0,Jordan,60
WA,F,2011.0,Jordan,162
WA,M,1968.0,Jordan,193
WA,F,1951.0,Patricia,79
 WA ,M,2017.0,Robert,472
,M,2013.0,jordan,
 WA ,F,1972.0,Casey,327
WA,F,1999.0,Jordan,385
WA,F,1953.0,Patricia,
WA,F,1950.0,Jennifer,
WA,M,1938.0,jordan,48
,F,2012.0,Casey,144
WA,M,1953.0, James ,557
WA,F,,Alex,217
WA,M,1922.0,Michael,367
 WA ,M,1962.0,Casey,113
WA,F,2015.0,Jennifer,5
WA,F,1958.0,Taylor,195
WA,M,1946.0,Michael,60
WA,F,2009.0,,
WA,M,1981.0,Jordan,218
WA,F,2012.0, Jennifer ,446
WA, F ,1991.0,Jennifer,822
WA, F ,1954.0,,10
WA,M,2003.0,Jordan,12
WA,F,1982.0,Mary,501
WA,F,1928.0,Jennifer,13
,F,1993.0,Mary,207
WA,F,1980.0,Casey,107
WA,M,1943.0,Casey,9
WA,M,1976.0,Michael,776
WA,F,,Casey,147
WA,F,1962.0,Jordan,640
WA,M,1964.0,Alex,8
WA,M,1935.0,Casey,102
WA,F,1980.0,Taylor,
WA, F ,1973.0,Patricia,269
WA,M,2009.0,John,14
WA,M,1919.0,,33
WA,F,1970.0,Jennifer,
WA,,2001.0,Linda,727
 WA ,F,1977.0,Robert,206
,M,1987.0,Casey,358
WA, M ,1953.0,Robert,660
 WA ,F,1975.0,Casey,278
WA,F,1961.0,Alex,920
WA,F,1942.0,Mary,16
WA, F ,2017.0,Taylor,129
WA,M,1916.0,Alex,39
WA,F,1972.0,Patricia,75
WA,M,1964.0,michael,367
WA,M,1931.0,,9
WA,M,1922.0,,98
WA,F,1927.0,Jennifer,13
WA,F,1968.0,Alex,469
WA, F ,2000.0,Taylor,389
WA,F,1933.0,Jennifer,8
WA, M ,2004.0,Robert,41
,M,1986.0,Taylor,153
 WA ,M,2002.0,Casey,447
WA,M,1923.0,Linda,23
WA,M,1991.0,Jordan,323
WA,M,1985.0,Alex,87
WA,F,1922.0,Patricia,13
WA,M,1947.0,jordan,136
WA,M,1957.0,Casey,71
WA,F,1946.0,Alex,420
WA,F,1987.0,Patricia,544
WA,M,,John,12
WA,F,1967.0,Linda,276
WA,M,1996.0,Taylor,
WA,F,,patricia,664
WA,F,2007.0,Casey,713
WA, M ,1980.0,Alex,605
WA,F,1915.0,Jordan,5
WA, F ,2001.0,Jordan,65
WA,M,1939.0,Jordan,63
WA,F,1997.0,Linda,115
,M,1964.0, Taylor ,470
WA,M,1953.0,Jordan,214
WA,F,1945.0,Casey,190
WA,F,2000.0,Jennifer,
WA,F,2010.0,Michael,11
 WA ,M,2021.0,Jordan,161
WA,M,1978.0,Alex,
WA,F,,Jordan,136
WA,M,1946.0,Jordan,53
 WA ,M,1986.0, Linda ,97
WA,M,1969.0,Jordan,121
WA,F,1991.0,Patricia,
WA,M,2002.0,Jordan,38
WA, F ,1970.0,Mary,98
WA,M,1937.0,Alex,12
,F,1926.0,Linda,10
, M ,1993.0,Robert,18
WA,,1968.0,Jennifer,290
WA,F,1920.0,Casey,27
WA,F,1958.0,Alex,191
WA,M,1965.0,Alex,620
WA,M,1994.0,Jordan,675
WA,M,,Robert,179
WA,F,1990.0,Jordan,465
,,1944.0,Taylor,
WA,M,1988.0,Alex,245
WA,F,1964.0,patricia,359
 WA ,M,1961.0,Jordan,76
WA, M ,1983.0,James,519
WA,M,1972.0, Casey ,175
WA,F,1961.0,Jordan,1087
WA,F,1986.0,Taylor,199
WA,M,1983.0,John,26
WA,F,2003.0,Alex,294
WA,F,1977.0,Taylor,645
WA,,1989.0,Michael,378
WA,M,2012.0,Casey,925
WA,M,1956.0, Taylor ,11
 WA ,M,1940.0,Jordan,9
WA,M,2001.0,alex,639
WA,F,1979.0,Casey,41
WA,,1999.0,Patricia,422
WA,,2010.0,Robert,31
WA,F,1938.0,alex,8
 WA ,F,2004.0,Alex,28
WA,M,,John,220
WA,M,1945.0,Michael,12
WA,F,1969.0,taylor,649
WA,M,2000.0,Casey,67
WA,M,2007.0,Alex,394
WA,F,1996.0,Patricia,128
WA,F,1999.0,Alex,
WA,F,1966.0,Jordan,673
WA,F,1990.0,Alex,978
WA,M,2012.0,Jordan,164
WA,F,2013.0,Mary,41
,M,1945.0, Taylor ,6
WA,F,1998.0,Patricia,66
WA,M,1960.0,Casey,434
WA,F,1977.0,Casey,334
WA,M,1910.0,John,9
WA, M ,2005.0,John,8
WA,M,1962.0,Taylor,539
WA,M,1985.0,james,490
WA,M,2021.0,Robert,11
WA,M,2006.0,Jordan,113
WA, F ,1980.0,,503
WA, M ,1935.0,James,17
WA,M,1989.0,Robert,264
WA,M,2016.0,James,336
WA,F,2001.0,Patricia,28
WA,M,2004.0, Jordan ,27
WA,F,2000.0, Linda ,529
WA,M,1935.0,Robert,30
,F,2001.0,Jennifer,49
WA,M,1978.0,Casey,190
WA,M,1982.0,john,314
 WA ,M,1989.0,Alex,615
WA,F,1925.0,Mary,406
WA,M,1981.0,Casey,666
 WA ,F,1965.0,Jordan,306
WA,M,1969.0,Alex,134
WA,F,1935.0,Mary,555
,F,1998.0,Mary,
WA,F,1954.0,John,8
WA,F,1985.0,Taylor,128
WA, M ,1916.0,Casey,43
WA,F,1948.0,Linda,340
WA,M,1970.0,James,987
 WA ,M,1986.0,Alex,296
WA,F,1962.0,Linda,35
WA,M,1965.0, James ,122
WA,F,1992.0,Mary,158
WA,M,1925.0,James,7
WA, F ,1995.0,Casey,104
WA,M,1961.0,,268
WA,F,1973.0,Taylor,183
,M,1956.0,Robert,49
 WA ,M,2011.0,Casey,1070
WA,M,1967.0,Jordan,338
,F,1981.0,Linda,297
WA,F,1953.0,Linda,394
WA,M,1986.0, Casey ,549
WA,F,1995.0,Taylor,241
WA,F,2019.0,Alex,11
,F,1963.0,mary,880
WA,F,1952.0, John ,102
