state,sex,year,name,count
WI,F,1922.0,Jordan,81
WI,F,2006.0,Jordan,229
WI,,1945.0,Taylor,310
WI,M,1926.0,Taylor,23
WI,M,1954.0,john,55
WI,,1947.0,John,257
WI,M,1973.0,Michael,100
WI,F,1969.0,Patricia,717
WI,F,1985.0,Alex,154
WI,F,1967.0,Jennifer,113
WI,F,2015.0,Alex,245
WI,F,1936.0,Alex,75
WI,F,1934.0,,129
WI,M,2003.0,Taylor,357
WI,F,, Casey ,831
WI,F,2005.0,Mary,655
WI,,1930.0,Patricia,73
WI,M,1980.0,Alex,1104
WI,F,1932.0,Jordan,18
WI, F ,1974.0,Mary,665
WI,F,1970.0,Alex,
 WI ,F,2006.0,Jennifer,1076
WI, F ,1957.0,Linda,270
WI,M,1913.0,Robert,34
WI,F,1972.0,Alex,334
WI,F,1948.0,Jordan,132
WI,F,2017.0,Alex,10
WI,F,2016.0,Jennifer,31
 WI ,F,1983.0,Linda,241
WI,F,2004.0,Taylor,69
WI,F,1973.0,Patricia,129
WI,,1960.0,Alex,167
,F,,Jordan,607
WI,M,1975.0,Casey,647
WI,F,1986.0,Mary,896
WI,M,1925.0,Taylor,7
WI,M,1956.0,Alex,66
WI,M,2019.0,James,35
 WI ,M,, John ,12
 WI ,F,1989.0,Linda,38
WI, M ,1993.0,Patricia,129
 WI ,F,1947.0,jordan,49
WI,F,2011.0,Patricia,102
WI, F ,1994.0,Jennifer,399
,,1927.0,Robert,294
WI,F,1995.0,Jennifer,286
WI,M,,Taylor,161
WI,M,,Michael,123
WI,M,2005.0,Jordan,325
WI,F,1989.0,Taylor,39
 WI ,F,1953.0,Patricia,377
WI,M,1953.0,Jordan,604
WI,F,2022.0, Jordan ,563
WI,M,1995.0,,145
WI,F,,Linda,6
WI,M,2020.0,John,89
WI, M ,2006.0,Linda,17
WI,M,2019.0,,27
WI,M,2015.0,Robert,22
WI,F,2019.0,Mary,12
WI,,1992.0,Linda,50
WI,M,2016.0,,82
WI,M,,Michael,127
WI,M,2000.0,Jordan,951
WI,M,1970.0,Jordan,554
WI, M ,2000.0,Alex,71
WI,F,1956.0,Alex,1148
WI,M,2007.0,Jordan,93
WI,F,1944.0,Jennifer,55
,M,1962.0,Michael,157
WI,M,2000.0,Taylor,51
WI,M,1998.0,Michael,664
WI,M,1950.0,Alex,5
WI,,1970.0,,59
WI,M,2005.0,Jordan,325
WI,M,1926.0,Alex,18
WI,M,1975.0,Alex,347
WI,F,1999.0,mary,650
WI,,1929.0, Taylor ,9
WI,M,1925.0,Jordan,135
WI,F,1979.0,Taylor,186
WI,F,,Mary,73
WI,F,1979.0,alex,369
WI,M,1979.0,Alex,659
WI,F,2004.0,Alex,114
WI,M,1936.0,Taylor,27
WI,M,1913.0,Jordan,
WI,F,1978.0, Taylor ,22
WI,,2011.0, Casey ,111
WI, M ,1948.0,Alex,75
WI,M,1917.0, Jordan ,
WI,M,1920.0,,41
WI,,1968.0,Jennifer,978
WI,F,1938.0,Linda,216
WI,F,1959.0,Casey,36
