state,sex,year,name,count
WV,M,1970.0,Alex,207
,M,1928.0,Robert,49
WV, F ,2012.0,Robert,189
WV,F,1955.0,,77
WV,M,1982.0,Taylor,822
WV,F,2021.0,Alex,
WV,M,1930.0,Casey,5
WV,F,1929.0,Casey,63
WV, M ,1976.0,Alex,312
WV, F ,1980.0,Patricia,519
WV,F,1913.0, Mary ,58
WV,F,1966.0,Jordan,660
 WV ,F,1972.0,Mary,432
WV, M ,2021.0,Taylor,69
 WV ,M,,John,466
WV, M ,2013.0,John,15
WV,M,1973.0,James,947
WV,M,1974.0,John,785
WV,M,1958.0,Linda,32
WV,M,1993.0,Casey,1032
WV,F,2022.0,Jennifer,15
 WV ,F,1932.0,Jordan,10
WV,M,1993.0,Jordan,67
WV,M,1915.0,Michael,18
WV,F,1970.0,Linda,630
WV,M,1950.0,Michael,61
WV,M,1991.0,James,449
WV,,1948.0,Alex,192
WV,M,1966.0,Patricia,155
WV,F,1977.0,Mary,100
WV,M,1920.0,James,8
WV,M,1995.0,Taylor,132
 WV ,F,1951.0,Taylor,34
WV,M,1931.0,Casey,43
WV,,1943.0,Mary,67
WV,M,1944.0,Alex,9
WV,M,2017.0,Robert,27
WV,F,2000.0,Jordan,259
WV,F,1980.0,Taylor,567
,F,1922.0,Casey,
WV,M,1984.0,robert,574
WV,F,1961.0,Casey,96
WV,M,2014.0,Jordan,19
WV,F,2014.0,Linda,287
WV,F,2013.0,Jennifer,54
WV,M,2009.0,Taylor,92
WV, M ,1959.0,taylor,786
WV,F,1992.0,Casey,213
WV,M,1937.0,Alex,184
WV,M,1931.0,robert,39
WV,M,1948.0,,446
WV,,2020.0,Taylor,159
WV,M,1952.0,John,54
WV,F,1925.0,Jennifer,6
WV,,,Patricia,158
WV,F,1967.0,John,573
WV,F,1986.0,Mary,130
WV,,2017.0,Michael,210
WV,M,2019.0,Robert,756
 WV ,M,1940.0,Jennifer,147
WV,,1977.0,Alex,437
WV,M,1987.0,Taylor,352
WV,,1923.0,Robert,62
 WV ,F,1948.0,Mary,28
WV,F,1953.0,,43
WV,F,1931.0,Jordan,5
WV,F,1980.0,Mary,51
WV,F,1927.0,Linda,69
WV,F,1989.0,Jennifer,333
WV,F,1989.0,john,85
WV,F,1961.0,Taylor,667
WV,F,1973.0,Jordan,247
WV,F,1913.0,Alex,6
WV, M ,1947.0,Alex,442
WV, M ,1986.0,James,304
WV,F,1994.0,jennifer,148
WV,F,1966.0,Mary,236
WV,M,1994.0,Jordan,7
WV,M,1993.0,Alex,77
WV,F,1975.0,Jordan,242
 WV ,F,,Casey,65
WV,F,2007.0,,396
WV, M ,1983.0,Casey,304
WV,M,2010.0,John,17
,F,2012.0,Casey,152
,F,2018.0,Jordan,442
,M,1928.0,James,63
, M ,1994.0,Michael,274
WV,F,1982.0,Patricia,88
WV,F,1992.0,Patricia,
 WV ,F,1917.0,Linda,24
WV, M ,1997.0,Casey,733
WV,F,1998.0,Robert,259
,F,2008.0,Casey,6
WV,M,1930.0,Robert,24
WV,,1964.0,Robert,166
 WV ,F,1950.0,Linda,32
WV,F,1999.0,Jordan,30
WV,F,1973.0,Linda,217
WV,F,1965.0,Mary,748
WV,M,1980.0,Patricia,68
WV,M,2007.0, Robert ,26
WV,M,2009.0,James,89
 WV ,F,1967.0,Linda,145
 WV ,F,1924.0,Mary,6
WV,F,1928.0,Mary,12
WV,F,2008.0,Jennifer,707
,F,1964.0,Alex,43
WV,F,1943.0, Linda ,1111
WV,M,1981.0,Alex,212
WV,M,2021.0,Casey,35
WV,F,2014.0,Casey,920
WV,M,1924.0,Jordan,40
WV,M,2012.0,Michael,
 WV ,F,2008.0,Mary,44
WV, M ,1956.0,John,
