state,sex,year,name,count
WY,F,2007.0,Alex,47
WY,M,1966.0, Taylor ,166
WY,M,1933.0, Michael ,388
WY,,1979.0,Patricia,353
WY,M,1983.0,James,583
WY,M,1955.0,Robert,13
WY,M,1920.0,Michael,7
WY,M,1957.0,Jordan,34
WY,F,1981.0,mary,60
WY,M,1956.0,James,9
WY,M,1971.0,Taylor,320
WY,F,2005.0,Jennifer,11
WY,M,1989.0, Taylor ,212
WY,F,1942.0,Taylor,333
 WY ,M,1931.0,Robert,18
WY,F,1958.0,Taylor,56
WY,F,1958.0,jennifer,16
WY,F,2003.0,Jennifer,355
WY,M,,Taylor,87
WY,F,1984.0,,162
WY,M,1943.0,Jordan,14
WY,M,2006.0,John,195
WY,F,1913.0,Alex,22
WY,M,1987.0,Jordan,166
WY,M,1957.0,John,19
WY,M,1915.0,James,65
WY,,2008.0,John,
WY,M,1940.0,Casey,278
WY,F,1991.0,Jordan,140
WY,M,1992.0,John,161
WY,F,1953.0,Patricia,85
WY,M,1963.0,Alex,702
WY,M,1926.0,Casey,143
WY,F,2004.0,Linda,54
WY,F,1922.0,James,31
WY,M,1947.0,Jordan,130
WY,M,1967.0,Robert,119
WY,M,1947.0,john,21
WY,F,1933.0,Patricia,63
WY,F,1972.0,Casey,163
WY,F,1975.0,Jennifer,314
WY,M,1944.0,Alex,21
 WY ,M,1998.0,Casey,154
WY,M,1953.0,john,94
 WY ,F,2013.0,Mary,7
WY,M,1924.0,,31
, F ,2001.0,Alex,232
WY,F,1947.0,Linda,253
WY,F,,Patricia,7
WY,F,1995.0,Mary,
WY, F ,1993.0,Patricia,756
WY,F,1978.0,Linda,417
WY,F,2021.0,Jennifer,71
WY,M,2022.0,John,38
WY,M,2007.0,Michael,84
WY,F,,Linda,1122
WY,,,Jordan,87
 WY ,M,1982.0,Jordan,
WY,M,2004.0,Alex,790
WY, M ,1931.0,John,18
WY,M,1940.0,Taylor,188
WY,M,1930.0,John,126
WY,M,1995.0,Michael,1078
WY,F,1992.0,Patricia,578
WY,M,1922.0,John,5
,M,1983.0,Robert,1220
WY,M,1958.0,Michael,423
WY,M,2019.0,James,283
WY,M,1920.0,Casey,20
WY,F,,Mary,410
WY,F,2016.0,Casey,70
WY,F,2006.0,linda,31
WY,M,1946.0,Jordan,704
,M,1963.0,John,713
WY,M,2018.0,michael,
WY,M,1979.0,Casey,112
WY,M,1925.0,James,53
WY, M ,1943.0,James,
WY,F,,Jennifer,35
WY,F,1996.0,Jennifer,341
WY,M,2001.0,Alex,483
WY,F,2010.0, Casey ,540
WY,M,1987.0,John,
WY,F,1998.0,Mary,77
WY,F,1962.0,Casey,72
WY,M,1994.0,Alex,27
WY,F,1963.0,Casey,706
WY,F,1931.0,James,60
WY,M,1941.0,,7
WY,F,1947.0,Mary,55
 WY ,M,2021.0,Alex,221
WY,M,2016.0,John,386
WY,M,1977.0,Casey,
WY,M,1968.0,James,821
WY,M,1925.0,John,10
,M,1985.0,Casey,881
 WY ,M,,John,
WY, M ,1941.0,patricia,114
WY,M,1919.0,Casey,126
WY,F,2016.0,Patricia,15
WY,F,1950.0,Mary,1145
WY,,1992.0,Robert,269
WY,M,2004.0,Taylor,424
WY,F,2009.0, Taylor ,762
WY, M ,2006.0,Robert,662
WY,M,1992.0,Casey,583
WY,F,1989.0,Taylor,53
WY,M,2004.0,Casey,267
WY,F,1968.0,,153
WY,M,2016.0,Robert,80
WY,,1938.0,Jordan,11
WY,F,1955.0,Jennifer,355
WY,F,1960.0,Linda,43
WY,M,2007.0, Casey ,58
WY,F,1964.0,Mary,501
WY,M,1928.0,Alex,84
WY,F,1923.0,Taylor,219
WY,M,1979.0,John,808
 WY ,F,1916.0,Robert,6
 WY , F ,2022.0,Patricia,
WY,M,1930.0,Jordan,6
WY,F,1999.0,patricia,112
 WY , M ,2017.0,Alex,14
WY,M,2022.0,Michael,138
WY,F,1975.0,Patricia,337
WY,M,1963.0,Jordan,219
,F,1948.0,Jordan,840
WY, F ,1930.0,Mary,153
WY,M,1984.0,Alex,279
,M,1983.0,Jordan,351
WY,M,2003.0,Jordan,36
WY, M ,1946.0,Alex,
 WY ,F,1996.0,taylor,577
WY,M,2021.0,Casey,14
WY,M,1984.0,Michael,371
WY,M,1933.0,alex,86
WY,M,2009.0,Alex,99
WY, F ,1915.0,Linda,39
WY,M,2011.0,John,26
WY,M,1984.0,John,419
WY,F,2013.0,Jordan,183
WY,F,1954.0,Linda,297
WY,F,1983.0,Jennifer,397
WY,F,,Casey,226
WY,M,1961.0,Casey,17
WY,M,1981.0,Casey,65
WY,F,1938.0,Casey,245
WY,F,1947.0,Taylor,138
WY, F ,1988.0,Casey,165
WY,F,1991.0,Casey,
WY,F,1928.0,Mary,9
WY,F,1982.0,Patricia,605
WY,M,,Linda,421
WY,F,1978.0,Alex,74
WY,F,1996.0,Patricia,47
WY,M,1935.0,Robert,138
WY, F ,1954.0,Alex,445
WY,F,2014.0,Taylor,
WY,M,1932.0,Robert,316
WY,M,2016.0,,149
WY,F,1976.0,Alex,23
WY, F ,2015.0,Casey,
WY,F,1948.0,alex,26
WY,M,1944.0,Jordan,117
WY,F,1999.0, Taylor ,493
WY,M,1974.0,robert,81
WY, F ,1945.0,Jennifer,8
WY,F,1981.0,Casey,189
WY, M ,1951.0,,90
WY,F,1978.0,Jordan,154
 WY , M ,2008.0, James ,102
WY,M,2010.0, John ,295
WY,M,1940.0,,18
WY,M,1991.0,James,461
WY,M,2013.0,Jordan,268
WY,F,,Casey,18
WY,F,1938.0,Mary,146
WY,F,1971.0,alex,371
WY, M ,1964.0,Taylor,28
WY,F,1921.0,Patricia,294
WY,M,1962.0,Casey,299
WY,F,1995.0, Linda ,95
WY,M,1967.0,Jordan,146
WY, M ,1967.0,James,487
WY,F,1957.0,Jordan,33
WY,F,1952.0,Jordan,106
WY,F,,Jennifer,33
WY,F,1940.0,Jordan,40
WY,M,1948.0,John,31
WY,M,2003.0,Jordan,36
 WY ,M,1966.0,Jordan,292
WY, M ,,James,668
 WY ,F,1956.0,Jordan,
WY,M,,Alex,44
WY,M,1983.0,John,33
,F,1920.0,Patricia,10
WY,M,1954.0,Alex,611
WY,M,1963.0,Alex,702
WY,M,2008.0,Alex,532
 WY ,M,1976.0,Alex,314
WY,M,1987.0,,194
WY,M,1956.0,Taylor,443
WY,M,1919.0,John,5
 WY ,M,1927.0,john,51
WY,M,1993.0,James,1068
WY,,1939.0,Robert,16
WY,F,1993.0,Jennifer,336
WY,M,,Casey,25
WY,F,1984.0,Patricia,
WY,M,1993.0,Jordan,
WY,F,1986.0,Casey,92
WY,M,1946.0,John,13
,M,1970.0,Michael,145
WY,M,2011.0,Casey,208
 WY ,M,1968.0,Jordan,65
WY, F ,1994.0, Casey ,218
WY,F,1945.0,Casey,350
WY,M,1965.0,Robert,234
 WY ,F,1954.0,,260
WY,F,1915.0,,10
WY,M,1975.0,Jordan,607
WY, F ,1977.0,Jordan,181
WY,M,1985.0,John,1229
WY,F,2009.0,Patricia,5
WY,M,1986.0,Taylor,
WY,M,1974.0,Jordan,907
,M,1968.0,Michael,677
WY,M,2012.0,Taylor,17
WY,,1944.0, Casey ,112
WY,M,1982.0,Taylor,842
WY,M,1941.0,Michael,12
 WY ,F,1929.0,Casey,18
WY,F,2016.0,Jordan,17
WY,F,2006.0,Mary,143
WY,M,,,16
WY,M,1998.0,Jordan,256
 WY ,M,1954.0,Casey,693
WY,M,1990.0,Jordan,130
WY,M,1960.0,James,175
WY, F ,1978.0,Jennifer,472
,M,1943.0,mary,136
 WY ,F,2007.0,Michael,22
WY,F,1962.0,Taylor,674
WY,M,1914.0,Michael,53
WY,F,1916.0,Alex,35
WY,F,1933.0,Alex,6
WY,M,1945.0,Taylor,624
WY,F,1956.0,Mary,7
 WY ,F,1923.0,Casey,153
WY,F,,Jennifer,265
WY,M,2019.0,Taylor,156
WY,F,1984.0,Casey,513
WY,M,,Robert,418
WY,F,1988.0,Jennifer,221
WY,F,1993.0,,449
WY,M,1982.0,Alex,357
WY,F,2022.0,Taylor,23
WY,M,1913.0,James,5
WY,M,1992.0,Linda,478
WY,M,1952.0,Robert,14
WY,M,1962.0,Alex,739
 WY ,F,1963.0,Linda,68
WY,M,1991.0,Casey,528
,F,2001.0,Jennifer,50
WY,F,2010.0,Alex,29
WY, M ,2010.0,Casey,25
WY,M,1923.0,Robert,39
WY,F,1979.0,Linda,720
WY,M,,Taylor,77
WY,F,1978.0,mary,387
WY,F,1988.0,Jordan,500
WY,M,1979.0,michael,276
WY,M,1998.0,Alex,97
 WY ,M,2012.0,John,657
WY,M,1983.0,alex,333
WY,M,1996.0,James,198
WY,M,1929.0,Robert,94
WY,M,1978.0,Robert,36
WY,M,1955.0,Casey,604
WY, M ,2001.0,James,44
WY,M,1941.0,John,24
WY,F,1963.0,Jordan,10
WY,,1980.0,Robert,101
,M,1956.0,Michael,28
WY,M,1955.0,John,697
WY,M,1973.0,John,586
,F,1989.0,Mary,442
WY,M,1937.0,Jordan,25
WY,F,1960.0,Jennifer,1321
 WY ,F,2000.0,Alex,246
,M,1981.0,Robert,192
WY,F,1982.0,Jordan,497
WY,,1963.0,Michael,128
WY,M,1992.0,James,347
WY,M,1970.0,Alex,18
WY,M,1952.0,Jordan,42
WY,F,2018.0,Alex,380
WY,M,1981.0,Jordan,
WY,M,1946.0,Robert,857
WY,F,1954.0,Jennifer,226
WY,M,1949.0,Taylor,333
 WY ,F,2002.0,Linda,596
WY, M ,1939.0,Taylor,564
 WY ,F,1946.0,Patricia,13
WY,M,2013.0,James,849
WY,F,1980.0,Taylor,397
WY,M,2009.0,Michael,20
WY,F,1948.0,Casey,161
WY,M,1954.0,,813
WY,M,1964.0,Alex,96
 WY , F ,1956.0,,589
WY,M,2022.0,Casey,49
WY,M,1942.0,Jordan,20
WY,M,1925.0,Michael,45
WY,F,1920.0,Casey,21
WY,M,1955.0,Taylor,53
WY,M,1948.0,jordan,101
WY,F,1977.0,Patricia,370
WY,M,1949.0,John,149
WY,F,2009.0,,19
WY,M,1990.0,Alex,62
WY,F,1941.0,Linda,5
WY,F,1969.0,Patricia,284
WY,M,1921.0,Alex,225
 WY ,M,1955.0,Michael,670
WY,F,2010.0,Jennifer,491
WY,M,1973.0,Alex,716
WY,M,1995.0,John,20
WY,M,1940.0,Michael,140
WY,F,1989.0,Robert,82
WY,F,,Linda,20
WY,M,1958.0,John,481
WY,F,1981.0,Jordan,83
WY,F,1967.0,Jennifer,113
WY,F,1921.0,Taylor,44
WY, F ,1913.0, Taylor ,30
WY,M,,John,235
 WY ,M,1925.0,Jordan,17
WY,M,1929.0,alex,97
 WY ,,2005.0,Taylor,59
WY,F,,Jordan,109
WY,M,2007.0,John,127
WY,F,1962.0,Mary,103
 WY , M ,1999.0,Alex,447
WY,M,1950.0,John,577
WY,M,2003.0,,16
WY, F ,1971.0, Jordan ,1220
WY,F,1915.0,Alex,36
WY,F,1966.0,Jordan,791
 WY ,M,1973.0,james,172
WY,M,1941.0,Jordan,7
WY,F,1991.0, Jennifer ,23
WY, M ,1952.0,Casey,109
WY, F ,1973.0,Linda,942
WY,F,1991.0,,530
WY,M,1976.0,James,
WY,M,1989.0,,535
WY, F ,1970.0,Taylor,647
WY,F,2014.0,Mary,541
WY,M,1974.0,Alex,
WY,M,1956.0,Robert,263
WY,M,1967.0,Jordan,146
WY, F ,1912.0,Mary,35
 WY , M ,1915.0,Jordan,5
WY,F,2008.0,Jordan,596
WY,M,1969.0,Jordan,628
WY, M ,1996.0,Casey,164
WY,F,1979.0,Jennifer,76
,F,1947.0,casey,10
WY,M,1983.0,Michael,807
WY,M,2001.0,Robert,460
WY,M,1998.0,Robert,14
WY,F,,Alex,178
WY,M,1961.0,James,7
WY,M,1967.0,Alex,744
,M,2008.0,Taylor,104
 WY ,M,2013.0, Alex ,58
WY,F,2012.0,Jennifer,24
,M,1951.0,michael,402
WY,F,1963.0,Patricia,
WY,M,1991.0,Robert,18
WY, M ,1956.0,Alex,152
WY,F,1951.0,Jennifer,180
WY,F,1962.0,Patricia,366
WY,F,2022.0,Casey,52
WY, M ,1974.0,Taylor,293
WY,M,1923.0,Alex,104
WY,M,2011.0,Michael,8
WY,F,1969.0,Jennifer,66
WY,F,1967.0,,516
WY,F,1931.0,Linda,6
WY,F,1955.0,mary,11
WY,F,,Linda,774
WY,M,1976.0,Casey,618
WY,F,1959.0,Jordan,774
WY,M,2000.0,Taylor,332
WY,M,2010.0,James,124
WY,F,1961.0,Mary,559
WY,F,1918.0,James,8
WY,M,1917.0,Alex,26
WY,F,1989.0,Linda,178
WY,M,,Michael,21
WY,F,2018.0,Jennifer,189
,F,2009.0,Casey,29
WY,M,1965.0, Taylor ,226
WY,M,1965.0,Michael,554
WY,M,1999.0,Michael,59
WY,M,1987.0,Alex,167
WY, F ,1998.0,Michael,7
WY,M,1955.0,Jordan,71
WY,M,1945.0,John,24
